# solver: Random
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 00b386eb-0f8a-491c-b716-754549db7efd
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
23	12	12	100	0	0	0	0	0	-3177.8000339899118	-2092.088733655209	-163.3074725069594	-126.57394964279896	-3289.672377065639,-Infinity,-Infinity,-3119.7561148319305,-2673.7639788518454,-3170.5115727967204,-2821.2670342918686,-Infinity,-2986.377684559876,-2679.033203426619,-Infinity,-3233.69654420724,-Infinity,-2721.372813442109,-3185.9475914050363,-Infinity,-2832.023462494988,-2831.356590826725,-3024.444673530861,-Infinity,-Infinity,-3131.015303826353,-2621.422081086642,-Infinity,-Infinity,-2884.5863610634733,-3173.904354068846,-3072.546559569577,-2614.042186269968,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-3128.7134162223774,-2830.744848962852,-3022.4963298390608,-2778.776701628562,-Infinity,-2736.093629926156,-2719.348122881755,-3077.89583426644,-Infinity,-3138.4332889910247,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2466.9898441138253,-Infinity,-Infinity,-2934.967160246751,-Infinity,-2525.3643423608355,-Infinity,-Infinity,-Infinity,-2525.1784623863155,-3231.2455465670682,-2975.4680252826315,-3212.9490570394005,-Infinity,-Infinity,-Infinity,-Infinity,-2971.232321341703,-2384.198467742592,-2989.3029023555296,-3320.4523955240916,-Infinity,-2984.839478296853,-2918.3968814511773,-Infinity,-3382.3237875393183,-2873.310761341096,-3071.37027357635,-Infinity,-2721.3452504531724,-2092.088733655209,-3384.6422535984625,-Infinity,-Infinity,-Infinity,-3271.428202525189,-2538.3488962005563,-Infinity,-Infinity,-Infinity,-Infinity,-2786.598859990495,-Infinity,-2828.78498244279,-Infinity,-Infinity,-2877.2400951042478,-3177.8000339899118	0.9977516614149626	-2092.088733655209	8	false	68
24	13	13	100	0	0	0	0	0	-2278.44126296559	-2278.44126296559	-153.6771403756632	-153.6771403756632	-2569.51308684305,-Infinity,-3167.6505456919745,-Infinity,-Infinity,-Infinity,-3175.944880604648,-Infinity,-Infinity,-Infinity,-Infinity,-2830.9900406772645,-Infinity,-3079.3981072364013,-Infinity,-3170.3790378606586,-3323.6858400060573,-2365.6660531075413,-2957.2933124955534,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-3138.2167113422033,-2970.585894160291,-Infinity,-Infinity,-2863.274212746534,-Infinity,-3067.1742274584217,-Infinity,-Infinity,-Infinity,-Infinity,-2926.6473121690547,-Infinity,-3331.017821725435,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2972.8687392051374,-2867.7528929017208,-3072.5630110257503,-Infinity,-2820.1659808661084,-Infinity,-Infinity,-2870.281282449504,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-3116.5901426552305,-2726.335797217759,-2427.9848346500594,-2626.162533391201,-Infinity,-3126.3424045853203,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-3111.3332405111682,-Infinity,-2714.857523057215,-Infinity,-Infinity,-3076.6853869700135,-3125.259457554173,-2571.6220516287835,-3222.99560760183,-Infinity,-Infinity,-2966.239473713677,-2322.031838861367,-Infinity,-3275.8315356571616,-Infinity,-3166.4018794177887,-Infinity,-Infinity,-Infinity,-3118.1410815965996,-Infinity,-2278.44126296559	0.9975615034251832	-2278.44126296559	8	true	20
25	15	15	100	0	0	0	0	0	-3070.849432970367	-2158.6406156764465	-246.3433002344322	-149.04267385599275	-Infinity,-Infinity,-Infinity,-Infinity,-2520.9740650431995,-Infinity,-Infinity,-3078.830923914005,-Infinity,-3013.3146072802797,-3265.7252145957814,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-3412.9430501563766,-3016.3135359973567,-2771.565857841632,-Infinity,-Infinity,-Infinity,-3315.468500369573,-Infinity,-2516.717704911029,-Infinity,-2458.8532642685277,-Infinity,-Infinity,-Infinity,-Infinity,-3211.0439077448705,-Infinity,-3024.023501997037,-Infinity,-3328.404062561649,-2763.770703276036,-3419.6370714713967,-Infinity,-2925.2789549469044,-Infinity,-3066.3153519868865,-Infinity,-3073.938617360504,-Infinity,-Infinity,-Infinity,-Infinity,-2485.880459936115,-Infinity,-3208.394861546671,-3014.472936682794,-Infinity,-Infinity,-Infinity,-Infinity,-2268.1676098686044,-3226.1590457235675,-2158.6406156764465,-3218.5407643900508,-2230.960832609532,-Infinity,-2974.60329402497,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-3014.593462708575,-3218.0910984581114,-2461.395025481482,-2723.751741357334,-Infinity,-Infinity,-Infinity,-Infinity,-2764.5539554221236,-Infinity,-Infinity,-3420.8313646107586,-2775.6887144992475,-Infinity,-Infinity,-Infinity,-Infinity,-2768.7645831719315,-3223.9801770438303,-3166.9744336189297,-2470.268905637967,-Infinity,-2409.3804692715876,-2816.1159665187565,-2924.8297973808503,-Infinity,-2817.097082642925,-3070.849432970367	0.9966306358339244	-2158.6406156764465	3	true	17
26	15	15	100	0	0	0	0	0	-2812.065880730404	-2183.4343685944104	-192.87202003193104	-206.76076873332588	-2228.785613054365,-3122.5765753709165,-Infinity,-Infinity,-3067.0230495693622,-Infinity,-2869.102978747273,-Infinity,-Infinity,-Infinity,-2315.4418812985227,-2183.4343685944104,-Infinity,-3305.895112919267,-Infinity,-2939.136603173375,-3127.1097505624653,-Infinity,-2765.911456379587,-Infinity,-Infinity,-2771.338239692358,-3172.082331852128,-Infinity,-2515.599570808962,-Infinity,-3010.795311890601,-2722.0365617416446,-Infinity,-Infinity,-Infinity,-Infinity,-2613.598088855888,-Infinity,-Infinity,-3210.526102195427,-2961.329542810322,-Infinity,-2868.015918513717,-2683.5493669960492,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2819.40572778427,-3027.095276153438,-3228.103072915451,-2614.808756292351,-2914.2114410634886,-Infinity,-3123.4604510596937,-Infinity,-Infinity,-Infinity,-Infinity,-2982.7556817930763,-Infinity,-Infinity,-Infinity,-3264.3936107265795,-Infinity,-Infinity,-Infinity,-Infinity,-2766.148728106313,-Infinity,-Infinity,-2926.346401909681,-2254.2446416584453,-3336.551712934449,-Infinity,-2871.7902014754077,-Infinity,-2770.299277670247,-Infinity,-2629.959333937664,-Infinity,-Infinity,-2971.5899418304925,-2858.924098082767,-2629.21773822213,-3326.4148292635305,-3230.387073966581,-2923.046269853468,-2918.402606939319,-Infinity,-Infinity,-3083.9668536788663,-Infinity,-3031.7064480088916,-Infinity,-2828.6989564355913,-3076.9560165620846,-Infinity,-3010.4018798280863,-2968.2778471025144,-Infinity,-Infinity,-2812.065880730404	0.9960817657423182	-2183.4343685944104	8	true	17
27	15	15	100	0	0	0	0	0	-Infinity	-2263.088152690721	-769.4516113125004	-145.98279339257124	-2272.546964336376,-3076.544099618108,-3271.4143176823527,-Infinity,-Infinity,-3317.3893108999705,-Infinity,-Infinity,-2915.3894732538974,-Infinity,-2527.1411634804313,-Infinity,-Infinity,-Infinity,-3012.94047184718,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2963.2536496094103,-Infinity,-Infinity,-2717.970565156751,-Infinity,-2815.375039636199,-2968.957276272578,-2812.759132185708,-3121.5029065460067,-Infinity,-2864.29977006937,-2618.4449197516037,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2379.928470653217,-Infinity,-2629.399993504397,-Infinity,-2469.50258963679,-Infinity,-2734.925078840465,-Infinity,-2620.786614508369,-2712.6982078744973,-2758.639056567866,-Infinity,-Infinity,-2981.5200779184356,-Infinity,-Infinity,-Infinity,-2681.959548507531,-2710.9519372186155,-2516.0760378338878,-Infinity,-Infinity,-2763.4508485779925,-Infinity,-3274.060559364418,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2667.3900586447385,-Infinity,-Infinity,-3172.7942195697187,-2727.957041828694,-2420.3745425852803,-2718.95401463904,-Infinity,-2675.15769106636,-2908.2678239898373,-Infinity,-Infinity,-2322.7197002738803,-Infinity,-2566.1223762145883,-Infinity,-2263.088152690721,-Infinity,-2917.6450252917066,-3218.9672969728804,-2874.643296046743,-Infinity,-Infinity,-2764.6314635451536,-Infinity,-Infinity,-3059.5633063264504,-3013.2153955750055,-Infinity,-Infinity,-Infinity,-Infinity	0.9960817657423182	-2263.088152690721	5	true	12
28	15	15	100	0	0	0	0	0	-Infinity	-1166.8912961075944	-Infinity	-46.49304931962047	-Infinity,-2717.061062898248,-1820.4400072421479,-Infinity,-Infinity,-Infinity,-Infinity,-2671.0693637572535,-1890.202269940492,-Infinity,-Infinity,-Infinity,-2663.793038365317,-2325.385873935034,-Infinity,-3064.2573341334187,-2069.872351961667,-Infinity,-Infinity,-Infinity,-Infinity,-2566.2775769654804,-2724.343720492905,-2961.3220419278928,-Infinity,-2367.3019005904803,-Infinity,-2360.4794876660635,-2619.725316636674,-Infinity,-Infinity,-Infinity,-2811.9291429933855,-Infinity,-2161.8335990845203,-Infinity,-2223.7855226843058,-Infinity,-Infinity,-1763.775795437761,-2762.5441188184377,-2085.2605728440353,-2927.758040358658,-Infinity,-Infinity,-Infinity,-Infinity,-2918.690853742133,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-3019.837402492189,-Infinity,-3013.4534962802213,-Infinity,-1877.1966810790952,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2619.0186537306204,-Infinity,-2617.990334412864,-1819.760497434685,-2469.74326410592,-2616.4454697973347,-Infinity,-Infinity,-Infinity,-Infinity,-2563.639019334987,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2324.6547239502856,-2524.124455645616,-Infinity,-2622.0247312752654,-Infinity,-Infinity,-Infinity,-1166.8912961075944,-Infinity,-Infinity,-2665.319375448121,-Infinity,-Infinity	0.9960817657423182	-1166.8912961075944	6	true	8
29	15	15	100	0	0	0	0	0	-Infinity	-1764.7703577048978	-414.20496787464106	-48.17283466758373	-Infinity,-Infinity,-Infinity,-Infinity,-2061.3054074555566,-2916.8871709550795,-Infinity,-Infinity,-2713.0623363192,-2366.084078581606,-2470.371985088467,-Infinity,-Infinity,-2269.1950685990214,-2662.365487654227,-Infinity,-Infinity,-Infinity,-Infinity,-2216.1755037683765,-2733.949984719769,-Infinity,-Infinity,-2321.945023008682,-Infinity,-2417.6233128949484,-Infinity,-2715.052635684201,-Infinity,-Infinity,-Infinity,-2776.8769362160133,-2804.1368968534116,-2758.8335442972407,-2781.3988633521285,-Infinity,-Infinity,-Infinity,-2963.049288633073,-Infinity,-2473.3512784009104,-2422.1639977889895,-Infinity,-Infinity,-2666.94743924145,-Infinity,-2985.073743470906,-Infinity,-Infinity,-2838.084790084917,-2558.8933122393287,-2013.8077706451652,-2421.489311099115,-2432.1301866045255,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2167.837228841562,-2872.583556168314,-Infinity,-Infinity,-Infinity,-Infinity,-2517.0369137662537,-2867.9674152810458,-Infinity,-3013.4276449753693,-Infinity,-Infinity,-Infinity,-Infinity,-2618.0187660728916,-2375.631235648902,-2973.20812994334,-Infinity,-1764.7703577048978,-2280.5900455090186,-2966.303609396699,-Infinity,-Infinity,-Infinity,-2267.6787801392747,-Infinity,-2508.935639803115,-Infinity,-2729.765325614827,-2920.080142198406,-2818.1744824413026,-Infinity,-Infinity,-3075.1371855188977,-2518.7879826995168,-Infinity,-Infinity	0.9960817657423182	-1764.7703577048978	6	true	13
30	15	15	100	0	0	0	0	0	-Infinity	-1973.9559844305206	-669.0684168222614	-11.8198433435488	-3084.668009437736,-2520.5693817551987,-Infinity,-Infinity,-Infinity,-2725.3226352192314,-Infinity,-Infinity,-2764.2113337261776,-Infinity,-Infinity,-3182.3690676248857,-2618.438762618465,-Infinity,-Infinity,-Infinity,-Infinity,-2678.728803666486,-2058.3846679855483,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2782.5863565586124,-Infinity,-Infinity,-2828.88322162764,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2274.9685769572206,-2686.655334946605,-Infinity,-Infinity,-2572.55527200847,-Infinity,-Infinity,-Infinity,-2625.819140308291,-2710.132935351542,-Infinity,-Infinity,-1973.9559844305206,-Infinity,-Infinity,-Infinity,-Infinity,-3029.084197484063,-2759.0093963758413,-2326.4368074077865,-2371.8047592699863,-Infinity,-2026.5689921311869,-2527.6322707289555,-2332.007553425014,-Infinity,-Infinity,-Infinity,-Infinity,-2771.680780920671,-2627.269572556682,-2866.4308055166666,-Infinity,-2974.572987366976,-Infinity,-2019.6392998331069,-Infinity,-2466.032786807535,-Infinity,-2415.6481654354957,-Infinity,-2533.9952052630692,-2320.733639622967,-Infinity,-Infinity,-Infinity,-Infinity,-2418.9302549047884,-Infinity,-Infinity,-2359.070752805154,-Infinity,-2564.532992680151,-Infinity,-2269.936113902592,-2872.2008305254076,-3082.7956159269006,-2621.858028652508,-2826.3995938642724,-Infinity,-2079.2412065154213,-Infinity,-2369.542796291113,-3072.1830938497624,-Infinity	0.9959128826372083	-1973.9559844305206	7	true	12
31	15	15	100	0	0	0	0	0	-Infinity	-1612.3513668769233	-Infinity	0.6975631876951862	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1784.0302927986204,-Infinity,-2520.510614746541,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2615.2509037674718,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1779.559492285994,-Infinity,-Infinity,-Infinity,-2422.2432107276295,-Infinity,-2138.1092304890462,-Infinity,-2422.4802491411397,-3116.780402891278,-Infinity,-2016.3052412653517,-2617.931542856508,-2720.8242719169366,-Infinity,-Infinity,-2083.584952030154,-Infinity,-2476.1630079637334,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-3072.0390891183733,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2824.1802788988425,-Infinity,-Infinity,-2564.436498376403,-2366.8598231640462,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1612.3513668769233,-Infinity,-Infinity,-Infinity,-Infinity,-2732.6127517302493,-Infinity,-Infinity,-2335.739844363046,-2465.176178537664,-Infinity,-Infinity,-1970.3963261835374,-Infinity,-Infinity,-2325.654069928052,-2884.553220573695,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2771.853960249118,-Infinity,-Infinity,-Infinity,-2817.27458228707,-2586.231318624739,-Infinity,-Infinity,-Infinity,-Infinity	0.9957029850637148	-1612.3513668769233	3	true	9
32	16	16	100	0	0	0	0	0	-2314.5307776135883	-1327.7013335354382	27.847709767827414	2.890329401107932	-Infinity,-2462.9336066487517,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1779.2016947758282,-Infinity,-Infinity,-2368.391021780122,-Infinity,-Infinity,-1979.199228726027,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2842.220694392328,-Infinity,-2069.1386159507388,-2020.3735434260634,-Infinity,-Infinity,-Infinity,-Infinity,-2568.4337078078884,-Infinity,-2467.500928178434,-2368.2646453871207,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1915.5534903097346,-2082.5907553883285,-2169.9244635953078,-Infinity,-Infinity,-Infinity,-2673.033040935914,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2112.22718596886,-2567.5344098299474,-2579.673695619969,-Infinity,-2226.45201236518,-Infinity,-2783.229811406156,-Infinity,-3017.22210717834,-2918.5211516987033,-3016.279838883273,-1528.7429304077755,-2359.7306483169205,-2662.962351912191,-Infinity,-Infinity,-2768.86608658474,-3073.2821808725116,-Infinity,-Infinity,-Infinity,-Infinity,-1871.030309423238,-Infinity,-Infinity,-3117.8081847722606,-2425.849976748799,-2618.769174539603,-2169.0903824111238,-Infinity,-Infinity,-1819.2112167926412,-Infinity,-2632.807773629145,-2612.6980230262034,-Infinity,-Infinity,-2023.786619520822,-Infinity,-1327.7013335354382,-Infinity,-1975.3230304054362,-Infinity,-Infinity,-2816.84464472537,-Infinity,-Infinity,-Infinity,-2314.5307776135883	0.9954926853875903	-1327.7013335354382	6	true	15
