# solver: DSA
# max_time: 500
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 03cfd1ea-42ea-4cd1-b0d2-1af9fd5b638c
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	1	12	1	8	0	0	1.6267072328076784	1.6267072328076784	1.6267072328076784	1.6267072328076784	1.6267072328076784	0.9991239280309399	1.6267072328076784	0	true	3
25	6	6	2	48	2	16	0	0	1.8244428089257194	1.8244428089257194	1.8244428089257194	1.8244428089257194	1.8244428089257194,1.8244428089257194	0.9990443117099597	1.8244428089257194	0	true	0
26	6	6	1	24	1	8	0	0	2.002562820575969	2.002562820575969	2.002562820575969	2.002562820575969	2.002562820575969	0.9990443117099597	2.002562820575969	0	true	2
27	6	6	1	24	1	8	0	0	2.1622825139227633	2.1622825139227633	2.1622825139227633	2.1622825139227633	2.1622825139227633	0.9990443117099597	2.1622825139227633	0	true	1
28	6	6	1	24	1	8	0	0	2.3109843172075366	2.3109843172075366	2.3109843172075366	2.3109843172075366	2.3109843172075366	0.9990443117099597	2.3109843172075366	0	true	1
29	6	6	1	24	1	8	0	0	2.444989439046691	2.444989439046691	2.444989439046691	2.444989439046691	2.444989439046691	0.9990443117099597	2.444989439046691	0	true	0
30	6	6	1	24	1	8	0	0	2.563342407092872	2.563342407092872	2.563342407092872	2.563342407092872	2.563342407092872	0.99887542860485	2.563342407092872	0	true	1
31	6	6	1	24	1	8	0	0	2.66973506945075	2.66973506945075	2.66973506945075	2.66973506945075	2.66973506945075	0.99887542860485	2.66973506945075	0	true	4
32	7	7	1	24	1	8	0	0	2.7596669283869217	2.7596669283869217	2.7596669283869217	2.7596669283869217	2.7596669283869217	0.9987036576717526	2.7596669283869217	0	true	1
33	7	7	1	28	1	8	0	0	2.836578031116485	2.836578031116485	2.836578031116485	2.836578031116485	2.836578031116485	0.9986204224270916	2.836578031116485	0	true	0
34	8	8	1	28	1	8	0	0	2.8983588536016125	2.8983588536016125	2.8983588536016125	2.8983588536016125	2.8983588536016125	0.9984128643598162	2.8983588536016125	0	true	1
35	9	9	1	32	1	8	0	0	2.943805674272792	2.943805674272792	2.943805674272792	2.943805674272792	2.943805674272792	0.998144332911735	2.943805674272792	0	true	0
36	10	10	7	252	7	56	0	0	2.97981379520365	2.97981379520365	2.97981379520365	2.97981379520365	2.974770202851995,2.974770202851995,2.974770202851995,2.974770202851995,2.974770202851995,2.97981379520365,2.97981379520365	0.9981368757356651	2.97981379520365	0	true	0
37	11	11	3	120	3	24	0	0	2.999964534261894	2.999964534261894	2.999964534261894	2.999964534261894	2.9994236108902026,2.999964534261894,2.999964534261894	0.9979193747669632	2.999964534261894	0	true	1
38	11	11	6	264	6	48	0	0	2.999714113433139	2.999714113433139	2.999714113433139	2.999714113433139	1.9992443078550843,1.9992443078550843,1.9992443078550843,1.9992443078550843,2.999714113433139,2.999714113433139	0.9975972905593614	2.999714113433139	0	true	0
39	12	12	2	88	2	16	0	0	2.9997028150114646	2.9997028150114646	2.9997028150114646	2.9997028150114646	2.9997028150114646,2.9997028150114646	0.9975264473866985	2.9997028150114646	0	true	1
40	12	12	1	48	1	8	0	0	2.999557833716874	2.999557833716874	2.999557833716874	2.999557833716874	2.999557833716874	0.9975264473866985	2.999557833716874	0	true	1
