# solver: Greedy
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 048ebc59-5c4e-4d82-802e-9e5b8644e8b0
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	1	0	0	0	0	0	1.6419686365343984	1.6419686365343984	1.6419686365343984	1.6419686365343984	1.6419686365343984	0.9991239280309399	1.6419686365343984	0	true	3
25	6	6	1	0	0	0	0	0	1.9166377497189409	1.9166377497189409	1.9166377497189409	1.9166377497189409	1.9166377497189409	0.9990443117099597	1.9166377497189409	0	true	1
26	6	6	1	0	0	0	0	0	2.110713004825294	2.110713004825294	2.110713004825294	2.110713004825294	2.110713004825294	0.9990443117099597	2.110713004825294	0	true	1
27	6	6	1	0	0	0	0	0	2.2439078341090295	2.2439078341090295	2.2439078341090295	2.2439078341090295	2.2439078341090295	0.9990443117099597	2.2439078341090295	0	true	1
28	6	6	1	0	0	0	0	0	2.405021444597284	2.405021444597284	2.405021444597284	2.405021444597284	2.405021444597284	0.9990443117099597	2.405021444597284	0	true	1
29	6	6	1	0	0	0	0	0	2.545931671342405	2.545931671342405	2.545931671342405	2.545931671342405	2.545931671342405	0.9990443117099597	2.545931671342405	0	true	1
30	6	6	1	0	0	0	0	0	2.6698602317609246	2.6698602317609246	2.6698602317609246	2.6698602317609246	2.6698602317609246	0.99887542860485	2.6698602317609246	0	true	1
31	6	6	1	0	0	0	0	0	2.7724368099423553	2.7724368099423553	2.7724368099423553	2.7724368099423553	2.7724368099423553	0.99887542860485	2.7724368099423553	0	true	1
32	7	7	1	0	0	0	0	0	2.8576350855871278	2.8576350855871278	2.8576350855871278	2.8576350855871278	2.8576350855871278	0.9987036576717526	2.8576350855871278	0	true	0
33	7	7	1	0	0	0	0	0	2.921243821010684	2.921243821010684	2.921243821010684	2.921243821010684	2.921243821010684	0.9986204224270916	2.921243821010684	0	true	0
34	8	8	1	0	0	0	0	0	2.9646738078071144	2.9646738078071144	2.9646738078071144	2.9646738078071144	2.9646738078071144	0.9984128643598162	2.9646738078071144	0	true	0
35	9	9	1	0	0	0	0	0	2.9998260173207454	2.9998260173207454	2.9998260173207454	2.9998260173207454	2.9998260173207454	0.998144332911735	2.9998260173207454	0	true	0
36	10	10	1	0	0	0	0	0	-47.00046544686037	-47.00046544686037	2.9995344197282416	2.9995344197282416	-47.00046544686037	0.9981368757356651	-47.00046544686037	0	true	0
37	10	10	1	0	0	0	0	0	2.9999143038539113	2.9999143038539113	2.9999143038539113	2.9999143038539113	2.9999143038539113	0.9981368757356651	2.9999143038539113	0	true	1
38	11	11	1	0	0	0	0	0	-97.00035142500451	-97.00035142500451	2.999643738724937	2.999643738724937	-97.00035142500451	0.9975972905593614	-97.00035142500451	0	true	0
39	12	12	1	0	0	0	0	0	2.999856435583965	2.999856435583965	2.999856435583965	2.999856435583965	2.999856435583965	0.9975264473866985	2.999856435583965	0	true	1
40	12	12	1	0	0	0	0	0	2.9998072119168806	2.9998072119168806	2.9998072119168806	2.9998072119168806	2.9998072119168806	0.9975264473866985	2.9998072119168806	0	true	1
41	13	13	1	0	0	0	0	0	-97.0000536514929	-97.0000536514929	2.9993355484914717	2.9993355484914717	-97.0000536514929	0.9974928900943846	-97.0000536514929	0	true	0
42	14	14	1	0	0	0	0	0	2.9996464975530457	2.9996464975530457	2.9996464975530457	2.9996464975530457	2.9996464975530457	0.9973226179074579	2.9996464975530457	0	true	0
43	15	15	1	0	0	0	0	0	-97.0000638550787	-97.0000638550787	2.999088452185043	2.999088452185043	-97.0000638550787	0.9972257111733355	-97.0000638550787	0	true	0
44	15	15	1	0	0	0	0	0	-97.00032704923225	-97.00032704923225	2.9993626322184554	2.9993626322184554	-97.00032704923225	0.9972257111733355	-97.00032704923225	0	true	0
45	18	18	1	0	0	0	0	0	-97.00005456165925	-97.00005456165925	2.9994062983141694	2.9994062983141694	-97.00005456165925	0.996617074008817	-97.00005456165925	0	true	0
46	19	19	1	0	0	0	0	0	2.9998392069539688	2.9998392069539688	2.9998392069539688	2.9998392069539688	2.9998392069539688	0.9964878162902743	2.9998392069539688	0	true	0
47	19	19	1	0	0	0	0	0	-97.00013532967179	-97.00013532967179	2.9993267024850607	2.9993267024850607	-97.00013532967179	0.9964878162902743	-97.00013532967179	0	true	1
48	20	20	1	0	0	0	0	0	-97.00019494962457	-97.00019494962457	2.999600365790867	2.999600365790867	-97.00019494962457	0.9962677199318618	-97.00019494962457	0	true	1
49	21	21	1	0	0	0	0	0	-97.00010691671625	-97.00010691671625	2.9997337190830167	2.9997337190830167	-97.00010691671625	0.9960446260811077	-97.00010691671625	0	true	0
50	23	23	1	0	0	0	0	0	-97.00004577032522	-97.00004577032522	2.9991147691513413	2.9991147691513413	-97.00004577032522	0.9957427932242051	-97.00004577032522	0	true	0
51	24	24	1	0	0	0	0	0	-97.0002329646901	-97.0002329646901	2.9993731125976657	2.9993731125976657	-97.0002329646901	0.9954409603673023	-97.0002329646901	0	true	0
52	24	24	1	0	0	0	0	0	-97.00023950229519	-97.00023950229519	2.9743159944522013	2.9743159944522013	-97.00023950229519	0.9952250312543409	-97.00023950229519	0	true	0
53	26	26	1	0	0	0	0	0	2.9999976570909324	2.9999976570909324	2.9999976570909324	2.9999976570909324	2.9999976570909324	0.9949888873454648	2.9999976570909324	0	true	0
54	27	27	1	0	0	0	0	0	-97.00038247119332	-97.00038247119332	2.999223737354653	2.999223737354653	-97.00038247119332	0.9946297365862219	-97.00038247119332	0	true	0
55	28	28	1	0	0	0	0	0	2.999934753803772	2.999934753803772	2.999934753803772	2.999934753803772	2.999934753803772	0.994391947712036	2.999934753803772	0	true	0
56	32	32	1	0	0	0	0	0	2.9999249017337526	2.9999249017337526	2.9999249017337526	2.9999249017337526	2.9999249017337526	0.9937259560903926	2.9999249017337526	0	true	0
57	32	32	1	0	0	0	0	0	2.9998982848289506	2.9998982848289506	2.9998982848289506	2.9998982848289506	2.9998982848289506	0.9933990466512161	2.9998982848289506	0	true	1
58	33	33	1	0	0	0	0	0	-97.00009981637011	-97.00009981637011	2.9998905761140273	2.9998905761140273	-97.00009981637011	0.993356167888815	-97.00009981637011	0	true	0
59	36	36	1	0	0	0	0	0	-97.00011209395511	-97.00011209395511	2.99980932683404	2.99980932683404	-97.00011209395511	0.9926730320731678	-97.00011209395511	0	true	1
60	39	39	1	0	0	0	0	0	2.9998607993189714	2.9998607993189714	2.9998607993189714	2.9998607993189714	2.9998607993189714	0.9924157594987606	2.9998607993189714	0	true	1
61	40	40	1	0	0	0	0	0	-97.00053408976346	-97.00053408976346	2.9844649097742333	2.9844649097742333	-97.00053408976346	0.9920842807115023	-97.00053408976346	0	true	1
62	40	40	1	0	0	0	0	0	2.9993910486467286	2.9993910486467286	2.9993910486467286	2.9993910486467286	2.9993910486467286	0.9919190165300733	2.9993910486467286	0	true	0
63	43	43	1	0	0	0	0	0	2.999463716227905	2.999463716227905	2.999463716227905	2.999463716227905	2.999463716227905	0.9915562468471498	2.999463716227905	0	true	0
64	44	44	1	0	0	0	0	0	-97.00002672626218	-97.00002672626218	2.9997907629548926	2.9997907629548926	-97.00002672626218	0.9912858876598357	-97.00002672626218	0	true	0
65	47	47	1	0	0	0	0	0	-97.00004428306664	-97.00004428306664	1.9998677333902941	1.9998677333902941	-97.00004428306664	0.9906994392496032	-97.00004428306664	0	true	1
66	48	48	1	0	0	0	0	0	-97.00050612918383	-97.00050612918383	2.9851257875011163	2.9851257875011163	-97.00050612918383	0.9903594797523047	-97.00050612918383	0	true	0
67	50	50	1	0	0	0	0	0	-97.00012049609667	-97.00012049609667	2.9995268700138156	2.9995268700138156	-97.00012049609667	0.9895337802765005	-97.00012049609667	0	true	0
68	53	53	1	0	0	0	0	0	-97.00018076778414	-97.00018076778414	2.9995054850953586	2.9995054850953586	-97.00018076778414	0.988364027167516	-97.00018076778414	0	true	1
