# solver: DSA
# max_time: 500
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 05260cc2-5cd4-4913-bcdc-4183a5697357
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	1	483	2	16	0	0	1.6113263485948806	1.6113263485948806	1.6113263485948806	1.6113263485948806	1.6113263485948806	0.9991239280309399	1.6113263485948806	0	true	11
25	6	6	3	1449	6	48	0	0	1.8681174424155989	1.8681174424155989	1.8681174424155989	1.8681174424155989	1.810795255008294,1.8681174424155989,1.8681174424155989	0.9990443117099597	1.8681174424155989	0	true	5
26	6	6	1	483	2	16	0	0	2.0492671702481973	2.0492671702481973	2.0492671702481973	2.0492671702481973	2.0492671702481973	0.9990443117099597	2.0492671702481973	0	true	1
27	6	6	11	5313	22	176	0	0	2.211340827920864	2.211340827920864	2.211340827920864	2.211340827920864	2.2113405336389604,2.2113405336389604,2.2113405336389604,2.2113405336389604,2.2113405336389604,2.2113405336389604,2.2113405336389604,2.2113405336389604,2.2113405336389604,2.211340827920864,2.211340827920864	0.9990443117099597	2.211340827920864	0	true	4
28	6	6	13	6279	26	208	0	0	2.3602281783234216	2.3602281783234216	2.3602281783234216	2.3602281783234216	2.360227689759393,2.360227689759393,2.360227689759393,2.360227689759393,2.360227689759393,2.360227689759393,2.360227689759393,2.360227689759393,2.360227689759393,2.360227689759393,2.360227689759393,2.3602281783234216,2.3602281783234216	0.9990443117099597	2.3602281783234216	0	true	3
29	6	6	5	2415	10	80	0	0	2.493938995428037	2.493938995428037	2.493938995428037	2.493938995428037	2.4939387316038855,2.4939387316038855,2.4939387316038855,2.493938995428037,2.493938995428037	0.9990443117099597	2.493938995428037	0	true	2
30	6	6	1	483	2	16	0	0	2.581366414144406	2.581366414144406	2.581366414144406	2.581366414144406	2.581366414144406	0.99887542860485	2.581366414144406	0	true	1
31	6	6	4	1932	8	64	0	0	2.68687202762418	2.68687202762418	2.68687202762418	2.68687202762418	2.686871407301272,2.686871407301272,2.68687202762418,2.68687202762418	0.99887542860485	2.68687202762418	0	true	1
32	7	7	2	966	4	32	0	0	2.779239083269662	2.779239083269662	2.779239083269662	2.779239083269662	2.779239083269662,2.779239083269662	0.9987036576717526	2.779239083269662	0	true	1
33	7	7	1	483	2	16	0	0	2.8546163616351174	2.8546163616351174	2.8546163616351174	2.8546163616351174	2.8546163616351174	0.9986204224270916	2.8546163616351174	0	true	1
34	8	8	1	483	2	16	0	0	2.913971785037267	2.913971785037267	2.913971785037267	2.913971785037267	2.913971785037267	0.9984128643598162	2.913971785037267	0	true	0
35	9	9	1	484	2	16	0	0	2.956831943111956	2.956831943111956	2.956831943111956	2.956831943111956	2.956831943111956	0.998144332911735	2.956831943111956	0	true	1
36	10	10	21	10164	42	336	0	0	2.9999262906368713	2.9999262906368713	2.9999262906368713	2.9999262906368713	2.983223289693472,2.983223289693472,2.983223289693472,2.983223289693472,2.983223289693472,2.983223289693472,2.983223289693472,2.983223289693472,2.983223289693472,2.983223289693472,2.983223289693472,2.983223289693472,2.983223289693472,2.983223289693472,2.983223289693472,2.983223289693472,2.983223289693472,2.983223289693472,2.983223289693472,2.9999262906368713,2.9999262906368713	0.9981368757356651	2.9999262906368713	0	true	2
37	11	11	19	9215	38	304	0	0	2.9991501565326932	2.9991501565326932	2.9991501565326932	2.9991501565326932	-47.00084959329027,-47.00084959329027,-47.00084959329027,-47.00084959329027,-47.00084959329027,-47.00084959329027,-47.00084959329027,-47.00084959329027,-47.00084959329027,-47.00084959329027,-47.00084959329027,-47.00084959329027,-47.00084959329027,-47.00084959329027,-47.00084959329027,-47.00084959329027,-47.00084959329027,2.9991501565326932,2.9991501565326932	0.9979193747669632	2.9991501565326932	0	true	1
38	11	11	1	486	2	16	0	0	2.9999878335461543	2.9999878335461543	2.9999878335461543	2.9999878335461543	2.9999878335461543	0.9975972905593614	2.9999878335461543	0	true	1
39	12	12	1	486	2	16	0	0	2.9999822784917387	2.9999822784917387	2.9999822784917387	2.9999822784917387	2.9999822784917387	0.9975264473866985	2.9999822784917387	0	true	1
40	12	12	2	974	4	32	0	0	2.999797030853698	2.999797030853698	2.999797030853698	2.999797030853698	2.999797030853698,2.999797030853698	0.9975264473866985	2.999797030853698	0	true	0
41	13	13	1	487	2	16	0	0	2.9999223367553385	2.9999223367553385	2.9999223367553385	2.9999223367553385	2.9999223367553385	0.9974928900943846	2.9999223367553385	0	true	1
42	15	15	1	487	2	16	0	0	2.9992327798804306	2.9992327798804306	2.9992327798804306	2.9992327798804306	2.9992327798804306	0.9973089464179967	2.9992327798804306	0	true	0
43	15	15	1	488	2	16	0	0	2.9999024311467153	2.9999024311467153	2.9999024311467153	2.9999024311467153	2.9999024311467153	0.9972257111733355	2.9999024311467153	0	true	1
44	16	16	1	488	2	16	0	0	2.9995157174324807	2.9995157174324807	2.9995157174324807	2.9995157174324807	2.9995157174324807	0.9971411965112114	2.9995157174324807	0	true	1
45	18	18	1	489	2	16	0	0	2.999188068547893	2.999188068547893	2.999188068547893	2.999188068547893	2.999188068547893	0.996617074008817	2.999188068547893	0	true	1
46	19	19	1	490	2	16	0	0	2.999909652849035	2.999909652849035	2.999909652849035	2.999909652849035	2.999909652849035	0.9964878162902743	2.999909652849035	0	true	0
47	19	19	1	491	2	16	0	0	2.999954189230974	2.999954189230974	2.999954189230974	2.999954189230974	2.999954189230974	0.9964878162902743	2.999954189230974	0	true	1
48	20	20	1	492	2	16	0	0	2.9996491727213277	2.9996491727213277	2.9996491727213277	2.9996491727213277	2.9996491727213277	0.9960831548241349	2.9996491727213277	0	true	1
49	23	23	4	1968	8	64	0	0	2.9992667786937344	2.9992667786937344	2.9992667786937344	2.9992667786937344	-47.00073278004547,-47.00073278004547,2.9992667786937344,2.9992667786937344	0.9959128826372083	2.9992667786937344	0	true	1
50	23	23	1	493	2	16	0	0	2.9991994470036594	2.9991994470036594	2.9991994470036594	2.9991994470036594	2.9991994470036594	0.9955316893428181	2.9991994470036594	0	true	0
51	24	24	1	493	2	16	0	0	2.9991113322538756	2.9991113322538756	2.9991113322538756	2.9991113322538756	2.9991113322538756	0.9954409603673023	2.9991113322538756	0	true	1
52	24	24	3	1473	6	48	0	0	2.9993866216740988	2.9993866216740988	2.9993866216740988	2.9993866216740988	-47.00061335091569,2.9993866216740988,2.9993866216740988	0.9954083900541741	2.9993866216740988	0	true	1
53	27	27	1	490	2	16	0	0	2.9998742352661774	2.9998742352661774	2.9998742352661774	2.9998742352661774	2.9998742352661774	0.9949783595674838	2.9998742352661774	0	true	1
54	28	28	3	1467	6	48	0	0	2.9628409311595227	2.9628409311595227	2.9628409311595227	2.9628409311595227	1.99937146221033,2.9628409311595227,2.9628409311595227	0.9944607072619737	2.9628409311595227	0	true	5
55	29	29	1	489	2	16	0	0	2.9991272902683734	2.9991272902683734	2.9991272902683734	2.9991272902683734	2.9991272902683734	0.9943720619091834	2.9991272902683734	0	true	0
56	32	32	1	491	2	16	0	0	2.999751473055872	2.999751473055872	2.999751473055872	2.999751473055872	2.999751473055872	0.9937259560903926	2.999751473055872	0	true	0
57	33	33	1	491	2	16	0	0	2.9997564489614374	2.9997564489614374	2.9997564489614374	2.9997564489614374	2.9997564489614374	0.9934888617571154	2.9997564489614374	0	true	1
58	34	34	1	491	2	16	0	0	2.9996182844358565	2.9996182844358565	2.9996182844358565	2.9996182844358565	2.9996182844358565	0.9931386669201132	2.9996182844358565	0	true	0
59	38	38	1	492	2	16	0	0	2.9998539555685997	2.9998539555685997	2.9998539555685997	2.9998539555685997	2.9998539555685997	0.9924779026326753	2.9998539555685997	0	true	0
60	39	39	29	14326	58	464	0	0	2.9842465429203697	2.9842465429203697	2.9842465429203697	2.9842465429203697	-48.000733301600384,-48.000733301600384,-48.000733301600384,-48.000733301600384,1.9992641754571667,1.9992641754571667,1.9992641754571667,1.9992641754571667,1.9992641754571667,1.9992641754571667,1.9992641754571667,1.9992641754571667,1.9992641754571667,1.9992641754571667,1.9992641754571667,1.9992641754571667,1.9992641754571667,1.9992641754571667,1.9992641754571667,1.9992641754571667,1.9992641754571667,1.9992641754571667,1.9992641754571667,1.9992641754571667,1.9992641754571667,1.9992641754571667,1.9992641754571667,2.9842465429203697,2.9842465429203697	0.9921539906858406	2.9842465429203697	0	true	3
61	40	40	9	4464	18	144	0	0	2.999848095034867	2.999848095034867	2.999848095034867	2.999848095034867	-48.000643972470115,-48.000643972470115,1.999354999210668,1.999354999210668,1.999354999210668,1.999354999210668,1.999354999210668,2.999848095034867,2.999848095034867	0.9920842807115023	2.999848095034867	0	true	1
