# solver: Random
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 0759a41a-ac5c-4f59-8773-6c4c6ff75a80
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	100	0	0	0	0	0	1.6667942005766188	1.6667942005766188	1.6667942005766188	1.6667942005766188	1.6667942005766188,1.56279807256412,1.56279807256412,0.6244850916650493,1.6667942005766188,0.6244850916650493,1.6667942005766188,1.6667942005766188,0.6244850916650493,0.6244850916650493,1.56279807256412,1.6667942005766188,0.6244850916650493,0.6244850916650493,0.6244850916650493,0.6244850916650493,0.6244850916650493,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188,0.6244850916650493,1.56279807256412,0.6244850916650493,1.56279807256412,1.56279807256412,1.6667942005766188,1.56279807256412,1.56279807256412,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.56279807256412,1.6667942005766188,1.6667942005766188,1.56279807256412,1.6667942005766188,1.56279807256412,1.6667942005766188,1.56279807256412,1.56279807256412,1.56279807256412,0.6244850916650493,1.56279807256412,1.56279807256412,0.6244850916650493,0.6244850916650493,1.6667942005766188,1.6667942005766188,0.6244850916650493,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.56279807256412,1.56279807256412,1.6667942005766188,1.6667942005766188,0.6244850916650493,1.6667942005766188,0.6244850916650493,1.6667942005766188,1.6667942005766188,1.56279807256412,1.6667942005766188,0.6244850916650493,1.6667942005766188,1.6667942005766188,1.56279807256412,1.6667942005766188,1.6667942005766188,0.6244850916650493,0.6244850916650493,1.56279807256412,1.6667942005766188,1.56279807256412,1.6667942005766188,0.6244850916650493,1.6667942005766188,1.56279807256412,1.56279807256412,1.6667942005766188,1.56279807256412,1.56279807256412,0.6244850916650493,0.6244850916650493,1.6667942005766188,1.56279807256412,0.6244850916650493,1.56279807256412,1.56279807256412,1.6667942005766188,1.6667942005766188,1.6667942005766188,0.6244850916650493,1.56279807256412,1.56279807256412,1.6667942005766188,0.6244850916650493,1.6667942005766188,1.6667942005766188	0.9991239280309399	1.6667942005766188	0	true	3
25	6	6	100	0	0	0	0	0	1.8627187210410072	1.8627187210410072	1.8627187210410072	1.8627187210410072	1.766871400602882,0.7909912575937781,0.8240273198333019,0.8240273198333019,1.766871400602882,1.8101100936685908,0.8240273198333019,1.8627187210410072,0.7909912575937781,1.8101100936685908,0.7909912575937781,0.7909912575937781,1.8627187210410072,0.8240273198333019,1.766871400602882,1.8627187210410072,1.8627187210410072,1.766871400602882,1.8627187210410072,1.8101100936685908,0.8240273198333019,1.8101100936685908,1.8627187210410072,1.766871400602882,1.8101100936685908,1.766871400602882,0.8240273198333019,1.8101100936685908,1.8101100936685908,0.7909912575937781,0.7909912575937781,0.7909912575937781,1.8627187210410072,0.8240273198333019,1.766871400602882,1.8627187210410072,0.7909912575937781,1.8627187210410072,1.766871400602882,1.766871400602882,1.8627187210410072,1.766871400602882,1.766871400602882,0.8240273198333019,0.7909912575937781,0.8240273198333019,1.766871400602882,0.7909912575937781,0.7909912575937781,1.8627187210410072,1.766871400602882,0.8240273198333019,0.8240273198333019,1.8627187210410072,1.8101100936685908,1.8101100936685908,1.8627187210410072,1.8627187210410072,0.7909912575937781,1.766871400602882,1.766871400602882,1.8627187210410072,0.8240273198333019,1.766871400602882,1.8627187210410072,0.8240273198333019,1.8101100936685908,1.8627187210410072,0.8240273198333019,0.7909912575937781,0.7909912575937781,1.8627187210410072,0.8240273198333019,1.8627187210410072,1.766871400602882,1.8627187210410072,1.8627187210410072,1.8101100936685908,1.8627187210410072,1.8101100936685908,0.8240273198333019,0.7909912575937781,1.8101100936685908,1.8101100936685908,1.8627187210410072,0.7909912575937781,1.8101100936685908,1.8101100936685908,0.7909912575937781,1.766871400602882,1.8627187210410072,1.766871400602882,0.8240273198333019,1.8627187210410072,0.8240273198333019,0.7909912575937781,1.8101100936685908,1.766871400602882,1.766871400602882,1.8627187210410072	0.9990443117099597	1.8627187210410072	0	true	2
26	6	6	100	0	0	0	0	0	1.955770461029085	2.049061335178408	2.049061335178408	2.049061335178408	2.0425408613504357,1.994350285823581,1.955770461029085,1.0072589910203489,2.049061335178408,1.955770461029085,2.049061335178408,2.0425408613504357,2.0425408613504357,2.0425408613504357,0.977928903272635,0.977928903272635,1.0072589910203489,2.0425408613504357,2.049061335178408,1.994350285823581,2.049061335178408,2.049061335178408,1.994350285823581,1.955770461029085,1.994350285823581,2.049061335178408,1.994350285823581,1.0072589910203489,2.049061335178408,1.955770461029085,2.0425408613504357,2.0425408613504357,0.977928903272635,1.994350285823581,1.955770461029085,2.0425408613504357,0.977928903272635,2.049061335178408,1.0072589910203489,1.0072589910203489,1.0072589910203489,1.0072589910203489,2.049061335178408,2.049061335178408,2.0425408613504357,1.0072589910203489,0.977928903272635,2.049061335178408,0.977928903272635,1.0072589910203489,0.977928903272635,1.0072589910203489,1.0072589910203489,2.0425408613504357,0.977928903272635,2.0425408613504357,1.955770461029085,1.994350285823581,1.994350285823581,2.049061335178408,1.994350285823581,1.994350285823581,2.049061335178408,1.955770461029085,2.0425408613504357,2.0425408613504357,1.0072589910203489,2.049061335178408,1.0072589910203489,0.977928903272635,2.0425408613504357,2.049061335178408,1.994350285823581,0.977928903272635,1.0072589910203489,0.977928903272635,2.0425408613504357,0.977928903272635,1.955770461029085,1.0072589910203489,1.955770461029085,1.994350285823581,1.955770461029085,1.0072589910203489,2.0425408613504357,2.049061335178408,1.994350285823581,2.0425408613504357,2.0425408613504357,0.977928903272635,1.994350285823581,1.955770461029085,2.049061335178408,0.977928903272635,2.0425408613504357,2.049061335178408,0.977928903272635,1.0072589910203489,1.0072589910203489,1.994350285823581,1.0072589910203489,0.977928903272635,2.049061335178408,1.955770461029085	0.9990443117099597	2.049061335178408	0	true	1
27	6	6	100	0	0	0	0	0	2.1247421561601976	2.211289018678438	2.211289018678438	2.211289018678438	1.1452510133887908,1.1723866927269435,1.1452510133887908,2.211289018678438,1.1723866927269435,1.1723866927269435,1.1452510133887908,1.1723866927269435,2.204349732665356,2.211289018678438,2.204349732665356,2.1590373145101,1.1452510133887908,2.1590373145101,2.1590373145101,2.211289018678438,2.1247421561601976,1.1723866927269435,1.1452510133887908,1.1452510133887908,2.1247421561601976,2.1590373145101,1.1452510133887908,1.1452510133887908,2.1590373145101,2.1247421561601976,2.204349732665356,2.204349732665356,1.1452510133887908,2.211289018678438,1.1723866927269435,2.1590373145101,2.1590373145101,2.1247421561601976,2.1247421561601976,2.211289018678438,1.1723866927269435,2.1247421561601976,2.1590373145101,2.1590373145101,1.1452510133887908,1.1723866927269435,2.204349732665356,2.1590373145101,2.211289018678438,2.1590373145101,1.1723866927269435,2.211289018678438,2.211289018678438,1.1452510133887908,1.1452510133887908,2.1590373145101,2.211289018678438,2.204349732665356,2.1590373145101,2.211289018678438,2.204349732665356,2.204349732665356,2.204349732665356,1.1723866927269435,1.1452510133887908,2.211289018678438,2.204349732665356,2.204349732665356,1.1723866927269435,2.1247421561601976,2.1590373145101,1.1723866927269435,1.1723866927269435,1.1723866927269435,2.211289018678438,1.1723866927269435,2.204349732665356,2.204349732665356,1.1723866927269435,1.1452510133887908,2.204349732665356,2.1247421561601976,2.211289018678438,2.1247421561601976,1.1723866927269435,2.211289018678438,2.1590373145101,2.204349732665356,1.1723866927269435,1.1452510133887908,2.1247421561601976,2.204349732665356,2.1247421561601976,2.1590373145101,2.1247421561601976,2.1590373145101,1.1452510133887908,1.1723866927269435,2.1590373145101,1.1452510133887908,1.1452510133887908,2.1247421561601976,2.1247421561601976,2.1247421561601976	0.9990443117099597	2.211289018678438	0	true	1
28	6	6	100	0	0	0	0	0	2.282511172954702	2.360599250069711	2.360599250069711	2.360599250069711	2.354469853538052,2.354469853538052,2.282511172954702,2.354469853538052,1.3253831790622266,1.3253831790622266,2.354469853538052,1.3014699689145521,1.3014699689145521,2.360599250069711,2.354469853538052,2.282511172954702,1.3253831790622266,2.360599250069711,2.312646583779827,2.312646583779827,2.360599250069711,2.312646583779827,1.3014699689145521,2.360599250069711,1.3014699689145521,2.354469853538052,2.312646583779827,2.360599250069711,2.360599250069711,1.3253831790622266,2.312646583779827,2.282511172954702,1.3014699689145521,2.360599250069711,1.3253831790622266,2.282511172954702,2.354469853538052,2.282511172954702,1.3014699689145521,2.360599250069711,2.282511172954702,2.354469853538052,2.360599250069711,2.312646583779827,1.3014699689145521,1.3253831790622266,2.282511172954702,2.312646583779827,2.282511172954702,1.3253831790622266,2.282511172954702,1.3014699689145521,2.360599250069711,2.360599250069711,2.360599250069711,2.282511172954702,2.360599250069711,1.3253831790622266,2.360599250069711,2.282511172954702,2.282511172954702,1.3014699689145521,1.3014699689145521,2.282511172954702,2.312646583779827,1.3253831790622266,2.354469853538052,1.3014699689145521,1.3014699689145521,2.282511172954702,1.3014699689145521,2.360599250069711,2.312646583779827,2.360599250069711,2.282511172954702,2.282511172954702,2.312646583779827,1.3253831790622266,2.360599250069711,2.354469853538052,2.312646583779827,2.354469853538052,1.3253831790622266,1.3014699689145521,2.282511172954702,1.3253831790622266,2.354469853538052,2.312646583779827,1.3253831790622266,2.354469853538052,2.354469853538052,2.354469853538052,2.354469853538052,2.360599250069711,2.282511172954702,2.360599250069711,2.282511172954702,2.354469853538052,1.3014699689145521,2.282511172954702,1.3253831790622266,2.354469853538052,2.312646583779827,2.282511172954702	0.9990443117099597	2.360599250069711	0	true	1
29	6	6	100	0	0	0	0	0	1.4616977799883801	2.4933131312649843	2.4933131312649843	2.4933131312649843	2.4873320973902278,2.4238362111001686,2.449705752504927,2.4873320973902278,1.440735443025781,2.4238362111001686,2.4933131312649843,2.4238362111001686,1.4616977799883801,1.440735443025781,1.4616977799883801,2.4238362111001686,1.4616977799883801,2.449705752504927,2.449705752504927,2.4873320973902278,2.4873320973902278,1.4616977799883801,2.4238362111001686,1.440735443025781,2.4238362111001686,1.4616977799883801,2.4873320973902278,1.4616977799883801,1.440735443025781,2.449705752504927,2.4238362111001686,2.449705752504927,1.440735443025781,2.4933131312649843,2.4933131312649843,2.4933131312649843,2.4873320973902278,2.4873320973902278,2.449705752504927,2.449705752504927,2.4933131312649843,2.449705752504927,2.4873320973902278,2.4873320973902278,2.449705752504927,2.4873320973902278,2.4873320973902278,2.4238362111001686,2.4873320973902278,1.440735443025781,2.449705752504927,2.4933131312649843,2.4873320973902278,2.4238362111001686,1.440735443025781,2.4933131312649843,2.449705752504927,2.4933131312649843,2.4873320973902278,2.449705752504927,1.4616977799883801,2.4933131312649843,2.4933131312649843,2.4238362111001686,2.449705752504927,1.440735443025781,2.449705752504927,2.4238362111001686,1.4616977799883801,2.4933131312649843,2.449705752504927,2.4238362111001686,2.4873320973902278,2.4873320973902278,2.449705752504927,2.4873320973902278,1.440735443025781,2.4873320973902278,2.449705752504927,2.449705752504927,1.4616977799883801,1.440735443025781,2.4933131312649843,2.4873320973902278,2.449705752504927,1.440735443025781,2.449705752504927,1.4616977799883801,2.449705752504927,1.440735443025781,2.4238362111001686,1.440735443025781,2.4873320973902278,1.4616977799883801,2.4238362111001686,1.440735443025781,2.4933131312649843,2.4238362111001686,1.4616977799883801,2.4933131312649843,2.4238362111001686,1.440735443025781,1.4616977799883801,1.4616977799883801	0.9990443117099597	2.4933131312649843	0	true	1
30	6	6	100	0	0	0	0	0	2.539903659467464	2.58116326817181	2.58116326817181	2.58116326817181	2.517053925164968,2.58116326817181,1.5321175864163195,1.5321175864163195,0.5515774876870094,1.5321175864163195,1.5321175864163195,2.5745122702259033,2.517053925164968,1.5321175864163195,2.5745122702259033,2.5745122702259033,2.58116326817181,0.5515774876870094,2.539903659467464,2.539903659467464,2.517053925164968,2.5745122702259033,0.5515774876870094,2.517053925164968,2.58116326817181,2.517053925164968,2.517053925164968,2.5745122702259033,0.5515774876870094,2.517053925164968,2.539903659467464,0.5515774876870094,0.5515774876870094,2.5745122702259033,1.5321175864163195,1.5321175864163195,2.517053925164968,0.5515774876870094,1.5321175864163195,0.5515774876870094,1.5321175864163195,1.5321175864163195,2.5745122702259033,1.5321175864163195,0.5515774876870094,2.539903659467464,0.5515774876870094,2.5745122702259033,2.5745122702259033,2.517053925164968,0.5515774876870094,0.5515774876870094,1.5321175864163195,2.517053925164968,1.5321175864163195,1.5321175864163195,2.517053925164968,2.539903659467464,2.539903659467464,2.58116326817181,1.5321175864163195,0.5515774876870094,2.5745122702259033,2.5745122702259033,0.5515774876870094,2.58116326817181,1.5321175864163195,2.539903659467464,1.5321175864163195,0.5515774876870094,2.5745122702259033,2.539903659467464,2.539903659467464,0.5515774876870094,0.5515774876870094,2.539903659467464,1.5321175864163195,2.5745122702259033,1.5321175864163195,1.5321175864163195,2.517053925164968,2.58116326817181,2.5745122702259033,2.5745122702259033,2.517053925164968,1.5321175864163195,1.5321175864163195,2.517053925164968,2.539903659467464,2.539903659467464,2.517053925164968,2.539903659467464,2.5745122702259033,2.517053925164968,0.5515774876870094,2.539903659467464,0.5515774876870094,2.539903659467464,2.5745122702259033,1.5321175864163195,1.5321175864163195,2.517053925164968,0.5515774876870094,2.539903659467464	0.99887542860485	2.58116326817181	0	true	1
31	6	6	100	0	0	0	0	0	1.6449301982202356	2.687228812639011	2.687228812639011	2.687228812639011	2.651439882886077,0.6618465348871815,2.687228812639011,2.6317470916403543,2.6317470916403543,0.6618465348871815,1.6449301982202356,2.651439882886077,2.687228812639011,2.687228812639011,2.6821867794773704,2.651439882886077,2.687228812639011,2.651439882886077,0.6618465348871815,0.6618465348871815,0.6618465348871815,2.687228812639011,0.6618465348871815,1.6449301982202356,2.6821867794773704,2.6821867794773704,0.6618465348871815,2.6821867794773704,2.651439882886077,2.687228812639011,2.6317470916403543,2.6317470916403543,2.687228812639011,1.6449301982202356,0.6618465348871815,0.6618465348871815,2.687228812639011,2.651439882886077,2.687228812639011,2.6317470916403543,2.6821867794773704,2.6821867794773704,2.651439882886077,2.6317470916403543,1.6449301982202356,1.6449301982202356,2.6821867794773704,2.687228812639011,2.687228812639011,2.687228812639011,2.6317470916403543,2.687228812639011,1.6449301982202356,2.6821867794773704,2.651439882886077,2.651439882886077,2.6821867794773704,2.687228812639011,2.651439882886077,0.6618465348871815,2.651439882886077,2.651439882886077,2.651439882886077,0.6618465348871815,2.651439882886077,2.651439882886077,2.651439882886077,2.687228812639011,2.6821867794773704,0.6618465348871815,0.6618465348871815,2.6317470916403543,2.651439882886077,0.6618465348871815,2.651439882886077,0.6618465348871815,2.6317470916403543,0.6618465348871815,2.687228812639011,2.651439882886077,2.6821867794773704,2.651439882886077,2.6821867794773704,2.6821867794773704,0.6618465348871815,2.6821867794773704,2.687228812639011,2.6317470916403543,1.6449301982202356,2.6317470916403543,2.6821867794773704,1.6449301982202356,2.687228812639011,0.6618465348871815,2.651439882886077,0.6618465348871815,2.6821867794773704,0.6618465348871815,2.687228812639011,0.6618465348871815,2.6317470916403543,0.6618465348871815,2.687228812639011,1.6449301982202356	0.99887542860485	2.687228812639011	0	true	1
32	7	7	100	0	0	0	0	0	2.7312472976120854	2.779248762781856	2.779248762781856	2.779248762781856	2.7312472976120854,2.779248762781856,2.779248762781856,2.7486315578177027,0.7574375506278965,2.779248762781856,0.7574375506278965,2.7486315578177027,1.773986919629255,2.7486315578177027,2.7486315578177027,2.7312472976120854,2.779248762781856,2.779248762781856,1.773986919629255,1.7431220640206897,2.7486315578177027,2.7312472976120854,2.779248762781856,2.7486315578177027,2.7312472976120854,1.773986919629255,2.779248762781856,1.7431220640206897,1.7431220640206897,2.779248762781856,2.7312472976120854,1.773986919629255,2.779248762781856,1.773986919629255,0.7574375506278965,2.779248762781856,1.7431220640206897,0.7574375506278965,1.7431220640206897,1.7431220640206897,2.7312472976120854,2.7486315578177027,1.773986919629255,2.779248762781856,1.773986919629255,2.7312472976120854,2.779248762781856,1.7431220640206897,1.7431220640206897,2.7312472976120854,2.779248762781856,2.7486315578177027,1.7431220640206897,1.773986919629255,0.7574375506278965,1.773986919629255,2.779248762781856,0.7574375506278965,2.7486315578177027,1.773986919629255,0.7574375506278965,1.773986919629255,2.7312472976120854,2.7486315578177027,2.7486315578177027,1.7431220640206897,2.7312472976120854,1.7431220640206897,0.7574375506278965,1.7431220640206897,2.779248762781856,0.7574375506278965,2.7312472976120854,1.773986919629255,0.7574375506278965,2.7312472976120854,2.7312472976120854,1.7431220640206897,2.7312472976120854,1.773986919629255,1.7431220640206897,1.773986919629255,2.779248762781856,2.7312472976120854,2.7486315578177027,1.773986919629255,2.779248762781856,2.7486315578177027,0.7574375506278965,2.7312472976120854,1.7431220640206897,2.779248762781856,2.779248762781856,2.7486315578177027,2.7312472976120854,2.779248762781856,2.7486315578177027,2.779248762781856,2.779248762781856,1.7431220640206897,2.7312472976120854,2.7486315578177027,2.779248762781856,2.7312472976120854	0.9987036576717526	2.779248762781856	0	true	1
33	7	7	100	0	0	0	0	0	2.8552456448315566	2.8552456448315566	2.8552456448315566	2.8552456448315566	1.8162141557583824,2.8300689789507314,2.811818453646368,1.8258979310096888,1.8162141557583824,1.8258979310096888,1.8515586485714184,2.811818453646368,2.811818453646368,1.8162141557583824,1.8162141557583824,1.8258979310096888,1.8258979310096888,1.8162141557583824,1.8515586485714184,1.8162141557583824,0.8373251331402993,2.8300689789507314,2.8300689789507314,0.8373251331402993,0.8373251331402993,2.8300689789507314,0.8373251331402993,2.8300689789507314,2.8300689789507314,2.8552456448315566,1.8258979310096888,2.8300689789507314,2.811818453646368,1.8515586485714184,1.8258979310096888,2.811818453646368,1.8515586485714184,1.8515586485714184,2.8300689789507314,2.8300689789507314,2.811818453646368,2.8552456448315566,1.8515586485714184,1.8258979310096888,1.8162141557583824,2.8552456448315566,1.8258979310096888,1.8515586485714184,2.8300689789507314,2.8300689789507314,2.8300689789507314,1.8162141557583824,1.8515586485714184,1.8515586485714184,1.8258979310096888,1.8515586485714184,2.8552456448315566,2.8552456448315566,2.8552456448315566,2.8552456448315566,2.8552456448315566,2.811818453646368,1.8162141557583824,2.8300689789507314,2.8552456448315566,1.8258979310096888,1.8258979310096888,0.8373251331402993,2.8300689789507314,2.8300689789507314,2.8552456448315566,2.8552456448315566,0.8373251331402993,2.8300689789507314,2.8300689789507314,2.811818453646368,2.8300689789507314,2.811818453646368,1.8162141557583824,1.8162141557583824,0.8373251331402993,0.8373251331402993,2.8552456448315566,1.8515586485714184,0.8373251331402993,1.8162141557583824,0.8373251331402993,2.8300689789507314,0.8373251331402993,2.8300689789507314,2.8552456448315566,0.8373251331402993,1.8162141557583824,0.8373251331402993,1.8162141557583824,1.8162141557583824,2.811818453646368,1.8515586485714184,2.811818453646368,1.8162141557583824,0.8373251331402993,1.8162141557583824,1.8162141557583824,2.8552456448315566	0.9986204224270916	2.8552456448315566	0	true	1
