# solver: Greedy
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 076deb94-592d-4c17-8897-9c504c56808d
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	9	9	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9976279600236874	-Infinity	14	false	4
25	9	9	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9975483437027073	-Infinity	11	false	2
26	9	9	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9975483437027073	-Infinity	11	false	2
27	10	10	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.997245085209203	-Infinity	11	false	1
28	10	10	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9970255371725607	-Infinity	11	true	1
29	10	10	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9970255371725607	-Infinity	11	true	2
30	10	9	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9968655368801224	-Infinity	12	true	1
31	10	8	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9965435623368741	-Infinity	13	false	2
32	10	8	1	0	0	0	0	0	-Infinity	-Infinity	-85.44880071728532	-85.44880071728532	-Infinity	0.9963565846133597	-Infinity	13	false	3
33	11	10	1	0	0	0	0	0	-1480.3447764842374	-1480.3447764842374	-1.2207946508957512	-1.2207946508957512	-1480.3447764842374	0.9962855586667739	-1480.3447764842374	13	false	4
34	11	10	1	0	0	0	0	0	-Infinity	-Infinity	-26.34968608292844	-26.34968608292844	-Infinity	0.9962855586667739	-Infinity	13	true	3
35	11	9	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.995741952464158	-Infinity	15	false	1
36	13	11	1	0	0	0	0	0	-Infinity	-Infinity	-9.473111438392309	-9.473111438392309	-Infinity	0.9954350019374036	-Infinity	17	false	2
37	15	13	1	0	0	0	0	0	-Infinity	-Infinity	-50.47079317479353	-50.47079317479353	-Infinity	0.9951740007749613	-Infinity	16	true	2
38	17	15	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9944235310459786	-Infinity	18	true	1
39	20	18	1	0	0	0	0	0	-1305.4800721172157	-1305.4800721172157	59.55804721119131	59.55804721119131	-1305.4800721172157	0.993667943647144	-1305.4800721172157	16	true	4
40	20	16	1	0	0	0	0	0	-402.6098835900698	-402.6098835900698	67.44674681983399	67.44674681983399	-402.6098835900698	0.9937294653497196	-402.6098835900698	16	true	4
41	21	16	1	0	0	0	0	0	-708.0571187116568	-708.0571187116568	50.820355667025076	50.820355667025076	-708.0571187116568	0.9935631410795359	-708.0571187116568	10	true	4
42	21	16	1	0	0	0	0	0	-Infinity	-Infinity	26.791474675040163	26.791474675040163	-Infinity	0.9933728734254025	-Infinity	13	true	3
43	22	18	1	0	0	0	0	0	-Infinity	-Infinity	38.42792569033855	38.42792569033855	-Infinity	0.9933093046548862	-Infinity	10	true	2
44	22	18	1	0	0	0	0	0	-Infinity	-Infinity	-28.780680524838587	-28.780680524838587	-Infinity	0.9928364319605794	-Infinity	11	true	3
45	23	18	1	0	0	0	0	0	-Infinity	-Infinity	39.12157932654388	39.12157932654388	-Infinity	0.9926004708256264	-Infinity	10	true	3
46	23	19	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9922653365599022	-Infinity	10	true	1
47	23	18	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9922758643378831	-Infinity	12	true	2
48	25	19	1	0	0	0	0	0	-Infinity	-Infinity	35.26061445466659	35.26061445466659	-Infinity	0.9919151782776847	-Infinity	12	true	3
49	28	22	1	0	0	0	0	0	-325.2304949034713	-325.2304949034713	69.66292829607953	69.66292829607953	-325.2304949034713	0.991653153581272	-325.2304949034713	13	true	4
50	28	22	1	0	0	0	0	0	41.38173074340403	41.38173074340403	72.29994348041619	72.29994348041619	41.38173074340403	0.9914670531725897	41.38173074340403	11	true	5
51	30	23	1	0	0	0	0	0	-50.54528732956277	-50.54528732956277	69.56048657378815	69.56048657378815	-50.54528732956277	0.9912845716875883	-50.54528732956277	9	true	5
52	30	22	1	0	0	0	0	0	-61.99375067481641	-61.99375067481641	71.29844269744335	71.29844269744335	-61.99375067481641	0.9912052843596697	-61.99375067481641	11	true	4
53	30	21	1	0	0	0	0	0	-324.4411703002337	-324.4411703002337	69.52962285283444	69.52962285283444	-324.4411703002337	0.9912164701237745	-324.4411703002337	13	true	4
54	30	22	1	0	0	0	0	0	-Infinity	-Infinity	13.260748887815396	13.260748887815396	-Infinity	0.9907907531016733	-Infinity	16	true	2
55	30	21	1	0	0	0	0	0	-340.13105411143016	-340.13105411143016	63.36244284670797	63.36244284670797	-340.13105411143016	0.9908499718528159	-340.13105411143016	15	true	4
56	31	23	1	0	0	0	0	0	-415.8271172325518	-415.8271172325518	66.21207338034658	66.21207338034658	-415.8271172325518	0.990748312996688	-415.8271172325518	12	true	4
57	32	23	1	0	0	0	0	0	-787.0113810320647	-787.0113810320647	66.3619661056811	66.3619661056811	-787.0113810320647	0.9904159568945978	-787.0113810320647	16	true	5
58	34	24	1	0	0	0	0	0	-1289.6192790162058	-1289.6192790162058	65.33829365857986	65.33829365857986	-1289.6192790162058	0.9901658856127679	-1289.6192790162058	15	true	4
59	36	29	1	0	0	0	0	0	-653.7715785131852	-653.7715785131852	71.50484464959412	71.50484464959412	-653.7715785131852	0.9896545207302183	-653.7715785131852	9	true	5
60	38	30	1	0	0	0	0	0	-760.3378494622377	-760.3378494622377	72.81460896318029	72.81460896318029	-760.3378494622377	0.9891935648957091	-760.3378494622377	11	true	4
61	38	28	1	0	0	0	0	0	-Infinity	-Infinity	41.858829088385676	41.858829088385676	-Infinity	0.989092673690059	-Infinity	10	true	2
62	38	27	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9890450793604374	-Infinity	12	true	0
63	39	28	1	0	0	0	0	0	-Infinity	-Infinity	30.252311002267067	30.252311002267067	-Infinity	0.9888292233570452	-Infinity	12	true	2
64	39	31	1	0	0	0	0	0	-Infinity	-Infinity	15.615365617612763	15.615365617612763	-Infinity	0.9885874134565471	-Infinity	14	true	2
65	39	30	1	0	0	0	0	0	-357.1251691864918	-357.1251691864918	70.77059144888095	70.77059144888095	-357.1251691864918	0.9886361044297088	-357.1251691864918	9	true	5
66	41	30	1	0	0	0	0	0	-747.7229468978521	-747.7229468978521	66.78637627145736	66.78637627145736	-747.7229468978521	0.9882864944692611	-747.7229468978521	7	true	5
67	43	31	1	0	0	0	0	0	-Infinity	-Infinity	39.95745283246751	39.95745283246751	-Infinity	0.9880842002909758	-Infinity	11	true	2
68	43	30	1	0	0	0	0	0	-Infinity	-Infinity	26.280936669180655	26.280936669180655	-Infinity	0.9881263114028993	-Infinity	13	true	2
69	43	31	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.988090780152214	-Infinity	8	true	1
70	44	31	1	0	0	0	0	0	-Infinity	-Infinity	49.62552688055939	49.62552688055939	-Infinity	0.9878876817686664	-Infinity	8	true	2
71	44	31	1	0	0	0	0	0	-Infinity	-Infinity	55.02020223394241	55.02020223394241	-Infinity	0.9878702451363858	-Infinity	7	true	2
72	44	29	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9875663652115424	-Infinity	12	true	1
73	44	27	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9873778521870725	-Infinity	17	true	0
74	44	29	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9872446099970025	-Infinity	17	true	1
75	44	28	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9871362616152827	-Infinity	17	true	1
