# solver: DSA
# max_time: 500
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 08edd93b-f13f-44f6-bef5-766221c1a1e6
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	1	479	1	8	0	0	1.696569251261643	1.696569251261643	1.696569251261643	1.696569251261643	1.696569251261643	0.9991239280309399	1.696569251261643	0	true	5
25	6	6	7	3367	14	112	0	0	1.917069187343537	1.917069187343537	1.917069187343537	1.917069187343537	1.911345030672111,1.911345030672111,1.911345030672111,1.911345030672111,1.911345030672111,1.917069187343537,1.917069187343537	0.9990443117099597	1.917069187343537	0	true	5
26	6	6	1	481	2	16	0	0	2.110713004825294	2.110713004825294	2.110713004825294	2.110713004825294	2.110713004825294	0.9990443117099597	2.110713004825294	0	true	2
27	6	6	1	481	2	16	0	0	2.2439078341090295	2.2439078341090295	2.2439078341090295	2.2439078341090295	2.2439078341090295	0.9990443117099597	2.2439078341090295	0	true	1
28	6	6	2	962	4	32	0	0	2.405021444597284	2.405021444597284	2.405021444597284	2.405021444597284	2.405021444597284,2.405021444597284	0.9990443117099597	2.405021444597284	0	true	1
29	6	6	30	14430	60	480	0	0	2.545931671342405	2.545931671342405	2.545931671342405	2.545931671342405	2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.545931671342405,2.545931671342405	0.9990443117099597	2.545931671342405	0	true	5
30	6	6	2	962	4	32	0	0	2.6698602317609246	2.6698602317609246	2.6698602317609246	2.6698602317609246	2.6698602317609246,2.6698602317609246	0.99887542860485	2.6698602317609246	0	true	2
31	6	6	5	2405	10	80	0	0	2.7724368099423553	2.7724368099423553	2.7724368099423553	2.7724368099423553	2.7724353830130632,2.7724353830130632,2.7724353830130632,2.7724368099423553,2.7724368099423553	0.99887542860485	2.7724368099423553	0	true	1
32	7	7	1	481	2	16	0	0	2.8576350855871278	2.8576350855871278	2.8576350855871278	2.8576350855871278	2.8576350855871278	0.9987036576717526	2.8576350855871278	0	true	0
33	7	7	1	481	2	16	0	0	2.921243821010684	2.921243821010684	2.921243821010684	2.921243821010684	2.921243821010684	0.9986204224270916	2.921243821010684	0	true	1
34	8	8	1	481	2	16	0	0	2.9646753149496594	2.9646753149496594	2.9646753149496594	2.9646753149496594	2.9646753149496594	0.9984128643598162	2.9646753149496594	0	true	1
35	9	9	22	10604	44	352	0	0	2.9998262767742383	2.9998262767742383	2.9998262767742383	2.9998262767742383	-47.00017339626776,-47.00017339626776,-47.00017339626776,-47.00017339626776,-47.00017339626776,-47.00017339626776,-47.00017339626776,-47.00017339626776,-47.00017339626776,-47.00017339626776,-47.00017339626776,-47.00017339626776,-47.00017339626776,-47.00017339626776,-47.00017339626776,-47.00017339626776,-47.00017339626776,-47.00017339626776,-47.00017339626776,-47.00017339626776,2.9998262767742383,2.9998262767742383	0.998144332911735	2.9998262767742383	0	true	1
36	10	10	1	482	2	16	0	0	2.9996543171425847	2.9996543171425847	2.9996543171425847	2.9996543171425847	2.9996543171425847	0.9981368757356651	2.9996543171425847	0	true	0
37	10	10	2	966	4	32	0	0	2.9996948860965102	2.9996948860965102	2.9996948860965102	2.9996948860965102	2.9996948860965102,2.9996948860965102	0.9981368757356651	2.9996948860965102	0	true	1
38	11	11	13	6279	26	208	0	0	2.999273641810451	2.999273641810451	2.999273641810451	2.999273641810451	2.9992731958030308,2.9992731958030308,2.9992731958030308,2.9992731958030308,2.9992731958030308,2.9992731958030308,2.9992731958030308,2.9992731958030308,2.9992731958030308,2.9992731958030308,2.9992731958030308,2.999273641810451,2.999273641810451	0.9975972905593614	2.999273641810451	0	true	1
39	12	12	1	482	2	16	0	0	2.9993550930051587	2.9993550930051587	2.9993550930051587	2.9993550930051587	2.9993550930051587	0.9975264473866985	2.9993550930051587	0	true	1
40	12	12	7	3381	14	112	0	0	2.9996274750624603	2.9996274750624603	2.9996274750624603	2.9996274750624603	-47.00037393064811,-47.00037393064811,-47.00037393064811,-47.00037393064811,-47.00037393064811,2.9996274750624603,2.9996274750624603	0.9975264473866985	2.9996274750624603	0	true	0
41	13	13	12	5796	24	192	0	0	2.999082413098356	2.999082413098356	2.999082413098356	2.999082413098356	2.9990809682367474,2.9990809682367474,2.9990809682367474,2.9990809682367474,2.9990809682367474,2.9990809682367474,2.9990809682367474,2.9990809682367474,2.9990809682367474,2.9990809682367474,2.999082413098356,2.999082413098356	0.9974928900943846	2.999082413098356	0	true	1
