# solver: Greedy
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 0ad21dd7-ca41-49a4-9520-577f4decfff9
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	1	0	0	0	0	0	-97.0504780034962	-97.0504780034962	2.949376319320298	2.949376319320298	-97.0504780034962	0.9991239280309399	-97.0504780034962	0	true	2
25	6	6	1	0	0	0	0	0	-97.0304643368783	-97.0304643368783	2.9547327854080128	2.9547327854080128	-97.0304643368783	0.9990443117099597	-97.0304643368783	0	true	1
26	6	6	1	0	0	0	0	0	-97.0008253712749	-97.0008253712749	2.9813432415027847	2.9813432415027847	-97.0008253712749	0.9990443117099597	-97.0008253712749	0	true	1
27	6	6	1	0	0	0	0	0	-97.00056193930872	-97.00056193930872	2.9807593831027916	2.9807593831027916	-97.00056193930872	0.9990443117099597	-97.00056193930872	0	true	1
28	6	6	1	0	0	0	0	0	-97.00033823545274	-97.00033823545274	2.9812167881880387	2.9812167881880387	-97.00033823545274	0.9990443117099597	-97.00033823545274	0	true	1
29	6	6	1	0	0	0	0	0	-97.00060966542199	-97.00060966542199	2.980935401745063	2.980935401745063	-97.00060966542199	0.9990443117099597	-97.00060966542199	0	true	0
30	6	6	1	0	0	0	0	0	-97.00030775866101	-97.00030775866101	2.98097570850169	2.98097570850169	-97.00030775866101	0.99887542860485	-97.00030775866101	0	true	0
31	6	6	1	0	0	0	0	0	-97.0007413965389	-97.0007413965389	2.9807272764678174	2.9807272764678174	-97.0007413965389	0.99887542860485	-97.0007413965389	0	true	0
32	6	6	1	0	0	0	0	0	-97.00051552695967	-97.00051552695967	2.981248060559895	2.981248060559895	-97.00051552695967	0.9988428582917216	-97.00051552695967	0	true	0
33	7	7	1	0	0	0	0	0	-147.00071998062697	-147.00071998062697	2.9806289658395375	2.9806289658395375	-147.00071998062697	0.9987036576717526	-147.00071998062697	0	true	1
34	7	7	1	0	0	0	0	0	-147.00030150984725	-147.00030150984725	2.984656045339286	2.984656045339286	-147.00030150984725	0.9987036576717526	-147.00030150984725	0	true	1
35	8	8	1	0	0	0	0	0	2.985160464602936	2.985160464602936	2.985160464602936	2.985160464602936	2.985160464602936	0.9983518909790103	2.985160464602936	0	true	0
36	8	8	1	0	0	0	0	0	2.999401325993902	2.999401325993902	2.999401325993902	2.999401325993902	2.999401325993902	0.9983518909790103	2.999401325993902	0	true	0
37	10	10	1	0	0	0	0	0	2.9997021482245154	2.9997021482245154	2.9997021482245154	2.9997021482245154	2.9997021482245154	0.9981269328342386	2.9997021482245154	0	true	0
38	10	10	1	0	0	0	0	0	2.9999244664175597	2.9999244664175597	2.9999244664175597	2.9999244664175597	2.9999244664175597	0.9978048486266367	2.9999244664175597	0	true	1
39	10	10	1	0	0	0	0	0	2.999979530718615	2.999979530718615	2.999979530718615	2.999979530718615	2.999979530718615	0.9978048486266367	2.999979530718615	0	true	0
40	11	11	1	0	0	0	0	0	2.99963509295532	2.99963509295532	2.99963509295532	2.99963509295532	2.99963509295532	0.9975972905593614	2.99963509295532	0	true	0
41	11	11	1	0	0	0	0	0	2.999986132621851	2.999986132621851	2.999986132621851	2.999986132621851	2.999986132621851	0.9975972905593614	2.999986132621851	0	true	1
42	12	12	1	0	0	0	0	0	-47.000612199751835	-47.000612199751835	2.9993877790634804	2.9993877790634804	-47.000612199751835	0.9975264473866985	-47.000612199751835	0	true	0
43	13	13	1	0	0	0	0	0	2.999948871015066	2.999948871015066	2.999948871015066	2.999948871015066	2.999948871015066	0.9975127758972373	2.999948871015066	0	true	5
44	14	14	1	0	0	0	0	0	-97.00003269762344	-97.00003269762344	2.9997976390251635	2.9997976390251635	-97.00003269762344	0.9973835181786945	-97.00003269762344	0	true	5
45	14	14	1	0	0	0	0	0	-97.0002785214754	-97.0002785214754	2.9992562675664187	2.9992562675664187	-97.0002785214754	0.9973835181786945	-97.0002785214754	0	true	0
46	15	15	1	0	0	0	0	0	2.999459582190817	2.999459582190817	2.999459582190817	2.999459582190817	2.999459582190817	0.9972990035165704	2.999459582190817	0	true	1
47	17	17	1	0	0	0	0	0	-97.00062960221692	-97.00062960221692	2.999219075772084	2.999219075772084	-97.00062960221692	0.9970119387926686	-97.00062960221692	0	true	0
48	18	18	1	0	0	0	0	0	2.9999296715785864	2.9999296715785864	2.9999296715785864	2.9999296715785864	2.9999296715785864	0.9965166580153677	2.9999296715785864	0	true	1
49	20	20	1	0	0	0	0	0	-97.00006046312788	-97.00006046312788	2.999878280908855	2.999878280908855	-97.00006046312788	0.9960338789744191	-97.00006046312788	0	true	0
50	20	20	1	0	0	0	0	0	2.99984645574382	2.99984645574382	2.99984645574382	2.99984645574382	2.99984645574382	0.995822775093032	2.99984645574382	0	true	1
51	21	21	1	0	0	0	0	0	-97.00010349512553	-97.00010349512553	2.999440723042007	2.999440723042007	-97.00010349512553	0.9956069556444243	-97.00010349512553	0	true	0
52	21	21	1	0	0	0	0	0	-97.00020455094098	-97.00020455094098	2.999650145298947	2.999650145298947	-97.00020455094098	0.9956069556444243	-97.00020455094098	0	true	0
53	22	22	1	0	0	0	0	0	2.9998690495809837	2.9998690495809837	2.9998690495809837	2.9998690495809837	2.9998690495809837	0.99541306906661	2.9998690495809837	0	true	1
54	23	23	1	0	0	0	0	0	-97.00026005190638	-97.00026005190638	2.999397221809855	2.999397221809855	-97.00026005190638	0.9951109437714302	-97.00026005190638	0	true	0
55	25	25	1	0	0	0	0	0	-97.00038002519145	-97.00038002519145	2.9992303329230663	2.9992303329230663	-97.00038002519145	0.9947965726233906	-97.00038002519145	0	true	0
56	26	26	1	0	0	0	0	0	2.9998224253540586	2.9998224253540586	2.9998224253540586	2.9998224253540586	2.9998224253540586	0.994777929683216	2.9998224253540586	0	true	0
57	29	29	1	0	0	0	0	0	2.999640562433116	2.999640562433116	2.999640562433116	2.999640562433116	2.999640562433116	0.9945281142848786	2.999640562433116	0	true	0
58	30	30	1	0	0	0	0	0	-147.00013669438522	-147.00013669438522	2.9996930129412274	2.9996930129412274	-147.00013669438522	0.9943033754688151	-147.00013669438522	0	true	0
59	33	33	1	0	0	0	0	0	2.9996404403040025	2.9996404403040025	2.9996404403040025	2.9996404403040025	2.9996404403040025	0.9939963883872761	2.9996404403040025	0	true	0
60	34	34	1	0	0	0	0	0	-97.0000150632882	-97.0000150632882	2.9999271019016636	2.9999271019016636	-97.0000150632882	0.9934788823009042	-97.0000150632882	0	true	1
61	35	35	1	0	0	0	0	0	2.999803774836321	2.999803774836321	2.999803774836321	2.999803774836321	2.999803774836321	0.9930690300553437	2.999803774836321	0	true	1
62	37	37	1	0	0	0	0	0	-97.00003885830593	-97.00003885830593	2.999887159389772	2.999887159389772	-97.00003885830593	0.9924455516482553	-97.00003885830593	0	true	1
63	41	41	1	0	0	0	0	0	-97.0000666653378	-97.0000666653378	2.9994853171345306	2.9994853171345306	-97.0000666653378	0.9921783361724218	-97.0000666653378	0	true	0
64	45	45	1	0	0	0	0	0	-147.0001364179269	-147.0001364179269	2.9998232031075696	2.9998232031075696	-147.0001364179269	0.9915443665421364	-147.0001364179269	0	true	0
65	48	48	1	0	0	0	0	0	2.999939849984516	2.999939849984516	2.999939849984516	2.999939849984516	2.999939849984516	0.9910433832184294	2.999939849984516	0	true	1
66	49	49	1	0	0	0	0	0	-97.00020237744556	-97.00020237744556	2.9995794404725697	2.9995794404725697	-97.00020237744556	0.9907793845636457	-97.00020237744556	0	true	0
67	49	49	1	0	0	0	0	0	-97.000027956362	-97.000027956362	2.9996876610382586	2.9996876610382586	-97.000027956362	0.9907600836373472	-97.000027956362	0	true	1
68	49	49	1	0	0	0	0	0	-97.00006466646774	-97.00006466646774	2.9995206552125286	2.9995206552125286	-97.00006466646774	0.9904983148244274	-97.00006466646774	0	true	0
69	49	49	1	0	0	0	0	0	-97.00037466445289	-97.00037466445289	2.9995978564911883	2.9995978564911883	-97.00037466445289	0.9901147089142498	-97.00037466445289	0	true	1
70	51	51	1	0	0	0	0	0	-97.00003590493363	-97.00003590493363	2.9999628848787876	2.9999628848787876	-97.00003590493363	0.9889648416081182	-97.00003590493363	0	true	0
71	55	55	1	0	0	0	0	0	2.9998591435096094	2.9998591435096094	2.9998591435096094	2.9998591435096094	2.9998591435096094	0.9876701807999648	2.9998591435096094	0	true	0
72	57	57	1	0	0	0	0	0	2.999930286894399	2.999930286894399	2.999930286894399	2.999930286894399	2.999930286894399	0.9874168561423006	2.999930286894399	0	true	1
73	60	60	1	0	0	0	0	0	2.9996829621001897	2.9996829621001897	2.9996829621001897	2.9996829621001897	2.9996829621001897	0.9869971706596677	2.9996829621001897	0	true	1
74	62	61	1	0	0	0	0	0	2.999941290190162	2.999941290190162	2.999941290190162	2.999941290190162	2.999941290190162	0.986179367017349	2.999941290190162	0	true	0
