# solver: Closest
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 0b53260c-bbdf-4205-8323-4e69d62e830c
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	1	0	0	0	0	0	-7.066815818739809E-6	-7.066815818739809E-6	-6.953743778267973E-6	-6.953743778267973E-6	-7.066815818739809E-6	0.9991239280309399	-7.066815818739809E-6	0	true	37
25	6	6	1	0	0	0	0	0	-3.3519016674992025E-6	-3.3519016674992025E-6	-3.3519016674992025E-6	-3.3519016674992025E-6	-3.3519016674992025E-6	0.9990443117099597	-3.3519016674992025E-6	0	true	3
26	6	6	1	0	0	0	0	0	-2.856016925348922E-7	-2.856016925348922E-7	-2.856016925348922E-7	-2.856016925348922E-7	-2.856016925348922E-7	0.9990443117099597	-2.856016925348922E-7	0	true	37
27	6	6	1	0	0	0	0	0	-1.4002069243696313E-8	-1.4002069243696313E-8	1.1651746073194293E-7	1.1651746073194293E-7	-1.4002069243696313E-8	0.9990443117099597	-1.4002069243696313E-8	0	true	3
28	6	6	1	0	0	0	0	0	5.603916789421695E-7	5.603916789421695E-7	5.603916789421695E-7	5.603916789421695E-7	5.603916789421695E-7	0.9990443117099597	5.603916789421695E-7	0	true	3
29	6	6	1	0	0	0	0	0	8.021505283127662E-7	8.021505283127662E-7	8.021505283127662E-7	8.021505283127662E-7	8.021505283127662E-7	0.9990443117099597	8.021505283127662E-7	0	true	3
30	6	6	1	0	0	0	0	0	7.461580096748367E-7	7.461580096748367E-7	7.461580096748367E-7	7.461580096748367E-7	7.461580096748367E-7	0.99887542860485	7.461580096748367E-7	0	true	3
31	6	6	1	0	0	0	0	0	6.178405077058942E-7	6.178405077058942E-7	6.178405077058942E-7	6.178405077058942E-7	6.178405077058942E-7	0.99887542860485	6.178405077058942E-7	0	true	2
32	7	7	1	0	0	0	0	0	5.397862890459311E-7	5.397862890459311E-7	5.397862890459311E-7	5.397862890459311E-7	5.397862890459311E-7	0.9987036576717526	5.397862890459311E-7	0	true	3
33	7	7	1	0	0	0	0	0	9.911410190155362E-7	9.911410190155362E-7	9.911410190155362E-7	9.911410190155362E-7	9.911410190155362E-7	0.9986204224270916	9.911410190155362E-7	0	true	3
34	8	8	1	0	0	0	0	0	-2.9152967995480033E-7	-2.9152967995480033E-7	-2.9152967995480033E-7	-2.9152967995480033E-7	-2.9152967995480033E-7	0.9984128643598162	-2.9152967995480033E-7	0	true	3
35	9	9	1	0	0	0	0	0	9.223911180861253E-7	9.223911180861253E-7	9.223911180861253E-7	9.223911180861253E-7	9.223911180861253E-7	0.998144332911735	9.223911180861253E-7	0	true	3
36	10	10	1	0	0	0	0	0	-2.560941984717243E-7	-2.560941984717243E-7	-4.269675382837131E-8	-4.269675382837131E-8	-2.560941984717243E-7	0.9981368757356651	-2.560941984717243E-7	0	true	2
37	11	11	1	0	0	0	0	0	2.1222323074740302E-7	2.1222323074740302E-7	2.3635969168747142E-7	2.3635969168747142E-7	2.1222323074740302E-7	0.9979193747669632	2.1222323074740302E-7	0	true	2
38	11	11	1	0	0	0	0	0	7.004758376552541E-7	7.004758376552541E-7	7.004758376552541E-7	7.004758376552541E-7	7.004758376552541E-7	0.9975972905593614	7.004758376552541E-7	0	true	2
39	12	12	1	0	0	0	0	0	1.3457843655519452E-7	1.3457843655519452E-7	1.3457843655519452E-7	1.3457843655519452E-7	1.3457843655519452E-7	0.9975264473866985	1.3457843655519452E-7	0	true	2
40	12	12	1	0	0	0	0	0	2.2232614308623033E-7	2.2232614308623033E-7	2.2232614308623033E-7	2.2232614308623033E-7	2.2232614308623033E-7	0.9975264473866985	2.2232614308623033E-7	0	true	2
41	13	13	1	0	0	0	0	0	-1.3656547127635055E-6	-1.3656547127635055E-6	-5.985627836168435E-7	-5.985627836168435E-7	-1.3656547127635055E-6	0.9974928900943846	-1.3656547127635055E-6	0	true	2
42	15	15	1	0	0	0	0	0	-1.3935563132936592E-6	-1.3935563132936592E-6	-1.1941815782123597E-6	-1.1941815782123597E-6	-1.3935563132936592E-6	0.9973089464179967	-1.3935563132936592E-6	0	true	2
43	15	15	1	0	0	0	0	0	4.3622329369617686E-7	4.3622329369617686E-7	4.3622329369617686E-7	4.3622329369617686E-7	4.3622329369617686E-7	0.9972257111733355	4.3622329369617686E-7	0	true	2
44	17	17	1	0	0	0	0	0	4.859177368754039E-7	4.859177368754039E-7	8.445106569825612E-7	8.445106569825612E-7	4.859177368754039E-7	0.9970119387926686	4.859177368754039E-7	0	true	2
45	19	19	1	0	0	0	0	0	6.149072961188757E-7	6.149072961188757E-7	8.313721020862999E-7	8.313721020862999E-7	6.149072961188757E-7	0.9964878162902743	6.149072961188757E-7	0	true	3
46	19	19	1	0	0	0	0	0	7.05360883171573E-8	7.05360883171573E-8	7.05360883171573E-8	7.05360883171573E-8	7.05360883171573E-8	0.9964878162902743	7.05360883171573E-8	0	true	2
47	19	19	1	0	0	0	0	0	7.199234549674849E-7	7.199234549674849E-7	8.287818874651741E-7	8.287818874651741E-7	7.199234549674849E-7	0.9964878162902743	7.199234549674849E-7	0	true	2
48	20	20	1	0	0	0	0	0	2.8661631523280577E-7	2.8661631523280577E-7	3.615196801976301E-7	3.615196801976301E-7	2.8661631523280577E-7	0.9960831548241349	2.8661631523280577E-7	0	true	2
49	23	23	1	0	0	0	0	0	7.25891310180249E-8	7.25891310180249E-8	7.25891310180249E-8	7.25891310180249E-8	7.25891310180249E-8	0.9956969535242467	7.25891310180249E-8	0	true	2
50	23	23	1	0	0	0	0	0	2.0996766176757486E-7	2.0996766176757486E-7	7.661112180466385E-7	7.661112180466385E-7	2.0996766176757486E-7	0.9953483305429847	2.0996766176757486E-7	0	true	2
51	24	24	1	0	0	0	0	0	4.1435623388860726E-8	4.1435623388860726E-8	4.1435623388860726E-8	4.1435623388860726E-8	4.1435623388860726E-8	0.9952576015674691	4.1435623388860726E-8	0	true	2
