# solver: Greedy
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 0ca2b953-cf67-490c-9724-d9f13c3078a8
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	9	9	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9976279600236874	-Infinity	14	false	4
25	9	9	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9975483437027073	-Infinity	11	false	1
26	9	9	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9975483437027073	-Infinity	11	false	2
27	10	10	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.997245085209203	-Infinity	12	false	1
28	10	10	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9970255371725607	-Infinity	12	true	2
29	10	10	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9970255371725607	-Infinity	10	true	2
30	10	10	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9968566540674508	-Infinity	9	true	1
31	10	9	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9965346795242029	-Infinity	10	false	1
32	10	8	1	0	0	0	0	0	-Infinity	-Infinity	-228.05304613709626	-228.05304613709626	-Infinity	0.9963565846133597	-Infinity	13	false	2
33	10	8	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9962733493686989	-Infinity	15	false	1
34	11	10	1	0	0	0	0	0	-1246.498639146114	-1246.498639146114	-55.06825080611996	-55.06825080611996	-1246.498639146114	0.9961737010257273	-1246.498639146114	15	false	4
35	12	11	1	0	0	0	0	0	-Infinity	-Infinity	-32.073140411063676	-32.073140411063676	-Infinity	0.9958865266374715	-Infinity	13	false	2
36	12	12	1	0	0	0	0	0	-Infinity	-Infinity	23.446812145228442	23.446812145228442	-Infinity	0.9954047711304934	-Infinity	14	true	2
37	12	12	1	0	0	0	0	0	-Infinity	-Infinity	28.663310107083383	28.663310107083383	-Infinity	0.995372200817365	-Infinity	13	true	2
38	14	12	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9952024403974234	-Infinity	17	true	0
39	16	13	1	0	0	0	0	0	-Infinity	-Infinity	-41.899254762083515	-41.899254762083515	-Infinity	0.9946800359699081	-Infinity	17	true	2
40	17	14	1	0	0	0	0	0	-Infinity	-Infinity	9.424373868786965	9.424373868786965	-Infinity	0.994256219796609	-Infinity	17	true	2
41	20	16	1	0	0	0	0	0	-Infinity	-Infinity	-105.91597896810775	-105.91597896810775	-Infinity	0.9938982753452599	-Infinity	19	true	2
42	21	16	1	0	0	0	0	0	-Infinity	-Infinity	-1.391803503231941	-1.391803503231941	-Infinity	0.9933461153230346	-Infinity	18	true	3
43	22	16	1	0	0	0	0	0	-Infinity	-Infinity	5.875901326783254	5.875901326783254	-Infinity	0.9933628939691915	-Infinity	15	true	2
44	23	18	1	0	0	0	0	0	-1266.881507173895	-1266.881507173895	64.9060687979485	64.9060687979485	-1266.881507173895	0.9930271382721284	-1266.881507173895	10	true	4
45	23	19	1	0	0	0	0	0	-Infinity	-Infinity	32.94198976034001	32.94198976034001	-Infinity	0.9925855199187024	-Infinity	10	true	2
46	24	20	1	0	0	0	0	0	-Infinity	-Infinity	-64.04917873316263	-64.04917873316263	-Infinity	0.9925235961134953	-Infinity	10	true	2
47	24	17	1	0	0	0	0	0	-Infinity	-Infinity	27.280387692859343	27.280387692859343	-Infinity	0.9922917656692083	-Infinity	12	true	2
48	24	15	1	0	0	0	0	0	-Infinity	-Infinity	22.812351506938214	22.812351506938214	-Infinity	0.9923174271280367	-Infinity	14	true	3
49	24	15	1	0	0	0	0	0	-324.1136516637125	-324.1136516637125	4.871408772164706	4.871408772164706	-324.1136516637125	0.9923555903232173	-324.1136516637125	13	true	4
50	24	16	1	0	0	0	0	0	-Infinity	-Infinity	43.30196160803264	43.30196160803264	-Infinity	0.9923411146284935	-Infinity	10	true	3
51	25	17	1	0	0	0	0	0	-Infinity	-Infinity	31.661160910943764	31.661160910943764	-Infinity	0.9920891790526463	-Infinity	12	true	3
52	26	17	1	0	0	0	0	0	-Infinity	-Infinity	42.08805998756439	42.08805998756439	-Infinity	0.9919526103771722	-Infinity	10	true	2
53	26	17	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9917559821905089	-Infinity	13	true	0
54	27	17	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9917313808204357	-Infinity	16	true	1
55	28	18	1	0	0	0	0	0	-330.3621810792128	-330.3621810792128	54.544658088425024	54.544658088425024	-330.3621810792128	0.9915844305861194	-330.3621810792128	15	true	4
56	28	18	1	0	0	0	0	0	-Infinity	-Infinity	39.03648637732918	39.03648637732918	-Infinity	0.991609105065762	-Infinity	10	true	3
57	28	16	1	0	0	0	0	0	-Infinity	-Infinity	-26.82504091764956	-26.82504091764956	-Infinity	0.9911873725151885	-Infinity	19	true	2
58	28	16	1	0	0	0	0	0	-Infinity	-Infinity	-3.8316293957731347	-3.8316293957731347	-Infinity	0.9911873725151885	-Infinity	16	true	2
59	29	16	1	0	0	0	0	0	-Infinity	-Infinity	-23.332043371122666	-23.332043371122666	-Infinity	0.9911059284549756	-Infinity	18	true	2
60	31	18	1	0	0	0	0	0	-Infinity	-Infinity	-22.964185102134493	-22.964185102134493	-Infinity	0.9904707159620123	-Infinity	19	true	2
61	31	19	1	0	0	0	0	0	-Infinity	-Infinity	3.636208198040727	3.636208198040727	-Infinity	0.9904318947807079	-Infinity	16	true	2
62	31	17	1	0	0	0	0	0	-Infinity	-Infinity	10.06510452051296	10.06510452051296	-Infinity	0.990465452073022	-Infinity	17	true	2
63	31	17	1	0	0	0	0	0	-Infinity	-Infinity	-12.397262763186518	-12.397262763186518	-Infinity	0.9902433817562382	-Infinity	19	true	2
