# solver: DSA
# max_time: 500
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 0dc4927b-7b06-4148-8152-833d2940ec45
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-nopolice-analisi2.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	23	23	7	728	4200	33600	0	0	70.1418247823645	70.1418247823645	70.1418247823645	70.1418247823645	60.320386379133645,67.59996450510354,66.87099619607869,68.37808240312992,68.37808240312992,70.1418247823645,70.1418247823645	0.9964998428144262	70.1418247823645	0	true	17
25	25	24	16	1920	9600	76800	0	0	72.14866139585205	72.14866139585205	72.14866139585205	72.14866139585205	63.23000666759806,65.19937698678388,65.19937698678388,65.20800395945442,66.20467947589081,66.20467947589081,66.20467947589081,66.20467947589081,68.19436071586897,68.19436071586897,68.19436071586897,68.19436071586897,68.19436071586897,70.18004760687107,72.14866139585205,72.14866139585205	0.9963247819507096	72.14866139585205	0	true	12
26	25	24	13	1612	7800	62400	0	0	72.97050033388382	72.97050033388382	72.97050033388382	72.97050033388382	58.968953551282766,58.968953551282766,62.96574036696927,62.96574036696927,68.94663229403227,68.94663229403227,68.94663229403227,68.94663229403227,68.94663229403227,68.94682670392183,70.97484701628103,72.97050033388382,72.97050033388382	0.9963257689298954	72.97050033388382	0	true	7
27	26	24	13	1612	7800	62400	0	0	73.44385332599035	73.44385332599035	73.44385332599035	73.44385332599035	61.414122770677835,61.414122770677835,63.41358642121318,68.40859623494384,68.41462398803863,69.40458718074065,69.44130392488863,71.42121271907811,71.42121271907811,71.43214939988712,71.44210096804609,73.44385332599035,73.44385332599035	0.9959871985144135	73.44385332599035	0	true	6
28	26	24	23	2852	13800	110400	0	0	73.73004498605145	73.73004498605145	73.73004498605145	73.73004498605145	63.76089135267941,65.7472566426655,65.74758472078614,65.74774273720494,65.74774273720494,69.74554681611028,69.74554681611028,69.74554681611028,69.74554681611028,71.73465857326,71.73465857326,71.73465857326,71.73465857326,71.73465857326,71.73465857326,71.73465857326,71.73465857326,71.73465857326,71.73465857326,71.73504441966134,71.73504441966134,73.73004498605145,73.73004498605145	0.9957256490302016	73.73004498605145	0	true	8
29	29	25	20	2480	12000	96000	0	0	73.81568102565325	73.81568102565325	73.81568102565325	73.81568102565325	71.78730172419971,71.78747542615005,71.78784271889668,71.81008710403884,71.81008710403884,73.8097659457094,73.8097659457094,73.8097659457094,73.81076398273632,73.81076398273632,73.81076398273632,73.81076398273632,73.81076398273632,73.81076398273632,73.8156489831159,73.8156489831159,73.8156489831159,73.8156489831159,73.81568102565325,73.81568102565325	0.9953543986372375	73.81568102565325	0	true	7
30	30	27	23	2944	13800	110400	0	0	73.71492321458624	73.71492321458624	73.71492321458624	73.71492321458624	68.80982729421882,68.80982729421882,70.80970895339833,70.80970895339833,71.80990555038953,71.80990555038953,71.80990555038953,71.80990555038953,71.80990555038953,71.80990555038953,71.80990555038953,71.80990555038953,71.80990555038953,71.80990555038953,71.80990555038953,71.80990555038953,72.78862029347863,72.78862029347863,72.78862029347863,72.78862029347863,72.78862029347863,73.71492321458624,73.71492321458624	0.9950819923819829	73.71492321458624	0	true	7
31	30	26	11	1496	6600	52800	0	0	71.81736400980762	71.81736400980762	71.81736400980762	71.81736400980762	66.88385487725795,68.83326640875346,68.83326640875346,68.83326640875346,68.83326640875346,68.83326640875346,68.8338231669341,68.8338231669341,68.8338231669341,71.81736400980762,71.81736400980762	0.9944367273232395	71.81736400980762	0	true	5
32	32	29	31	4092	18600	148800	0	0	69.42273107414279	69.42273107414279	69.42273107414279	69.42273107414279	52.68161504199561,60.833063291120496,61.82662579449823,63.55005610502326,67.14445598126115,67.14479222867305,67.14479222867305,67.14479222867305,68.12757505485997,68.12757505485997,68.12757505485997,68.12757505485997,68.12757505485997,68.12757505485997,68.12757505485997,68.12757505485997,68.12757505485997,68.12757505485997,68.12839392330167,68.12839392330167,68.12839392330167,68.12839392330167,68.12839392330167,68.12839392330167,68.12839392330167,68.12839392330167,68.12839392330167,68.12839392330167,68.12839392330167,69.42273107414279,69.42273107414279	0.9939390339301512	69.42273107414279	0	true	7
33	33	30	19	2736	11400	91200	0	0	72.62947502017225	72.62947502017225	72.62947502017225	72.62947502017225	63.558549031189315,59.7809521896343,61.56974845448618,65.61737262513508,66.60004237945479,66.60004237945479,69.70814355334795,69.70814355334795,69.70814355334795,72.62912549161422,72.62912549161422,72.62912549161422,72.62912549161422,72.62912549161422,72.62912549161422,72.62912549161422,72.62912549161422,72.62947502017225,72.62947502017225	0.9937029996856287	72.62947502017225	0	true	7
34	34	29	16	2368	9600	76800	0	0	71.08270745172624	71.08270745172624	71.08270745172624	71.08270745172624	58.33293217862189,60.14179020895105,65.09993016452883,65.09993016452883,66.96537700791353,66.96537700791353,68.27587176577246,69.54721980705837,69.54721980705837,69.54721980705837,69.54721980705837,69.54721980705837,69.54721980705837,69.54721980705837,71.08270745172624,71.08270745172624	0.993435162778456	71.08270745172624	0	true	6
35	36	30	26	3744	15600	124800	0	0	71.03391558587542	71.03391558587542	71.03391558587542	71.03391558587542	50.196114666511775,50.196114666511775,53.06369873472064,56.904399979629616,59.91748581139427,62.944898754109104,61.5049900294829,63.47679875860209,66.7356613667561,68.51878841465843,69.43120734895024,70.41242725966981,70.41242725966981,70.41242725966981,71.03340729225273,71.03340729225273,71.03340729225273,71.03340729225273,71.03340729225273,71.03340729225273,71.03340729225273,71.03340729225273,71.03340729225273,71.03340729225273,71.03391558587542,71.03391558587542	0.9933332114840511	71.03391558587542	0	true	7
36	37	32	14	2072	8400	67200	0	0	72.05515152729143	72.05515152729143	72.05515152729143	72.05515152729143	66.1623776518619,66.1623776518619,66.1623776518619,69.13611743996987,70.65582586107911,70.65582586107911,69.56000657337808,69.56000657337808,69.56000657337808,70.17849850719983,70.17849850719983,70.61013298158791,72.05515152729143,72.05515152729143	0.993251145992499	72.05515152729143	0	true	5
37	39	33	26	4056	15600	124800	0	0	70.88642161083206	70.88642161083206	70.88642161083206	70.88642161083206	54.28929454193738,58.77609728513274,58.77609728513274,62.26957807041284,63.242240324318665,68.23261426770794,69.46061124383752,69.46061124383752,70.88564345104258,70.88564345104258,70.88564345104258,70.88564345104258,70.88578892139988,70.88578892139988,70.88578892139988,70.88578892139988,70.88578892139988,70.88578892139988,70.88578892139988,70.88578892139988,70.88578892139988,70.88578892139988,70.88578892139988,70.88578892139988,70.88642161083206,70.88642161083206	0.9928391370146439	70.88642161083206	0	true	8
38	41	35	19	3040	11400	91200	0	0	70.96672759540863	70.96672759540863	70.96672759540863	70.96672759540863	57.58240417867424,57.58279578021636,57.58279578021636,60.69245486631141,60.24215880993863,63.51531907531073,65.28394440557824,65.28394440557824,66.79712240534542,66.79712240534542,66.79712240534542,69.72162902879872,69.72162902879872,69.72162902879872,70.96620388877838,70.96620388877838,70.96620388877838,70.96672759540863,70.96672759540863	0.9924405070879728	70.96672759540863	0	true	7
39	42	34	14	2352	8400	67200	0	0	67.8642542866654	67.8642542866654	67.8642542866654	67.8642542866654	32.86228137153361,46.4557081252636,50.73332606674895,57.51283333915367,62.15521653641558,63.49257156611566,66.2929687918743,66.2929687918743,66.2929687918743,67.85026898969663,67.85026898969663,67.85026898969663,67.8642542866654,67.8642542866654	0.9921206892770196	67.8642542866654	0	true	6
