# solver: BinaryMaxSum
# max_time: 1000
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 0e1d5234-560b-40f0-85a0-e7ff4e53c6bd
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	12	12	100	51612	349272	2794176	0	0	-593.5424913851668	-586.0423368991485	-0.7882454804073404	-3.56898383029864	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-595.1109822488362,-595.1109822488362,-595.1109822488362,-595.1109822488362,-595.1109822488362,-595.1109822488362,-595.1109822488362,-595.1109822488362,-595.1110133278238,-595.1110166693587,-595.1110166693587,-595.1110166693587,-601.1558017316638,-601.6546612365872,-601.6546612365872,-601.6546612365872,-601.6546612365872,-601.6546612365872,-601.6546740104878,-601.6546740104878,-601.6546740104878,-601.6546740104878,-601.6546740104878,-601.6546740104878,-601.6546740104878,-601.654720205021,-601.654720205021,-601.654720205021,-601.654720205021,-601.654720205021,-601.654720205021,-601.654720205021,-601.654720205021,-708.1176833987537,-708.1176833987537,-710.9015739650351,-716.5843852849496,-720.7561208334504,-725.934308217057,-725.934308217057,-725.934308217057,-725.934308217057,-725.934308217057,-725.934308217057,-725.934308217057,-725.934308217057,-725.934308217057,-725.934308217057,-742.2586340480977,-751.7626043053549,-751.7626043053549,-751.7626043053549,-951.7626164700853,-951.7626164700853,-951.7626164700853,-625.9343203817875,-625.9343289145148,-602.0412172461603,-602.0412172461603,-602.0412172461603,-602.0412172461603,-602.0412172461603,-602.0412172461603,-602.0412221323182,-602.0412221323182,-597.9527066528797,-597.9527066528797,-597.9527195890478,-593.1107541932059,-586.4154282202309,-586.4154282202309,-586.0423368991485,-590.1730033723227,-593.5424807286201,-593.5424807286201,-593.5424807286201,-593.5424807286201,-593.5424807286201,-593.5424807286201,-593.5424807286201,-593.5424807286201,-593.5424807286201,-593.5424807286201,-593.5424807286201,-593.5424913851668,-593.5424913851668	0.9971783361724216	-586.0423368991485	13	true	409
25	13	13	100	54006	384912	3079296	0	0	-388.5051530840803	-285.6132995902682	52.83375676314452	44.05548296930188	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-285.6132995902682,-285.6132995902682,-285.61331143644696,-288.3117246771546,-299.5484897660804,-299.5484897660804,-299.5484897660804,-299.54850232644867,-299.54851386513997,-299.54851386513997,-299.548516927759,-299.548516927759,-299.548516927759,-299.548516927759,-299.548516927759,-299.548516927759,-299.548516927759,-299.548516927759,-299.548516927759,-299.548516927759,-299.54854136477803,-299.54854136477803,-299.54854136477803,-299.54854136477803,-299.54854136477803,-299.54854136477803,-405.9691581328553,-506.94322134218925,-714.2073226006742,-718.3100695498632,-723.4348533431502,-723.4348533431502,-723.4348533431502,-723.4348533431502,-723.4348533431502,-723.4348525519366,-723.4348525519366,-830.3888931357944,-939.5870639051301,-1049.0362437300125,-1049.0362437300125,-1049.0362437300125,-1049.0362437300125,-1049.0362437300125,-1049.0362437300125,-1049.0362437300125,-1049.0362437300125,-1049.0362437300125,-1049.0362437300125,-733.3316584549493,-409.80708996975585,-393.9635497953474,-388.5051548865686,-388.5051548865686,-388.5051548865686,-388.5051548865686,-388.5051548865686,-388.5051548865686,-388.5051548865686,-388.5051548865686,-388.5051548865686,-388.5051548865686,-388.5051548865686,-388.5051548865686,-388.5051548865686,-388.5051548865686,-388.5051548865686,-388.5051548865686,-388.5051548865686,-388.5051548865686,-388.5051548865686,-388.5051548865686,-388.5051530840803,-388.5051530840803,-388.5051530840803,-388.5051530840803,-388.5051530840803,-388.5051530840803,-388.5051530840803	0.9970229052280654	-285.6132995902682	13	true	526
26	13	13	100	55111	400752	3206016	0	0	-674.3693467992927	-580.7219562435351	47.54535846063522	-4.193380548675698	-580.7219562435351,-580.7219562435351,-580.7219923930004,-580.7220235153258,-580.7220235153258,-580.7220235153258,-580.7220268227676,-580.7220268227676,-580.7220268227676,-580.7220268227676,-580.7220268227676,-580.7220268227676,-580.722030059589,-580.722030059589,-580.7220319162062,-580.7220319162062,-580.7220319162062,-580.7220319162062,-580.7220351171931,-580.7220351171931,-580.7220351171931,-580.7220351171931,-590.9771884495929,-597.7346752916633,-597.7346752916633,-597.7346752916633,-597.7346752916633,-597.7346916781999,-597.7346916781999,-597.7346916781999,-597.7346916781999,-597.7346916781999,-597.7347481160218,-597.7347481160218,-597.7347481160218,-597.7347481160218,-597.7347481160218,-597.7347481160218,-597.7347481160218,-597.7347481160218,-597.7347481160218,-597.7347481160218,-597.7347481160218,-597.7347481160218,-597.7347481160218,-597.7347481160218,-704.1272492812733,-805.0271191183726,-1008.9452777863785,-1216.1497863031943,-1321.2113556192442,-1321.2113556192442,-1321.2113645372017,-1321.2113645372017,-1321.2113645372017,-1328.0668336895403,-1337.1922557327,-1337.1922557327,-1346.5823552001966,-1346.5823552001966,-1346.5823552001966,-1346.5823552001966,-1346.5823552001966,-1346.5823552001966,-1346.5823552001966,-1346.5823552001966,-1346.5823552001966,-1346.5823552001966,-1346.5823552001966,-1346.5823859129985,-1346.5823859129985,-1346.5823859129985,-1346.5823859129985,-1021.2113952500036,-1012.4426283820699,-994.667550431875,-984.0546512079561,-984.0886362582879,-986.6214244346912,-680.0122169644814,-680.0122169644814,-680.0122169644814,-680.0122169644814,-680.0122169644814,-681.5666416249928,-684.2607950719638,-688.5825351761855,-695.2174429941591,-695.2174429941591,-695.2174429941591,-695.2174429941591,-695.2174429941591,-695.2174429941591,-695.2174429941591,-686.5964369431174,-685.3343491589161,-685.3343491589161,-685.3343491589161,-685.3343491589161,-674.3693467992927	0.9970229052280654	-580.7219562435351	12	true	306
27	14	14	100	55202	397980	3183840	0	0	-687.4274107922595	-382.91188293334267	-3.8747240276294406	-52.16348025490508	-682.9118625989078,-682.9118625989078,-382.91188293334267,-382.9118997980843,-382.9118997980843,-382.9118997980843,-382.9118997980843,-382.9118997980843,-383.0015407266835,-383.0015407266835,-383.0015407266835,-383.0015407266835,-383.0015407266835,-383.0015407266835,-383.0015407266835,-383.0015407266835,-383.0015448714667,-383.0015476033022,-383.0015476033022,-383.0015476033022,-383.0015476033022,-383.0015476033022,-383.0015476033022,-383.00157078410683,-383.00157611799995,-385.5642705019184,-389.837312224407,-389.837312224407,-396.5428810564937,-696.5428802487926,-696.5429456911578,-696.5429456911578,-696.5429456911578,-696.5429456911578,-696.5429456911578,-696.5429456911578,-696.5429456911578,-696.5429456911578,-696.5429456911578,-696.5429456911578,-696.5429456911578,-696.5429456911578,-696.5429456911578,-696.5429456911578,-696.5429456911578,-696.5429456911578,-696.5429456911578,-696.5429456911578,-905.3110814549641,-1007.5509158033303,-1007.5509158033303,-1214.696102667603,-1319.7209867808108,-1319.7209867808108,-1319.7209867808108,-1319.7209867808108,-1319.7209867808108,-1426.477151197005,-1426.477151197005,-1435.5278440917568,-1435.5278440917568,-1435.5278440917568,-1444.8606746924233,-1444.8606746924233,-1344.8607205090743,-1344.8607205090743,-1344.8607205090743,-1235.5278899084078,-1126.4771970136558,-1126.4771970136558,-1126.4771970136558,-1126.4771970136558,-1126.4771970136558,-1126.4771970136558,-1126.4771970136558,-1117.5303529882817,-1117.5303529882817,-1117.5303529882817,-1102.4405150391972,-789.7618972160528,-785.1902431848728,-785.1902431848728,-779.4657604667079,-779.4918414771403,-779.4918414771403,-779.4918414771403,-779.4918414771403,-779.4918414771403,-779.4918414771403,-779.4918414771403,-779.4918414771403,-779.4918414771403,-680.4500204218318,-683.1445025284892,-683.1445025284892,-683.1445025284892,-687.4687506325425,-694.1067486960061,-694.1067486960061,-687.4274107922595	0.996719646734561	-382.91188293334267	13	true	166
28	15	15	100	56420	417780	3342240	0	0	-552.7229343546145	-479.16155384826396	-1.6695296556841193	-102.29834124137192	-779.1615047398251,-779.1615047398251,-779.1615145765815,-779.1615425162191,-779.1615458507284,-479.16155384826396,-479.16155384826396,-479.29096022358505,-479.29096022358505,-479.29096022358505,-479.29096022358505,-479.29096022358505,-479.29096866806884,-479.29096866806884,-479.2909696624063,-479.2909696624063,-479.2909696624063,-479.2909696624063,-479.2909777751752,-479.2909777751752,-479.2909777751752,-479.2909777751752,-479.2909777751752,-479.2909805118026,-479.2909805118026,-479.2909805118026,-479.2909805118026,-489.2654072436836,-489.26542937139214,-489.26542937139214,-489.26542937139214,-495.9169498516802,-495.9169498516802,-495.9169498516802,-495.9169498516802,-495.9169529341724,-495.9169579755845,-495.9169579755845,-495.9169579755845,-495.9169579755845,-495.9169579755845,-495.9169579755845,-495.9169579755845,-495.9169579755845,-495.9169579755845,-495.9169579755845,-795.916954976974,-795.916954976974,-795.916954976974,-1099.3462315864308,-1099.3462315864308,-1206.7254447095452,-1309.829971346768,-1318.8097029554192,-1318.8097029554192,-1318.8097029554192,-1318.8097029554192,-1325.4670511313927,-1025.4670853755413,-1025.4670853755413,-1034.4439561380507,-1034.4439561380507,-1034.4439561380507,-1034.4439561380507,-1034.4439561380507,-1034.4439561380507,-1034.4439561380507,-1034.4439561380507,-1034.4439561380507,-1034.4439561380507,-1034.4439561380507,-1034.4439561380507,-1034.4439561380507,-1034.4439561380507,-1034.4439561380507,-1025.3305544084735,-1025.3305544084735,-1025.3305544084735,-706.5852408766265,-692.6457220461601,-692.6457220461601,-692.6457220461601,-692.6457220461601,-692.6457220461601,-692.6457220461601,-692.6457220461601,-679.1946521404464,-679.1946521404464,-672.9455632695773,-661.86387047801,-661.86387047801,-661.86387047801,-661.86387047801,-661.86387047801,-661.86387047801,-661.86387047801,-656.7522087794993,-652.7229246677671,-552.7229343546145,-552.7229343546145	0.9964230412118642	-479.16155384826396	12	true	206
29	16	16	100	57643	433620	3468960	0	0	-257.7243126021645	-69.82329030641205	8.967308633245374	-1.5851059077824097	-669.7566450452626,-669.7566450452626,-369.7566619126723,-369.7567046230409,-369.75670910764467,-369.75670910764467,-369.75670910764467,-69.82329030641205,-69.82329561757118,-69.82329561757118,-69.82329561757118,-69.82329561757118,-69.82329561757118,-69.82329561757118,-69.82329561757118,-69.82329561757118,-69.82329561757118,-69.82329561757118,-69.82329561757118,-69.82330056819077,-69.82330056819077,-73.5491687509392,-79.71795593680785,-86.31426008467919,-86.31426008467919,-86.31426920195078,-386.3142715420953,-386.3142715420953,-386.3142715420953,-386.3142715420953,-386.3142715420953,-386.3142715420953,-386.3142769170703,-386.31429884766453,-386.31429884766453,-386.3143031354049,-386.3143031354049,-386.31428292045666,-386.31428292045666,-386.31428292045666,-386.31428292045666,-386.31428292045666,-386.31428292045666,-386.31428292045666,-386.31428292045666,-386.31428292045666,-386.31428292045666,-692.4091882704645,-692.4091882704645,-697.7863338263619,-713.4848406595129,-718.4655481669188,-725.0242764478498,-725.0242764478498,-725.0242764478498,-733.9273871537266,-733.9273871537266,-743.1436868919125,-743.1436868919125,-743.1436868919125,-743.1436868919125,-743.1436868919125,-743.1436868919125,-743.1436868919125,-743.1436868919125,-743.1436868919125,-743.1436868919125,-743.1436868919125,-743.1437047968539,-843.1437152734516,-843.1437152734516,-843.1437152734516,-843.1437152734516,-843.1437152734516,-843.1437152734516,-843.1437152734516,-843.1437152734516,-843.1437152734516,-826.1827060128626,-511.2964908075396,-511.2964908075396,-502.973802883336,-482.88498891841357,-476.31401748161477,-466.17224270581033,-466.17224270581033,-466.17224270581033,-466.17224270581033,-466.17224270581033,-466.17224270581033,-363.29126266258174,-358.01505948948613,-358.01505948948613,-360.01683871211105,-358.24279729816027,-254.55980933866735,-257.7243126021645,-257.7243126021645,-257.7243126021645,-257.7243126021645	0.9963385265497401	-69.82329030641205	11	true	191
30	16	16	100	58795	443916	3551328	0	0	-266.4686320878616	-262.3987909962512	64.70316851258559	64.00323926926676	-278.85682078583346,-278.85682078583346,-578.8568794886671,-578.8569107610489,-578.8569107610489,-578.8569149444296,-578.9501685147302,-578.9501685147302,-578.9501685147302,-278.95019079997525,-278.95019079997525,-278.9501950149146,-278.9501950149146,-278.9501950149146,-278.9501950149146,-278.9501950149146,-278.9501950149146,-288.75021357974066,-295.3054582421623,-295.3054582421623,-295.3054582421623,-295.3054582421623,-295.30545829181307,-295.30545829181307,-295.30545829181307,-295.3054611894709,-295.3054611894709,-295.3054611894709,-295.3054611894709,-295.3054611894709,-295.30546768051397,-295.30546768051397,-295.30547337103997,-295.30547337103997,-295.305477913373,-295.30548999382745,-295.30548999382745,-295.30548999382745,-295.30548999382745,-295.30548999382745,-295.30548999382745,-295.30548999382745,-295.30551223394576,-295.30551223394576,-295.30551223394576,-295.30551223394576,-598.8099845442811,-606.1661266071854,-624.6487919112412,-624.6487919112412,-633.4777648500551,-633.4777648500551,-642.6362640944328,-642.6362640944328,-642.6362640944328,-642.6362640944328,-642.6362640944328,-642.6362640944328,-642.6362640944328,-642.6362640944328,-642.6362640944328,-642.6362640944328,-642.6362772213326,-642.6362772213326,-642.6362772213326,-642.6362772213326,-642.6362772213326,-642.6362772213326,-642.6362772213326,-642.6362772213326,-642.6362772213326,-642.6362772213326,-642.6362772213326,-642.6362772213326,-642.6362696122837,-642.6362696122837,-642.6362696122837,-634.0558534063833,-634.0558534063833,-609.6274236351073,-303.5930426061392,-296.17457894096253,-284.1585257797853,-276.9322039520246,-276.9420273374351,-273.37577648289914,-272.93207938966964,-272.93207938966964,-282.68459989814863,-282.68459989814863,-282.68459989814863,-277.2012933738677,-277.2012619224237,-277.2012619224237,-262.3987909962512,-262.3987909962512,-263.1111421926225,-263.1111421926225,-263.1111421926225,-266.4686320878616	0.9961696434446305	-262.3987909962512	9	true	284
31	16	16	100	58649	442728	3541824	0	0	-296.5694955375978	-192.86181750431243	56.92014861758505	58.65262656306572	-563.949855163377,-563.949855163377,-563.9498980117388,-563.9499300589338,-567.9833612480751,-567.9833612480751,-572.7592335552854,-272.75925266090303,-277.98031310540847,-277.98031310540847,-277.98031310540847,-277.980326517581,-277.980326517581,-277.98033205525013,-277.98033205525013,-277.98033205525013,-288.49942081936837,-295.3681051176454,-295.3681051176454,-295.3681051176454,-295.3681051176454,-295.3681051176454,-295.3681051176454,-295.36810307750665,-295.36810307750665,-295.36810307750665,-295.36810307750665,-295.36810307750665,-295.3681087873355,-295.3681087873355,-295.3681139831544,-295.3681139831544,-295.3681139831544,-295.3681139831544,-295.3681139831544,-295.3681139831544,-295.3681139831544,-295.3681139831544,-295.3681139831544,-295.3681139831544,-295.3681139831544,-295.3681139831544,-295.3681139831544,-295.3681139831544,-295.3681139831544,-295.3681236217955,-295.3681236217955,-604.9602506763342,-612.8850527427447,-633.197512242086,-633.197512242086,-642.2973541317579,-642.2973541317579,-642.2973541317579,-642.2973541317579,-642.2973541317579,-642.2973541317579,-642.2973541317579,-542.297367576273,-542.2973903858135,-542.2973903858135,-542.2973903858135,-542.2973903858135,-542.2973903858135,-542.2973903858135,-542.2973903858135,-542.2973903858135,-542.2973903858135,-542.2973903858135,-535.7195483871691,-535.7195483871691,-526.5377616823451,-523.2535155124133,-523.2535155124133,-518.8404703608032,-517.0423225055551,-517.0423225055551,-517.0423225055551,-517.0423225055551,-199.65642856740618,-199.80016002880862,-199.80016002880862,-199.80016002880862,-199.80016002880862,-199.80016002880862,-192.86181750431243,-192.86181750431243,-290.0837882641849,-284.90113590500727,-284.90113590500727,-284.90113590500727,-287.55986809040905,-287.55986809040905,-287.55986809040905,-291.28226550208717,-291.28226550208717,-296.5694955375978,-296.5694955375978,-296.5694955375978,-296.5694955375978	0.99573537260292	-192.86181750431243	14	true	233
32	16	16	100	58778	443916	3551328	0	0	-182.142482523649	-182.09628467663242	59.934374476527694	59.88568111828414	-560.3721882138832,-560.3721882138832,-560.3722728084964,-560.3723105901096,-260.3723198410453,-262.4203014477521,-260.46583963760605,-260.46583963760605,-262.6251594267846,-262.6251594267846,-262.6251594267846,-262.6251594267846,-262.6251594267846,-262.6251594267846,-262.6251594267846,-271.3301292987949,-271.3301292987949,-277.4320355951617,-277.4320355951617,-277.4320355951617,-277.4320355951617,-277.4320355951617,-277.4320355951617,-277.4320355951617,-277.4320355951617,-277.4320355951617,-277.4320355951617,-277.4320355951617,-277.4320355951617,-277.4320421097677,-277.4320421097677,-277.4320421097677,-277.43205744389365,-277.43205744389365,-277.43205744389365,-277.43205744389365,-277.43205744389365,-277.43205744389365,-277.43205744389365,-277.43205744389365,-277.43205744389365,-277.43205744389365,-277.43205744389365,-277.43205744389365,-277.43205744389365,-277.43205744389365,-282.8552013870616,-803.0205696819199,-803.0205696819199,-813.5849798829973,-830.5300232294494,-830.5300232294494,-830.5300232294494,-830.5300232294494,-830.5300232294494,-830.5300232294494,-830.5300232294494,-830.5300232294494,-830.5300232294494,-830.5300450030609,-530.5300550338297,-530.5300550338297,-535.6332439049183,-535.6332439049183,-535.6332439049183,-535.6332439049183,-535.6332439049183,-535.6332439049183,-535.6332439049183,-535.6332439049183,-542.2397822265242,-542.2397822265242,-542.2397822265242,-542.2397822265242,-542.2397822265242,-542.2397822265242,-542.2397822265242,-542.2397822265242,-542.2397822265242,-218.43117539089528,-218.43117539089528,-218.43117539089528,-218.43117539089528,-218.43117539089528,-212.4875560312753,-204.2317489965735,-204.2317489965735,-196.29120105994969,-190.64389184943198,-187.03157076798632,-187.03157076798632,-187.03157076798632,-187.03157076798632,-182.87231603398075,-182.09628467663242,-182.09628467663242,-182.142482523649,-182.142482523649,-182.142482523649,-182.142482523649	0.9953674486953596	-182.09628467663242	13	true	182
33	19	19	100	58707	434016	3472128	0	0	-880.2496676319215	-575.3239448239833	-40.740291843814646	-40.29025219083212	-575.9794274269747,-575.9794274269747,-575.9795266996316,-575.9795572677473,-575.9795572677473,-575.9795572677473,-575.9795572677473,-575.3239448239833,-575.3239448239833,-576.2547535481086,-576.2547535481086,-576.2547535481086,-576.2547535481086,-579.0597223924548,-580.3191760300189,-585.2939258500211,-589.4175311346792,-589.4175311346792,-589.4175325257312,-589.4175382616507,-589.4175382616507,-589.4175382616507,-589.4175382616507,-589.4175382616507,-589.4175382616507,-589.4175382616507,-589.4175464461904,-589.4175901148882,-589.4175901148882,-589.4175901148882,-589.4175901148882,-589.4175901148882,-589.4175901148882,-589.4175901148882,-589.4175901148882,-589.417609327247,-589.417609327247,-589.417609327247,-589.417609327247,-589.417609327247,-589.417609327247,-589.417609327247,-589.417609327247,-589.417609327247,-589.417609327247,-589.417609327247,-592.8902694093233,-1130.2963544190782,-1130.2963544190782,-1430.2963644099486,-1430.2963644099486,-1430.2963644099486,-1430.2963644099486,-1430.2963644099486,-1430.2963644099486,-1430.2963644099486,-1430.2963644099486,-1430.2963644099486,-1430.2963644099486,-1430.2963644099486,-1430.2963644099486,-1430.2963644099486,-1430.2963644099486,-1430.2963644099486,-1430.2963644099486,-1430.2963644099486,-1430.2963644099486,-1430.2963644099486,-1430.2963644099486,-1435.411593942133,-1435.411593942133,-1435.4115949757213,-1135.4116663446166,-1335.4116459573675,-1335.4116459573675,-1335.4116459573675,-1335.4116459573675,-1335.4116459573675,-1335.4116459573675,-1012.288984197246,-1012.288984197246,-1012.288984197246,-1012.288984197246,-1107.9375319163867,-1107.9375319163867,-1107.9375319163867,-1107.9375319163867,-1104.5207527534396,-1104.5207527534396,-1100.115593340896,-1100.1155670054097,-1100.1155670054097,-1089.5870856124557,-1087.1426390354961,-882.9832682487578,-882.9832682487578,-882.2073506864922,-882.245244827913,-880.2496676319215,-880.2496676319215	0.9949647977423764	-575.3239448239833	12	true	230
