# solver: DSA
# max_time: 500
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 10c8dcb5-f2b3-4b0e-9937-2d37484ea43b
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: test.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	1	8	1	8	0	0	1.6020838381604454	1.6020838381604454	1.6020838381604454	1.6020838381604454	1.6020838381604454	0.9991239280309399	1.6020838381604454	0	true	3
25	6	6	16	256	16	128	0	0	1.9243529497077712	1.9243529497077712	1.9243529497077712	1.9243529497077712	0.8490285033129101,0.8490285033129101,0.8490285033129101,0.8490285033129101,0.8490285033129101,0.8490285033129101,0.8490285033129101,0.8490285033129101,0.8490285033129101,0.8490285033129101,0.8490285033129101,0.8490285033129101,0.8490285033129101,0.8490285033129101,1.9243529497077712,1.9243529497077712	0.9990443117099597	1.9243529497077712	0	true	1
26	6	6	1	24	1	8	0	0	2.13632815286643	2.13632815286643	2.13632815286643	2.13632815286643	2.13632815286643	0.9990443117099597	2.13632815286643	0	true	1
27	6	6	1	24	1	8	0	0	2.3281530084943287	2.3281530084943287	2.3281530084943287	2.3281530084943287	2.3281530084943287	0.9990443117099597	2.3281530084943287	0	true	1
28	6	6	1	24	1	8	0	0	2.49474781577778	2.49474781577778	2.49474781577778	2.49474781577778	2.49474781577778	0.9990443117099597	2.49474781577778	0	true	0
29	6	6	1	24	1	8	0	0	2.638282169887119	2.638282169887119	2.638282169887119	2.638282169887119	2.638282169887119	0.9990443117099597	2.638282169887119	0	true	11
30	6	6	1	24	1	8	0	0	2.757834448251488	2.757834448251488	2.757834448251488	2.757834448251488	2.757834448251488	0.99887542860485	2.757834448251488	0	true	0
31	6	6	1	24	1	8	0	0	2.854265516564332	2.854265516564332	2.854265516564332	2.854265516564332	2.854265516564332	0.99887542860485	2.854265516564332	0	true	1
32	7	7	1	24	1	8	0	0	2.9249896496592824	2.9249896496592824	2.9249896496592824	2.9249896496592824	2.9249896496592824	0.9987036576717526	2.9249896496592824	0	true	1
33	7	7	1	28	1	8	0	0	2.9711637154387622	2.9711637154387622	2.9711637154387622	2.9711637154387622	2.9711637154387622	0.9986204224270916	2.9711637154387622	0	true	1
34	8	8	1	28	1	8	0	0	2.999934147119075	2.999934147119075	2.999934147119075	2.999934147119075	2.999934147119075	0.9984128643598162	2.999934147119075	0	true	0
35	9	9	34	1088	34	272	0	0	2.999618064566599	2.999618064566599	2.999618064566599	2.999618064566599	2.9993801286226778,2.9993801286226778,2.9993801286226778,2.9993801286226778,2.9993801286226778,2.9993801286226778,2.9993801286226778,2.9993801286226778,2.9993801286226778,2.9993801286226778,2.9993801286226778,2.9993801286226778,2.9993801286226778,2.9993801286226778,2.9993801286226778,2.9993801286226778,2.9993801286226778,2.9993801286226778,2.9993801286226778,2.9993801286226778,2.9993801286226778,2.9993801286226778,2.9993801286226778,2.9993801286226778,2.9993801286226778,2.9993801286226778,2.9993801286226778,2.9993801286226778,2.9993801286226778,2.9993801286226778,2.9993801286226778,2.9993801286226778,2.999618064566599,2.999618064566599	0.998144332911735	2.999618064566599	0	true	2
36	10	10	11	396	11	88	0	0	2.9998859620707004	2.9998859620707004	2.9998859620707004	2.9998859620707004	2.9994614285192824,2.9994614285192824,2.9994614285192824,2.9994614285192824,2.9994614285192824,2.9994614285192824,2.9994614285192824,2.9994614285192824,2.9994614285192824,2.9998859620707004,2.9998859620707004	0.9981368757356651	2.9998859620707004	0	true	1
37	10	10	17	680	17	136	0	0	2.9999582923248562	2.9999582923248562	2.9999582923248562	2.9999582923248562	2.9997159494710233,2.9997159494710233,2.9997159494710233,2.9997159494710233,2.9997159494710233,2.9997159494710233,2.9997159494710233,2.9997159494710233,2.9997159494710233,2.9997159494710233,2.9997159494710233,2.9997159494710233,2.9997159494710233,2.9997159494710233,2.9997159494710233,2.9999582923248562,2.9999582923248562	0.9981368757356651	2.9999582923248562	0	true	5
