# solver: BinaryMaxSum
# max_time: 1000
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 12d7dbe0-9812-4e89-956a-322fb26bcc85
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	13	13	100	20739	21780	174240	0	0	-190.78712894764138	7.108822719997132	9.052634764812804	9.05266724805244	7.108822719997132,7.108822719997132,7.108822719997132,7.108822719997132,7.108822719997132,7.108822719997132,7.108822719997132,7.108822719997132,7.108822719997132,7.108822719997132,7.108822719997132,7.108822719997132,7.108822719997132,7.108822719997132,7.108822719997132,7.108822719997132,7.108822719997132,7.108822719997132,7.108822719997132,7.108822719997132,7.108822719997132,7.108822719997132,7.108822719997132,7.108822719997132,7.108822719997132,7.108822719997132,7.108822719997132,7.108822719997132,7.108822719997132,7.108759245564276,7.108759245564276,7.108759245564276,7.108759245564276,7.108759245564276,7.108759245564276,7.108759245564276,7.108759245564276,7.108759245564276,7.108759245564276,7.108759245564276,7.108759245564276,7.108759245564276,7.108759245564276,7.108759245564276,7.108759245564276,7.108759245564276,7.108759245564276,7.108759245564276,7.108759245564276,7.108656685229963,7.108656685229963,7.108656685229963,7.108468039307418,7.108468039307418,7.108468039307418,7.108468039307418,7.108468039307418,7.108468039307418,7.108468039307418,7.108468039307418,7.108468039307418,7.108468039307418,7.108468039307418,7.108468039307418,7.108468039307418,7.108468039307418,7.108374640486797,7.108374640486797,7.108374640486797,-192.73117674967293,-192.73117674967293,-192.73117674967293,-192.73117674967293,-192.73117674967293,-192.73117674967293,-192.73117674967293,-192.73117674967293,-192.73116285497784,-192.73116285497784,-192.73116285497784,-192.73116285497784,-192.73116285497784,-192.73116285497784,-192.73116285497784,-192.73116285497784,-192.73116285497784,-192.73116285497784,-190.78693915850525,-190.78693915850525,-190.78693915850525,-190.78693915850525,-190.78693915850525,-190.78693915850525,-190.78693915850525,-190.78693915850525,-190.78693915850525,-190.78693915850525,-190.78693915850525,-190.78712894764138,-190.78712894764138	0.9975615034251832	7.108822719997132	1	true	137
25	15	15	100	32976	36036	288288	0	0	-189.80664007654363	8.028762405749795	10.022536641490596	10.022901801220588	8.028762405749795,8.028762405749795,8.028762405749795,8.028762405749795,8.028762405749795,8.028762405749795,8.028762405749795,8.028762405749795,8.028762405749795,8.028762405749795,8.028762405749795,8.028762405749795,8.028762405749795,8.028762405749795,8.028762405749795,8.028762405749795,8.028762405749795,8.028762405749795,8.028762405749795,8.028762405749795,8.028711740210756,8.028711740210756,8.028711740210756,8.028711740210756,8.028711740210756,8.028711740210756,8.028711740210756,8.02853787409894,8.02853787409894,8.02853787409894,8.02853787409894,8.028443211735972,8.028443211735972,8.028443211735972,8.028443211735972,8.028443211735972,8.028443211735972,8.028443211735972,8.028443211735972,8.028443211735972,8.028443211735972,8.028443211735972,8.028443211735972,8.028443211735972,8.028443211735972,8.028349475417354,8.028349475417354,8.028349475417354,8.028349475417354,8.028349475417354,8.028349475417354,8.028349475417354,8.028349475417354,8.028349475417354,8.028349475417354,8.028349475417354,8.028290334550274,8.028290334550274,8.028290334550274,8.028290334550274,8.028290334550274,8.028290334550274,8.028290334550274,8.028290334550274,8.028290334550274,8.028290334550274,8.028290334550274,8.028290334550274,-91.88201002786884,-191.80077947201443,-191.80077947201443,-191.80077947201443,-191.80077947201443,-191.80077947201443,-191.80077947201443,-191.80077947201443,-191.80077947201443,-191.80077947201443,-191.80077947201443,-191.80077947201443,-191.80077947201443,-191.80077947201443,-191.80077947201443,-191.80077947201443,-191.80077947201443,-191.80077947201443,-191.80077947201443,-191.80077947201443,-191.80077947201443,-191.80077947201443,-189.80664007654363,-189.80664007654363,-189.80664007654363,-189.80664007654363,-189.80664007654363,-189.80664007654363,-189.80664007654363,-189.80664007654363,-189.80664007654363,-189.80664007654363	0.9966306358339244	8.028762405749795	1	true	97
26	15	15	100	34176	39996	319968	0	0	-188.9964502335552	10.818335630802078	10.818435243987377	10.818435243987377	8.82396506439852,8.82396506439852,8.82396506439852,8.82396506439852,8.82396506439852,8.82396506439852,8.82396506439852,8.82396506439852,8.82396506439852,8.82396506439852,8.82396506439852,8.82396506439852,8.823927822818682,8.823927822818682,8.823927822818682,8.823927822818682,8.823779153076236,8.823779153076236,8.823779153076236,8.823779153076236,8.823779153076236,8.823779153076236,8.823694842433374,8.823694842433374,8.823694842433374,8.823694842433374,8.823694842433374,8.823694842433374,8.823694842433374,8.823694842433374,8.823694842433374,8.823694842433374,8.823694842433374,8.823694842433374,8.823694842433374,8.823694842433374,8.823694842433374,8.823694842433374,8.823600203613298,8.823600203613298,8.823600203613298,8.823600203613298,8.823600203613298,8.823600203613298,8.823600203613298,8.823600203613298,8.823600203613298,8.823544064843604,8.823544064843604,8.823544064843604,8.823544064843604,8.823544064843604,10.818335630802078,10.818335630802078,10.818335630802078,10.818335630802078,10.818335630802078,10.818335630802078,10.818335630802078,10.818335630802078,10.818335630802078,10.818335630802078,10.818335630802078,10.818335630802078,10.818335630802078,10.818335630802078,10.818335630802078,-89.08378069246943,-188.9964502335552,-188.9964502335552,-188.9964502335552,-188.9964502335552,-188.9964502335552,-188.9964502335552,-188.9964502335552,-188.9964502335552,-188.9964502335552,-188.9964502335552,-188.9964502335552,-188.9964502335552,-188.9964502335552,-188.9964502335552,-188.9964502335552,-188.9964502335552,-188.9964502335552,-188.9964502335552,-188.9964502335552,-188.9964502335552,-188.9964502335552,-188.9964502335552,-188.9964502335552,-188.9964502335552,-188.9964502335552,-188.9964502335552,-188.9964502335552,-188.9964502335552,-188.9964502335552,-188.9964502335552,-188.9964502335552,-188.9964502335552	0.9960817657423182	10.818335630802078	0	true	102
27	15	15	100	34176	39996	319968	0	0	-188.3421925562272	11.50974717286723	11.509842896141313	11.509842896141313	9.516083314305193,9.516083314305193,9.516083314305193,9.516083314305193,9.516083314305193,9.516083314305193,9.516083314305193,9.516083314305193,9.51605761030996,9.51605761030996,9.51605761030996,9.51605761030996,9.515931646709038,9.515931646709038,9.515931646709038,9.515931646709038,9.515931646709038,9.515857871957406,9.515857871957406,9.515857871957406,9.515857871957406,9.515857871957406,9.515857871957406,9.515857871957406,9.515857871957406,9.515857871957406,9.515857871957406,9.515857871957406,9.515857871957406,9.515857871957406,9.515857871957406,9.515857871957406,9.515857871957406,9.515762148683322,9.515762148683322,9.515762148683322,9.515762148683322,9.515762148683322,9.515762148683322,9.515762148683322,9.515762148683322,9.515762148683322,9.515711085706219,9.515711085706219,9.515711085706219,9.515711085706219,9.515711085706219,9.515711085706219,9.515711085706219,9.515711085706219,9.515711085706219,9.515711085706219,11.50974717286723,11.50974717286723,11.50974717286723,11.50974717286723,11.50974717286723,11.50974717286723,11.50974717286723,11.50974717286723,11.50974717286723,11.50974717286723,11.50974717286723,11.50974717286723,11.50974717286723,11.50974717286723,11.50974717286723,11.50974717286723,11.50974717286723,-88.41020671225577,-88.41020671225577,-188.3421925562272,-188.3421925562272,-188.3421925562272,-188.3421925562272,-188.3421925562272,-188.3421925562272,-188.3421925562272,-188.3421925562272,-188.3421925562272,-188.3421925562272,-188.3421925562272,-188.3421925562272,-188.3421925562272,-188.3421925562272,-188.3421925562272,-188.3421925562272,-188.3421925562272,-188.3421925562272,-188.3421925562272,-188.3421925562272,-188.3421925562272,-188.3421925562272,-188.3421925562272,-188.3421925562272,-188.3421925562272,-188.3421925562272,-188.3421925562272,-188.3421925562272,-188.3421925562272	0.9960817657423182	11.50974717286723	0	true	23
28	15	15	100	34176	39996	319968	0	0	-187.73529498468125	10.15709067011497	12.15075836608935	12.15099113256226	10.15709067011497,10.15709067011497,10.15709067011497,10.15709067011497,10.15709067011497,10.15709067011497,10.157073999959975,10.157073999959975,10.157073999959975,10.156968629278671,10.156968629278671,10.156968629278671,10.156968629278671,10.156968629278671,10.156968629278671,10.156905197812366,10.156905197812366,10.156905197812366,10.156905197812366,10.156905197812366,10.156905197812366,10.156905197812366,10.156905197812366,10.156905197812366,10.156905197812366,10.156905197812366,10.156905197812366,10.156905197812366,10.156905197812366,10.156905197812366,10.156808831756488,10.156808831756488,10.156808831756488,10.156808831756488,10.156808831756488,10.156808831756488,10.156808831756488,10.156808831756488,10.156808831756488,10.15676153758618,10.15676153758618,10.15676153758618,10.15676153758618,10.15676153758618,10.15676153758618,10.15676153758618,10.15676153758618,10.15676153758618,10.15676153758618,10.15676153758618,10.15676153758618,10.15676153758618,10.15676153758618,10.15676153758618,10.15676153758618,10.15676153758618,10.15676153758618,10.15676153758618,10.15676153758618,10.15676153758618,10.15676153758618,10.15676153758618,10.15676153758618,10.15676153758618,10.15676153758618,10.15676153758618,10.15676153758618,10.15676153758618,10.15676153758618,10.15676153758618,10.15676153758618,-89.77978908803469,-89.77978908803469,-89.77978908803469,-189.72919544712852,-189.72919544712852,-189.72919544712852,-189.72919544712852,-189.72919544712852,-189.72919544712852,-189.72919544712852,-189.72919544712852,-187.73529498468125,-187.73529498468125,-187.73529498468125,-187.73529498468125,-187.73529498468125,-187.73529498468125,-187.73529498468125,-187.73529498468125,-187.73529498468125,-187.73529498468125,-187.73529498468125,-187.73529498468125,-187.73529498468125,-187.73529498468125,-187.73529498468125,-187.73529498468125,-187.73529498468125,-187.73529498468125	0.9960817657423182	10.15709067011497	1	true	24
29	15	15	100	34176	39996	319968	0	0	-187.41279879080875	10.510476676356449	12.504407617128585	12.504613993563408	10.510476676356449,10.510476676356449,10.510476676356449,10.510476676356449,10.510466576500447,10.510466576500447,10.510466576500447,10.510466576500447,10.51036275304753,10.51036275304753,10.51036275304753,10.51036275304753,10.51036275304753,10.51036275304753,10.510308930690924,10.510308930690924,10.510308930690924,10.510308930690924,10.510308930690924,10.510308930690924,10.510308930690924,10.510308930690924,10.510308930690924,10.510308930690924,10.510308930690924,10.510308930690924,10.510308930690924,10.510308930690924,10.510308930690924,10.510308930690924,10.51021321572329,10.51021321572329,10.51021321572329,10.51021321572329,10.51021321572329,10.51021321572329,10.51021321572329,10.51021321572329,10.51021321572329,10.510169833190286,10.510169833190286,10.510169833190286,10.510169833190286,10.510169833190286,10.510169833190286,10.510169833190286,10.510169833190286,10.510169833190286,10.510169833190286,10.510169833190286,10.510169833190286,10.510169833190286,10.510169833190286,10.510169833190286,10.510169833190286,10.510169833190286,10.510169833190286,10.510169833190286,10.510169833190286,10.510169833190286,10.510169833190286,10.510169833190286,10.510169833190286,10.510169833190286,10.510169833190286,10.510169833190286,10.510169833190286,10.510169833190286,10.510169833190286,10.510169833190286,10.510169833190286,10.510169833190286,10.510169833190286,10.510169833190286,-87.44605494181236,-87.44605494181236,-87.44605494181236,-87.44605494181236,-187.41279879080875,-187.41279879080875,-187.41279879080875,-187.41279879080875,-187.41279879080875,-187.41279879080875,-187.41279879080875,-187.41279879080875,-187.41279879080875,-187.41279879080875,-187.41279879080875,-187.41279879080875,-187.41279879080875,-187.41279879080875,-187.41279879080875,-187.41279879080875,-187.41279879080875,-187.41279879080875,-187.41279879080875,-187.41279879080875,-187.41279879080875,-187.41279879080875	0.9960817657423182	10.510476676356449	1	true	22
30	15	15	100	34176	39996	319968	0	0	-187.2748950553187	10.68210231437598	12.676855324954932	12.676474234003242	10.68210231437598,10.68210231437598,10.68210231437598,10.682097053243231,10.682097053243231,10.682097053243231,10.682097053243231,10.682097053243231,10.681991375109915,10.681991375109915,10.681991375109915,10.681991375109915,10.681946074282232,10.681946074282232,10.681946074282232,10.681946074282232,10.681946074282232,10.681946074282232,10.681946074282232,10.681946074282232,10.681946074282232,10.681946074282232,10.681946074282232,10.681946074282232,10.681946074282232,10.681946074282232,10.681946074282232,10.681946074282232,10.681946074282232,10.681946074282232,10.681946074282232,10.681848058255698,10.681848058255698,10.681848058255698,10.681848058255698,10.681848058255698,10.681848058255698,10.681848058255698,10.681809599418381,10.681809599418381,10.681809599418381,10.681809599418381,10.681809599418381,10.681809599418381,10.681809599418381,10.681809599418381,10.681809599418381,10.681809599418381,10.681809599418381,10.681809599418381,10.681809599418381,10.681809599418381,10.681809599418381,10.681809599418381,10.681809599418381,10.681809599418381,10.681809599418381,10.681809599418381,10.681809599418381,10.681809599418381,10.681809599418381,10.681809599418381,10.681809599418381,10.681809599418381,10.681809599418381,10.681809599418381,10.681809599418381,10.681809599418381,10.681809599418381,10.681809599418381,10.681809599418381,10.681809599418381,10.681809599418381,10.681809599418381,10.681809599418381,10.681809599418381,10.681809599418381,-87.28930250474161,-87.28930250474161,-87.28930250474161,-87.28930250474161,-87.28930250474161,-87.28930250474161,-87.28930250474161,-87.28930250474161,-187.2748950553187,-187.2748950553187,-187.2748950553187,-187.2748950553187,-187.2748950553187,-187.2748950553187,-187.2748950553187,-187.2748950553187,-187.2748950553187,-187.2748950553187,-187.2748950553187,-187.2748950553187,-187.2748950553187,-187.2748950553187,-187.2748950553187	0.9959128826372083	10.68210231437598	1	true	21
31	15	15	100	34176	39996	319968	0	0	-87.03324642191208	12.948422504425748	12.948544674217235	12.948544674217235	10.95252820064812,10.95252820064812,10.952526111105005,10.952526111105005,10.952526111105005,10.952526111105005,10.952526111105005,10.952425459952456,10.952425459952456,10.952425459952456,10.952425459952456,10.952389691511312,10.952389691511312,10.952389691511312,10.952389691511312,10.952389691511312,10.952389691511312,10.952389691511312,10.952389691511312,10.952389691511312,10.952389691511312,10.952389691511312,10.952389691511312,10.952389691511312,10.952389691511312,10.952389691511312,10.952389691511312,10.952389691511312,10.952389691511312,10.952389691511312,10.952292689193548,10.952292689193548,10.952292689193548,10.952292689193548,10.952292689193548,10.952292689193548,10.952257199907319,10.952257199907319,10.952257199907319,10.952257199907319,10.952257199907319,12.948422504425748,12.948422504425748,12.948422504425748,12.948422504425748,12.948422504425748,12.948422504425748,12.948422504425748,12.948422504425748,12.948422504425748,12.948422504425748,12.948422504425748,12.948422504425748,12.948422504425748,12.948422504425748,12.948422504425748,12.948422504425748,12.948422504425748,12.948422504425748,12.948422504425748,12.948422504425748,12.948422504425748,12.948422504425748,12.948422504425748,12.948422504425748,12.948422504425748,12.948422504425748,12.948422504425748,12.948422504425748,12.948422504425748,12.948422504425748,12.948422504425748,12.948422504425748,12.948422504425748,12.948422504425748,12.948422504425748,12.948422504425748,12.948422504425748,12.948422504425748,12.948422504425748,12.948422504425748,12.948422504425748,12.948422504425748,-87.03324642191208,-87.03324642191208,-87.03324642191208,-87.03324642191208,-87.03324642191208,-87.03324642191208,-87.03324642191208,-87.03324642191208,-87.03324642191208,-87.03324642191208,-87.03324642191208,-87.03324642191208,-87.03324642191208,-87.03324642191208,-87.03324642191208,-87.03324642191208,-87.03324642191208	0.9957029850637148	12.948422504425748	0	true	17
32	17	17	100	34176	39996	319968	0	0	13.270582256461921	13.270582256461921	13.270695527039402	13.270695527039402	11.292270012155715,11.292270012155715,11.292269305065137,11.292269305065137,11.292269305065137,11.292269305065137,11.292186801316927,11.292186801316927,11.292186801316927,11.292161124626755,11.292161124626755,11.292161124626755,11.292161124626755,11.292161124626755,11.292161124626755,11.292161124626755,11.292161124626755,11.292161124626755,11.292161124626755,11.292161124626755,11.292161124626755,11.292161124626755,11.292161124626755,11.292161124626755,11.292161124626755,11.292065336595014,11.292065336595014,11.292065336595014,11.292065336595014,11.292065336595014,11.292065336595014,11.292065336595014,11.292065336595014,11.292065336595014,11.292034307409583,11.292034307409583,11.292034307409583,11.292034307409583,11.292034307409583,11.292034307409583,11.292034307409583,11.292034307409583,11.292034307409583,11.292034307409583,13.270582256461921,13.270582256461921,13.270582256461921,13.270582256461921,13.270582256461921,13.270582256461921,13.270582256461921,13.270582256461921,13.270582256461921,13.270582256461921,13.270582256461921,13.270582256461921,13.270582256461921,13.270582256461921,13.270582256461921,13.270582256461921,13.270582256461921,13.270582256461921,13.270582256461921,13.270582256461921,13.270582256461921,13.270582256461921,13.270582256461921,13.270582256461921,13.270582256461921,13.270582256461921,13.270582256461921,13.270582256461921,13.270582256461921,13.270582256461921,13.270582256461921,13.270582256461921,13.270582256461921,13.270582256461921,13.270582256461921,13.270582256461921,13.270582256461921,13.270582256461921,13.270582256461921,13.270582256461921,13.270582256461921,13.270582256461921,13.270582256461921,13.270582256461921,13.270582256461921,13.270582256461921,13.270582256461921,13.270582256461921,13.270582256461921,13.270582256461921,13.270582256461921,13.270582256461921,13.270582256461921,13.270582256461921,13.270582256461921,13.270582256461921	0.9953534847676211	13.270582256461921	0	true	18
33	17	17	100	42768	44748	357984	0	0	13.621078529413474	13.621104720921906	13.621204400280728	13.621255200817956	11.633918143437011,11.633918143437011,11.633918143437011,11.633918143437011,11.6338525559806,11.6338525559806,11.6338525559806,11.6338525559806,11.6338525559806,11.6338525559806,11.6338525559806,11.6338525559806,11.633827946951804,11.633827946951804,11.633827946951804,11.633827946951804,11.633827946951804,11.633827946951804,11.633827946951804,11.633827946951804,11.633827946951804,11.633827946951804,11.633827946951804,11.633827946951804,11.633711909175457,11.633711909175457,11.633711909175457,11.633711909175457,11.633711909175457,11.633711909175457,11.633711909175457,11.633711909175457,13.621104720921906,13.621104720921906,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474,13.621078529413474	0.9952702495229601	13.621104720921906	0	true	19
