# solver: BinaryMaxSum
# max_time: 1000
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 141dd261-eb63-44c3-a372-ddde747741ea
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: test.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	10	10	100	69200	308286	2466288	0	0	-576.2408913634004	-286.0750104629932	42.29484565197986	41.62726227356537	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-286.0750104629932,-286.0750104629932,-286.0750104629932,-286.0750111185839,-286.0750123850153,-286.0750123850153,-286.0750123850153,-286.0750123850153,-286.0750123850153,-286.0750123850153,-286.0750123850153,-286.0750123850153,-286.0750123850153,-286.0750123850153,-286.0750123850153,-286.0750135555898,-286.0750135555898,-286.0750135555898,-286.0750135555898,-286.0750135555898,-286.0750149817607,-292.15121738053676,-293.5301394322487,-293.5301394322487,-293.5301394322487,-293.53014426522134,-293.53014426522134,-293.53014426522134,-293.5301792256585,-293.5301792256585,-293.53019649918434,-293.53019649918434,-293.53019649918434,-293.53019649918434,-293.5302088656396,-293.5302088656396,-293.5302088656396,-293.5302088656396,-293.5302088656396,-293.5302088656396,-293.53025762914643,-293.53025762914643,-293.53025762914643,-293.53025762914643,-297.81202375285204,-297.81202375285204,-297.81202375285204,-301.6487875714245,-301.6487875714245,-301.6487875714245,-301.6487875714245,-301.6487875714245,-301.6487875714245,-301.6487875714245,-301.6487875714245,-301.6487875714245,-301.6487875714245,-607.4323961690953,-623.8558824977172,-623.8558824977172,-623.8558824977172,-623.8558824977172,-623.8558824977172,-623.8558824977172,-623.8558824977172,-623.8558824977172,-623.8558824977172,-623.8558824977172,-615.4684175911573,-601.5215225184403,-601.5215225184403,-601.5215225184403,-601.5215225184403,-601.5215225184403,-601.5215225184403,-601.5215225184403,-601.5215225184403,-601.5215225184403,-601.5215225184403,-586.8490350163228,-582.0365930797274,-582.0365930797274,-578.5479011423596,-578.5479011423596,-576.7694866815176,-576.7694866815176,-576.2408619186315,-576.2408619186315,-576.2408619186315,-576.2408913634004,-576.2408913634004,-576.2408913634004,-576.2408913634004,-576.2408913634004,-576.2408913634004	0.9976279600236874	-286.0750104629932	9	true	353
25	10	10	100	70200	324126	2593008	0	0	-586.243178775408	24.5895853250206	41.18164246097197	44.96679450474038	-575.4103773918628,-575.4103773918628,-575.4103805156191,-275.41038863575943,-275.4104033265516,-275.4104033265516,-275.4104046710666,-275.41040755073624,24.5895853250206,24.5895853250206,24.5895853250206,24.589578885038343,24.589578885038343,24.589578885038343,24.589578885038343,24.589578885038343,24.589557999251703,-275.4104693528604,-275.4104693528604,-275.4104693528604,-275.4104693528604,-275.4104693528604,-275.41050991024036,-275.41050991024036,-291.30414252645636,-291.30414252645636,-291.30414252645636,-291.30417441322146,-291.30417441322146,-291.30417441322146,-291.30417441322146,-291.30417441322146,-291.30417441322146,-291.30417441322146,-291.30417441322146,-291.30417441322146,-291.30421949744294,-291.30421949744294,-291.30421949744294,-291.30421949744294,-291.30421949744294,-291.30421949744294,-291.30421949744294,-291.30421949744294,-291.30421949744294,-291.30421949744294,-291.30421949744294,-291.30421949744294,-291.30421949744294,-495.5609268465827,-495.5609268465827,-599.3325701088913,-599.3325701088913,-599.3325701088913,-599.3325701088913,-599.3325701088913,-599.3325701088913,-599.3325701088913,-599.3325701088913,-813.0511738808705,-921.3355778009326,-921.3355778009326,-921.3355778009326,-921.3355778009326,-921.3355778009326,-921.3355778009326,-921.3355778009326,-921.3355778009326,-921.3355778009326,-921.3355778009326,-921.3355778009326,-921.3355778009326,-921.3355778009326,-921.3355778009326,-921.3355778009326,-921.3355778009326,-899.2049381299055,-899.2049381299055,-899.2049381299055,-899.2049381299055,-899.2049381299055,-899.2049381299055,-899.2049381299055,-899.2049381299055,-894.659876714699,-894.659876714699,-894.659876714699,-678.589647269734,-574.655862753555,-574.7702328910236,-580.2606276726821,-586.243178775408,-599.2564385695596,-599.2564385695596,-599.2564385695596,-599.2564385695596,-592.588475155827,-586.243178775408,-586.243178775408,-586.243178775408	0.9975483437027073	24.5895853250206	8	true	177
26	10	10	100	70200	324126	2593008	0	0	15.596609654012774	26.24303602222929	46.376749708614255	43.99836275928884	-573.7568340557048,-573.7568340557048,-573.7568420902651,26.24303602222929,26.243035311273168,26.243035311273168,26.243035311273168,-273.75696871305394,-273.75699742090586,-273.75699742090586,-273.75699742090586,-273.7570209819836,-273.7570458137688,-273.7570458137688,-273.7570752800385,-273.7570813796766,-273.7570813796766,-273.7570813796766,-273.7570813796766,-273.7570813796766,-273.7570813796766,-273.7570813796766,-289.44815992353176,-289.44815992353176,-289.44815992353176,10.551794989338491,10.551794989338491,10.551794989338491,10.551794989338491,10.551794989338491,10.551794989338491,10.551794989338491,10.551794989338491,10.551794989338491,10.551794989338491,10.551794989338491,10.551794989338491,10.551794989338491,10.551794989338491,10.551794989338491,10.551794989338491,10.551794989338491,10.551794989338491,10.551794989338491,10.551794989338491,10.551794989338491,10.551794989338491,10.551794989338491,-91.05936129527974,-297.3409218651357,-297.3409218651357,-297.3409218651357,-297.3409218651357,-297.3409218651357,-297.3409218651357,-297.3409218651357,-297.3409218651357,-510.9227941210163,-619.1405829565191,-619.1405829565191,-619.1405829565191,-619.140558124734,-619.140558124734,-619.140558124734,-619.140558124734,-619.140558124734,-619.140558124734,-619.140558124734,-619.140558124734,-619.1404945559667,-619.1404945559667,-619.1404945559667,-619.1404945559667,-619.1404945559667,-619.1404945559667,-619.1404945559667,-619.1404945559667,-619.1404945559667,-610.8903326044757,-592.6564617233279,-592.6564617233279,-592.6564617233279,-592.6564617233279,-592.6564617233279,-587.0157334353219,-588.0397480398656,-589.997517894857,-593.060665246546,-593.060665246546,-304.67395443188633,-203.8932774692376,-4.37233085443976,-4.37233085443976,-4.37233085443976,-4.37233085443976,-4.37233085443976,-4.37233085443976,-4.37233085443976,2.593541838500876,15.596609654012774	0.9975483437027073	26.24303602222929	8	true	147
27	11	11	100	71000	324126	2593008	0	0	-102.85333366686227	-102.85333366686227	44.2085446090257	44.2085446090257	-567.7771086526378,-567.7771086526378,-567.7772758739219,-267.7772788946532,-267.7772788946532,-267.7772788946532,-267.7772788946532,-267.7772911999718,-267.7772911999718,-267.7772911999718,-267.7772911999718,-267.7772911999718,-267.7772911999718,-267.7772911999718,-267.7772911999718,-267.7772911999718,-267.7772911999718,-267.7772911999718,-267.7772911999718,-267.7772911999718,-267.7772911999718,-283.26980491182934,-283.26980491182934,-283.26980491182934,-283.26980491182934,-283.26980491182934,-283.26980491182934,-283.26980491182934,-283.26980491182934,-283.26980491182934,-283.26980491182934,-283.26980491182934,-283.26980491182934,-283.26980491182934,-283.26980491182934,-283.26980491182934,-283.26980491182934,-283.26980491182934,-283.26980491182934,-283.26980491182934,-283.26980491182934,-283.26980491182934,-283.26980491182934,-283.26980491182934,-283.26980491182934,-283.26980491182934,-283.26980491182934,-283.26980491182934,-389.44259254533915,-595.6727724064461,-595.6727724064461,-595.6727724064461,-595.6727724064461,-595.6727724064461,-595.6727335391907,-809.1190802534619,-917.2715994002468,-917.2715994002468,-917.2715994002468,-917.2715994002468,-917.2715994002468,-717.2715608667164,-717.271522627775,-717.271522627775,-717.271522627775,-717.271522627775,-717.271522627775,-717.271522627775,-717.271522627775,-717.271522627775,-717.271522627775,-717.271522627775,-717.271522627775,-717.271522627775,-717.271522627775,-711.8572782295608,-711.8572782295608,-711.8572782295608,-703.3065809584223,-701.8415922950353,-702.2653926282367,-685.3008783434631,-685.3008783434631,-686.339793764969,-688.2818400112735,-691.3431250702727,-696.0063400422737,-696.0063400422737,-702.9541882274106,-702.9541882274106,-702.9541882274106,-702.9541882274106,-702.9541635677223,-602.2387562937917,-501.54330970075097,-402.85333522060324,-402.85333522060324,-402.85333522060324,-402.85333522060324,-102.85333366686227	0.997245085209203	-102.85333366686227	12	true	248
28	11	11	100	73600	335016	2680128	0	0	-769.8557678330312	33.37039482137455	46.459177080526814	49.82128660489415	33.37039482137455,33.37039482137455,33.37037882117435,33.37037882117435,33.37036322435448,-266.6296568204504,-266.6296568204504,-266.62968751968475,-266.62968751968475,-266.6297076892001,-266.6297836953491,-266.6298084930217,-266.6297878109753,-266.6297878109753,-266.6297878109753,-266.6297878109753,-266.6297878109753,-266.6297878109753,-266.6297878109753,-281.92772999366304,-281.92772999366304,-281.92772999366304,-281.9278790265345,-281.9278790265345,-281.9278790265345,-281.9278790265345,-281.9278790265345,-281.9278790265345,-281.9278790265345,-281.9278790265345,-281.9278790265345,-281.9278790265345,-281.9278790265345,-281.9278001204742,-281.9278001204742,-281.9278001204742,-281.9278001204742,-281.9278001204742,-281.9278001204742,-281.92772999366304,-281.92772999366304,-281.92772999366304,-281.92772999366304,-281.92772999366304,-281.92772999366304,-281.92772999366304,-281.92772999366304,-388.05216594179524,-388.05216594179524,-594.2447950375883,-594.2447950375883,-594.2447950375883,-594.2447950375883,-699.757787496422,-915.6442321953142,-915.6442321953142,-915.6442321953142,-915.6442321953142,-915.6442321953142,-915.6442321953142,-915.6442321953142,-915.6442321953142,-915.6442321953142,-915.6442321953142,-915.6442321953142,-915.6442321953142,-915.6442321953142,-915.6442321953142,-915.6442321953142,-915.6442073976416,-915.6442073976416,-915.6442073976416,-915.6441529446895,-915.6441529446895,-883.4749443670311,-879.3880040852016,-879.3880040852016,-879.3879961291439,-877.3637576917932,-877.3637576917932,-877.3637576917932,-877.3637454783355,-876.3538934932707,-877.5514535451754,-877.6358390565191,-869.1328703734417,-869.9030255528907,-870.5053208530178,-870.5053208530178,-870.5053169544933,-870.5053169544933,-870.5053169544933,-870.5053169544933,-870.5053169544933,-870.5053169544933,-870.5052862552589,-870.5052862552589,-870.5052862552589,-769.8557678330312,-769.8557678330312	0.9970255371725607	33.37039482137455	7	true	148
29	11	11	100	74400	328680	2629440	0	0	-93.48797216422525	30.327686292617564	50.61577368179081	40.21910734830582	21.097877270255978,21.097877270255978,21.097767587027604,21.097767587027604,21.097760836798557,21.097760836798557,21.097708429885344,21.097708429885344,21.097708429885344,21.097708429885344,21.097533278364615,21.097533278364615,21.097533278364615,21.097533278364615,21.097533278364615,21.097533278364615,21.097533278364615,21.097533278364615,21.097533278364615,21.097533278364615,21.097494583222186,21.097494583222186,21.097494583222186,21.097494583222186,21.097494583222186,21.097494583222186,21.097494583222186,28.376063221498185,28.376063221498185,28.376063221498185,28.376063221498185,30.327686292617564,30.327686292617564,30.327686292617564,30.327686292617564,30.327686292617564,25.03191223138697,-270.4362142608918,-279.1095117699615,-900.1843877773317,-900.1843877773317,-900.1843877773317,-900.1843877773317,-900.1843877773317,-900.1843877773317,-900.1843877773317,-893.9607853394172,-882.5964857963282,-882.5964857963282,-882.5964857963282,-882.5964857963282,-882.5964857963282,-882.5964857963282,-882.5964857963282,-887.7290291156542,-893.2895994144171,-899.2337376983849,-899.2337376983849,-899.2337376983849,-899.2337376983849,-894.1827461791191,-894.1827461791191,-94.18270510850535,-94.18270510850535,-94.18256034744606,-89.62340565599865,-89.62340565599865,-89.62340565599865,-85.65034436202342,-85.65034436202342,-85.65034436202342,-85.65029998075252,-85.65029998075252,-85.65029998075252,-85.65029998075252,-85.65028455527235,-82.50152850414078,-86.80038260616149,-86.80038260616149,-88.86597070077573,-88.86597070077573,-88.86597070077573,-88.86597070077573,-88.86597070077573,-88.86597070077573,-88.86597070077573,-88.86597070077573,-88.86597070077573,-93.48798667372188,-93.48798667372188,-93.48798667372188,-93.48798667372188,-93.48798667372188,-93.48797216422525,-93.48797216422525,-93.48797216422525,-93.48797216422525,-93.48797216422525,-93.48797216422525,-93.48797216422525	0.9970255371725607	30.327686292617564	6	true	144
30	11	11	100	74200	322542	2580336	0	0	-755.5770628118347	39.826580211911235	41.11715038862963	41.15038122731752	29.21460818346489,29.21460818346489,29.214588910890754,29.214557103964395,29.214538479816596,29.214538479816596,29.214394938962954,29.214394938962954,29.21438070082229,29.214380305523235,29.214210483701592,29.21418800065065,29.21418800065065,31.214052041217712,31.214052041217712,31.214052041217712,31.214052041217712,31.214052041217712,31.21412721807991,31.21412721807991,31.21412721807991,31.21412721807991,39.826580211911235,39.776750307378606,39.776750307378606,39.776750307378606,39.776750307378606,39.776750307378606,39.776750307378606,39.776750307378606,39.776750307378606,39.776750307378606,39.776750307378606,39.776750307378606,39.776750307378606,39.776750307378606,39.776750307378606,39.776750307378606,39.776750307378606,39.776750307378606,39.776750307378606,39.776750307378606,39.776750307378606,39.776750307378606,39.776750307378606,39.776750307378606,39.776750307378606,39.776750307378606,39.77675226713717,39.77675226713717,39.77675226713717,39.77675226713717,39.77675226713717,39.77675226713717,39.77675226713717,39.77675226713717,39.77675226713717,39.77675226713717,39.77675226713717,39.77675226713717,39.77675226713717,39.77675226713717,39.77675226713717,39.77675226713717,39.77675226713717,39.77675226713717,39.77675226713717,39.77675226713717,39.77675226713717,39.77675226713717,39.77675226713717,39.77675226713717,39.77675226713717,39.77675226713717,39.77675226713717,39.77675226713717,39.77675226713717,39.77675226713717,39.77675226713717,39.77675226713717,39.77675226713717,39.77675226713717,39.77675226713717,-55.60479860897827,-55.60479860897827,-153.58006047043168,-550.2329262662932,-550.2329262662932,-550.2329262662932,-550.2329262662932,-550.2329262662932,-550.2327584042303,-550.2327584042303,-550.2327584042303,-550.2327584042303,-550.2327584042303,-651.527094743608,-755.5770628118347,-755.5770628118347,-755.5770628118347	0.9968566540674508	39.826580211911235	5	true	145
31	11	10	100	74200	322542	2580336	0	0	-482.70177681758446	24.25095986843366	40.34610165944129	30.646371104597485	24.25095986843366,24.25095986843366,24.250883314296175,24.25085587148314,24.250854160100964,24.250840242730312,24.250794605958916,24.250794605958916,24.250794605958916,24.250777097871747,24.250640758512432,24.250640758512432,24.250640758512432,24.250640758512432,24.250640758512432,24.250640758512432,24.250640758512432,24.250640758512432,24.250640758512432,24.250640758512432,24.250640758512432,24.250640758512432,24.250640758512432,24.250640758512432,24.250640758512432,24.250640758512432,24.250640758512432,24.250640758512432,24.250640758512432,24.250640758512432,20.971827805799997,20.971827805799997,20.971827805799997,20.971827805799997,20.971827805799997,20.971827805799997,20.971827805799997,20.971827805799997,16.939164309316183,16.939164309316183,12.319558933736346,12.319558933736346,-873.1645502407252,-873.1645502407252,-873.1645502407252,-868.7525503979567,-868.7525503979567,-868.7525503979567,-868.7525503979567,-868.7525503979567,-868.7525503979567,-868.7525503979567,-868.7525503979567,-868.7525503979567,-867.3037485608069,-867.3037485608069,-867.3037485608069,-867.3037485608069,-867.3037485608069,-867.3037485608069,-867.3037485608069,-867.3037485608069,-867.3037485608069,-672.8478903648619,-678.8591251304359,-678.8589887910766,-678.8589887910766,-691.9092721691652,-698.8962680434914,-698.8962680434914,-698.8962680434914,-698.8962680434914,-698.8962680434914,-698.8962255259534,-698.8962255259534,-698.8962155954406,-698.8962155954406,-597.2897223239283,-597.2897223239283,-597.2897223239283,-597.2897223239283,-597.2897199669284,-597.2897199669284,-497.6879613869915,-497.6879613869915,-497.6879438789044,-497.6879438789044,-497.6879438789044,-497.6879438789044,-497.6879438789044,-497.6879438789044,-496.7048603640696,-500.73906870889374,-500.73906870889374,-500.73906870889374,-500.7390560699992,-500.7390560699992,-500.7390560699992,-500.7390560699992,-482.70177681758446	0.9965060571278173	24.25095986843366	8	true	149
32	11	11	100	74200	310266	2482128	0	0	-603.6666346714742	13.182208004801957	38.787646830673694	24.055588327158347	13.182208004801957,13.182208004801957,13.182047812804505,13.1820272396467,13.1820272396467,13.182013856498884,13.182013856498884,13.182000674682683,13.182000674682683,13.182002136289668,13.182002136289668,13.182002136289668,13.182002136289668,13.181876916260372,13.181876916260372,13.181876916260372,13.181876916260372,13.181876916260372,13.181876916260372,13.181876916260372,13.181876916260372,13.181876916260372,13.181876916260372,13.181876916260372,13.181876916260372,13.181876916260372,13.181876916260372,13.181876916260372,13.181876916260372,13.181876916260372,13.181876916260372,-870.919483987274,-870.919483987274,-870.919483987274,-870.919483987274,-870.9415594342382,-872.3034587857808,-872.3034587857808,-872.3034587857808,-872.3034587857808,-872.3034587857808,-872.3034587857808,-867.9280899480821,-867.9280899480821,-867.9280899480821,-867.9280899480821,-867.9280899480821,-867.9280899480821,-867.9280899480821,-866.1852384071873,-866.4794404590966,-866.4793985352529,-866.4793985352529,-868.3974928942731,-872.0236332618571,-878.0343852094152,-878.0343852094152,-878.0343852094152,-878.0343852094152,-878.0343852094152,-889.4099934473535,-896.3934746431759,-896.7317262140975,-496.7316891441236,-496.7316891441236,-504.0050713859214,-504.0050713859214,-504.0050713859214,-504.0050713859214,-511.5461402878542,-511.5461402878542,-511.5461402878542,-511.5461402878542,-511.5461402878542,-511.5461402878542,-511.5461402878542,-511.5461402878542,-511.5461402878542,-511.5460826217013,-511.54604095368745,-511.54604095368745,-511.54604095368745,-511.54604095368745,-511.54604095368745,-511.54604095368745,-511.54604095368745,-511.54604095368745,-511.54604095368745,-511.54604095368745,-511.54604095368745,-511.546035489685,-511.546035489685,-511.546035489685,-511.54602802756096,-511.5460226982052,-511.5460226982052,-603.6666346714742,-603.6666346714742,-603.6666346714742,-603.6666346714742	0.9963101965916318	13.182208004801957	11	true	134
33	12	12	100	74000	321156	2569248	0	0	-166.9252319487614	34.99524744520993	40.47247761417146	40.532415725698066	25.287683037996743,25.287683037996743,25.287665059280585,25.287636324576525,25.287636324576525,19.752044549268433,13.833267445676618,13.833139287075774,13.833139287075774,13.833139287075774,13.833125558600933,13.833125558600933,13.833125558600933,13.833070468913526,13.833070468913526,13.833070468913526,13.833070468913526,13.833070468913526,13.833070468913526,13.833070468913526,13.833070468913526,13.833070468913526,13.833070468913526,13.833070468913526,13.833070468913526,13.833070468913526,13.833070468913526,13.833070468913526,13.833070468913526,13.833070468913526,13.833070468913526,13.833070468913526,18.429844547310253,18.429844547310253,18.429844547310253,18.429844547310253,18.429844547310253,18.429844547310253,18.429844547310253,18.429844547310253,18.429844547310253,18.429844547310253,18.429844547310253,18.429844547310253,18.429844547310253,18.429844547310253,20.433364103230026,20.433364103230026,20.433364103230026,20.433364103230026,20.433364103230026,20.40197646568891,20.40197646568891,20.40197646568891,20.40197646568891,20.40197646568891,20.40197646568891,20.40197646568891,20.40197646568891,18.33586799383683,18.33586799383683,18.33586799383683,18.33586799383683,18.33586799383683,18.33586799383683,18.33586799383683,34.96382006365634,34.96382006365634,34.96382006365634,34.96382006365634,34.96382006365634,34.96382006365634,34.96382006365634,34.96382006365634,34.96382006365634,34.99520770119746,34.99520770119746,34.99520770119746,34.99520770119746,34.995237587192406,34.995237587192406,34.99524744520993,34.99524744520993,32.99172788929015,32.99172788929015,32.99172788929015,-70.22147429411758,-65.63287092439886,-65.6328499034778,-166.92523436287598,-166.92523436287598,-166.92523436287598,-166.92523436287598,-166.92523436287598,-166.92523436287598,-166.9252319487614,-166.9252319487614,-166.9252319487614,-166.9252319487614,-166.9252319487614	0.9961648182130558	34.99524744520993	8	true	138
