# solver: Random
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 164b5870-4177-4aa9-923e-263b1511e93b
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	100	0	0	0	0	0	1.666868195690778	1.666868195690778	1.666868195690778	1.666868195690778	-98.41087956077855,-148.4106432323705,-98.43671904354797,1.6664772674719377,-98.43646232365862,1.6667442074634167,1.6667493830948936,-98.43640358170637,-98.43665741403004,1.6666533594663595,-98.43657098175753,-98.43671904354797,0.6239958067818787,1.6666575409878273,-98.43671109514001,0.623979584654453,-98.43648338553051,-98.4363874265438,-148.41068143132398,-48.33320623969453,-48.33351296390363,-98.41071055902975,-98.41071603298967,-148.4367550530365,-49.37575207504917,1.6667107013668694,0.6242081563928646,1.66671463941758,1.6668269916613025,-98.43640358170637,-98.41101926843471,-148.4109196996252,-49.37587650344849,-98.43665741403004,0.6241350784061312,-148.4363632594257,-98.41076723330536,0.6241809678964855,1.6665948603107186,-98.41077037455213,-49.375786186937916,-148.4363671949585,-98.43672182761023,0.6237962217355759,1.6668136470303232,-98.43639063325503,0.6238958723266954,1.6668403733971298,1.666639741896985,0.6241796375154922,1.6667557328069251,0.6241892575661546,-98.43682147820134,0.6240773925337244,-98.43638724043642,0.6241552483789058,-98.41087956077855,-49.37582134332614,-98.43643636220467,0.623994837830127,1.6666667280109266,0.6242270666818919,1.666760725126812,0.6242356718852567,0.6241178693349506,-98.4106445465206,-49.375868088309254,-98.4367076536087,1.66671463941758,0.6242404889625591,-49.37609607532646,1.6666015700192331,-49.37613735309958,-98.4106369082806,-98.43664288227575,1.666639741896985,-98.4109672789191,-98.41097006298135,-148.4364347624399,-98.4365182652838,-48.333173345321946,1.6667823133186328,1.6667095248111228,-49.37601108374588,1.6667095248111228,0.6241339555399431,-49.37601215606333,0.6239958067818787,-98.41079546787769,0.623688215220066,0.6242536174300296,1.6668278429302055,-48.33313867221316,1.6667063835643559,1.6668269916613025,-148.43648580709902,1.6667660711873418,0.6240855128604912,-48.33325167912674,1.666868195690778	0.9991239280309399	1.666868195690778	0	true	11
25	6	6	100	0	0	0	0	0	1.8632431783717875	1.8684540094133733	1.8684741210015272	1.8684741210015272	-149.20857435802827,-149.20891321887314,-149.20872018991486,1.8632570637113752,1.8682890168525836,-48.13156704406121,-98.23246686332885,1.8631361649770792,0.8244524704950081,-98.23273538207421,1.8633188098730895,-98.23251654398167,1.868442287731005,0.8243884897888824,-99.208504377995,-49.17564283096687,-98.23265911400422,-148.23255402608913,-149.20858467596148,-148.2325521437852,1.8683583757892757,-149.20879398535192,1.8632193290022137,-148.23255358521206,-48.136712566516785,1.863003724658056,1.8683583757892757,1.8681356449004196,-99.20853035637417,1.8684106997375625,-48.13668691876249,-99.20849066098668,0.824209961969252,0.8242027081677957,-149.2085816833578,-149.20863645778073,-99.20859029802236,-98.23261209594018,-98.23254634090132,-49.17554374698703,-48.136837427049585,1.8684143741063868,1.86815967875458,1.8683659700028348,-49.17564283096687,-48.13152804166367,-148.2325178911214,1.8683362948144175,1.8684540094133733,-49.17563510847131,-149.20860612852852,-148.2324591666835,-99.20861145611468,0.8244521244972878,0.824269263190104,-99.20848359153634,-99.2086813282473,-48.13678063037004,-98.23247245015519,-98.2324852703144,-48.13155971464128,-98.23269370907951,1.8632193290022137,-49.17564194888439,-99.20860055985217,-99.20860152367162,1.868173550184538,1.8684073057618953,0.8243205894910605,-49.1757872214266,1.8682808846958392,1.8683801186672242,-48.136772609630725,-99.20861161502631,-98.23269003823508,-99.208608384876,-98.23263744271597,-99.20854026133472,1.8683218134602777,-48.13155971464128,-98.23268610710826,-148.23245923253273,-49.17595366879104,-48.137035483897535,1.8633067819826412,1.863119673692621,-148.2325458627165,-148.23286442303623,1.8683199976523819,1.8683371111361817,-49.175979546651185,1.8630835694579684,1.8683790682945451,-49.17582585154223,-148.23245923253273,-148.23252546753164,-99.20848084399098,-99.20847740244416,-98.23249399546677,1.8632431783717875	0.9990443117099597	1.8684540094133733	0	true	2
26	6	6	100	0	0	0	0	0	-149.02177847708532	2.0492671702481973	2.0492671702481973	2.0492671702481973	-148.04399857407907,2.0428920237684123,-99.02175002665976,2.042702059609198,-47.950756541248424,-148.04401708939935,-48.0055997127924,-47.95709311718527,2.049186740006451,1.9944068285625671,1.0078338409943344,-98.04401665656368,-149.02181452849572,2.0490585339627545,2.0491344105103604,-48.00559368710956,-148.04407633500182,-47.95104744052456,1.9944600201579956,2.04898897115873,2.0491456257681424,-99.02201621970632,-148.04401384818436,-48.00561155110056,2.049051307672649,-98.04444598463819,-99.0219708786709,-148.04404934559452,1.99436993533713,-99.0217376121709,-98.0441454569718,-149.02197948657346,-99.02172106354881,1.0079155509457958,2.042968631797816,2.0490434105360795,-47.95082593170888,-149.02180533773765,-47.95710648400121,-149.02177120414893,2.042843577138987,-99.02184216874906,-47.95709747728161,1.007957767780329,-99.02190353997025,-99.02173904970687,-99.02180149379056,-47.95706831917545,-99.0218924554148,-47.95709207308507,-48.992133501850816,1.994098806021554,2.042691461798368,-98.04406053989361,-149.0218973249924,-47.957112005116365,-48.00553827819178,-47.95078297035192,-48.992112106869776,-47.95703876199717,1.994433099052116,1.9944499304716223,-48.0055936482999,2.0429081822734414,-99.02198227601792,2.0492671702481973,1.9942248355624599,1.0079533985330054,1.9944718182932215,1.0079550047078742,-48.005595475014694,1.9944677272898161,-98.04413126524017,-47.950833959873975,-98.04397430963816,2.049239673259105,2.0491456257681424,2.049089327987656,-99.02201066332537,-149.02177027361552,-98.04418441186411,-98.04425420316043,-98.04404292705323,1.0078585649145526,2.049209604716377,-48.00562657938602,1.994108529285159,-47.95706676385926,1.0077417141990266,-48.99213066518444,1.0078964182908463,-48.99210874006959,-47.95707026730316,-99.0217880191499,1.007824587454479,-148.04407768440814,-99.02173116789498,2.049249415394204,-98.04404413782596,-149.02177847708532	0.9990443117099597	2.0492671702481973	0	true	3
27	6	6	100	0	0	0	0	0	-47.78866285706734	2.2113337367237524	2.211340827920864	2.211340827920864	-147.87540575188655,-47.78874519637432,-98.85451199101851,1.172878022559099,1.1726844456221233,-147.87531317290586,-148.8545630698041,-98.85447653756603,-98.85456522070125,-97.87543265672089,-47.79551735093142,-47.78877876574367,-47.84018935818101,2.2044886761934133,-47.78900619679226,-98.85462464685111,-48.82748371648114,-47.840113486393676,-98.85458289976886,-98.85459087538307,2.2044768902285905,-47.78874509201292,-98.85462526866262,-48.827195049564786,2.2111833356299995,-47.83995884416735,-147.87526742908526,-97.87547755547779,-47.788674498533354,-48.8271851772205,2.2113337367237524,-47.79576602952726,-48.827191703408296,-147.87544476590637,2.1599444049483956,-97.87526746640452,-48.82711687697218,2.159996616179015,2.2043040357027546,-48.827196011605935,-47.840026152131266,-47.7887430962534,-97.8753365712815,-48.82723649334617,-147.87525573168278,-98.85457587320182,2.211330631679839,1.172825901430267,1.1726833063464461,-47.79558339283794,-98.85451673060868,-148.85449698930807,2.1599434629455683,2.2044516833455123,-47.78867683255088,-47.79559917207239,-147.87528857685544,2.160036573250412,2.211046401264681,-47.84016051844027,-148.85450611459493,-97.87535112145602,-148.85453876996954,-98.8545186058061,-47.79557404918827,-147.87536989373396,2.2042950100331673,-47.78872548533417,-47.840027793898194,2.211327035475327,1.1728221129629883,-148.8548371991321,-98.85450870798256,2.211288563439755,2.160009119377159,-97.87529336433538,1.1728188850000525,-147.8753177833553,-47.8400370708928,-97.87529173506898,2.2111095551212494,2.2042923575551887,2.204448080505095,-47.84002090741299,2.211292214003861,-47.79558869125617,-148.85453708928347,2.20437296264976,-47.84024144465933,2.2111547588693323,-97.8752869063508,-97.87524732967877,-147.87529565581698,2.159996370729418,2.2112449249383626,-147.87525237290834,-47.83996945387442,2.2113025488640514,2.2044934231599917,-47.78866285706734	0.9990443117099597	2.2113337367237524	0	true	0
28	6	6	100	0	0	0	0	0	-97.7172197853735	2.3601813734174644	2.3602281783234216	2.3602281783234216	-47.68721228399928,2.312742785986694,2.360068631006544,2.3600253674195755,1.3250836834108424,2.3547673009854915,-97.71721290464896,-147.71753119937097,2.354791969617003,-97.7172144518736,-47.687215825629394,2.312834151296708,-147.71753119937097,-47.687166577568924,-47.687172071006785,-98.69854436556619,2.3126274417387416,-97.71741124255391,2.3128114711716976,-47.68717405659063,2.360062248776541,2.3126738877669357,-98.69851570636426,-98.69853859274198,2.312704040044263,2.3548026290562483,-147.71721343098343,-48.6750396893189,1.3250894174223302,2.3128096563197924,-47.68721592440726,2.312712140996931,-98.69852111578085,-47.6452173772616,-47.68741412354805,-48.67487576025984,-48.674838842975845,-47.68719510734684,-47.68746965399173,-98.69874071706413,2.3601813734174644,2.360062248776541,2.3548312882581808,-148.698692242024,-47.64516999471131,-98.69851333415632,-147.717247070322,1.3249971609309845,-148.6985145909153,2.312552935153272,-47.68732983478956,2.35478232745826,2.3126031399855256,-148.69853305105693,1.3251272097251938,-98.69851321818162,-98.69851333415632,-47.64008189370152,-47.6398408971278,1.3252237524882873,2.354623917555916,-47.639785695581025,-48.674812608574264,-47.645331884731135,2.360146500833644,-47.6398818805644,-47.64518876480348,1.3250884569128047,2.3127935212492083,-48.67478764726828,2.312836178669374,2.360115813568888,-148.69851899626525,1.3251638230032767,-147.71720300963526,-48.67480998392698,-98.6986746584877,2.354833988731398,2.354793915996979,2.3128352120983244,-98.69854159871687,-48.67478281792015,2.312795410893131,2.354798585816723,2.3547673165198186,-47.64534687105895,-147.71721343098343,-47.68733307588959,-48.67482689284023,-98.69854250943662,-98.69870331811656,2.354710950227608,-148.69856435444254,-98.69856466716418,2.3128041806884534,-148.69853305105693,2.3548154790836824,-47.64522716578482,2.3128398173138165,-97.7172197853735	0.9990443117099597	2.3601813734174644	0	true	1
29	6	6	100	0	0	0	0	0	2.4495511056112362	2.4939389221144723	2.493938995428037	2.493938995428037	2.4495727605162503,2.487972989575685,-47.50614298925621,2.4494641348566497,-147.57622409414455,-47.5504642200258,-97.5762169234178,2.487969030492305,1.4617419945973211,-98.55923083114057,-47.51203177979941,2.487884187154294,-98.55914790205304,-147.57622004314206,1.461655089829863,2.4495970817311576,-148.55916670193955,-47.512046291265975,-98.55934002147501,2.4879654238756124,2.4879574460995353,2.4939118043830044,1.4618240005940697,-47.512047564109494,2.487968691409102,2.4879874926150967,1.4618158510883004,2.4879486683607777,2.487761773208181,-47.50606683401283,-97.5763336628859,2.487924560878757,-47.512069389000686,-48.53817520472468,-148.55915423840696,2.4495727888721315,1.4617852865993848,-47.51203316528636,2.4496142099434106,1.4617778075679162,2.4879874926150967,2.4939139288793286,-47.506280562598576,-47.506097398304064,-47.50608198319038,2.4878556091224784,-47.50610254905826,2.493875627271711,2.4938820379138753,-98.5592799553045,2.4938402081430886,2.4939026876623744,2.493747532157066,-47.550391975898314,-47.55039141893291,2.487929251015754,2.449560176832892,-47.50606689727243,1.4618265228118261,-148.55915205542985,1.4616244163044037,-97.57627795098655,-47.50614830711788,-98.55920258823363,-47.5060710060115,-98.55917855514996,2.4495953787104914,-148.55914882782346,2.4496051426544403,-97.57639011771654,-147.57623812972867,-47.51205134966829,1.4617318374312356,-97.57621514884165,-47.5060710060115,2.4937520224131307,-148.55943963948718,2.4939389221144723,-147.57623176898772,-48.53822089709953,1.4618089345131964,2.493826679523456,2.493850365309174,-98.55916827858447,-147.57636028602923,-98.55923083114057,-97.5762162754688,-97.57631337011517,-97.57631559539095,-47.512018434793454,-148.55915423840696,-47.506110433563535,1.4616244163044037,-98.55928301674518,2.4495156864826138,-98.5592799553045,2.487817220222887,-148.55918108759548,-147.57622153991656,2.4495511056112362	0.9990443117099597	2.4939389221144723	0	true	1
30	6	6	100	0	0	0	0	0	2.5402117255408765	2.5813638191747748	2.581366414144406	2.581366414144406	-148.4676966290564,-47.41883520262102,0.5520033209852746,-47.41882909614587,-148.46757994018373,0.5520673789726446,2.5812269461878636,2.5813354104757287,2.5747222219181314,-147.4831889660968,-49.44794611662342,-97.48316819554715,-98.46760308063072,0.5520705578857662,-97.48317731816707,-47.4186589041482,-97.48333278399971,-47.45979970449905,-47.41869891851493,-47.42503964754724,0.5520801148408913,-97.48320055361077,-47.4252986510191,-97.4832389120012,-47.459785787360296,-148.46756270627543,-148.46758815037785,-47.41869891851493,2.5749550772907246,-97.48317967090378,-147.48319770164372,-147.4831733659543,-98.46756989139767,-147.48317740516836,2.5401659466946325,-97.4832205177106,-97.48318113533502,-148.46757816301027,-147.4831966243691,2.5748514708495067,-47.45976383925804,0.5520756093726409,-148.4676140590553,-98.46755726522781,2.540198000912753,-47.459960765596335,2.5402215333776668,-98.46760488438389,-47.45980008341512,-97.4834906587437,-147.48317331723362,2.5813638191747748,-47.41866047985502,-148.46755578503846,-47.46002392671231,-147.4833040558258,2.5402117255408765,-47.41878222985598,-47.41866410137546,2.5748714459637014,0.5520763095187716,-148.46762041783916,-98.46755988406932,0.5520327080072562,2.574944770116069,-47.4598003194425,-47.425074820466975,-147.48317919249013,-47.45976492324045,-98.46757426652525,0.5520455285248127,-47.460089254512425,-49.44802197085925,-47.425038563564826,-49.44795757059573,2.581330613105471,-47.418663693475125,0.5518807358758842,-49.44798497466623,2.5812321187629066,-98.46772169705751,-147.48320524586347,-98.4676390931956,-47.425298662902996,-98.46772918205929,2.5749526108599956,-148.46756295044082,2.5813338502860614,2.5400847647322453,-47.42515623100076,-98.46768556439235,2.5749622550491287,0.5519872752452972,-47.42505188238729,-97.4832094921672,2.5812627312416643,2.581356914377503,-147.48318744832773,-148.46757994018373,2.5402117255408765	0.99887542860485	2.5813638191747748	0	true	1
31	6	6	100	0	0	0	0	0	-49.33838249298084	2.6868631569981942	2.68687202762418	2.68687202762418	-147.36868184300425,2.6868631569981942,0.6616876198556173,-97.3687738647504,-148.35562543806617,2.6867369788702935,-147.36868264537108,-147.36869448150367,2.68685664919628,-49.3383305749829,-98.35565257291366,-49.338318094286244,-47.348243399175395,2.686724356013174,2.6868500605555354,0.6615657518047958,-47.31314759305353,-147.36869854891532,0.6617150012970635,-47.31830211110429,2.6516810489158202,-47.31829516975616,-97.36869102715303,-98.35571315807815,-147.36868237541478,2.6815239161827344,0.6616650917143131,-148.3556256355092,-97.36873137610908,2.681608154689001,-98.35561919187322,2.6816588967206383,2.6868324175898683,-97.36871731352481,2.6815808830444126,-49.338286132516345,-97.36883999884108,2.6517010628100293,-97.36869781517134,0.6617087123914435,0.6616043761925751,2.651735426909022,-148.35564334616024,-47.31830518556018,0.6616880159162317,-98.35564551420015,-147.36869973812787,-47.313131947238766,-98.35561843093903,-47.31329981426546,-147.36870072373307,0.6617095406551162,2.6816892400558228,-47.34845673649413,2.686822431157412,2.651731726650991,-97.3687445489024,-49.338304136223144,-47.31844955385533,-98.35561172813419,-148.3556259802599,2.6517232835619726,-47.31829894716954,-98.3556473404529,2.6514813835276763,2.6516424117845143,0.6617087268727707,-97.36881550752449,-148.35563916958125,-49.33829939432227,2.681711330093303,-148.35561260544762,2.681696368448844,2.6816832323715922,-47.348246614190614,2.6816047681243522,-47.31828731824079,2.6816936316511013,2.651670134569289,-49.33830082889606,0.6616396824294557,2.6517218133084612,0.6617131824949424,0.6615184540345255,-47.3482575960984,0.6617138354214767,0.6617073940643943,-47.3131428386342,2.6817114003958396,-98.35570445205089,-147.36869652772157,-47.31315429171649,-49.33845542993155,-97.3687445489024,2.651765249610033,-47.34845666653905,-147.3686996818643,-147.36897100282283,2.6517294118938275,-49.33838249298084	0.99887542860485	2.6868631569981942	0	true	1
32	7	7	100	0	0	0	0	0	-147.26784294460455	2.7792331294379973	2.7792391621487744	2.7792391621487744	-148.25707870601832,2.7484296376635933,-147.26793900555455,1.7744638680819296,2.7483033922327853,-47.220771804893545,2.7790572419794537,2.7791244798929666,-47.220795821927965,0.758070378858518,1.7744918325087569,2.7792263817587495,0.7581211355716596,-48.225516197146085,2.779212432830147,2.779125587341104,2.779194900263276,1.774403314561221,-98.2571194721645,0.758135817641552,-47.251572147342046,-98.25703029097257,-47.251579449282694,-98.25701057096643,0.7581026624177918,0.7581257613675347,2.779204275544209,-97.26782794672907,0.7581451175915573,-97.26783733635217,-98.2571810623125,0.75814430956305,2.7484316430686206,2.7791824641939873,2.7484257036457698,-147.26793806682332,2.7792145527414123,-47.22084953727304,-48.2255166257298,-47.22078456091197,-48.22553772595091,-49.24187047705589,-49.24186562875362,1.7744889804117705,0.7581343065006036,2.779154976993481,0.7581331456897087,2.7484284185307306,2.748437897662874,-98.25702342349189,-47.22077287771253,-47.25156523776295,2.7792331294379973,-98.25700168307974,-47.25157591173427,-49.24188563994391,-98.25705597071591,0.758062843564729,-48.22552596327954,-148.25703181080712,1.7429881265903562,-148.25703807962483,-47.25158524972946,-147.26786050660894,-98.25702720689621,2.748380308985141,0.7581189639669921,-47.22077834362714,-147.2678388780814,-49.241864476315875,-47.22079569209237,1.7744638680819296,-49.24187379245808,-47.22078045809765,2.7791625122872703,0.7581369009863893,-147.26785808443532,-48.225514208797485,-148.25702070674356,-47.25156551913907,-47.22083989432857,0.7581119658564914,1.7744835413734048,-49.241863211821304,2.779119274969872,1.7744802233170396,-147.26783899258714,-97.26794517073229,-48.225703372184356,-98.25701035322165,1.7744889804117705,-97.26788451441526,0.7579583892885906,-98.25699914214317,-147.2679067068531,-47.25157847403394,2.748324195606177,-47.2209004507761,0.758044222577318,-147.26784294460455	0.9987036576717526	2.7792331294379973	0	true	1
33	7	7	100	0	0	0	0	0	0.8377612967745558	2.8546146801453225	2.8546180407820043	2.8546180407820043	1.851556606717812,2.811569487378228,-148.18354615144534,1.8515422454667916,-98.18356889609005,-49.16216932517596,-98.18354275856248,-49.16233960568073,-47.18849994317911,-49.16218135497517,2.854603348865327,1.851544102084436,-148.1836953048963,-47.17012447753311,-98.17479433465118,2.8297624925832343,1.8514748558643728,-48.14846625791489,-49.16222916517064,2.829881750190415,-148.18371150518442,2.8298818224644755,1.851475098121062,-148.17475089045368,-48.14843950653149,1.8515682964250573,1.8515530209101065,1.8514734754803082,-98.1835396369021,2.811430314544953,-47.17014000205219,2.8298727592400064,2.8546146801453225,-98.18363083323017,1.8515362759538214,-98.1747515224018,2.8298023164422483,-48.1484243331458,-47.170131239516216,-47.17017302249165,-47.170214384048215,-48.14842436396248,2.854605689194914,-148.17475869211154,2.8298737875863393,-148.17475017429405,-47.14550729335905,-98.18355193963117,1.8515591057255347,-47.18835541755073,1.851576041686936,2.85460000070547,1.8515682964250573,2.8545026766690085,2.8115520838143655,-98.18357153765,-98.18355169007702,0.8377677559613954,-47.14541077171321,2.811430314544953,1.8515229840896519,-148.17473853605594,-148.17482295792757,-98.1836067573312,-98.18358518248684,-148.18354516070718,-148.18363652172178,-48.14842667033183,-98.18359466367387,0.8377553695245087,2.8116491940656503,2.8298466422235515,-49.16220982201203,-98.17476278824212,-148.17473589331598,0.8377619390798101,-98.18365387384662,-47.17012876444233,-148.18354570237116,-98.17472922214901,2.8298793565102636,-47.14538606883888,2.81164099541113,-47.170125133643374,-48.148463142873084,-47.18837563342262,0.8377971707346111,2.829867371465413,0.8378014771229992,-49.16217409048935,2.8546102150152692,1.8515220696792458,1.851564693896073,0.837800967715669,-47.18836252083818,0.8377967516387965,2.8545830776537295,-98.17479775903317,-98.18355119008585,0.8377612967745558	0.9986204224270916	2.8546146801453225	0	true	0
