# solver: Random
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 1820a8cb-4472-4872-88d1-29aa54ad390e
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	100	0	0	0	0	0	-148.43704288469283	1.6112979124810778	1.6113263485948806	1.6113263485948806	-98.43722767576384,1.6110550254359077,-49.375271582486604,0.6244050210417793,1.6109350977298438,1.6112241347430651,-98.43704798688084,-98.43704242386364,0.6247206386482825,1.6110292623589484,-98.43713925393831,0.6245528943575038,1.6109669746709674,1.6110637678755857,1.611114847986692,1.61097407098985,0.6244850916650493,0.624641296255556,1.6112979124810778,-48.38874792095169,-148.436997665521,-49.37561728370087,-98.43702483798705,1.611218001346703,-148.43731861060792,-48.38868408866261,1.61116790055439,1.6112754185821545,-98.43707638600178,1.61128378473829,0.6247206386482825,-98.43733402230372,-148.43723452160654,-49.37536952871665,-98.43721971037117,-98.43704515648827,-49.37523987594555,0.6246049052420163,1.6112488350530279,1.611051786898331,1.6111641893111337,-49.37528062918237,-48.388681475018636,-98.43728436862676,1.610864222085531,0.6247093525452764,-98.43695408141015,-98.43728436862676,1.611296928290674,-98.43715142016097,1.6112476250488805,-98.43703672481533,0.6246949783878311,1.610864222085531,0.6245837372540296,-98.43695041108789,0.6246613192606663,1.6110550254359077,-48.38875306608001,0.6246880769597623,-98.43718625395637,1.6111241954950697,1.6112948913199612,-98.43703097138341,-98.43694491780411,0.6246241710817757,0.624727062582825,-148.43704897522272,1.6109779326686808,0.6246106330991525,-98.4369397224682,-48.38902880859917,1.6110582476180626,-148.43731861060792,1.6112967257489306,-98.43720594316241,0.6245355989399609,0.6244050210417793,1.610964604103351,-148.436997665521,1.6111678380572554,-148.43696567635402,-98.43700956286719,0.6246049052420163,-148.43719251239384,-98.4370821138589,1.6112012399301423,-148.43719276624788,0.6245018142463976,1.611139155605811,1.6107565112271,-98.43692689637595,1.611285420920393,-48.388681475018636,0.6246022356819455,1.61128378473829,-148.43704874876855,-98.43702569984026,-98.43709536410064,-148.43704288469283	0.9991239280309399	1.6112979124810778	0	true	4
25	6	6	100	0	0	0	0	0	1.8107178145203722	1.868097054144905	1.868117264631847	1.868117264631847	-149.20883154943596,-149.20916927173772,-149.20897763975415,1.8107311491444524,1.8679315293871435,-48.131924152316024,-98.23215058630556,1.8106093419798386,0.8241197517178597,-98.23241971951724,1.8107924547186713,-98.2322010220785,1.8680856885182289,0.8240550921171199,-99.20876093797591,-49.1759761865002,-98.23234422314961,-148.2322387031694,-149.2088408123652,-148.2322372807772,1.8680010655997716,-149.20905084899275,1.81069328235986,-148.2322383870146,-48.18923941942154,1.8104778380716042,1.8680010655997716,1.8677793071916486,-99.20878627223352,1.8680536052789596,-48.18921283067984,-99.20874772705241,0.8238762991516738,0.8238702319291173,-149.2088385188727,-149.20889247551906,-99.20884756168923,-98.23229646836164,-98.23223105009484,-49.175877599388436,-48.189363645445496,1.868057667342212,1.8678027819574285,1.8680092937452666,-49.1759761865002,-48.131885441272594,-148.23220248520536,1.8679792259458605,1.868097054144905,-49.1759680069731,-149.20886258383166,-148.23214365095458,-99.20886740532463,0.8241187063738471,0.823935239909576,-99.20873963349055,-99.20893849180835,-48.189306564433025,-98.23215730448534,-98.23217057314741,-48.13191723201424,-98.23237886785068,1.81069328235986,-49.17597470352339,-99.20885762773635,-99.20885849926034,1.8678170401406797,1.8680512117499903,0.82398706783002,-49.176121170581006,1.8679247041482434,1.868023308535412,-48.18929900413484,-99.2088678005157,-98.23237493218352,-99.20886482182965,-98.2323228292431,-99.20879603196863,1.867965089270773,-48.13191723201424,-98.2323706200537,-148.2321444505376,-49.17628663940957,-48.18956081778629,1.8107808003510182,1.810593123006377,-148.2322302074875,-148.232548839924,1.867963458959032,1.8679807232984185,-49.176313381763286,1.8105572390394251,1.8680217406669115,-49.17615898382722,-148.2321444505376,-148.23221057015047,-99.2087377627993,-99.2087333084572,-98.23217796603741,1.8107178145203722	0.9990443117099597	1.868097054144905	0	true	1
26	6	6	100	0	0	0	0	0	-149.02177847708532	2.0492671702481973	2.0492671702481973	2.0492671702481973	-148.04399857407907,2.0428920237684123,-99.02175002665976,2.042702059609198,-47.950756541248424,-148.04401708939935,-48.0055997127924,-47.95709311718527,2.049186740006451,1.9944068285625671,1.0078338409943344,-98.04401665656368,-149.02181452849572,2.0490585339627545,2.0491344105103604,-48.00559368710956,-148.04407633500182,-47.95104744052456,1.9944600201579956,2.04898897115873,2.0491456257681424,-99.02201621970632,-148.04401384818436,-48.00561155110056,2.049051307672649,-98.04444598463819,-99.0219708786709,-148.04404934559452,1.99436993533713,-99.0217376121709,-98.0441454569718,-149.02197948657346,-99.02172106354881,1.0079155509457958,2.042968631797816,2.0490434105360795,-47.95082593170888,-149.02180533773765,-47.95710648400121,-149.02177120414893,2.042843577138987,-99.02184216874906,-47.95709747728161,1.007957767780329,-99.02190353997025,-99.02173904970687,-99.02180149379056,-47.95706831917545,-99.0218924554148,-47.95709207308507,-48.992133501850816,1.994098806021554,2.042691461798368,-98.04406053989361,-149.0218973249924,-47.957112005116365,-48.00553827819178,-47.95078297035192,-48.992112106869776,-47.95703876199717,1.994433099052116,1.9944499304716223,-48.0055936482999,2.0429081822734414,-99.02198227601792,2.0492671702481973,1.9942248355624599,1.0079533985330054,1.9944718182932215,1.0079550047078742,-48.005595475014694,1.9944677272898161,-98.04413126524017,-47.950833959873975,-98.04397430963816,2.049239673259105,2.0491456257681424,2.049089327987656,-99.02201066332537,-149.02177027361552,-98.04418441186411,-98.04425420316043,-98.04404292705323,1.0078585649145526,2.049209604716377,-48.00562657938602,1.994108529285159,-47.95706676385926,1.0077417141990266,-48.99213066518444,1.0078964182908463,-48.99210874006959,-47.95707026730316,-99.0217880191499,1.007824587454479,-148.04407768440814,-99.02173116789498,2.049249415394204,-98.04404413782596,-149.02177847708532	0.9990443117099597	2.0492671702481973	0	true	13
27	6	6	100	0	0	0	0	0	-47.78866285706734	2.2113337367237524	2.211340827920864	2.211340827920864	-147.87540575188655,-47.78874519637432,-98.85451199101851,1.172878022559099,1.1726844456221233,-147.87531317290586,-148.8545630698041,-98.85447653756603,-98.85456522070125,-97.87543265672089,-47.79551735093142,-47.78877876574367,-47.84018935818101,2.2044886761934133,-47.78900619679226,-98.85462464685111,-48.82748371648114,-47.840113486393676,-98.85458289976886,-98.85459087538307,2.2044768902285905,-47.78874509201292,-98.85462526866262,-48.827195049564786,2.2111833356299995,-47.83995884416735,-147.87526742908526,-97.87547755547779,-47.788674498533354,-48.8271851772205,2.2113337367237524,-47.79576602952726,-48.827191703408296,-147.87544476590637,2.1599444049483956,-97.87526746640452,-48.82711687697218,2.159996616179015,2.2043040357027546,-48.827196011605935,-47.840026152131266,-47.7887430962534,-97.8753365712815,-48.82723649334617,-147.87525573168278,-98.85457587320182,2.211330631679839,1.172825901430267,1.1726833063464461,-47.79558339283794,-98.85451673060868,-148.85449698930807,2.1599434629455683,2.2044516833455123,-47.78867683255088,-47.79559917207239,-147.87528857685544,2.160036573250412,2.211046401264681,-47.84016051844027,-148.85450611459493,-97.87535112145602,-148.85453876996954,-98.8545186058061,-47.79557404918827,-147.87536989373396,2.2042950100331673,-47.78872548533417,-47.840027793898194,2.211327035475327,1.1728221129629883,-148.8548371991321,-98.85450870798256,2.211288563439755,2.160009119377159,-97.87529336433538,1.1728188850000525,-147.8753177833553,-47.8400370708928,-97.87529173506898,2.2111095551212494,2.2042923575551887,2.204448080505095,-47.84002090741299,2.211292214003861,-47.79558869125617,-148.85453708928347,2.20437296264976,-47.84024144465933,2.2111547588693323,-97.8752869063508,-97.87524732967877,-147.87529565581698,2.159996370729418,2.2112449249383626,-147.87525237290834,-47.83996945387442,2.2113025488640514,2.2044934231599917,-47.78866285706734	0.9990443117099597	2.2113337367237524	0	true	2
28	6	6	100	0	0	0	0	0	-97.7172197853735	2.3601813734174644	2.3602281783234216	2.3602281783234216	-47.68721228399928,2.312742785986694,2.360068631006544,2.3600253674195755,1.3250836834108424,2.3547673009854915,-97.71721290464896,-147.71753119937097,2.354791969617003,-97.7172144518736,-47.687215825629394,2.312834151296708,-147.71753119937097,-47.687166577568924,-47.687172071006785,-98.69854436556619,2.3126274417387416,-97.71741124255391,2.3128114711716976,-47.68717405659063,2.360062248776541,2.3126738877669357,-98.69851570636426,-98.69853859274198,2.312704040044263,2.3548026290562483,-147.71721343098343,-48.6750396893189,1.3250894174223302,2.3128096563197924,-47.68721592440726,2.312712140996931,-98.69852111578085,-47.6452173772616,-47.68741412354805,-48.67487576025984,-48.674838842975845,-47.68719510734684,-47.68746965399173,-98.69874071706413,2.3601813734174644,2.360062248776541,2.3548312882581808,-148.698692242024,-47.64516999471131,-98.69851333415632,-147.717247070322,1.3249971609309845,-148.6985145909153,2.312552935153272,-47.68732983478956,2.35478232745826,2.3126031399855256,-148.69853305105693,1.3251272097251938,-98.69851321818162,-98.69851333415632,-47.64008189370152,-47.6398408971278,1.3252237524882873,2.354623917555916,-47.639785695581025,-48.674812608574264,-47.645331884731135,2.360146500833644,-47.6398818805644,-47.64518876480348,1.3250884569128047,2.3127935212492083,-48.67478764726828,2.312836178669374,2.360115813568888,-148.69851899626525,1.3251638230032767,-147.71720300963526,-48.67480998392698,-98.6986746584877,2.354833988731398,2.354793915996979,2.3128352120983244,-98.69854159871687,-48.67478281792015,2.312795410893131,2.354798585816723,2.3547673165198186,-47.64534687105895,-147.71721343098343,-47.68733307588959,-48.67482689284023,-98.69854250943662,-98.69870331811656,2.354710950227608,-148.69856435444254,-98.69856466716418,2.3128041806884534,-148.69853305105693,2.3548154790836824,-47.64522716578482,2.3128398173138165,-97.7172197853735	0.9990443117099597	2.3601813734174644	0	true	1
29	6	6	100	0	0	0	0	0	2.4495511056112362	2.4939389221144723	2.493938995428037	2.493938995428037	2.4495727605162503,2.487972989575685,-47.50614298925621,2.4494641348566497,-147.57622409414455,-47.5504642200258,-97.5762169234178,2.487969030492305,1.4617419945973211,-98.55923083114057,-47.51203177979941,2.487884187154294,-98.55914790205304,-147.57622004314206,1.461655089829863,2.4495970817311576,-148.55916670193955,-47.512046291265975,-98.55934002147501,2.4879654238756124,2.4879574460995353,2.4939118043830044,1.4618240005940697,-47.512047564109494,2.487968691409102,2.4879874926150967,1.4618158510883004,2.4879486683607777,2.487761773208181,-47.50606683401283,-97.5763336628859,2.487924560878757,-47.512069389000686,-48.53817520472468,-148.55915423840696,2.4495727888721315,1.4617852865993848,-47.51203316528636,2.4496142099434106,1.4617778075679162,2.4879874926150967,2.4939139288793286,-47.506280562598576,-47.506097398304064,-47.50608198319038,2.4878556091224784,-47.50610254905826,2.493875627271711,2.4938820379138753,-98.5592799553045,2.4938402081430886,2.4939026876623744,2.493747532157066,-47.550391975898314,-47.55039141893291,2.487929251015754,2.449560176832892,-47.50606689727243,1.4618265228118261,-148.55915205542985,1.4616244163044037,-97.57627795098655,-47.50614830711788,-98.55920258823363,-47.5060710060115,-98.55917855514996,2.4495953787104914,-148.55914882782346,2.4496051426544403,-97.57639011771654,-147.57623812972867,-47.51205134966829,1.4617318374312356,-97.57621514884165,-47.5060710060115,2.4937520224131307,-148.55943963948718,2.4939389221144723,-147.57623176898772,-48.53822089709953,1.4618089345131964,2.493826679523456,2.493850365309174,-98.55916827858447,-147.57636028602923,-98.55923083114057,-97.5762162754688,-97.57631337011517,-97.57631559539095,-47.512018434793454,-148.55915423840696,-47.506110433563535,1.4616244163044037,-98.55928301674518,2.4495156864826138,-98.5592799553045,2.487817220222887,-148.55918108759548,-147.57622153991656,2.4495511056112362	0.9990443117099597	2.4939389221144723	0	true	1
30	6	6	100	0	0	0	0	0	2.5402117255408765	2.5813638191747748	2.581366414144406	2.581366414144406	-148.4676966290564,-47.41883520262102,0.5520033209852746,-47.41882909614587,-148.46757994018373,0.5520673789726446,2.5812269461878636,2.5813354104757287,2.5747222219181314,-147.4831889660968,-49.44794611662342,-97.48316819554715,-98.46760308063072,0.5520705578857662,-97.48317731816707,-47.4186589041482,-97.48333278399971,-47.45979970449905,-47.41869891851493,-47.42503964754724,0.5520801148408913,-97.48320055361077,-47.4252986510191,-97.4832389120012,-47.459785787360296,-148.46756270627543,-148.46758815037785,-47.41869891851493,2.5749550772907246,-97.48317967090378,-147.48319770164372,-147.4831733659543,-98.46756989139767,-147.48317740516836,2.5401659466946325,-97.4832205177106,-97.48318113533502,-148.46757816301027,-147.4831966243691,2.5748514708495067,-47.45976383925804,0.5520756093726409,-148.4676140590553,-98.46755726522781,2.540198000912753,-47.459960765596335,2.5402215333776668,-98.46760488438389,-47.45980008341512,-97.4834906587437,-147.48317331723362,2.5813638191747748,-47.41866047985502,-148.46755578503846,-47.46002392671231,-147.4833040558258,2.5402117255408765,-47.41878222985598,-47.41866410137546,2.5748714459637014,0.5520763095187716,-148.46762041783916,-98.46755988406932,0.5520327080072562,2.574944770116069,-47.4598003194425,-47.425074820466975,-147.48317919249013,-47.45976492324045,-98.46757426652525,0.5520455285248127,-47.460089254512425,-49.44802197085925,-47.425038563564826,-49.44795757059573,2.581330613105471,-47.418663693475125,0.5518807358758842,-49.44798497466623,2.5812321187629066,-98.46772169705751,-147.48320524586347,-98.4676390931956,-47.425298662902996,-98.46772918205929,2.5749526108599956,-148.46756295044082,2.5813338502860614,2.5400847647322453,-47.42515623100076,-98.46768556439235,2.5749622550491287,0.5519872752452972,-47.42505188238729,-97.4832094921672,2.5812627312416643,2.581356914377503,-147.48318744832773,-148.46757994018373,2.5402117255408765	0.99887542860485	2.5813638191747748	0	true	1
31	6	6	100	0	0	0	0	0	-49.33838249298084	2.6868631569981942	2.68687202762418	2.68687202762418	-147.36868184300425,2.6868631569981942,0.6616876198556173,-97.3687738647504,-148.35562543806617,2.6867369788702935,-147.36868264537108,-147.36869448150367,2.68685664919628,-49.3383305749829,-98.35565257291366,-49.338318094286244,-47.348243399175395,2.686724356013174,2.6868500605555354,0.6615657518047958,-47.31314759305353,-147.36869854891532,0.6617150012970635,-47.31830211110429,2.6516810489158202,-47.31829516975616,-97.36869102715303,-98.35571315807815,-147.36868237541478,2.6815239161827344,0.6616650917143131,-148.3556256355092,-97.36873137610908,2.681608154689001,-98.35561919187322,2.6816588967206383,2.6868324175898683,-97.36871731352481,2.6815808830444126,-49.338286132516345,-97.36883999884108,2.6517010628100293,-97.36869781517134,0.6617087123914435,0.6616043761925751,2.651735426909022,-148.35564334616024,-47.31830518556018,0.6616880159162317,-98.35564551420015,-147.36869973812787,-47.313131947238766,-98.35561843093903,-47.31329981426546,-147.36870072373307,0.6617095406551162,2.6816892400558228,-47.34845673649413,2.686822431157412,2.651731726650991,-97.3687445489024,-49.338304136223144,-47.31844955385533,-98.35561172813419,-148.3556259802599,2.6517232835619726,-47.31829894716954,-98.3556473404529,2.6514813835276763,2.6516424117845143,0.6617087268727707,-97.36881550752449,-148.35563916958125,-49.33829939432227,2.681711330093303,-148.35561260544762,2.681696368448844,2.6816832323715922,-47.348246614190614,2.6816047681243522,-47.31828731824079,2.6816936316511013,2.651670134569289,-49.33830082889606,0.6616396824294557,2.6517218133084612,0.6617131824949424,0.6615184540345255,-47.3482575960984,0.6617138354214767,0.6617073940643943,-47.3131428386342,2.6817114003958396,-98.35570445205089,-147.36869652772157,-47.31315429171649,-49.33845542993155,-97.3687445489024,2.651765249610033,-47.34845666653905,-147.3686996818643,-147.36897100282283,2.6517294118938275,-49.33838249298084	0.99887542860485	2.6868631569981942	0	true	0
32	7	7	100	0	0	0	0	0	-147.26784318593286	2.7792334926591677	2.7792393360220307	2.7792393360220307	-148.25707914798767,2.748429394455416,-147.26794055112097,1.7744645502839804,2.748303036875597,-47.22077177243908,2.779056594413196,2.7791238863323153,-47.220795264955946,0.7580701251337074,1.77449200909543,2.7792269408469106,0.7581217847531111,-48.22551613569911,2.779213192922648,2.7791250303889927,2.7791948055629763,1.7744044855447108,-98.2571210939221,0.7581357151375151,-47.25157168367994,-98.25703068705621,-47.25157883841445,-98.2570104317678,0.7581035681365128,0.7581250629940197,2.779205115667943,-97.26782781829226,0.7581451349716932,-97.26783711656151,-98.25718170987875,0.7581444450205557,2.7484318947002437,2.779182208132215,2.748425993538898,-147.2679395972223,2.779215171492718,-47.220848664179364,-48.22551612399611,-47.22078420230042,-48.225536833625725,-49.241869880558646,-49.24186512701993,1.7744888686809432,0.7581343781680181,2.779154581827395,0.7581332081141492,2.748428909042682,2.748438026099696,-98.25702306962292,-47.220772814534605,-47.251565438848324,2.7792334926591677,-98.25700144452006,-47.251575381018846,-49.24188506663382,-98.25705617440705,0.7580624483986427,-48.22552601260331,-148.25703123749702,1.7429878985913165,-148.25703823578436,-47.25158474012818,-147.26785989230032,-98.25702639745337,2.7483802273874987,0.7581197734098206,-47.220777747129894,-147.26783839275072,-49.241864451747425,-47.22079601843043,1.7744645502839804,-49.241873102087325,-47.22077983433593,2.7791622585624594,0.7581373916910495,-147.26785749386636,-48.225513750247906,-148.2570200163728,-47.25156520320101,-47.220840323213615,0.7581116216348404,1.774483831266533,-49.241862753271725,2.7791196083700624,1.7744808456075298,-147.26783850725647,-97.26794654061196,-48.22570404993215,-98.25701045572568,1.7744888686809432,-97.26788430957312,0.7579575369022301,-98.25699896826993,-147.26790713573814,-47.25157872138896,2.7483246769126404,-47.22090084007629,0.758042800890456,-147.26784318593286	0.9987036576717526	2.7792334926591677	0	true	1
33	7	7	100	0	0	0	0	0	0.837762004794125	2.8546168910690595	2.8546176442994406	2.8546176442994406	1.8515648544673242,2.8115457214544266,-148.18354140002413,1.8515380370254506,-98.1835638260383,-49.162171901420194,-98.18354723456689,0.837646216080141,-47.18851349659401,0.83781670814461,2.8545987411103093,1.8515283845824373,-148.1837088583112,-47.1701292944794,-98.17480501418014,2.8297504231075714,1.8514944756130942,-48.14845530867466,-49.16223831668615,2.829883961114152,-98.18372568342353,2.829884472465343,1.8514608469892504,-148.17474095824502,-48.14843481007864,1.85157508648127,1.851558288070127,1.8514812012393802,-98.18353974747232,2.811409833459064,-47.17014658000674,2.829866404620647,2.8546168910690595,-98.18361358483484,1.8515311851454008,-98.1747432746523,2.8298068527985434,-48.14842859183443,-47.17012334660893,-47.17017275540559,-47.17024026188512,-48.14842832347092,2.8545993345755547,-148.1747465505965,2.8298669116829362,-98.17474065945468,-47.14551787505946,-98.183545709561,1.851551572091669,-47.188348385856735,1.851579637656518,2.8546089459707233,1.85157508648127,2.854503816269512,2.811537832682554,-98.18356584723095,-98.18354517478373,0.83775707643245,-47.145414783510304,2.811409833459064,1.8515109420860107,-148.17474357350835,-148.17484826026416,-98.18361525769039,-98.1835837412022,-148.18354545436657,-148.1836486818014,-48.14842696399122,-98.18360514638269,0.8377466093021112,2.8116506375241546,2.8298595034372123,0.83780475439286,-98.17475366008763,-148.174739947801,0.8377626470993793,-98.18365273424612,-47.17012131700138,-148.18354105526686,-98.17472933271924,2.829882343377737,-47.145388875193426,2.8116369948507516,-47.17013000086018,-48.14845261132004,-47.18836316130626,0.8378050279052796,2.829863919391039,0.8377861790091005,-49.16217454223662,2.8546116584737735,1.851522336765315,1.8515727249789655,0.8378066581347187,-47.188357824385335,0.8378042228492578,2.854592438381755,-98.17478149692705,-98.18354797927273,0.837762004794125	0.9986204224270916	2.8546168910690595	0	true	1
