# solver: DSA
# max_time: 500
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 1888e5b1-1a63-4149-a86e-bb280378b21d
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	1	479	1	8	0	0	1.6665097619786973	1.6665097619786973	1.6665097619786973	1.6665097619786973	1.6665097619786973	0.9991239280309399	1.6665097619786973	0	true	5
25	6	6	1	480	2	16	0	0	1.8627521608830964	1.8627521608830964	1.8627521608830964	1.8627521608830964	1.8627521608830964	0.9990443117099597	1.8627521608830964	0	true	2
26	6	6	1	481	2	16	0	0	2.0430996769369494	2.0430996769369494	2.0430996769369494	2.0430996769369494	2.0430996769369494	0.9990443117099597	2.0430996769369494	0	true	1
27	6	6	20	9620	40	320	0	0	2.2113718233962794	2.2113718233962794	2.2113718233962794	2.2113718233962794	2.205002461885989,2.205002461885989,2.205002461885989,2.205002461885989,2.205002461885989,2.205002461885989,2.205002461885989,2.205002461885989,2.205002461885989,2.2050026963000966,2.2050026963000966,2.2050026963000966,2.2050026963000966,2.2050026963000966,2.2050026963000966,2.2050026963000966,2.2050026963000966,2.2050026963000966,2.2113718233962794,2.2113718233962794	0.9990443117099597	2.2113718233962794	0	true	4
28	6	6	5	2405	10	80	0	0	2.360079219842246	2.360079219842246	2.360079219842246	2.360079219842246	2.360078277502807,2.360078277502807,2.360078277502807,2.360079219842246,2.360079219842246	0.9990443117099597	2.360079219842246	0	true	2
29	6	6	6	2886	12	96	0	0	2.493939252225793	2.493939252225793	2.493939252225793	2.493939252225793	2.493938166515204,2.493938166515204,2.493938166515204,2.493938166515204,2.493939252225793,2.493939252225793	0.9990443117099597	2.493939252225793	0	true	2
30	6	6	2	962	4	32	0	0	2.581366252244764	2.581366252244764	2.581366252244764	2.581366252244764	2.581366252244764,2.581366252244764	0.99887542860485	2.581366252244764	0	true	7
31	6	6	5	2405	10	80	0	0	2.6868727182806627	2.6868727182806627	2.6868727182806627	2.6868727182806627	-47.313127660760145,-47.313127660760145,-47.313127660760145,2.6868727182806627,2.6868727182806627	0.99887542860485	2.6868727182806627	0	true	2
32	7	7	3	1437	6	48	0	0	2.7792404689859347	2.7792404689859347	2.7792404689859347	2.7792404689859347	2.7792402543058365,2.7792404689859347,2.7792404689859347	0.9987036576717526	2.7792404689859347	0	true	1
33	7	7	8	3832	16	128	0	0	2.855222343028753	2.855222343028753	2.855222343028753	2.855222343028753	2.855222291082969,2.855222291082969,2.855222291082969,2.855222291082969,2.855222291082969,2.855222291082969,2.855222343028753,2.855222343028753	0.9986204224270916	2.855222343028753	0	true	1
34	8	8	38	18202	76	608	0	0	2.9139193983551652	2.9139193983551652	2.9139193983551652	2.9139193983551652	2.913918253292204,2.913918253292204,2.913918253292204,2.913918253292204,2.913918253292204,2.913918253292204,2.913918253292204,2.913918253292204,2.913918253292204,2.913918253292204,2.913918253292204,2.913918253292204,2.913918253292204,2.913918253292204,2.913918253292204,2.913918253292204,2.913918253292204,2.913918253292204,2.913918253292204,2.913918253292204,2.913918253292204,2.913918253292204,2.913918253292204,2.913918253292204,2.913918253292204,2.913918253292204,2.913918253292204,2.913918253292204,2.913918253292204,2.913918253292204,2.913918253292204,2.913918253292204,2.913918253292204,2.913918253292204,2.913918253292204,2.913918253292204,2.9139193983551652,2.9139193983551652	0.9984128643598162	2.9139193983551652	0	true	2
35	9	9	1	480	2	16	0	0	2.9564266250553803	2.9564266250553803	2.9564266250553803	2.9564266250553803	2.9564266250553803	0.998144332911735	2.9564266250553803	0	true	1
36	10	10	9	4320	18	144	0	0	2.9999073802391196	2.9999073802391196	2.9999073802391196	2.9999073802391196	2.98301574041306,2.98301574041306,2.98301574041306,2.98301574041306,2.98301574041306,2.98301574041306,2.98301574041306,2.9999073802391196,2.9999073802391196	0.9981368757356651	2.9999073802391196	0	true	0
37	11	11	1	481	2	16	0	0	2.9996152218082783	2.9996152218082783	2.9996152218082783	2.9996152218082783	2.9996152218082783	0.9979193747669632	2.9996152218082783	0	true	1
38	11	11	12	5784	24	192	0	0	2.999903626992007	2.999903626992007	2.999903626992007	2.999903626992007	2.9999030791395827,2.9999030791395827,2.9999030791395827,2.9999030791395827,2.9999030791395827,2.9999030791395827,2.9999030791395827,2.9999030791395827,2.9999030791395827,2.9999030791395827,2.999903626992007,2.999903626992007	0.9975972905593614	2.999903626992007	0	true	1
39	12	12	11	5302	22	176	0	0	2.9995389962231327	2.9995389962231327	2.9995389962231327	2.9995389962231327	2.999536561562419,2.999536561562419,2.999536561562419,2.999536561562419,2.999536561562419,2.999536561562419,2.999536561562419,2.999536561562419,2.999536561562419,2.9995389962231327,2.9995389962231327	0.9975264473866985	2.9995389962231327	0	true	1
40	12	12	1	483	2	16	0	0	2.9996099754097694	2.9996099754097694	2.9996099754097694	2.9996099754097694	2.9996099754097694	0.9975264473866985	2.9996099754097694	0	true	1
41	13	13	3	1449	6	48	0	0	2.999967320221138	2.999967320221138	2.999967320221138	2.999967320221138	2.999966126467501,2.999967320221138,2.999967320221138	0.9974928900943846	2.999967320221138	0	true	0
42	15	15	2	966	4	32	0	0	2.999347202007623	2.999347202007623	2.999347202007623	2.999347202007623	2.999347202007623,2.999347202007623	0.9973089464179967	2.999347202007623	0	true	1
43	15	15	4	1932	8	64	0	0	2.999162183126395	2.999162183126395	2.999162183126395	2.999162183126395	2.9991617790805907,2.9991617790805907,2.999162183126395,2.999162183126395	0.9972257111733355	2.999162183126395	0	true	1
44	16	16	9	4356	18	144	0	0	2.9998747528290686	2.9998747528290686	2.9998747528290686	2.9998747528290686	2.9998747085503186,2.9998747085503186,2.9998747085503186,2.9998747085503186,2.9998747085503186,2.9998747085503186,2.9998747085503186,2.9998747528290686,2.9998747528290686	0.9971411965112114	2.9998747528290686	0	true	1
45	18	18	1	485	2	16	0	0	2.999120445814363	2.999120445814363	2.999120445814363	2.999120445814363	2.999120445814363	0.996617074008817	2.999120445814363	0	true	0
46	19	19	1	487	2	16	0	0	2.999298574530455	2.999298574530455	2.999298574530455	2.999298574530455	2.999298574530455	0.9964878162902743	2.999298574530455	0	true	1
47	19	19	1	486	2	16	0	0	2.9999305724458414	2.9999305724458414	2.9999305724458414	2.9999305724458414	2.9999305724458414	0.9964878162902743	2.9999305724458414	0	true	1
48	20	20	1	486	2	16	0	0	2.9991019354738144	2.9991019354738144	2.9991019354738144	2.9991019354738144	2.9991019354738144	0.9960831548241349	2.9991019354738144	0	true	0
49	23	23	1	486	2	16	0	0	2.9999369381542635	2.9999369381542635	2.9999369381542635	2.9999369381542635	2.9999369381542635	0.9959128826372083	2.9999369381542635	0	true	0
50	23	23	1	487	2	16	0	0	2.9997567729467653	2.9997567729467653	2.9997567729467653	2.9997567729467653	2.9997567729467653	0.9955316893428181	2.9997567729467653	0	true	0
51	24	24	1	488	2	16	0	0	2.999912285933991	2.999912285933991	2.999912285933991	2.999912285933991	2.999912285933991	0.9954409603673023	2.999912285933991	0	true	1
52	24	24	1	488	2	16	0	0	2.9998398423814843	2.9998398423814843	2.9998398423814843	2.9998398423814843	2.9998398423814843	0.9954083900541741	2.9998398423814843	0	true	0
53	27	27	11	5368	22	176	0	0	2.999873727863179	2.999873727863179	2.999873727863179	2.999873727863179	2.9998733676409484,2.9998733676409484,2.9998733676409484,2.9998733676409484,2.9998733676409484,2.9998733676409484,2.9998733676409484,2.9998733676409484,2.9998733676409484,2.999873727863179,2.999873727863179	0.9949783595674838	2.999873727863179	0	true	1
54	28	28	20	9800	40	320	0	0	2.961949656675938	2.961949656675938	2.961949656675938	2.961949656675938	1.9999727862112586,1.9999727862112586,2.961949640831878,2.961949640831878,2.961949640831878,2.961949640831878,2.961949640831878,2.961949640831878,2.961949640831878,2.961949640831878,2.961949640831878,2.961949640831878,2.961949640831878,2.961949640831878,2.961949640831878,2.961949640831878,2.961949640831878,2.961949640831878,2.961949656675938,2.961949656675938	0.9944607072619737	2.961949656675938	0	true	2
55	29	29	1	491	2	16	0	0	2.9998849787875357	2.9998849787875357	2.9998849787875357	2.9998849787875357	2.9998849787875357	0.9943720619091834	2.9998849787875357	0	true	0
56	32	32	1	493	2	16	0	0	2.999140597962917	2.999140597962917	2.999140597962917	2.999140597962917	2.999140597962917	0.9937259560903926	2.999140597962917	0	true	1
57	33	33	1	493	2	16	0	0	2.999628776412685	2.999628776412685	2.999628776412685	2.999628776412685	2.999628776412685	0.9934888617571154	2.999628776412685	0	true	0
58	34	34	14	6916	28	224	0	0	2.999962716845256	2.999962716845256	2.999962716845256	2.999962716845256	2.9999624773761457,2.9999624773761457,2.9999624773761457,2.9999624773761457,2.9999624773761457,2.9999624773761457,2.9999624773761457,2.9999624773761457,2.9999624773761457,2.9999624773761457,2.9999624773761457,2.9999624773761457,2.999962716845256,2.999962716845256	0.9931386669201132	2.999962716845256	0	true	2
59	38	38	6	2970	12	96	0	0	2.9993820619359686	2.9993820619359686	2.9993820619359686	2.9993820619359686	2.999379834066963,2.999379834066963,2.999379834066963,2.999379834066963,2.9993820619359686,2.9993820619359686	0.9924779026326753	2.9993820619359686	0	true	1
60	39	39	28	13888	56	448	0	0	2.9839421384403617	2.9839421384403617	2.9839421384403617	2.9839421384403617	1.9992164645140411,1.9992164645140411,1.9992164645140411,1.9992164645140411,1.9992164645140411,1.9992164645140411,1.9992164645140411,1.9992164645140411,1.9992164645140411,1.9992164645140411,1.9992164645140411,1.9992164645140411,1.9992164645140411,2.9839407252590373,2.9839407252590373,2.9839407252590373,2.9839407252590373,2.9839407252590373,2.9839407252590373,2.9839407252590373,2.9839407252590373,2.9839407252590373,2.9839407252590373,2.9839407252590373,2.9839407252590373,2.9839407252590373,2.9839421384403617,2.9839421384403617	0.9921539906858406	2.9839421384403617	0	true	3
61	40	40	7	3486	14	112	0	0	2.9996499307831996	2.9996499307831996	2.9996499307831996	2.9996499307831996	1.9991447341982005,1.9991447341982005,1.9991447341982005,1.9991447341982005,1.9991447341982005,2.9996499307831996,2.9996499307831996	0.9920842807115023	2.9996499307831996	0	true	1
62	42	42	7	3500	14	112	0	0	2.999049653549971	2.999049653549971	2.999049653549971	2.999049653549971	2.9990486618300656,2.9990486618300656,2.9990486618300656,2.9990486618300656,2.9990486618300656,2.999049653549971,2.999049653549971	0.9916320614705257	2.999049653549971	0	true	1
63	44	44	1	501	2	16	0	0	2.9998074963142005	2.9998074963142005	2.9998074963142005	2.9998074963142005	2.9998074963142005	0.991469246459669	2.9998074963142005	0	true	0
64	46	46	24	12072	48	384	0	0	2.999186977827123	2.999186977827123	2.999186977827123	2.999186977827123	2.999185903163155,2.999185903163155,2.999185903163155,2.999185903163155,2.999185903163155,2.999185903163155,2.999185903163155,2.999185903163155,2.999185903163155,2.999185903163155,2.999185903163155,2.999185903163155,2.999185903163155,2.999185903163155,2.999185903163155,2.999185903163155,2.999185903163155,2.999185903163155,2.999185903163155,2.999185903163155,2.999185903163155,2.999185903163155,2.999186977827123,2.999186977827123	0.9913225886636302	2.999186977827123	0	true	2
65	47	47	13	6539	26	208	0	0	1.9999626394291046	1.9999626394291046	1.9999626394291046	1.9999626394291046	1.999265974854653,1.999265974854653,1.999265974854653,1.999265974854653,1.999265974854653,1.999265974854653,1.999265974854653,1.999265974854653,1.999265974854653,1.999265974854653,1.999265974854653,1.9999626394291046,1.9999626394291046	0.9910779274899292	1.9999626394291046	0	true	2
66	50	50	10	5040	20	160	0	0	2.977120947574599	2.977120947574599	2.977120947574599	2.977120947574599	1.9994765321067145,1.9994765321067145,1.9994765321067145,1.9994765321067145,1.9994765321067145,1.9994765321067145,1.9994765321067145,1.9994765321067145,2.977120947574599,2.977120947574599	0.9899596069629555	2.977120947574599	0	true	1
67	50	50	4	2024	8	64	0	0	2.999650204471603	2.999650204471603	2.999650204471603	2.999650204471603	2.9996468372424485,2.9996468372424485,2.999650204471603,2.999650204471603	0.9893962611766255	2.999650204471603	0	true	0
68	53	53	13	6604	26	208	0	0	2.999056039320533	2.999056039320533	2.999056039320533	2.999056039320533	2.9990549636715245,2.9990549636715245,2.9990549636715245,2.9990549636715245,2.9990549636715245,2.9990549636715245,2.9990549636715245,2.9990549636715245,2.9990549636715245,2.9990549636715245,2.9990549636715245,2.999056039320533,2.999056039320533	0.988364027167516	2.999056039320533	0	true	1
69	54	54	29	14790	58	464	0	0	2.999206398371947	2.999206398371947	2.999206398371947	2.999206398371947	2.9992050274681885,2.9992050274681885,2.9992050274681885,2.9992050274681885,2.9992050274681885,2.9992050274681885,2.9992050274681885,2.9992050274681885,2.9992050274681885,2.9992050274681885,2.9992050274681885,2.9992050274681885,2.9992050274681885,2.9992050274681885,2.9992050274681885,2.9992050274681885,2.9992050274681885,2.9992050274681885,2.9992050274681885,2.9992050274681885,2.9992050274681885,2.9992050274681885,2.9992050274681885,2.9992050274681885,2.9992050274681885,2.9992050274681885,2.9992050274681885,2.999206398371947,2.999206398371947	0.9879722329855753	2.999206398371947	0	true	3
70	58	58	1	511	2	16	0	0	2.999998397952253	2.999998397952253	2.999998397952253	2.999998397952253	2.999998397952253	0.9871658709908544	2.999998397952253	0	true	1
71	60	60	1	512	2	16	0	0	2.9991221266045103	2.9991221266045103	2.9991221266045103	2.9991221266045103	2.9991221266045103	0.9865251387254081	2.9991221266045103	0	true	1
72	62	61	1	513	2	16	0	0	2.999918598279658	2.999918598279658	2.999918598279658	2.999918598279658	2.999918598279658	0.9862267785730477	2.999918598279658	0	true	1
73	63	61	11	5632	22	176	0	0	2.9995160324086587	2.9995160324086587	2.9995160324086587	2.9995160324086587	-47.00048383184961,-47.00048383184961,-47.00048383184961,-47.00048383184961,-47.00048383184961,-47.00048383184961,-47.00048383184961,-47.00048383184961,-47.00048383184961,2.9995160324086587,2.9995160324086587	0.9859437714302429	2.9995160324086587	0	true	2
74	64	62	1	514	2	16	0	0	2.9999227397975146	2.9999227397975146	2.9999227397975146	2.9999227397975146	2.9999227397975146	0.9854408872577336	2.9999227397975146	0	true	1
