# solver: DSA
# max_time: 500
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 1bb659c5-0f9b-41fb-b51f-859ebbff8a97
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-nopolice-refugeOnFire.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	9	9	22	1100	7524	60192	0	0	44.69260043327582	44.69260043327582	44.69260043327582	44.69260043327582	0.02843213154202573,6.868274804067092,21.71146493614753,21.71146493614753,28.36488763841277,30.364421168939753,31.62130202953805,31.62130202953805,35.02898133115313,36.85825986274409,36.85825986274409,36.85825986274409,36.87941064523738,39.929767469204904,43.8592792996606,43.8592792996606,42.38060326262587,43.33906455604064,42.732209746223035,42.732209746223035,44.69260043327582,44.69260043327582	0.9975653416775723	44.69260043327582	0	true	14
25	9	9	9	522	3078	24624	0	0	46.143863442922004	46.143863442922004	46.143863442922004	46.143863442922004	21.092480256181208,30.97899926817748,33.50997122277502,38.07694199813258,42.193499050252065,42.33930062882474,43.11330608711089,46.143863442922004,46.143863442922004	0.9975653416775723	46.143863442922004	0	true	5
26	9	9	8	464	2736	21888	0	0	46.9773532082969	46.9773532082969	46.9773532082969	46.9773532082969	32.81941317363298,41.55905406493979,41.55905406493979,45.87903728376669,45.87903728376669,45.87903728376669,46.9773532082969,46.9773532082969	0.9975653416775723	46.9773532082969	0	true	2
27	10	10	6	348	2052	16416	0	0	46.40091568816965	46.40091568816965	46.40091568816965	46.40091568816965	37.324946117645496,42.81100529534433,45.09127262801811,46.01851434320613,46.40091568816965,46.40091568816965	0.997262083184068	46.40091568816965	0	true	3
28	10	10	13	806	4446	35568	0	0	53.0163160779715	53.0163160779715	53.0163160779715	53.0163160779715	42.96499173109322,46.23780433567114,46.23780433567114,46.23780433567114,46.23780433567114,48.238366828883926,48.238366828883926,50.945538542057065,50.945538542057065,50.945538542057065,51.01228683548552,53.0163160779715,53.0163160779715	0.9970015206790418	53.0163160779715	0	true	3
29	12	12	12	744	4104	32832	0	0	51.221455777958454	51.221455777958454	51.221455777958454	51.221455777958454	46.88420276485472,46.9398261396433,46.91015425768353,48.942741188888974,48.942741188888974,48.942741188888974,48.942741188888974,49.2818263894474,49.2818263894474,51.11502645455294,51.221455777958454,51.221455777958454	0.9966696763439367	51.221455777958454	0	true	3
30	13	13	13	910	4446	35568	0	0	52.12900239582395	52.12900239582395	52.12900239582395	52.12900239582395	49.49289319048945,51.35626590522572,51.368261722615465,51.368261722615465,51.368261722615465,51.368261722615465,51.368261722615465,51.368261722615465,51.368261722615465,51.368261722615465,52.12589989625305,52.12900239582395,52.12900239582395	0.9965839188191344	52.12900239582395	0	true	3
31	13	13	4	296	1368	10944	0	0	47.68569436986026	47.68569436986026	47.68569436986026	47.68569436986026	40.150741889185085,45.67731838342809,47.68569436986026,47.68569436986026	0.9960483181143581	47.68569436986026	0	true	1
32	13	13	8	592	2736	21888	0	0	45.72229999051257	45.72229999051257	45.72229999051257	45.72229999051257	42.8548950507236,42.8548950507236,42.8548950507236,44.71373121587685,44.71373121587685,45.26475589960904,45.72229999051257,45.72229999051257	0.9955863021910939	45.72229999051257	0	true	3
33	15	15	12	888	4104	32832	0	0	45.71384444546444	45.71384444546444	45.71384444546444	45.71384444546444	21.816510894681812,34.00212965395802,39.29505160950315,39.29505160950315,37.294909136705286,39.76305044090773,42.51338613228469,42.51338613228469,44.43131907913985,44.43131907913985,45.71384444546444,45.71384444546444	0.9953466855776751	45.71384444546444	0	true	11
34	15	15	10	820	3420	27360	0	0	48.59933378720396	48.59933378720396	48.59933378720396	48.59933378720396	23.113711479094235,23.113711479094235,32.85753618941538,44.79008235880147,47.286985761140144,47.286985761140144,47.286985761140144,48.26910240561378,48.59933378720396,48.59933378720396	0.9953466855776751	48.59933378720396	0	true	2
35	17	17	15	1230	5130	41040	0	0	48.84517457443902	48.84517457443902	48.84517457443902	48.84517457443902	41.64868254470433,42.64867986214985,45.90887862698446,45.90887862698446,45.90887862698446,45.90887862698446,45.90887862698446,45.90887862698446,45.90959056752608,45.90959056752608,45.90959056752608,46.85851413673063,46.85851413673063,48.84517457443902,48.84517457443902	0.9952186707218108	48.84517457443902	0	true	3
36	17	16	17	1530	5814	46512	0	0	41.69343082731548	41.69343082731548	41.69343082731548	41.69343082731548	13.53120605962035,26.85967414996313,26.852311857279023,26.852311857279023,29.619315805865828,31.284793264876885,36.23722556178768,36.23722556178768,38.22014715570876,38.22014715570876,38.22014715570876,38.22014715570876,38.22014715570876,39.704469063671255,39.704469063671255,41.69343082731548,41.69343082731548	0.994762247680599	41.69343082731548	0	true	3
37	19	18	8	688	2736	21888	0	0	41.04287954903398	41.04287954903398	41.04287954903398	41.04287954903398	26.999361412788687,32.72508745779524,34.27516880126696,38.633442210469624,38.633442210469624,40.46432866133527,41.04287954903398,41.04287954903398	0.9944788749899475	41.04287954903398	0	true	3
38	20	19	26	2444	8892	71136	0	0	34.48256449134538	34.48256449134538	34.48256449134538	34.48256449134538	-13.092390835338868,-4.555911088049328,2.3451797089749675,11.691417151912196,11.691417151912196,14.62479299659337,16.174184082567614,20.890226769712463,20.890226769712463,25.474898212809197,29.01700584092343,31.623675573390365,31.623675573390365,32.19869691288749,32.19869691288749,34.15229089957964,34.15229089957964,34.15229089957964,34.15229089957964,34.15229089957964,34.15229089957964,34.15229089957964,34.15229089957964,34.15229089957964,34.48256449134538,34.48256449134538	0.9943401130273941	34.48256449134538	0	true	4
39	21	21	9	882	3078	24624	0	0	40.79891016183397	40.79891016183397	40.79891016183397	40.79891016183397	21.177557791229006,21.177557791229006,28.21035110622301,31.908396591166582,34.843029806260716,36.360424469001,39.23700802915007,40.79891016183397,40.79891016183397	0.9941517096672784	40.79891016183397	0	true	3
40	22	20	54	5724	18468	147744	0	0	38.95957333947926	38.95957333947926	38.95957333947926	38.95957333947926	-52.683807723819314,-52.683807723819314,-52.683807723819314,-44.41683642870038,-20.774480285043047,-9.070252896757586,8.432931009561589,14.540812416565178,14.540812416565178,14.540812416565178,16.91236832651936,16.91236832651936,16.91236832651936,19.739462400384383,19.739462400384383,25.780642550041627,34.26405876920386,36.83380034780615,38.47450935992359,38.47450935992359,38.47450935992359,38.47450935992359,38.47450935992359,38.47450935992359,38.47450935992359,38.47450935992359,38.47450935992359,38.47450935992359,38.47450935992359,38.47450935992359,38.47450935992359,38.47450935992359,38.47450935992359,38.47450935992359,38.47450935992359,38.47450935992359,38.47450935992359,38.47450935992359,38.47450935992359,38.47450935992359,38.47450935992359,38.47450935992359,38.47450935992359,38.47450935992359,38.47450935992359,38.47450935992359,38.47450935992359,38.47450935992359,38.47450935992359,38.47450935992359,38.47450935992359,38.47450935992359,38.95957333947926,38.95957333947926	0.9937976765778874	38.95957333947926	0	true	6
