# solver: Random
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 266ff86a-6809-499c-94fa-fada6f639276
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-nopolice-refugeOnFire.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
23	3	3	100	0	0	0	0	0	19.831222537394638	21.794825279011512	21.74347703436508	21.794825279011512	10.03371033882452,21.19096139852641,21.224634867550613,16.72736916731656,16.785343668467476,17.718739566760984,19.789521417614928,10.940098981148026,19.80245128864462,21.13452030789282,20.114145520993155,14.019778504036672,16.91655974985234,19.4066323920228,15.84006557734945,17.813242622398093,15.90464324076634,21.27818749218681,20.04186132534872,17.88970657760018,17.8622881146091,6.236475992213357,21.794825279011512,19.3166854578269,20.096385132086866,10.966254125730046,9.950491213004682,21.26897923262187,21.201188426605597,19.26726530375425,10.950783772990988,19.293378729977462,20.209495860891174,19.67373790748882,21.205870905075404,20.007400374126593,19.345753623435705,15.032432170250878,17.87874903252873,15.816467749565703,19.8571244844523,19.837825425770724,21.17048246362114,16.778225958254986,19.84522518731943,16.62989234215351,17.849547549780667,13.74652416064983,19.494586468387304,15.965715963812336,16.774344303055116,20.137001155027917,19.346326418598352,20.183613026952223,9.83816323429027,16.640686357222904,21.131134763619038,13.91488746839611,21.270632782731866,15.75481564193364,11.27347767342819,21.15130879547589,17.922458355275182,21.12646828362373,21.218774260754614,19.340038103395415,13.990447804877157,19.296860050064524,13.91450180605299,15.969961938872748,15.888530824770006,20.203767099700826,6.426640858695002,21.079267195867466,21.179992471768756,19.275551979024712,21.22605800182081,19.29952576484554,19.761905575334524,17.83345831878694,20.046378378067647,16.811295123815825,19.857166963724616,19.356488115717973,17.74791676076896,15.82145940351367,17.88175976394696,16.792451031818565,11.261708579238778,6.258981292407867,17.768986773111507,4.169497091319776,4.401995755111926,19.25016554920397,19.813125553059812,21.15287251526179,5.977525240355433,6.368932051881629,17.932357769770718,19.831222537394638	0.9985040319927475	21.794825279011512	9	false	13
24	3	3	100	0	0	0	0	0	17.486153937486634	21.473143814905022	21.389176253168323	21.473143814905022	19.003689943077738,17.57285601902396,20.894950195124732,19.050439072278436,18.996912245241724,0.8466555770834105,14.976303345010813,16.36139831871384,17.48914140651401,20.94794771397784,19.534554575507407,5.939472658522092,17.53666187834493,20.83465056060882,20.931942107696088,20.947614391002006,17.598522987492956,14.838526925526708,21.415354334919037,13.633236729616492,13.55520224650001,16.363373776674784,9.486161679796394,19.07458650506988,10.698392444020513,21.449048682466987,3.378786092617929,20.768161583071088,20.801076111516785,16.618128586581705,20.926407246098872,19.100104854246204,19.787677193661295,10.615184611306653,19.53778607892705,14.997119796834617,19.01586038943971,17.651783086316218,19.761322478343203,19.010538002945772,21.01225898727555,20.90122001198034,20.848287939985866,20.973249485903,9.581671364628342,19.038039100618157,19.777820514202716,10.749692449201262,11.46883163288603,18.92978558134589,16.423221282965876,16.380623191869383,20.852361606496512,16.556964101976,15.432456678359998,0.01056882275619131,14.87127192330557,20.745631427839818,19.892996261966772,10.803736657224059,20.871268163146294,15.291196004482691,17.52800379125613,18.927148174986584,15.39979047721683,19.774494085039866,20.813529204859925,20.93401188600118,19.518037064891693,21.473143814905022,10.633258720247412,14.810197833165638,17.733920912386353,19.522282536617197,19.588073418587562,19.093952113121397,19.070932092962742,19.749566544924807,10.890446169228987,7.290945992981889,19.646760366030435,19.018863458693467,19.101954421953423,9.683375666134395,7.504323769116283,14.98865229590205,14.88496037619035,14.70139162322058,10.717003160909622,19.357794104628113,19.138350086367147,20.85892396698022,20.90270467195664,19.06001839576821,5.921277443098347,17.480762744238078,19.175062136391723,13.65988863665077,19.423525730784505,17.486153937486634	0.9985040319927475	21.473143814905022	9	false	8
25	3	3	100	0	0	0	0	0	16.338403648329148	21.37743101889925	21.35539961058516	21.37743101889925	3.809307107390822,20.799885325476644,19.475714543905006,18.921209561618888,11.05555320825772,7.23929264368013,21.208080421087516,19.430675036030017,11.077145384253413,21.323400963025442,13.54915502410153,17.405119183841208,19.05050859060936,19.58107821498489,14.579605409948329,18.868222308444842,19.76045057088259,18.922000420717275,15.464560153500052,18.824876179556306,19.586188236995756,14.887773922671563,17.489367144468073,19.41660937549947,15.536943393286228,20.645857304104634,20.736901095694243,18.91909230997029,14.771778419676103,13.604004612078988,17.2614965076861,10.667829609962617,21.37743101889925,19.02057788311202,20.77625979020528,19.571089953685032,16.27382843962767,20.88095553302791,14.877770683751407,21.318387150494324,-0.4591662428368437,19.657150567256338,16.321455383986567,15.335361675874644,16.461113975135646,20.811020596129243,3.3625351536568413,21.324493664127083,17.35819501073742,13.524775709478739,17.599760065654056,15.361315187712215,19.053802989920634,11.418877822941198,17.474475166320687,18.92039891305479,20.814287340675875,13.551487377395624,16.297879586690108,19.7405948653184,19.652224980845418,19.660804747901153,10.73186453711221,10.653602636069479,16.163463965081164,19.37360390255381,20.743823669146558,20.673599969181495,20.800177185777237,19.700399032206136,19.59902939469889,17.43137917812419,15.234996339699405,19.762084794192056,19.395809475551623,5.056565966777278,16.222050938984346,20.681298941345,20.73990927645304,19.639964796276267,19.384550353587358,16.415735797341085,20.891739025031434,10.70494000155206,18.97465610019764,5.952154652652538,20.626668437305554,20.786028601475635,11.368869494784036,19.174089924550792,7.271771493609322,7.3191454620979215,19.224706044090375,10.57664389678903,19.600382137228422,18.968606390021478,15.21858264703131,20.731365671729954,19.6373513932241,16.338403648329148	0.9985040319927475	21.37743101889925	9	false	1
26	3	3	100	0	0	0	0	0	21.592217806138613	22.375546270249835	22.211862970629696	22.375546270249835	15.91625624797743,8.38270202900014,21.677883076051252,20.57719348010798,17.399327074921608,20.506879909502267,18.41666120923092,19.941447775925234,21.817718422648046,20.702436795306795,17.269344641912824,20.28650946642084,22.306421315119678,22.229536778910962,22.375546270249835,21.82358504718112,10.524871038661843,11.782608997994409,11.53574424375573,11.716549137238914,22.3442904171618,20.430514632855093,17.427067268079576,17.22283457631403,20.007856075344172,21.882449493813137,18.490214895295424,18.463802985388895,5.015174749856399,20.712004853567493,21.797134339354237,18.42558452163162,19.901744660331616,16.468728705311058,15.884658757125855,22.29904086740403,17.427429130339355,21.7971051636248,21.718734081222756,11.812925246108051,1.2144953464850943,20.408398780901855,16.22374988624488,20.730552818102467,10.351873842643272,17.483674597233822,22.26204647934754,18.32984229825645,20.67571638550949,21.726012412676194,19.867343040985453,14.3352642934822,18.389218369097662,15.914709561709486,20.265495651439004,22.36613996488014,21.74663105348679,18.389389262590726,6.577679801559803,11.826511738681278,6.07468404594036,19.9802924621006,20.66506573799298,20.626234815692285,21.80435116356168,10.341215260178934,21.69828663891,20.37743050630325,20.745957660152726,18.481215776451393,20.46425101539495,15.828242610807855,19.920148654130678,19.98042294820148,11.875982295338291,18.492780070612806,21.568251095990597,18.378834202508084,20.46741278351641,10.39418161883102,19.929819443110695,4.92036271744584,5.895946974568574,5.795432290957358,21.843445329836307,20.583719843530275,8.515075413201249,20.303209174521157,20.478992838689145,20.466382805713785,20.400816937451637,20.014703765919784,18.585769935469376,21.76621385434933,18.453097508007744,21.758886334538957,21.719354670408027,20.495352874662494,15.851066787094346,21.592217806138613	0.9985040319927475	22.375546270249835	9	false	1
27	4	4	100	0	0	0	0	0	37.05619524511096	39.316342063620226	39.19013031292509	39.405487384010925	34.680424884035936,29.505005393576653,37.18837824170955,38.086801064394294,29.52336200379153,18.328957226193474,33.71926489049072,31.665496232167804,38.002964859363445,38.00692423935979,31.956628396872865,35.97539960281869,29.507678391169765,37.26491685604907,29.48613436693853,33.86681134678656,31.959066351044278,35.96155324403081,34.7235777482262,27.257963054934088,37.150830087708755,37.1535394810828,34.664006529762204,39.15695077229037,34.55132594594626,24.150937368416436,24.28767137603992,31.331052375658487,32.55181141885368,29.315833938285778,27.08551366777734,26.166999132772727,25.27666251416378,25.95006988892377,39.316342063620226,31.369151865628552,38.01378910577668,27.430007242519622,10.909964593118318,18.042544220983466,37.15393464737707,37.82322690119567,27.17529283885488,32.674156260868486,33.74926790836639,27.10375668954063,29.204747522876364,27.443354249203594,34.21096673038282,37.14135197989702,37.272279935975455,17.505127222152105,33.99271250133972,31.984987173772453,31.585162741410784,35.944718405944315,25.80564920523667,37.92741399543253,32.7213994241627,34.583837573679745,37.11763848325097,37.186686676163525,34.637285135520656,22.714287110819228,37.16286555493035,37.8304737747644,15.109159826019614,37.882470435398204,27.290496639972986,29.152187762080374,32.70399721652212,29.71343248316257,18.172113919321852,37.908153321903384,37.067366392193556,31.36105484785807,27.36622260759367,33.96864401162853,37.126444864683265,34.57836107299116,33.94327115187139,26.024268783729383,27.549660493796395,34.62411065283685,32.659636227552234,30.639421442625608,37.17735791308893,39.0073338999171,25.967806615414766,32.547286432886416,26.31134561965351,31.42917144430056,34.59847622876396,35.92077356867085,32.0855324517936,32.64872807854637,32.421854871565984,27.29788933489906,16.853409418193472,37.05619524511096	0.9982007734992433	39.316342063620226	5	false	2
28	4	4	100	0	0	0	0	0	32.84941480188727	39.61617627953851	39.57154308709313	39.699893604340176	36.164797145677944,32.200137685660145,37.426464566214285,34.71179838117285,26.44946675739544,27.577398597007942,18.388863412147863,34.0831614875965,38.10278141858734,38.11063142826791,34.296486275727275,34.70656754645216,35.94165400248533,34.63145695264009,34.820623327842526,34.25136785731521,26.487868625695498,34.115504447542556,29.792009432625825,27.806418455683747,11.048071006285127,31.55423877764035,37.32567548113487,34.69662257599702,29.783969959495977,22.72803286939977,29.566255081836037,29.549473977137726,32.06807091021782,29.591176607355337,38.29283417922767,32.01966236509225,34.895862486811104,32.84648204469234,29.530461232619473,34.213952464782025,39.61617627953851,38.16728986754765,37.33363249123363,29.986073142361946,30.028670201995908,36.11311146981088,34.68594418929574,36.12975097591829,34.4081895648448,32.847797915739875,36.27627520848841,38.24731796074413,30.72378195828011,30.165721953892273,34.011763802393794,38.05587039443765,21.05637732468209,30.650448782098895,38.14485721187256,27.520713799878315,22.48232696636068,27.414540378240893,34.335893964320285,37.325133525732085,24.285124492964364,35.99284639221359,29.727352756012834,35.90354880649149,31.583950866712502,24.201000809325123,17.281171512397194,14.87329614552387,20.99680938844179,36.17615519057631,26.324068155672677,39.16644951535885,38.25052952623446,29.9604732722495,34.207340112365216,29.72140729435187,34.20736345276419,29.591174294341435,37.942184585286384,31.667751056359624,24.285096145514416,35.937939420212615,20.215083779730158,38.147338997224054,31.500643150315028,36.16096232636573,29.31337451024926,31.326522992839433,38.00267016452169,32.053258161250916,31.282019337045995,39.314614780106126,24.409880741006702,34.08558923480966,31.99688189425237,34.14341114000889,32.082169029752414,39.40890291295695,29.4987026136167,32.84941480188727	0.9979812254626008	39.61617627953851	5	false	1
29	4	4	100	0	0	0	0	0	27.670945135287404	40.29203596563201	40.436489142034574	40.334360865813025	34.9115598804233,30.07066482048469,32.310404308748886,40.11645575862876,38.17614339436094,38.97247310142055,34.940226562704936,35.80659420149483,24.854680624252836,26.976260268702266,36.99282114550278,32.30352580566833,25.046383173177478,34.92577353253386,31.585378429909472,14.977149107695439,39.00712634429,34.891236653223224,38.91962294327571,32.45512543275649,18.743924434585573,39.25760515204557,34.94338264744118,32.395172963313776,35.0302507876843,38.46340011951979,38.98581922925156,32.63263338475738,38.99909370911101,25.117464844120477,39.06307702787183,27.288510362494232,35.561251215036734,39.169797067696564,30.950132729102933,33.508276594835394,38.98478617637575,24.842965803382228,32.57898676228298,28.481595177392798,30.480810863004947,40.29203596563201,28.12775503020174,38.098612528265534,35.57700292474181,31.114354286268394,23.874088902306006,32.6113213196365,23.208716039216675,35.447364305306124,31.700010206636925,39.10039239824931,30.37470646316303,34.79999340632725,21.75594666386526,17.309238223521994,33.46248734887214,39.01710073440623,38.398805123917676,32.458202102285256,36.649332801038724,33.7286373612757,32.8028776493738,33.24583416347157,35.56234462784973,35.0135823380725,28.329185858681285,30.196572727190258,27.627150381581853,31.775011355240256,31.522909572225778,30.690171500957838,33.601891330382784,28.018943199955203,33.71791782461234,32.265095741498754,32.03691854165251,19.024578011652416,35.78002574624027,35.800832049430895,30.259663293983394,30.348797199227022,40.270857316245596,32.40763973551391,28.37959112706792,18.574481843620248,18.79019200240687,35.06619277479376,17.469195295591796,36.87360281222732,28.677509566813846,38.28405835772801,39.01820224060039,27.400005997188956,23.303638165884493,21.568649376356703,25.36928290924574,38.719883321146625,27.245353642165654,27.670945135287404	0.9979812254626008	40.29203596563201	5	false	2
30	4	4	100	0	0	0	0	0	22.29516577145233	41.168132941401254	40.98706998167539	41.35269838379415	28.89927432628047,37.49429973549713,38.98959642428558,33.63324418617055,23.71392588329308,25.77699752795874,32.956651986560004,39.132216533230384,35.432799675063215,32.95143771215535,31.458977143376295,39.63793859479712,35.525360582246904,37.49936061161761,35.79528731148299,33.11013214160532,32.98572630378102,22.220497011089364,35.73433209298,35.537463793692865,37.71483740321593,40.76294429463678,34.188436432612164,28.187337945420072,22.58691888391306,33.05002521912253,35.58144321681575,31.230657547291486,19.84113953640213,19.46786306370754,33.220649666493145,22.389503187543312,40.7439673256423,32.214151259470725,28.76721616812126,37.53191585324899,29.33954814283036,34.221434007692935,35.55129929333249,28.855964602264322,17.698910430682268,38.94217982101857,31.179630363657864,21.96982568154491,25.436737592014055,39.654986192557786,34.10596525298764,34.42872944733949,39.54005358101924,40.78424959672175,33.154690281344,25.3313146217535,37.45531731823004,31.279313923705054,21.872806500800593,34.34410102982488,39.74521593219637,33.634481748156794,33.09654592927156,39.79408699624554,32.47285295408423,26.119810693936724,29.031016095474634,31.61688447342769,36.163145797272925,37.54727406773038,35.45365771444731,33.18579341805304,36.53598660404148,36.53864313550787,39.58322258425447,35.538433887860705,31.201195598560115,25.748734319766825,33.17319903525615,38.91570002131855,26.113282040372397,27.120773952779665,30.93648625167515,38.81653130554938,38.94546502679882,37.96081212747672,35.632708717435804,32.30519097673948,35.68345470537024,37.75514157823391,41.168132941401254,32.68752116821105,35.57101642280587,23.93769220161139,30.935906951176037,38.97887901135229,37.52095524568271,36.409360049935955,35.53013809404408,32.91065473730727,29.032534957615184,25.874516648518764,35.77168614935123,22.29516577145233	0.9979812254626008	41.168132941401254	5	false	1
31	4	4	100	0	0	0	0	0	32.06758296363445	34.372166749326766	34.12292663495842	34.51226581286055	14.470406566132688,0.7153616960802509,14.033649041692112,34.242747734222974,18.497560049496276,22.73788830737163,30.743421312857826,33.250617506792,16.197166010317133,23.43674391411041,31.1634016641377,27.714413502270524,23.632668676380057,31.032143446526554,23.336161001065946,26.477864453154577,24.48263980832812,30.214851215617205,25.494897783924074,27.807354756349064,32.25878564359727,32.30207261925186,31.79538844755206,32.346102233704094,30.826088007949835,24.581636810805737,32.21528900148117,22.453842628940237,24.264000325179993,30.58553302638423,20.606351766946368,19.169143626071964,26.57038266852699,26.58565498303048,26.278825761234252,23.3828660932178,34.23456593119097,21.441775094800423,9.790018706477227,33.37856184371392,31.21175089511022,34.372166749326766,31.08814669602242,16.444605315619988,23.98129851560701,31.157347645849086,2.788287716131812,23.427225566591275,26.76071421858423,30.903078340220716,23.895109831504676,27.992274286156945,31.182255169559035,24.543279547711833,26.098211356859792,15.086605993642998,30.562397846681936,34.34308449088624,19.257174101782176,19.97297680079491,30.88320223810952,26.443244085556458,19.174920582496355,34.27933809767454,30.985654250196085,23.723241374559564,22.905691378875957,18.420143604171443,22.61204964279373,26.671599458677413,23.63281797158617,26.447674242718126,18.418325424462815,19.131564974269004,33.12178269933835,24.428884097036768,17.824595253351312,32.255045392755235,23.374498131190435,4.658715604065087,21.458729633967614,19.061351440868087,20.414845036776438,27.769985519945358,30.62498440085954,16.51557759301047,31.91025599916529,33.33108781931743,33.16845015793922,21.825635990499677,7.577578118858007,26.168380900963918,18.214562193666303,27.926345132961746,27.676050879136923,17.91142160929875,26.47570597604758,29.62178295919041,26.194064372579412,32.06758296363445	0.9976217457102962	34.372166749326766	6	false	1
32	4	4	100	0	0	0	0	0	30.53762478317779	31.86166698916763	31.516980326726568	31.86166698916763	30.82564730206939,22.212777878002136,30.35288979614943,15.932575708907677,15.024871426146465,29.123785922297856,19.397401505028608,23.259164796172108,17.93241054680606,17.958791632166054,12.623748512139215,28.844940585947114,20.918391192393997,28.621097418202876,22.37696958526209,19.880239662232256,24.234367808113376,10.346423671469822,13.697432989470816,28.609028633217754,16.975065537910837,18.008069812881445,21.400850417096997,28.695220976329388,22.199247180132254,26.307048261903574,21.262849475581703,14.758032479208413,29.598711945885306,21.09040393038577,28.21076458217853,30.991898424583773,-1.5559215454944137,20.889756883480672,-11.356219986643392,28.141336914709036,22.014749236382627,15.631194913513411,13.470677492763075,5.7028259105197705,22.66630748435547,26.681217467419057,23.736066936975,21.221121605811575,21.19567826423284,30.661144410542263,18.73641802356527,10.591540569249545,26.585542327840933,23.159393205552206,23.486331503254767,27.71991939951088,28.943254867536403,19.124712347338846,31.66315306896051,16.99351593005294,19.902246268601672,18.025184186759198,26.855749101703726,4.55878154775389,19.01764950450392,26.31381256771366,15.682994985374542,23.853904195996208,12.778735091962597,30.54258575675651,18.838658489734073,21.605020684879612,23.053832202846106,14.791733558221182,12.276755474969244,10.704016051908333,28.851161639925785,24.077494654064864,20.671713858632003,8.172297211987903,23.37737532520293,18.926031543274533,25.484461115061663,29.581805853455254,26.0124055173185,11.55461536541229,27.72067955725047,31.86166698916763,26.76325516532647,11.952816238576098,21.243668016211387,10.789730446751818,29.776202227753,27.674022288394305,24.180933499640158,23.384566071698195,23.534345675103104,17.96431454597319,25.324933207855373,26.707443861939737,15.947633009337743,18.371606575323007,22.09845083303594,30.53762478317779	0.9974347679867818	31.86166698916763	6	false	2
