# solver: Greedy
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 26f0f2a7-fc0e-458d-8eee-5d40d0a4db2f
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-nopolice-refugeOnFire.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
23	9	9	1	0	0	0	0	0	-0.04086724439215317	-0.04086724439215317	45.27237989552279	45.27237989552279	-0.04086724439215317	0.9975653416775723	-0.04086724439215317	10	true	4
24	9	9	1	0	0	0	0	0	4.697262137014354	4.697262137014354	44.36423906387946	44.36423906387946	4.697262137014354	0.9975653416775723	4.697262137014354	11	true	1
25	9	9	1	0	0	0	0	0	6.3341370190914645	6.3341370190914645	44.890875359283925	44.890875359283925	6.3341370190914645	0.9975653416775723	6.3341370190914645	10	true	1
26	9	9	1	0	0	0	0	0	0.6514395937885595	0.6514395937885595	44.99119601268245	44.99119601268245	0.6514395937885595	0.9975653416775723	0.6514395937885595	11	true	1
27	10	10	1	0	0	0	0	0	9.348254615546844	9.348254615546844	49.182223792060064	49.182223792060064	9.348254615546844	0.997262083184068	9.348254615546844	11	true	1
28	10	10	1	0	0	0	0	0	4.360374879158236	4.360374879158236	49.18336694928943	49.18336694928943	4.360374879158236	0.9970015206790418	4.360374879158236	10	true	1
29	12	12	1	0	0	0	0	0	18.67463973694484	18.67463973694484	49.20844125218498	49.20844125218498	18.67463973694484	0.9966696763439367	18.67463973694484	8	true	1
30	13	13	1	0	0	0	0	0	26.096455233948177	26.096455233948177	49.561019786980616	49.561019786980616	26.096455233948177	0.9965839188191344	26.096455233948177	8	true	1
31	13	13	1	0	0	0	0	0	20.576819819049526	20.576819819049526	45.56480067648845	45.56480067648845	20.576819819049526	0.9960483181143581	20.576819819049526	9	true	1
32	13	13	1	0	0	0	0	0	7.936536484264561	7.936536484264561	43.248170156207436	43.248170156207436	7.936536484264561	0.9955863021910939	7.936536484264561	11	true	1
33	14	14	1	0	0	0	0	0	10.716087518622777	10.716087518622777	43.36778453478143	43.36778453478143	10.716087518622777	0.99540882871159	10.716087518622777	11	true	1
34	15	15	1	0	0	0	0	0	23.02065037213186	23.02065037213186	46.22451263531529	46.22451263531529	23.02065037213186	0.9953466855776751	23.02065037213186	9	true	1
35	17	16	1	0	0	0	0	0	12.492573461147678	12.492573461147678	43.30924285702509	43.30924285702509	12.492573461147678	0.9952351203749059	12.492573461147678	11	true	1
36	17	16	1	0	0	0	0	0	10.846127474044307	10.846127474044307	43.298656715566565	43.298656715566565	10.846127474044307	0.9952351203749059	10.846127474044307	11	true	1
37	19	18	1	0	0	0	0	0	-31.867575822723097	-31.867575822723097	38.79482580863772	38.79482580863772	-31.867575822723097	0.9944788749899475	-31.867575822723097	15	true	2
38	20	19	1	0	0	0	0	0	-31.86541803215229	-31.86541803215229	38.80676262278128	38.80676262278128	-31.86541803215229	0.9943707459369359	-31.86541803215229	15	true	1
39	21	20	1	0	0	0	0	0	-31.8669783770682	-31.8669783770682	38.838248324604926	38.838248324604926	-31.8669783770682	0.9943061170776643	-31.8669783770682	15	true	1
40	21	20	1	0	0	0	0	0	-31.86513339086256	-31.86513339086256	38.834033360035335	38.834033360035335	-31.86513339086256	0.9943061170776643	-31.86513339086256	15	true	1
41	21	19	1	0	0	0	0	0	-26.345718387152566	-26.345718387152566	30.731173734065184	30.731173734065184	-26.345718387152566	0.9937977131326721	-26.345718387152566	14	true	1
42	21	19	1	0	0	0	0	0	-23.416397843545845	-23.416397843545845	31.68023141018373	31.68023141018373	-23.416397843545845	0.9935419758592203	-23.416397843545845	14	true	1
43	24	23	1	0	0	0	0	0	-31.867674574245207	-31.867674574245207	37.47379258520909	37.47379258520909	-31.867674574245207	0.9929589270439606	-31.867674574245207	15	true	1
44	24	22	1	0	0	0	0	0	-23.0503526371877	-23.0503526371877	31.477104066440667	31.477104066440667	-23.0503526371877	0.9928630803985933	-23.0503526371877	14	true	1
45	24	22	1	0	0	0	0	0	-48.6973519757018	-48.6973519757018	33.283197133443494	33.283197133443494	-48.6973519757018	0.9927897515005741	-48.6973519757018	17	true	1
46	26	23	1	0	0	0	0	0	-59.076145082686985	-59.076145082686985	30.449739870800666	30.449739870800666	-59.076145082686985	0.9922668353060732	-59.076145082686985	16	true	1
47	26	24	1	0	0	0	0	0	-31.866315316239024	-31.866315316239024	36.68738628631557	36.68738628631557	-31.866315316239024	0.9921865609989693	-31.866315316239024	15	true	1
48	27	25	1	0	0	0	0	0	-24.452727749171302	-24.452727749171302	31.605605239378512	31.605605239378512	-24.452727749171302	0.9919194551874894	-24.452727749171302	14	true	1
49	27	24	1	0	0	0	0	0	-59.07924685149687	-59.07924685149687	30.638231766183154	30.638231766183154	-59.07924685149687	0.9919108282583107	-59.07924685149687	16	true	1
50	28	24	1	0	0	0	0	0	-74.55098420485251	-74.55098420485251	28.213572857370377	28.213572857370377	-74.55098420485251	0.9920419868256556	-74.55098420485251	17	true	1
51	28	24	1	0	0	0	0	0	-75.13301772914296	-75.13301772914296	27.22111073271806	27.22111073271806	-75.13301772914296	0.991514830276135	-75.13301772914296	17	true	1
52	28	23	1	0	0	0	0	0	-75.62830126665527	-75.62830126665527	26.69169656597933	26.69169656597933	-75.62830126665527	0.9917039281771591	-75.62830126665527	17	true	1
53	28	23	1	0	0	0	0	0	-76.99860048418601	-76.99860048418601	24.632774275059848	24.632774275059848	-76.99860048418601	0.9915893289272634	-76.99860048418601	17	true	1
54	28	23	1	0	0	0	0	0	-78.51051873489294	-78.51051873489294	19.546437704024353	19.546437704024353	-78.51051873489294	0.9913914944327065	-78.51051873489294	17	true	1
55	28	23	1	0	0	0	0	0	-78.08789956715161	-78.08789956715161	18.0035335088439	18.0035335088439	-78.08789956715161	0.9911659148565959	-78.08789956715161	17	true	1
56	28	23	1	0	0	0	0	0	-76.02694628320688	-76.02694628320688	20.05941859805507	20.05941859805507	-76.02694628320688	0.9911152499250628	-76.02694628320688	17	true	1
57	29	24	1	0	0	0	0	0	-73.43317372910158	-73.43317372910158	24.146068907493305	24.146068907493305	-73.43317372910158	0.9910444067523999	-73.43317372910158	17	true	1
58	30	25	1	0	0	0	0	0	-70.58707064190597	-70.58707064190597	31.461140580360585	31.461140580360585	-70.58707064190597	0.9888651201555774	-70.58707064190597	17	true	1
59	30	25	1	0	0	0	0	0	-29.522638165138957	-29.522638165138957	33.70195898139635	33.70195898139635	-29.522638165138957	0.9884622133191013	-29.522638165138957	12	true	1
60	32	27	1	0	0	0	0	0	-27.008627699036737	-27.008627699036737	36.81676131577093	36.81676131577093	-27.008627699036737	0.988044611459194	-27.008627699036737	12	true	1
61	34	29	1	0	0	0	0	0	-46.09523445686073	-46.09523445686073	39.22895827257938	39.22895827257938	-46.09523445686073	0.9870074059993712	-46.09523445686073	15	true	1
62	34	29	1	0	0	0	0	0	-44.49034486889271	-44.49034486889271	41.14652155178062	41.14652155178062	-44.49034486889271	0.9870074059993712	-44.49034486889271	15	true	1
63	35	30	1	0	0	0	0	0	-42.70809208478716	-42.70809208478716	43.2272259331504	43.2272259331504	-42.70809208478716	0.9867033798553893	-42.70809208478716	15	true	1
