# solver: BinaryMaxSum
# max_time: 1000
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 2c183ca1-760d-47f3-ac91-bf1a8978213e
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-nopolice-refugeOnFire2.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	9	9	100	47819	106920	855360	0	0	15.45106389694875	16.714630672080794	60.09994138807326	60.09994138807326	-3.784990482933715,-3.784990482933715,-3.784990482933715,-3.784990482933715,-3.784990482933715,-3.784990482933715,-3.784990482933715,-3.784990482933715,-3.784990482933715,-3.784990482933715,-3.784990482933715,-3.784990482933715,-3.784990482933715,-3.784990482933715,-3.784990482933715,-3.784990482933715,-3.784990482933715,-3.784990482933715,-3.784990482933715,-3.784990482933715,-3.784990482933715,-3.784990482933715,-3.784990482933715,-3.784990482933715,-3.784990482933715,-3.784990482933715,1.7432488532770734,1.7432488532770734,1.7432488532770734,1.7432488532770734,1.7432488532770734,1.7432488532770734,1.7432488532770734,1.7432488532770734,3.7358937837241726,3.7358937837241726,3.7358937837241726,3.7358937837241726,3.7358937837241726,3.7358937837241726,3.7358937837241726,8.831370925613848,8.831370925613848,8.831370925613848,8.831370925613848,8.831370925613848,8.831370925613848,8.831370925613848,8.831370925613848,8.831370925613848,8.831370925613848,8.831370925613848,8.831370925613848,8.831370925613848,8.831370925613848,11.434641626900158,11.434641626900158,11.434641626900158,11.434641626900158,11.434641626900158,11.434641626900158,12.174672299622344,12.174672299622344,12.174672299622344,12.174672299622344,12.174672299622344,12.174672299622344,15.437394756147992,15.437394756147992,15.437394756147992,15.437394756147992,15.437394756147992,15.437394756147992,15.437394756147992,15.437394756147992,15.437394756147992,15.437394756147992,15.437394756147992,15.437394756147992,15.437394756147992,15.437394756147992,15.437394756147992,15.437394756147992,15.437394756147992,15.437394756147992,15.452374240734809,15.452374240734809,15.452374240734809,16.714630672080794,16.714630672080794,16.714630672080794,16.714630672080794,15.45106389694875,15.45106389694875,15.45106389694875,15.45106389694875,15.45106389694875,15.45106389694875,15.45106389694875,15.45106389694875	0.9975653416775723	16.714630672080794	13	false	279
25	9	9	100	48013	106920	855360	0	0	26.023533000121823	26.768294098473195	60.84499073347662	60.84499073347662	0.9327573355379037,0.9327573355379037,0.9327573355379037,0.9327573355379037,4.2107867938997146,4.2107867938997146,4.2107867938997146,-0.6789945264165667,-0.6789945264165667,-0.6789945264165667,-0.6789945264165667,-0.6789945264165667,-0.6789945264165667,-0.6789945264165667,-0.6789945264165667,-0.6789945264165667,-0.6789945264165667,-0.6789945264165667,-0.6789945264165667,-0.6789945264165667,-0.6789945264165667,4.852023107742788,4.852023107742788,4.852023107742788,4.852023107742788,4.852023107742788,4.852023107742788,4.852023107742788,9.95267641768387,9.95267641768387,9.95267641768387,9.95267641768387,9.95267641768387,12.56164227753281,12.56164227753281,19.44779688121367,19.44779688121367,19.44779688121367,19.44779688121367,20.19255797956503,20.19255797956503,20.19255797956503,20.19255797956503,20.19255797956503,19.42609078413725,19.42609078413725,16.796627738567608,16.796627738567608,16.796627738567608,16.796627738567608,16.796627738567608,16.796627738567608,16.796627738567608,16.796627738567608,16.796627738567608,16.796627738567608,16.796627738567608,16.796627738567608,16.796627738567608,16.796627738567608,16.796627738567608,16.796627738567608,16.796627738567608,16.796627738567608,16.796627738567608,16.796627738567608,16.796627738567608,16.796627738567608,16.796627738567608,16.796627738567608,16.796627738567608,16.796627738567608,16.796627738567608,16.796627738567608,19.42609078413725,19.42609078413725,20.19255797956503,20.19255797956503,20.19255797956503,26.768294098473195,26.768294098473195,26.768294098473195,26.768294098473195,26.768294098473195,26.768294098473195,26.768294098473195,26.023533000121823,26.023533000121823,26.023533000121823,26.023533000121823,26.023533000121823,26.023533000121823,26.023533000121823,26.023533000121823,26.023533000121823,26.023533000121823,26.023533000121823,26.023533000121823,26.023533000121823,26.023533000121823	0.9975653416775723	26.768294098473195	12	false	100
26	9	9	100	48008	106920	855360	0	0	37.549780540957165	37.549780540957165	62.84706520448677	62.84706520448677	14.40754712069229,14.40754712069229,14.40754712069229,14.40754712069229,14.40754712069229,14.40754712069229,14.40754712069229,14.40754712069229,14.40754712069229,14.40754712069229,11.095392273927118,17.684764225480222,17.684764225480222,17.684764225480222,17.684764225480222,17.684764225480222,22.790180596402166,22.790180596402166,22.790180596402166,22.790180596402166,25.40407933007743,25.40407933007743,25.40407933007743,26.154094512691803,26.154094512691803,26.154094512691803,20.79839462990237,20.79839462990237,20.79839462990237,20.79839462990237,20.79839462990237,20.79839462990237,20.79839462990237,27.384537428399035,27.384537428399035,27.384537428399035,27.384537428399035,27.384537428399035,27.384537428399035,27.384537428399035,27.384537428399035,27.384537428399035,27.384537428399035,27.384537428399035,27.384537428399035,27.384537428399035,27.384537428399035,27.384537428399035,27.384537428399035,27.384537428399035,27.384537428399035,27.384537428399035,27.384537428399035,27.384537428399035,27.384537428399035,27.384537428399035,27.384537428399035,27.384537428399035,27.384537428399035,27.384537428399035,27.384537428399035,27.384537428399035,27.384537428399035,27.384537428399035,27.384537428399035,27.384537428399035,27.384537428399035,27.384537428399035,27.384537428399035,27.384537428399035,27.384537428399035,27.384537428399035,27.384537428399035,27.384537428399035,27.384537428399035,27.384537428399035,27.384537428399035,27.384537428399035,27.384537428399035,27.384537428399035,27.384537428399035,27.384537428399035,27.384537428399035,27.384537428399035,27.384537428399035,27.384537428399035,27.384537428399035,27.384537428399035,27.384537428399035,27.384537428399035,27.384537428399035,33.633541774711745,33.633541774711745,33.633541774711745,33.633541774711745,33.633541774711745,33.633541774711745,33.633541774711745,33.633541774711745,37.549780540957165	0.9975653416775723	37.549780540957165	11	false	113
27	10	10	100	48159	106920	855360	0	0	45.78797995775154	45.79796127652636	63.420436900811055	63.4190192739665	26.293533237666487,26.293533237666487,26.293533237666487,26.293533237666487,26.293533237666487,27.048498066512824,27.048498066512824,27.048498066512824,33.31604626797589,33.31604626797589,33.31604626797589,33.31604626797589,32.559745983899774,32.559745983899774,32.559745983899774,32.559745983899774,32.559745983899774,32.559745983899774,32.559745983899774,32.559745983899774,32.559745983899774,32.559745983899774,32.559745983899774,32.559745983899774,32.559745983899774,32.559745983899774,32.559745983899774,32.559745983899774,32.559745983899774,32.559745983899774,32.559745983899774,32.559745983899774,32.559745983899774,32.559745983899774,32.559745983899774,32.559745983899774,32.559745983899774,32.559745983899774,32.559745983899774,34.550088634049715,34.550088634049715,34.550088634049715,34.550088634049715,34.550088634049715,34.550088634049715,34.550088634049715,34.550088634049715,34.550088634049715,34.550088634049715,34.550088634049715,34.550088634049715,34.550088634049715,34.550088634049715,34.550088634049715,34.550088634049715,34.550088634049715,34.550088634049715,34.550088634049715,34.550088634049715,34.550088634049715,34.550088634049715,34.550088634049715,34.550088634049715,34.550088634049715,34.550088634049715,34.550088634049715,34.550088634049715,34.550088634049715,34.534779330343966,34.534779330343966,34.534779330343966,34.534779330343966,38.55724053630273,38.55724053630273,38.55724053630273,38.55724053630273,38.55724053630273,38.55724053630273,38.55724053630273,38.55724053630273,38.55724053630273,38.55724053630273,38.55724053630273,38.55724053630273,38.55724053630273,38.55724053630273,38.55724053630273,38.55724053630273,38.55724053630273,42.47272804728817,44.72699329527012,44.72699329527012,44.72699329527012,44.72699329527012,45.79796127652636,45.79796127652636,45.79796127652636,45.79796127652636,45.78797995775154,45.78797995775154	0.997262083184068	45.79796127652636	10	false	82
28	10	10	100	48852	117612	940896	0	0	39.214141501600615	44.580565428473655	67.42315935707784	67.34472252359943	31.90481232817534,31.90481232817534,31.90481232817534,31.90481232817534,31.90481232817534,31.90481232817534,31.90481232817534,33.93783984389865,33.93783984389865,33.93783984389865,33.93783984389865,39.47313720674361,44.580565428473655,44.580565428473655,44.580565428473655,44.580565428473655,43.5048905081766,43.5048905081766,43.5048905081766,43.5048905081766,43.5048905081766,43.5048905081766,43.5048905081766,43.5048905081766,43.5048905081766,43.5048905081766,41.244932765911116,41.244932765911116,41.244932765911116,41.244932765911116,37.323400599032496,37.323400599032496,37.323400599032496,37.323400599032496,37.323400599032496,37.323400599032496,37.323400599032496,37.323400599032496,37.323400599032496,37.323400599032496,37.323400599032496,37.323400599032496,37.323400599032496,37.323400599032496,37.323400599032496,37.323400599032496,37.323400599032496,37.323400599032496,37.323400599032496,37.323400599032496,35.29037308330916,39.211905250187804,39.211905250187804,39.211905250187804,39.211905250187804,41.471862992453296,41.471862992453296,41.471862992453296,41.471862992453296,41.471862992453296,41.471862992453296,41.471862992453296,41.471862992453296,41.471862992453296,41.471862992453296,41.471862992453296,42.54753791275033,42.54753791275033,42.54753791275033,42.54753791275033,42.54753791275033,42.54753791275033,42.54753791275033,42.54753791275033,42.54750167938304,42.54750167938304,42.54750167938304,41.47236372161942,41.47236372161942,39.214141501600615,39.214141501600615,39.214141501600615,39.214141501600615,39.214141501600615,39.214141501600615,39.214141501600615,39.214141501600615,39.214141501600615,39.214141501600615,39.214141501600615,39.214141501600615,39.214141501600615,39.214141501600615,39.214141501600615,39.214141501600615,39.214141501600615,39.214141501600615,39.214141501600615,39.214141501600615,39.214141501600615	0.9970015206790418	44.580565428473655	11	true	99
29	12	12	100	48925	117612	940896	0	0	52.38327290630801	55.75010703996834	67.83729460435217	66.74760000903679	26.29194920622716,26.29194920622716,26.29194920622716,26.29194920622716,26.29194920622716,26.29194920622716,26.29194920622716,26.29194920622716,26.29194920622716,26.29194920622716,26.29194920622716,26.29194920622716,32.55897807012145,32.55897807012145,32.55897807012145,32.55897807012145,34.44329476814143,38.47622962208669,38.47622962208669,38.47622962208669,38.47622962208669,38.47622962208669,38.47622962208669,39.975886566746055,40.46280177975842,40.46280177975842,40.46280177975842,39.969084092229814,39.969084092229814,39.969084092229814,45.076499832942666,41.73532550400505,41.73532550400505,37.81180512196933,37.81180512196933,37.81180512196933,37.81180512196933,37.81180512196933,37.81180512196933,37.81180512196933,37.81180512196933,37.81180512196933,37.81180512196933,37.81180512196933,37.81180512196933,37.81180512196933,43.729854519671775,43.729854519671775,43.729854519671775,43.729854519671775,43.729854519671775,43.729854519671775,43.729854519671775,43.729854519671775,43.729854519671775,43.729854519671775,43.729854519671775,43.729854519671775,43.729854519671775,43.729854519671775,43.729854519671775,43.729854519671775,43.729854519671775,49.26299231016833,49.26299231016833,52.36802701893676,52.36802701893676,52.36802701893676,52.36802701893676,54.99066316041002,54.99066316041002,54.99066316041002,54.99066316041002,54.99066316041002,55.75010703996834,55.75010703996834,55.75010703996834,55.75010703996834,55.75010703996834,55.75010703996834,55.75010703996834,55.75010703996834,55.75010703996834,55.75010703996834,55.75010703996834,55.75010703996834,55.75010703996834,55.75010703996834,54.99817647482195,54.99817647482195,54.99817647482195,52.38327290630801,52.38327290630801,52.38327290630801,52.38327290630801,52.38327290630801,52.38327290630801,52.38327290630801,52.38327290630801,52.38327290630801	0.9966696763439367	55.75010703996834	9	true	69
30	13	13	100	50049	138996	1111968	0	0	68.77468188370888	68.77468188370888	73.69660044425706	73.69660044425706	39.183864158514226,39.183864158514226,39.183864158514226,39.183864158514226,39.183864158514226,39.183864158514226,39.183864158514226,39.183864158514226,42.461651727105405,47.569247704172184,47.569247704172184,56.21971949397211,56.21971949397211,56.21971949397211,56.21971949397211,56.21971949397211,56.21971949397211,56.21971949397211,56.21971949397211,56.21971949397211,56.21971949397211,56.21971949397211,56.21971949397211,56.21971949397211,56.21971949397211,56.21971949397211,56.21971949397211,56.21971949397211,56.21971949397211,56.21971949397211,56.21971949397211,56.21971949397211,56.21971949397211,56.21971949397211,56.21971949397211,56.21971949397211,56.21971949397211,60.2497226961689,60.2497226961689,60.2497226961689,60.2497226961689,60.2497226961689,63.51410421446167,63.51410421446167,63.51410421446167,63.51410421446167,63.51410421446167,64.7913360375249,64.7913360375249,64.7913360375249,63.512479339129584,65.49703067985385,65.49703067985385,65.49703067985385,65.49703067985385,65.49703067985385,65.49703067985385,65.49703067985385,65.49703067985385,65.49703067985385,65.49703067985385,65.49703067985385,65.49703067985385,65.49703067985385,65.48387659076482,65.48387659076482,65.48387659076482,65.48387659076482,65.48387659076482,65.48387659076482,65.48387659076482,65.48387659076482,65.48387659076482,65.48387659076482,65.48387659076482,65.48387659076482,65.48387659076482,65.48387659076482,65.48387659076482,65.48387659076482,65.49703067985385,65.49703067985385,65.49703067985385,65.49703067985385,65.49703067985385,65.49703067985385,65.49703067985385,65.49703067985385,65.49703067985385,65.49703067985385,65.49703067985385,65.49703067985385,68.77468188370888,68.77468188370888,68.77468188370888,68.77468188370888,68.77468188370888,68.77468188370888,68.77468188370888,68.77468188370888	0.9965839188191344	68.77468188370888	4	true	323
31	13	13	100	50556	149688	1197504	0	0	50.161582770778594	51.283712503870916	68.60071149880977	69.58771633061087	51.283712503870916,51.283712503870916,51.283712503870916,51.283712503870916,51.283712503870916,51.283712503870916,51.283712503870916,51.283712503870916,50.208769868531306,47.950843178857355,44.03158516529728,44.03158516529728,44.03158516529728,44.03158516529728,44.03158516529728,44.03158516529728,44.03158516529728,44.03158516529728,44.03158516529728,46.672120415820515,46.672120415820515,46.672120415820515,46.672120415820515,48.174514971509765,48.174514971509765,48.174514971509765,48.174514971509765,48.174514971509765,48.174514971509765,48.174514971509765,48.174514971509765,48.174514971509765,48.174514971509765,48.174514971509765,48.174514971509765,48.174514971509765,48.174514971509765,48.174514971509765,48.174514971509765,48.174514971509765,48.174514971509765,48.174514971509765,48.174514971509765,48.174514971509765,48.174514971509765,48.174514971509765,48.174514971509765,48.174514971509765,48.174514971509765,48.174514971509765,48.174514971509765,48.174514971509765,48.174514971509765,48.174514971509765,48.174514971509765,48.174514971509765,48.174514971509765,48.174514971509765,48.174514971509765,48.174514971509765,48.174514971509765,48.174514971509765,50.161582770778594,50.161582770778594,50.161582770778594,50.161582770778594,50.161582770778594,50.161582770778594,50.161582770778594,50.161582770778594,50.161582770778594,50.161582770778594,50.161582770778594,50.161582770778594,50.161582770778594,50.161582770778594,50.161582770778594,50.161582770778594,50.161582770778594,50.161582770778594,50.161582770778594,50.161582770778594,50.161582770778594,50.161582770778594,50.161582770778594,50.161582770778594,50.161582770778594,50.161582770778594,50.161582770778594,50.161582770778594,50.161582770778594,50.161582770778594,50.161582770778594,50.161582770778594,50.161582770778594,50.161582770778594,50.161582770778594,50.161582770778594,50.161582770778594,50.161582770778594	0.9960483181143581	51.283712503870916	9	true	105
32	13	13	100	50456	149688	1197504	0	0	26.53629195359627	33.249424528334615	65.03341229035279	65.65836815063767	16.19223516742112,16.19223516742112,16.19223516742112,16.19223516742112,16.19223516742112,21.36326979409898,21.36326979409898,30.808249600945196,30.808249600945196,30.808249600945196,30.808249600945196,30.808249600945196,30.808249600945196,30.808249600945196,32.45171070596178,32.45171070596178,32.45171070596178,32.45171070596178,33.249424528334615,32.41064651617773,30.74570028206122,28.172017880144168,24.541535664384718,24.541535664384718,24.541535664384718,24.541535664384718,24.541535664384718,24.541535664384718,24.541535664384718,24.541535664384718,24.541535664384718,24.541535664384718,24.541535664384718,24.541535664384718,24.541535664384718,24.541535664384718,19.334813068469487,19.334813068469487,19.334813068469487,19.334813068469487,19.334813068469487,19.334813068469487,19.334813068469487,19.334813068469487,19.334813068469487,19.334813068469487,19.334813068469487,19.334813068469487,19.334813068469487,19.334813068469487,19.334813068469487,19.334813068469487,19.334813068469487,19.334813068469487,19.334813068469487,19.334813068469487,24.541535664384718,24.541535664384718,24.541535664384718,24.541535664384718,24.541535664384718,24.541535664384718,24.541535664384718,24.541535664384718,24.541535664384718,24.541535664384718,24.541535664384718,24.541535664384718,24.541535664384718,24.541535664384718,26.53629195359627,26.53629195359627,26.53629195359627,26.53629195359627,26.53629195359627,26.53629195359627,26.53629195359627,26.53629195359627,26.53629195359627,26.53629195359627,26.53629195359627,26.53629195359627,26.53629195359627,26.53629195359627,26.53629195359627,26.53629195359627,26.53629195359627,26.53629195359627,26.53629195359627,26.53629195359627,26.53629195359627,26.53629195359627,26.53629195359627,26.53629195359627,26.53629195359627,26.53629195359627,26.53629195359627,26.53629195359627,26.53629195359627,26.53629195359627	0.9955863021910939	33.249424528334615	12	true	110
33	13	13	100	50331	149688	1197504	0	0	30.62469097521914	32.90462016973229	63.65668592410074	63.104855101161505	21.80960126080134,21.80960126080134,21.80960126080134,21.80960126080134,21.80960126080134,21.80960126080134,28.69893442586825,32.90462016973229,32.90462016973229,32.90462016973229,32.90462016973229,32.90462016973229,32.90462016973229,32.90462016973229,32.90433179338587,32.90433179338587,32.90433179338587,32.90433179338587,32.90433179338587,32.90433179338587,32.90433179338587,32.90433179338587,32.86359268895121,31.19921223983863,31.19921223983863,31.19921223983863,28.625046784259922,24.99393216881841,24.99393216881841,24.99393216881841,24.99393216881841,24.99393216881841,24.99393216881841,24.99393216881841,24.99393216881841,24.99393216881841,24.99393216881841,24.99393216881841,24.99393216881841,24.99393216881841,24.99393216881841,24.99393216881841,24.99393216881841,24.99393216881841,24.99393216881841,24.99393216881841,24.99393216881841,24.99393216881841,24.99393216881841,24.99393216881841,24.99393216881841,24.99393216881841,24.99393216881841,24.99393216881841,24.99393216881841,24.99393216881841,26.993576359777627,26.993576359777627,26.993576359777627,26.993576359777627,26.993576359777627,26.993576359777627,26.993576359777627,26.993576359777627,26.993576359777627,26.993576359777627,26.993576359777627,26.993576359777627,26.993576359777627,26.993576359777627,26.993576359777627,26.993576359777627,26.993576359777627,26.993576359777627,26.993576359777627,30.62469097521914,30.62469097521914,30.62469097521914,30.62469097521914,30.62469097521914,30.62469097521914,30.62469097521914,30.62469097521914,30.62469097521914,30.62469097521914,30.62469097521914,30.62469097521914,30.62469097521914,30.62469097521914,30.62469097521914,30.62469097521914,30.62469097521914,30.62469097521914,30.62469097521914,30.62469097521914,30.62469097521914,30.62469097521914,30.62469097521914,30.62469097521914,30.62469097521914	0.995454814630687	32.90462016973229	12	true	101
