# solver: BinaryMaxSum
# max_time: 1000
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 2de49784-c92d-4eaa-84de-84d935456822
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: test.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	62	2232	488	3904	0	0	1.6788259974099449	1.6788259974099449	1.6788259974099449	1.6788259974099449	1.6788259974099449,1.6788259974099449,1.6788259974099449,1.6788259974099449,1.6788259974099449,1.6788259974099449,1.6788259974099449,1.6788259974099449,1.6788259974099449,1.6788259974099449,1.6788259974099449,1.6788259974099449,1.6788259974099449,1.6788259974099449,1.6788259974099449,1.6788259974099449,1.6788259974099449,1.6788259974099449,1.6788259974099449,1.6788259974099449,1.6788259974099449,1.6788259974099449,1.6788259974099449,1.6788259974099449,1.6788259974099449,1.6788259974099449,1.6788259974099449,1.6788259974099449,1.6788259974099449,1.6788259974099449,1.6788259974099449,1.6788259974099449,1.6788259974099449,1.6788259974099449,1.6788259974099449,1.6788259974099449,1.6788259974099449,1.6788259974099449,1.6788259974099449,1.6788259974099449,1.6788259974099449,1.6788259974099449,1.6788259974099449,1.6788259974099449,1.6788259974099449,1.6788259974099449,1.6788259974099449,1.6788259974099449,1.6788259974099449,1.6788259974099449,1.6788259974099449,1.6788259974099449,1.6788259974099449,1.6788259974099449,1.6788259974099449,1.6788259974099449,1.6788259974099449,1.6788259974099449,1.6788259974099449,1.6788259974099449,1.6788259974099449,1.6788259974099449	0.9991239280309399	1.6788259974099449	0	true	23
25	6	6	90	6480	1424	11392	0	0	1.918120375027751	1.918120375027751	1.918120375027751	1.918120375027751	1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751,1.918120375027751	0.9990443117099597	1.918120375027751	0	true	31
26	6	6	90	8100	1780	14240	0	0	2.1299246749169214	2.1299246749169214	2.1299246749169214	2.1299246749169214	2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214,2.1299246749169214	0.9990443117099597	2.1299246749169214	0	true	10
27	6	6	90	9720	2136	17088	0	0	2.328402987133532	2.328402987133532	2.328402987133532	2.328402987133532	2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532,2.328402987133532	0.9990443117099597	2.328402987133532	0	true	29
28	6	6	90	9720	2136	17088	0	0	2.4945012474389494	2.4945012474389494	2.4945012474389494	2.4945012474389494	2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494,2.4945012474389494	0.9990443117099597	2.4945012474389494	0	true	33
29	6	6	90	9720	2136	17088	0	0	2.638321216269416	2.638321216269416	2.638321216269416	2.638321216269416	2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416,2.638321216269416	0.9990443117099597	2.638321216269416	0	true	36
30	6	6	97	10476	2304	18432	0	0	2.7578217722337133	2.7578217722337133	2.7578217722337133	2.7578217722337133	2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133,2.7578217722337133	0.99887542860485	2.7578217722337133	0	true	8
31	6	6	97	10476	2304	18432	0	0	2.8544476987643055	2.8544476987643055	2.8544476987643055	2.8544476987643055	2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055,2.8544476987643055	0.99887542860485	2.8544476987643055	0	true	15
32	7	7	97	10476	2304	18432	0	0	2.9244710955780358	2.9244710955780358	2.9244710955780358	2.9244710955780358	2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358,2.9244710955780358	0.9987036576717526	2.9244710955780358	0	true	22
33	7	7	97	12222	2688	21504	0	0	2.9704519239164817	2.9704519239164817	2.9704519239164817	2.9704519239164817	2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817,2.9704519239164817	0.9986204224270916	2.9704519239164817	0	true	7
34	8	8	96	12096	2660	21280	0	0	2.9998606408568733	2.9998606408568733	2.9998606408568733	2.9998606408568733	2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733,2.9998606408568733	0.9984128643598162	2.9998606408568733	0	true	17
35	9	9	96	13824	3040	24320	0	0	2.9999342104740485	2.9999342104740485	2.9999342104740485	2.9999342104740485	2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485,2.9999342104740485	0.998144332911735	2.9999342104740485	0	true	5
36	10	10	97	15714	3456	27648	0	0	2.9998859620707004	2.9998859620707004	2.9998859620707004	2.9998859620707004	2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004,2.9998859620707004	0.9981368757356651	2.9998859620707004	0	true	39
