# solver: Random
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 314f1c0c-4d23-400a-b53f-f67b8bbd8f3d
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
23	12	12	100	0	0	0	0	0	-3317.7745127887015	-1837.0919610286537	-159.73318914545143	-123.87612435220396	-2729.459672187688,-Infinity,-2524.6392526616282,-3274.958706242116,-3227.94245797117,-3277.9427866969595,-2775.1740552808506,-3330.201595300105,-2881.5864250501377,-2526.6998906848053,-3124.6492157685693,-3174.4609028989653,-2924.2688300623554,-2767.5607263533866,-3277.632532790597,-3270.322505915474,-Infinity,-Infinity,-Infinity,-2421.8454751573295,-3176.934451875229,-Infinity,-2326.820095768556,-Infinity,-Infinity,-Infinity,-2873.4466272934214,-3073.539736124133,-2715.621868973949,-Infinity,-Infinity,-2917.5272131183287,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-3133.135743688792,-Infinity,-Infinity,-2622.147834428356,-Infinity,-Infinity,-2873.2962358039317,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2921.5182864910757,-Infinity,-Infinity,-Infinity,-2786.591103955106,-Infinity,-2473.614616198137,-3171.099277726481,-Infinity,-3030.6718232932653,-2723.8383522444683,-3327.957147891562,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2573.5507968282814,-2668.5159500366362,-2426.9303028319096,-Infinity,-3370.6069117865345,-2473.196880357759,-Infinity,-Infinity,-Infinity,-3330.3160539884448,-Infinity,-3077.2459186154383,-Infinity,-Infinity,-1837.0919610286537,-1926.3636127194106,-Infinity,-Infinity,-Infinity,-3275.5215905140262,-2186.373058080905,-1981.0473896117314,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2930.8380009945545,-Infinity,-2978.991215147801,-3224.0537186624747,-3317.7745127887015	0.9977516614149626	-1837.0919610286537	9	false	65
24	13	13	100	0	0	0	0	0	-2779.084606564071	-2033.8141455940993	-201.1826842987908	-205.33373989702804	-Infinity,-Infinity,-2868.8391510926385,-2673.125205509385,-Infinity,-3017.502044493318,-Infinity,-2732.7277890751093,-Infinity,-Infinity,-Infinity,-2512.373113134151,-2918.274717863772,-3179.171905697053,-Infinity,-2972.4813185198846,-2887.423508003817,-Infinity,-Infinity,-3073.5341788566425,-3225.4906804107504,-2916.034374695318,-Infinity,-3172.3106226055966,-2967.398841015807,-3378.4323944412326,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2821.496350210901,-Infinity,-2573.3918586789086,-Infinity,-3270.1180988671463,-2364.66828667655,-2825.068444523619,-Infinity,-Infinity,-3218.537184152423,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2812.5350297476143,-Infinity,-Infinity,-2321.962925345928,-Infinity,-Infinity,-Infinity,-Infinity,-2812.546409581073,-3134.0470250814487,-2981.750923011405,-Infinity,-Infinity,-Infinity,-3119.5215342050565,-Infinity,-2368.3387693802406,-3126.0340872252295,-3422.3816763683203,-Infinity,-Infinity,-3017.4312274269123,-2825.6392040628257,-Infinity,-Infinity,-Infinity,-2033.8141455940993,-Infinity,-Infinity,-2259.769061783085,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-3083.2358048358797,-Infinity,-Infinity,-2889.573342795429,-Infinity,-Infinity,-Infinity,-Infinity,-2471.8391526408864,-2411.54565630672,-Infinity,-Infinity,-2916.7658477537066,-2967.3735158525465,-2779.084606564071	0.9975615034251832	-2033.8141455940993	10	true	20
25	15	15	100	0	0	0	0	0	-2820.5423529047544	-2263.8264531038126	-292.5614903429544	-141.43443060881125	-2915.777334453854,-Infinity,-2421.0894427364146,-2561.788228052652,-Infinity,-Infinity,-Infinity,-Infinity,-3319.2476859748886,-Infinity,-Infinity,-Infinity,-2811.671933575553,-2263.8264531038126,-3209.6190816474336,-2869.3747490557416,-2926.112748614741,-Infinity,-Infinity,-3316.4793089288264,-3223.4736682444186,-Infinity,-3382.1479998883706,-Infinity,-3071.4531276344956,-3070.244023493184,-Infinity,-Infinity,-Infinity,-2379.7152090420045,-Infinity,-2613.8336484347,-Infinity,-3110.9131785777663,-2959.950991008615,-3173.142107264562,-2875.143871551085,-2470.5042357494926,-Infinity,-2719.4652617380084,-2956.2531046590525,-Infinity,-Infinity,-2377.1949953118487,-2865.4174698720094,-Infinity,-2864.883753057885,-Infinity,-2814.982891285813,-2775.5068019211694,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2932.000426026867,-3220.408080487601,-Infinity,-Infinity,-3320.8652354796604,-Infinity,-Infinity,-Infinity,-Infinity,-2389.477508570798,-Infinity,-3161.027571898295,-2673.3601607654805,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-3284.1093648792107,-Infinity,-Infinity,-2573.5385966446256,-Infinity,-3217.0180126997057,-Infinity,-2929.653788310733,-2805.378857830286,-Infinity,-2621.704546911283,-Infinity,-Infinity,-Infinity,-2716.206834008739,-Infinity,-Infinity,-Infinity,-Infinity,-3368.1155183088217,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2820.5423529047544	0.9966306358339244	-2263.8264531038126	5	true	20
26	15	15	100	0	0	0	0	0	-2922.730092654475	-1879.206373458993	-192.3914446379882	-102.08515801992537	-Infinity,-Infinity,-2166.7374092433624,-2321.810523919909,-2919.314282965082,-2770.5588976736494,-2819.3491501345857,-2424.6519943333265,-Infinity,-2715.3249583948136,-Infinity,-2719.417624476354,-2574.2916572313384,-2827.04962811981,-3324.480917251962,-2025.750855989127,-3233.23815589375,-Infinity,-Infinity,-2518.8613967504616,-Infinity,-2916.6970514002155,-Infinity,-3371.4925689355236,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-3120.912373992275,-3014.7664751427556,-3365.577187472408,-1879.206373458993,-3285.1061743296395,-Infinity,-Infinity,-Infinity,-3174.295708520698,-2910.857045492674,-3119.3797530273214,-2864.119785834476,-Infinity,-Infinity,-3115.5705233469284,-Infinity,-Infinity,-3177.883356422006,-2730.897845091748,-Infinity,-3067.139674531874,-Infinity,-Infinity,-3228.2719664542165,-2927.1328177577457,-3309.6322435701895,-2876.13981107962,-2816.3103043283913,-2606.228192222184,-2685.7296908333656,-Infinity,-Infinity,-2863.680443544928,-3224.937319330154,-Infinity,-3324.0371437494678,-2870.0630493342,-Infinity,-3138.581061790619,-3267.8048280484572,-Infinity,-Infinity,-Infinity,-2432.3768369332315,-3029.9105691836567,-2823.2988200470563,-Infinity,-Infinity,-2424.831143159926,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-3279.801690619733,-Infinity,-2911.7005690438623,-2616.907084048028,-Infinity,-Infinity,-3366.2857821310718,-2872.550364362406,-2935.813780246671,-2322.112894308691,-2884.9334550527606,-3214.443724419931,-Infinity,-Infinity,-Infinity,-2922.730092654475	0.9960817657423182	-1879.206373458993	5	true	17
27	15	15	100	0	0	0	0	0	-Infinity	-2067.6803721023225	-372.8929030851877	-143.43084796454414	-3011.9116716794474,-2917.7109293377184,-Infinity,-2822.5749197149657,-3214.305505185929,-2234.746389290232,-Infinity,-3270.1831212107154,-3321.0451952715257,-3165.026661236424,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-3170.1049107471968,-2812.005977664764,-Infinity,-Infinity,-3281.6312032561605,-Infinity,-3320.0695196195575,-Infinity,-Infinity,-3368.742511880481,-Infinity,-3161.802419845259,-Infinity,-3067.6314419606865,-Infinity,-Infinity,-Infinity,-Infinity,-3264.037260526116,-Infinity,-Infinity,-3012.5277058091287,-Infinity,-Infinity,-3181.431011047577,-Infinity,-Infinity,-2729.9390534401327,-2871.880666889842,-3022.951555039395,-Infinity,-2067.6803721023225,-Infinity,-2833.387856822722,-2363.509153702607,-3126.4639138816333,-Infinity,-2215.033110902012,-3131.9323547341432,-Infinity,-Infinity,-Infinity,-3126.628826139269,-Infinity,-3324.461305134803,-Infinity,-2269.9014535730626,-3313.7618330176574,-2967.230652924018,-3264.4028952018916,-2774.2040045225335,-Infinity,-Infinity,-Infinity,-2576.089087457082,-2858.8299689315268,-Infinity,-Infinity,-3029.04346855926,-Infinity,-Infinity,-Infinity,-2618.9864011809404,-Infinity,-Infinity,-Infinity,-3012.9228177060845,-2824.6138928648525,-Infinity,-Infinity,-Infinity,-3017.7228154515346,-Infinity,-3167.163000562959,-Infinity,-3311.2544172912458,-Infinity,-Infinity,-3268.320670861086,-2766.1007487640304,-Infinity,-Infinity,-3168.7677587564726,-Infinity	0.9960817657423182	-2067.6803721023225	5	true	16
28	15	15	100	0	0	0	0	0	-Infinity	-1626.0660445598908	-375.5116456102228	8.167119313285443	-Infinity,-Infinity,-2713.2665837530044,-Infinity,-2912.655360939696,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-3129.4167286115553,-Infinity,-3214.9387554309064,-Infinity,-2928.308913665396,-2526.8120982492496,-Infinity,-3108.2940736471037,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2962.807380007702,-Infinity,-Infinity,-Infinity,-2761.326612309242,-3069.5458575993116,-3129.6748590384777,-Infinity,-2416.9626939943273,-2525.3204331626052,-2806.563859842425,-2321.0695798000297,-2869.47380997232,-3009.6526591777206,-Infinity,-3313.2015251937605,-3067.697171268589,-Infinity,-Infinity,-Infinity,-3312.311036805547,-3169.5051589965096,-Infinity,-2826.6570314308733,-Infinity,-Infinity,-Infinity,-3322.214634066344,-Infinity,-Infinity,-2201.0356612472524,-2921.0701179113876,-2907.1091966484046,-3124.687767097268,-3064.643295945721,-Infinity,-Infinity,-Infinity,-Infinity,-2363.569860422955,-2763.1173389765236,-3063.7366763392206,-Infinity,-Infinity,-Infinity,-2513.5488068623645,-Infinity,-Infinity,-2967.1367126138325,-Infinity,-2876.725061863988,-Infinity,-Infinity,-Infinity,-1626.0660445598908,-3182.4126670319783,-Infinity,-2871.7042817392326,-Infinity,-3010.220282806615,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2975.0425870307204,-Infinity,-Infinity,-3320.911752952768,-2526.9797659660658,-Infinity,-Infinity,-2369.9441321332856,-Infinity,-Infinity,-Infinity	0.9960817657423182	-1626.0660445598908	8	true	15
29	15	15	100	0	0	0	0	0	-Infinity	-1985.8931461208674	-Infinity	-199.3894829420867	-Infinity,-3354.1731364354955,-3058.0251419372275,-Infinity,-Infinity,-Infinity,-2714.3553353930465,-3159.516452357349,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-3228.926213940494,-Infinity,-3161.6461200794533,-3056.8231482790766,-Infinity,-Infinity,-Infinity,-3056.4955953255962,-Infinity,-3310.1824417210887,-Infinity,-Infinity,-Infinity,-2037.0109949228122,-2810.053516357561,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-3014.188281209079,-2515.361331536959,-2915.774656700527,-Infinity,-Infinity,-Infinity,-Infinity,-2676.3859403626575,-Infinity,-Infinity,-2679.7229995651633,-Infinity,-1985.8931461208674,-Infinity,-2718.380135571251,-2420.0681532495305,-Infinity,-3360.3022396597034,-2810.2237159331157,-Infinity,-Infinity,-Infinity,-3070.33811557828,-Infinity,-Infinity,-Infinity,-3222.103147123348,-2917.386346263326,-Infinity,-Infinity,-3110.343616016266,-Infinity,-Infinity,-3005.4332413519496,-Infinity,-Infinity,-2807.4121653681073,-3361.2599173717454,-Infinity,-3305.186562224521,-Infinity,-Infinity,-Infinity,-2768.707538848663,-2362.6019008719777,-Infinity,-Infinity,-2956.022381915871,-2172.7581897252035,-2871.693699366259,-3127.365636486453,-3325.055392422824,-3263.5496045413715,-3130.679454395213,-Infinity,-2672.0132182385328,-2965.0497780113933,-2574.806201316016,-Infinity,-Infinity,-2918.1603017849093,-Infinity,-3258.4313305515598,-Infinity,-Infinity,-Infinity	0.9960817657423182	-1985.8931461208674	8	true	10
30	15	14	100	0	0	0	0	0	-3222.8617490107235	-1907.5134645101034	-246.24257332074887	-150.05531339866144	-Infinity,-2912.7486204313122,-2479.935001998035,-Infinity,-Infinity,-3068.5205917862536,-3076.2912624893756,-Infinity,-2914.564446733576,-Infinity,-3142.0525358619448,-Infinity,-2411.7963214389856,-3087.2502137049673,-Infinity,-Infinity,-Infinity,-Infinity,-2771.5325191341794,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1964.587020316116,-Infinity,-Infinity,-Infinity,-Infinity,-2613.8702194624257,-Infinity,-1907.5134645101034,-Infinity,-Infinity,-Infinity,-2383.0928558343876,-3216.744240268945,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-3281.9860797039278,-Infinity,-Infinity,-Infinity,-Infinity,-3385.271055815682,-3112.733522886661,-Infinity,-2668.7368665134895,-Infinity,-Infinity,-3162.408013827966,-3266.7859239508766,-3321.0992630128594,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-3130.639959552232,-2167.7357645742213,-2825.8383934353346,-2533.9917992351147,-2816.419212391065,-2981.7101435900213,-3160.6889011882427,-2116.808302281872,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2771.0376425783807,-3161.343492395538,-Infinity,-2912.6812651794776,-Infinity,-Infinity,-Infinity,-Infinity,-3161.5496572802817,-Infinity,-2768.758927557988,-Infinity,-Infinity,-Infinity,-Infinity,-3108.370586692131,-Infinity,-3187.980730937869,-2776.0151856913344,-Infinity,-3222.8617490107235	0.9959217654498799	-1907.5134645101034	3	true	17
31	15	14	100	0	0	0	0	0	-2519.363186445821	-1482.1814735907374	-151.2311902382558	-100.87868649378282	-2918.196111848107,-Infinity,-3065.7002769054375,-Infinity,-Infinity,-3067.7674244185087,-Infinity,-Infinity,-Infinity,-2926.8472831642016,-2575.080004888436,-1966.9954010572935,-3323.066998120217,-Infinity,-2918.4165754068913,-Infinity,-2679.5089182895085,-Infinity,-3024.018445096259,-3248.8703036730967,-Infinity,-3256.7241798117097,-3034.8142986751527,-Infinity,-1773.402954515729,-2217.015708990367,-3420.3214764833615,-2313.7457817626637,-Infinity,-Infinity,-2634.6431726579854,-3069.924724246331,-2321.654524755438,-Infinity,-Infinity,-2579.5424340707705,-3411.0289927301933,-3118.846891742347,-Infinity,-3420.0927207074787,-Infinity,-Infinity,-3267.030831646989,-Infinity,-Infinity,-Infinity,-Infinity,-3373.5001916982746,-2959.7951540957215,-2281.5556079270746,-Infinity,-Infinity,-2261.523983692027,-Infinity,-Infinity,-3135.669453528804,-2828.4678063821816,-2466.5835440537194,-Infinity,-Infinity,-2617.465550390649,-2869.1853870426344,-3168.0225773139896,-Infinity,-Infinity,-2272.683582573349,-Infinity,-Infinity,-2015.5173230217945,-Infinity,-3232.003940330264,-3332.9005747458787,-2976.2784696386234,-3286.458499059893,-2577.0870540927963,-3074.5573821543117,-Infinity,-3066.2485134539324,-Infinity,-2967.857443936947,-Infinity,-Infinity,-2840.320749527864,-3170.1229331165446,-Infinity,-2684.9992159887456,-Infinity,-3211.192458530646,-Infinity,-1482.1814735907374,-2343.2543485267784,-Infinity,-3084.948327296289,-3234.7027446787656,-Infinity,-2866.3648005863565,-2533.5186773861865,-2775.7869347302717,-2935.6507214074686,-2519.363186445821	0.9957118678763863	-1482.1814735907374	8	true	17
32	16	16	100	0	0	0	0	0	-Infinity	-1625.334455991978	-Infinity	-49.32144359075445	-Infinity,-2337.6154357948403,-Infinity,-Infinity,-3077.9538379475393,-Infinity,-3071.1216860571694,-Infinity,-3078.109577592834,-Infinity,-Infinity,-Infinity,-2829.6692082614095,-3007.778157861121,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1773.7763728699092,-Infinity,-Infinity,-Infinity,-2564.672769468651,-3080.4446613660452,-Infinity,-3226.1991816386476,-Infinity,-Infinity,-1862.1242955800647,-Infinity,-Infinity,-Infinity,-2771.7481737037638,-3080.544666797348,-Infinity,-3114.0469428150664,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2869.6723357892884,-Infinity,-Infinity,-3063.924415616658,-Infinity,-2907.3390954380047,-Infinity,-Infinity,-2466.3459850981617,-2858.1118514783457,-Infinity,-2565.11719341479,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2515.074626221108,-Infinity,-Infinity,-3209.8733556063826,-2863.5342117610376,-2361.4847996883327,-Infinity,-Infinity,-Infinity,-3374.4090183358003,-Infinity,-3259.7467941806713,-Infinity,-Infinity,-1625.334455991978,-Infinity,-2812.6368688366188,-Infinity,-2263.175322328279,-3112.224634343497,-2720.6634754295947,-3062.5843729068847,-Infinity,-Infinity,-Infinity,-2809.502794042635,-2716.626932758879,-3115.556313819712,-3170.469971340834,-3157.38535401423,-Infinity,-Infinity,-2811.961413667998,-Infinity,-Infinity	0.9955252557007185	-1625.334455991978	7	true	10
