# solver: DSA
# max_time: 500
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 329fcb3f-b206-4742-9f0d-12044f82806b
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	1	478	0	0	0	0	-6.721513101994238E-6	-6.721513101994238E-6	-6.721513101994238E-6	-6.721513101994238E-6	-6.721513101994238E-6	0.9991239280309399	-6.721513101994238E-6	0	true	7
25	6	6	1	478	0	0	0	0	-2.831022807933965E-6	-2.831022807933965E-6	-2.831022807933965E-6	-2.831022807933965E-6	-2.831022807933965E-6	0.9990443117099597	-2.831022807933965E-6	0	true	10
26	6	6	1	478	0	0	0	0	9.19130794471727E-8	9.19130794471727E-8	9.19130794471727E-8	9.19130794471727E-8	9.19130794471727E-8	0.9990443117099597	9.19130794471727E-8	0	true	1
27	6	6	7	3346	0	0	0	0	2.001916647133522E-7	2.001916647133522E-7	2.001916647133522E-7	2.001916647133522E-7	7.133390615525338E-8,7.133390615525338E-8,7.133390615525338E-8,7.133390615525338E-8,7.133390615525338E-8,2.001916647133522E-7,2.001916647133522E-7	0.9990443117099597	2.001916647133522E-7	0	true	1
28	6	6	1	478	0	0	0	0	9.457737838281735E-7	9.457737838281735E-7	9.457737838281735E-7	9.457737838281735E-7	9.457737838281735E-7	0.9990443117099597	9.457737838281735E-7	0	true	1
29	6	6	1	476	0	0	0	0	2.0486106122769006E-7	2.0486106122769006E-7	2.0486106122769006E-7	2.0486106122769006E-7	2.0486106122769006E-7	0.9990443117099597	2.0486106122769006E-7	0	true	1
30	6	6	1	476	0	0	0	0	8.05543024447589E-7	8.05543024447589E-7	8.05543024447589E-7	8.05543024447589E-7	8.05543024447589E-7	0.99887542860485	8.05543024447589E-7	0	true	1
31	6	6	1	474	0	0	0	0	4.0139407652269316E-7	4.0139407652269316E-7	4.0139407652269316E-7	4.0139407652269316E-7	4.0139407652269316E-7	0.99887542860485	4.0139407652269316E-7	0	true	1
32	7	7	1	474	0	0	0	0	7.536623853841729E-7	7.536623853841729E-7	7.536623853841729E-7	7.536623853841729E-7	7.536623853841729E-7	0.9987036576717526	7.536623853841729E-7	0	true	0
33	7	7	1	472	0	0	0	0	1.699488003897797E-7	1.699488003897797E-7	1.699488003897797E-7	1.699488003897797E-7	1.699488003897797E-7	0.9986204224270916	1.699488003897797E-7	0	true	0
34	8	8	1	472	0	0	0	0	1.1028543774548315E-9	1.1028543774548315E-9	1.1028543774548315E-9	1.1028543774548315E-9	1.1028543774548315E-9	0.9984128643598162	1.1028543774548315E-9	0	true	1
35	9	9	1	470	0	0	0	0	-1.2636015547332014E-7	-1.2636015547332014E-7	-1.2636015547332014E-7	-1.2636015547332014E-7	-1.2636015547332014E-7	0.998144332911735	-1.2636015547332014E-7	0	true	1
36	10	10	1	470	0	0	0	0	5.183959949649758E-7	5.183959949649758E-7	5.183959949649758E-7	5.183959949649758E-7	5.183959949649758E-7	0.9981368757356651	5.183959949649758E-7	0	true	1
37	11	11	1	470	0	0	0	0	9.588928690621827E-7	9.588928690621827E-7	9.588928690621827E-7	9.588928690621827E-7	9.588928690621827E-7	0.9979193747669632	9.588928690621827E-7	0	true	1
38	11	11	1	468	0	0	0	0	3.5585140320685736E-7	3.5585140320685736E-7	3.5585140320685736E-7	3.5585140320685736E-7	3.5585140320685736E-7	0.9975972905593614	3.5585140320685736E-7	0	true	1
39	12	12	1	468	0	0	0	0	5.317332890108006E-7	5.317332890108006E-7	5.317332890108006E-7	5.317332890108006E-7	5.317332890108006E-7	0.9975264473866985	5.317332890108006E-7	0	true	0
40	12	12	1	468	0	0	0	0	4.74631119705325E-7	4.74631119705325E-7	4.74631119705325E-7	4.74631119705325E-7	4.74631119705325E-7	0.9975264473866985	4.74631119705325E-7	0	true	1
41	13	13	1	466	0	0	0	0	-1.112596195041297E-6	-1.112596195041297E-6	-1.112596195041297E-6	-1.112596195041297E-6	-1.112596195041297E-6	0.9974928900943846	-1.112596195041297E-6	0	true	0
42	15	15	1	466	0	0	0	0	-1.6299534191529087E-6	-1.6299534191529087E-6	-1.6299534191529087E-6	-1.6299534191529087E-6	-1.6299534191529087E-6	0.9973089464179967	-1.6299534191529087E-6	0	true	1
43	15	15	1	466	0	0	0	0	3.3545822775075515E-7	3.3545822775075515E-7	3.3545822775075515E-7	3.3545822775075515E-7	3.3545822775075515E-7	0.9972257111733355	3.3545822775075515E-7	0	true	0
44	17	17	7	3262	0	0	0	0	5.709308094801737E-7	5.709308094801737E-7	5.709308094801737E-7	5.709308094801737E-7	1.714068324147139E-7,1.714068324147139E-7,1.714068324147139E-7,1.714068324147139E-7,1.714068324147139E-7,5.709308094801737E-7,5.709308094801737E-7	0.9970119387926686	5.709308094801737E-7	0	true	1
