# solver: DSA
# max_time: 500
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 3527cfd2-84e3-4900-97b5-b60899725b6f
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-nopolice-refugeOnFire.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	9	9	18	1044	6156	49248	0	0	45.65416366977295	45.65416366977295	45.65416366977295	45.65416366977295	11.464689654108547,17.700071647699843,23.031727620424,32.6532593552154,32.6532593552154,32.6532593552154,34.07410699951194,34.07410699951194,34.07410699951194,37.676824981145764,37.676824981145764,37.676824981145764,41.157955169644296,44.17948693617078,44.17948693617078,44.17948693617078,45.65416366977295,45.65416366977295	0.9975653416775723	45.65416366977295	0	true	41
25	9	9	14	812	4788	38304	0	0	44.93711825774796	44.93711825774796	44.93711825774796	44.93711825774796	5.716793934647754,20.518481544922167,30.312318272198098,36.827437476411944,36.827437476411944,42.32882416690659,42.97223793709343,42.97223793709343,42.97223793709343,42.97223793709343,42.97223793709343,42.97223793709343,44.93711825774796,44.93711825774796	0.9975653416775723	44.93711825774796	0	true	17
26	9	9	13	754	4446	35568	0	0	47.36905859366922	47.36905859366922	47.36905859366922	47.36905859366922	35.41544628061363,38.74702553625869,38.74702553625869,41.015572487672614,45.377465905614145,46.026861285601214,46.026861285601214,45.404888533175665,45.404888533175665,45.404888533175665,45.404888533175665,47.36905859366922,47.36905859366922	0.9975653416775723	47.36905859366922	0	true	13
27	10	10	10	580	3420	27360	0	0	46.83981426440423	46.83981426440423	46.83981426440423	46.83981426440423	36.06685029153807,41.38302572811776,39.38437533482761,42.382883566973234,43.506120575627094,43.506120575627094,43.506120575627094,45.95855551416734,46.83981426440423,46.83981426440423	0.997262083184068	46.83981426440423	0	true	2
28	10	10	45	2790	15390	123120	0	0	52.27555248155272	52.27555248155272	52.27555248155272	52.27555248155272	36.82514728407369,40.103177291299694,42.09235808273189,42.85002143331154,46.008192093459556,46.008192093459556,49.27990193895074,49.27990193895074,50.35236443351144,51.28662422812185,51.29728525797262,51.29728525797262,51.309120701629524,51.309120701629524,51.309120701629524,51.309120701629524,51.309120701629524,51.309120701629524,51.309120701629524,51.309120701629524,51.309120701629524,51.309120701629524,51.309120701629524,51.30979989368103,51.30979989368103,51.30979989368103,52.218169283216554,52.218169283216554,52.218169283216554,52.218169283216554,52.218169283216554,52.218169283216554,52.218169283216554,52.218169283216554,52.218169283216554,52.218169283216554,52.218169283216554,52.218169283216554,52.218169283216554,52.218169283216554,52.218169283216554,52.218169283216554,52.218169283216554,52.27555248155272,52.27555248155272	0.9970015206790418	52.27555248155272	0	true	8
29	12	12	8	496	2736	21888	0	0	52.625421224038405	52.625421224038405	52.625421224038405	52.625421224038405	50.29003730465992,50.18212665407678,46.93459952236164,52.15665993675853,52.15665993675853,52.15665993675853,52.625421224038405,52.625421224038405	0.9966696763439367	52.625421224038405	0	true	2
30	13	13	4	280	1368	10944	0	0	51.2861050675702	51.2861050675702	51.2861050675702	51.2861050675702	48.21036856348663,50.09185998707976,51.2861050675702,51.2861050675702	0.9965839188191344	51.2861050675702	0	true	2
31	13	13	12	888	4104	32832	0	0	47.813543250913995	47.813543250913995	47.813543250913995	47.813543250913995	41.93615041133131,44.76856804908339,44.76856804908339,44.76856804908339,44.76856804908339,44.76856804908339,42.73100824810062,42.19740472310373,46.4597165316789,47.11745223335443,47.813543250913995,47.813543250913995	0.9960483181143581	47.813543250913995	0	true	3
32	13	13	16	1184	5472	43776	0	0	47.01275530038426	47.01275530038426	47.01275530038426	47.01275530038426	37.26247785849145,38.53281040521664,41.46712063526307,42.8071307021286,42.0297501782891,44.02995811501918,45.02960970309571,45.02960970309571,45.02960970309571,45.02960970309571,45.02960970309571,45.02960970309571,45.02960970309571,45.02960970309571,47.01275530038426,47.01275530038426	0.9955863021910939	47.01275530038426	0	true	3
33	15	15	15	1110	5130	41040	0	0	47.45897588354657	47.45897588354657	47.45897588354657	47.45897588354657	26.760571896850934,29.793317403361716,32.071356251584305,33.06588343582228,38.77653091163484,40.71640714967465,40.71640714967465,40.71640714967465,40.71640714967465,40.71640714967465,40.71640714967465,46.06284407704463,46.06284407704463,47.45897588354657,47.45897588354657	0.9953466855776751	47.45897588354657	0	true	3
