# solver: Greedy
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 364d7004-be95-481c-9f90-a5c7d0a936fb
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	9	9	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9976279600236874	-Infinity	12	false	5
25	9	9	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9975483437027073	-Infinity	11	false	1
26	9	9	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9975483437027073	-Infinity	11	false	2
27	10	10	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.997245085209203	-Infinity	12	false	2
28	10	10	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9970255371725607	-Infinity	12	true	2
29	10	10	1	0	0	0	0	0	-Infinity	-Infinity	-74.84774236063748	-74.84774236063748	-Infinity	0.9970255371725607	-Infinity	12	true	2
30	10	10	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9968566540674508	-Infinity	10	true	1
31	10	10	1	0	0	0	0	0	-Infinity	-Infinity	-118.08550326601676	-118.08550326601676	-Infinity	0.9964971743151462	-Infinity	11	true	2
32	10	9	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9963190794043032	-Infinity	12	false	0
33	11	11	1	0	0	0	0	0	-Infinity	-Infinity	-14.08110756191408	-14.08110756191408	-Infinity	0.996248053457717	-Infinity	11	false	3
34	11	10	1	0	0	0	0	0	-372.6982719220131	-372.6982719220131	56.63273852108679	56.63273852108679	-372.6982719220131	0.9961812678661509	-372.6982719220131	12	true	5
35	11	9	1	0	0	0	0	0	-575.5300628524079	-575.5300628524079	43.193889616465796	43.193889616465796	-575.5300628524079	0.996110534357842	-575.5300628524079	13	false	5
36	13	11	1	0	0	0	0	0	-Infinity	-Infinity	-73.05607214126013	-73.05607214126013	-Infinity	0.9954350019374036	-Infinity	19	false	12
37	15	13	1	0	0	0	0	0	-Infinity	-Infinity	-50.26138225787827	-50.26138225787827	-Infinity	0.9952249946995562	-Infinity	16	false	3
38	17	17	1	0	0	0	0	0	-Infinity	-Infinity	-17.152796640486006	-17.152796640486006	-Infinity	0.9945834582288475	-Infinity	13	true	3
39	21	17	1	0	0	0	0	0	-375.17161458004364	-375.17161458004364	49.51891917067485	49.51891917067485	-375.17161458004364	0.9935202623171345	-375.17161458004364	14	true	5
40	21	17	1	0	0	0	0	0	-Infinity	-Infinity	-28.425851882742442	-28.425851882742442	-Infinity	0.993482099121954	-Infinity	14	true	2
41	22	17	1	0	0	0	0	0	-Infinity	-Infinity	-12.892766842594131	-12.892766842594131	-Infinity	0.9933588729428795	-Infinity	11	true	3
42	22	19	1	0	0	0	0	0	-Infinity	-Infinity	19.414397942570144	19.414397942570144	-Infinity	0.9930801061550946	-Infinity	15	true	3
43	22	17	1	0	0	0	0	0	-Infinity	-Infinity	2.750100218019888	2.750100218019888	-Infinity	0.9929235054576294	-Infinity	16	true	3
44	23	17	1	0	0	0	0	0	-285.94523253793665	-285.94523253793665	62.6108401183788	62.6108401183788	-285.94523253793665	0.992417660347563	-285.94523253793665	14	true	4
45	23	18	1	0	0	0	0	0	-299.63744214406233	-299.63744214406233	17.04713826861218	17.04713826861218	-299.63744214406233	0.9922857341297402	-299.63744214406233	8	true	4
46	23	18	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9920233073306965	-Infinity	9	true	1
47	23	21	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9919529028154495	-Infinity	10	true	1
48	25	22	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9914975764177771	-Infinity	5	true	0
49	26	22	1	0	0	0	0	0	-Infinity	-Infinity	7.672764870674511	7.672764870674511	-Infinity	0.9914315219219043	-Infinity	6	true	2
50	29	24	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9911700821020463	-Infinity	6	true	1
51	29	22	1	0	0	0	0	0	-58.42678584147981	-58.42678584147981	71.74137620927603	71.74137620927603	-58.42678584147981	0.991260884187131	-58.42678584147981	10	true	5
52	29	22	1	0	0	0	0	0	-Infinity	-Infinity	50.00168613549056	50.00168613549056	-Infinity	0.9912332487699315	-Infinity	8	true	2
53	29	20	1	0	0	0	0	0	-164.87599419928117	-164.87599419928117	66.38747091740278	66.38747091740278	-164.87599419928117	0.9913385265497399	-164.87599419928117	12	true	5
54	30	21	1	0	0	0	0	0	-Infinity	-Infinity	-49.80362926581696	-49.80362926581696	-Infinity	0.990844854182964	-Infinity	9	true	2
55	30	22	1	0	0	0	0	0	-160.79581427973648	-160.79581427973648	65.45494722399576	65.45494722399576	-160.79581427973648	0.9906488474276398	-160.79581427973648	11	true	4
56	32	24	1	0	0	0	0	0	39.70594460706826	39.70594460706826	65.80656595305794	65.80656595305794	39.70594460706826	0.9899392825026868	39.70594460706826	11	true	5
57	32	21	1	0	0	0	0	0	44.871846990610734	44.871846990610734	65.91977991845759	65.91977991845759	44.871846990610734	0.990086342401357	44.871846990610734	10	true	5
58	32	20	1	0	0	0	0	0	-282.82285254162537	-282.82285254162537	56.17362706400916	56.17362706400916	-282.82285254162537	0.9899004978761672	-282.82285254162537	15	true	16
59	32	18	1	0	0	0	0	0	-Infinity	-Infinity	-73.00976155268626	-73.00976155268626	-Infinity	0.9899408543584268	-Infinity	19	true	2
60	33	19	1	0	0	0	0	0	-Infinity	-Infinity	-41.67926258771838	-41.67926258771838	-Infinity	0.9898588254216595	-Infinity	16	true	2
61	33	20	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9899396114957486	-Infinity	18	true	1
62	33	19	1	0	0	0	0	0	-Infinity	-Infinity	13.502774373500005	13.502774373500005	-Infinity	0.9898084894831884	-Infinity	16	true	2
63	33	17	1	0	0	0	0	0	-Infinity	-Infinity	-58.87706584788408	-58.87706584788408	-Infinity	0.9900596939633427	-Infinity	17	true	7
64	33	19	1	0	0	0	0	0	-Infinity	-Infinity	11.551800080172635	11.551800080172635	-Infinity	0.9895224482932571	-Infinity	16	true	10
