# solver: DSA
# max_time: 500
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 3a95a1f9-81bc-432a-873a-05ae804f8566
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-nopolice-analisi2.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	23	23	9	945	5850	46800	0	0	73.39940839513024	73.39940839513024	73.39940839513024	73.39940839513024	61.32919726115809,61.32919726115809,63.30918333345566,62.629723637004325,66.65303320349481,66.65303320349481,69.90211804960168,73.39940839513024,73.39940839513024	0.9964998428144262	73.39940839513024	0	true	26
25	26	23	26	3146	16900	135200	0	0	74.64926446758393	74.64926446758393	74.64926446758393	74.64926446758393	64.09210829298635,64.09210829298635,64.09210829298635,67.13578972828907,71.10388321656244,71.10388321656244,71.10388321656244,71.10388321656244,71.10388321656244,71.10388321656244,71.10388321656244,71.10388321656244,71.10388321656244,71.10388321656244,71.10388321656244,71.10388321656244,71.10388321656244,71.10388321656244,71.11034748195841,72.87391435840935,72.87391435840935,72.87391435840935,72.87391435840935,72.87391435840935,74.64926446758393,74.64926446758393	0.996264941768228	74.64926446758393	0	true	23
26	26	23	48	5808	31200	249600	0	0	75.95210045540975	75.95210045540975	75.95210045540975	75.95210045540975	59.3755329445025,62.649001354019155,62.649001354019155,66.67833677653583,66.67833677653583,66.67833677653583,69.93891547592433,73.8387411441382,73.8387411441382,73.8387411441382,73.83900978267107,73.83900978267107,73.83900978267107,73.83900978267107,73.83900978267107,73.83900978267107,73.83900978267107,73.83900978267107,75.83183259298829,75.83183259298829,75.83183259298829,75.83183259298829,75.83183259298829,75.83183259298829,75.83183259298829,75.83183259298829,75.83183259298829,75.83183259298829,75.83183259298829,75.83183259298829,75.83183259298829,75.83183259298829,75.83183259298829,75.83183259298829,75.83183259298829,75.83183259298829,75.86125787569829,75.94247350860188,75.94247350860188,75.94247350860188,75.94247350860188,75.94247350860188,75.94247350860188,75.94247350860188,75.94247350860188,75.94247350860188,75.95210045540975,75.95210045540975	0.996264941768228	75.95210045540975	0	true	12
27	27	24	16	1936	10400	83200	0	0	76.52781077739355	76.52781077739355	76.52781077739355	76.52781077739355	68.49255530733076,70.55359460377002,72.54168779067145,72.54168779067145,72.54168779067145,74.53057356527577,74.53068170692698,74.53816610939384,74.53816610939384,75.5371061298436,75.5371061298436,75.5371061298436,75.5371061298436,75.5371061298436,76.52781077739355,76.52781077739355	0.995931306248675	76.52781077739355	0	true	12
28	27	24	31	3875	20150	161200	0	0	76.63200799127831	76.63200799127831	76.63200799127831	76.63200799127831	72.61491139912546,74.62633433228942,74.62633433228942,74.62633433228942,74.62633433228942,74.62633433228942,76.61905295314793,76.61905295314793,76.62036881949595,76.62045501767753,76.62045501767753,76.62045501767753,76.62049206915943,76.62490434955387,76.62490434955387,76.62490434955387,76.62513642778315,76.62554605063035,76.62554605063035,76.62554605063035,76.62700718400481,76.62700718400481,76.62700718400481,76.62700718400481,76.62700718400481,76.63135366858667,76.63135366858667,76.63135366858667,76.63135366858667,76.63200799127831,76.63200799127831	0.9956707437436486	76.63200799127831	0	true	9
29	29	24	49	6125	31850	254800	0	0	76.55713871587972	76.55713871587972	76.55713871587972	76.55713871587972	70.51392777045668,70.51392777045668,70.51464622452559,72.51446130788803,72.51504754920543,72.51504754920543,72.51504754920543,72.51504754920543,72.51504754920543,72.51504754920543,72.51554975471528,72.51554975471528,72.51554975471528,72.51554975471528,72.51554975471528,72.53171939184887,72.53204892193381,72.53204892193381,72.53204892193381,72.60149637907787,72.60149637907787,72.60149637907787,72.60149637907787,72.60149637907787,74.57218135317251,74.57218135317251,74.57218135317251,74.57218135317251,74.57218135317251,74.57218135317251,74.57218135317251,74.57218135317251,74.57218135317251,74.57218135317251,74.57218135317251,74.57218135317251,74.57218135317251,74.57218135317251,74.57218135317251,74.57218135317251,74.57218135317251,74.57218135317251,74.57218135317251,74.57218135317251,74.57218135317251,74.57218135317251,74.57218135317251,76.55713871587972,76.55713871587972	0.9953573230200101	76.55713871587972	0	true	11
30	30	24	19	2375	12350	98800	0	0	75.14028394499728	75.14028394499728	75.14028394499728	75.14028394499728	63.242529547145836,68.35941045371368,68.35941045371368,68.35956986478526,68.35956986478526,72.09271998771932,72.70931872582317,74.52368354477852,74.52368354477852,74.52368354477852,74.52368354477852,74.52368354477852,74.52368354477852,74.52368354477852,74.52368354477852,74.52368354477852,74.52368354477852,75.14028394499728,75.14028394499728	0.9951023533970361	75.14028394499728	0	true	8
31	31	24	10	1250	6500	52000	0	0	72.3436595314991	72.3436595314991	72.3436595314991	72.3436595314991	55.84692934169239,58.83820909549256,59.825291088585914,63.91497681607606,67.53024602836209,67.53024602836209,68.81927797496351,68.81927797496351,72.3436595314991,72.3436595314991	0.9944094574538862	72.3436595314991	0	true	13
32	31	25	39	4875	25350	202800	0	0	70.0835310977779	70.0835310977779	70.0835310977779	70.0835310977779	47.72959620080171,52.19452320060752,57.18582020107665,60.45993217422961,60.45993217422961,60.45993217422961,61.81265041386807,63.77214540462671,63.77214540462671,63.77214540462671,63.77214540462671,63.77214540462671,64.75401982639636,67.82871583887325,69.11291847007095,69.11291847007095,69.11291847007095,69.11291847007095,69.11291847007095,69.11291847007095,69.11291847007095,69.11291847007095,69.11291847007095,69.11291847007095,69.11291847007095,69.11291847007095,69.11291847007095,69.11291847007095,69.11291847007095,69.11291847007095,69.11291847007095,69.11291847007095,69.11291847007095,69.11291847007095,69.11291847007095,69.11291847007095,69.11291847007095,70.0835310977779,70.0835310977779	0.9939461255583741	70.0835310977779	0	true	9
33	32	25	24	3096	15600	124800	0	0	71.30768027599882	71.30768027599882	71.30768027599882	71.30768027599882	24.34930799610651,34.12716593003326,34.12716593003326,34.12716593003326,50.09472556335,51.375846825327265,51.375846825327265,51.375846825327265,51.375846825327265,59.57271694113872,64.06797682259482,65.80957619676964,65.80957619676964,68.57581025986204,68.57581025986204,65.02195151819235,67.33330632995829,67.33330632995829,67.33330632995829,67.33330632995829,67.33330632995829,67.33330632995829,71.30768027599882,71.30768027599882	0.9937522024257754	71.30768027599882	0	true	7
34	33	23	32	4128	20800	166400	0	0	66.90321736696092	66.90321736696092	66.90321736696092	66.90321736696092	26.86978236538217,39.59014747161184,39.59014747161184,39.59014747161184,39.59014747161184,44.9828177266121,44.9828177266121,48.33868274434417,56.41305578645424,57.62195874589253,57.62195874589253,57.62195874589253,57.62195874589253,64.90009263140152,64.90009263140152,64.90009263140152,64.90009263140152,64.90009263140152,64.90009263140152,64.90009263140152,64.90009263140152,64.90009263140152,64.90009263140152,65.90001092337394,65.90001092337394,65.90001092337394,65.90001092337394,65.90001092337394,65.90001092337394,65.90001092337394,66.90321736696092,66.90321736696092	0.993760536916677	66.90321736696092	0	true	11
35	35	25	16	1936	10400	83200	0	0	67.95054559580232	67.95054559580232	67.95054559580232	67.95054559580232	33.73689620024032,33.73689620024032,44.54559567262343,52.99761144306499,56.47602728351946,59.12004719813045,64.04951164195865,64.04951164195865,65.36508198718225,66.93457387134839,66.93457387134839,66.93457387134839,66.94997883358411,66.94997883358411,67.95054559580232,67.95054559580232	0.9936461935502737	67.95054559580232	0	true	5
36	36	25	22	2838	14300	114400	0	0	67.90403832638285	67.90403832638285	67.90403832638285	67.90403832638285	32.514039410161,34.98917725302835,34.98917725302835,55.67905191256477,57.991263725894356,61.266636498972844,61.266636498972844,61.266636498972844,63.26355502999438,63.26355502999438,63.26355502999438,63.26355502999438,63.26355502999438,63.26355502999438,63.26355502999438,63.26355502999438,63.26355502999438,66.87719177734357,66.87719177734357,66.87719177734357,67.90403832638285,67.90403832638285	0.9935575481974834	67.90403832638285	0	true	7
37	38	28	14	1806	9100	72800	0	0	64.94392952156754	64.94392952156754	64.94392952156754	64.94392952156754	36.20148713449241,47.90698145531208,50.200962430079734,55.23612095220683,55.23612095220683,57.041410027489654,58.753697616593996,58.753697616593996,61.22299436566246,61.22299436566246,61.22325513442982,63.651705023989294,64.94392952156754,64.94392952156754	0.9928504324431023	64.94392952156754	0	true	5
38	39	29	35	4935	22750	182000	0	0	66.07164089448548	66.07164089448548	66.07164089448548	66.07164089448548	3.336764061925656,8.425230207517766,22.552409139622966,40.78417167724146,42.88161061753746,47.8345180227622,57.51089308169348,62.348339277722204,62.348339277722204,62.348339277722204,62.348339277722204,62.348339277722204,64.37883085147573,64.37883085147573,64.3789239278852,64.3789239278852,64.3789239278852,64.3789239278852,64.3789239278852,66.03805334345729,66.03805334345729,66.03805334345729,66.03805334345729,66.05143540302974,66.05143540302974,66.05193550379502,66.05193550379502,66.05193550379502,66.05193550379502,66.07150287314349,66.07150287314349,66.07150287314349,66.07150287314349,66.07164089448548,66.07164089448548	0.9924643773623529	66.07164089448548	0	true	10
