# solver: DSA
# max_time: 500
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 3c9d4530-f260-4417-aef6-9656f7a411ed
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: Ambulancias_Collapse_ConySinNormas.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	12	12	41	22755	28782	230256	0	0	41.110995654386734	41.110995654386734	41.110995654386734	41.110995654386734	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,39.54402916741818,39.54402916741818,39.54402916741818,39.54402916741818,39.54402916741818,39.54402916741818,39.54402916741818,39.54402916741818,39.54402916741818,39.54402916741818,39.54402916741818,39.54402916741818,39.54402916741818,39.54402916741818,39.54402916741818,39.54402916741818,39.54402916741818,39.54402916741818,39.54402916741818,39.54402916741818,39.54402916741818,39.54402916741818,39.54402916741818,39.54402916741818,39.54402916741818,39.54402916741818,39.54402916741818,39.54402916741818,39.54402916741818,39.54402916741818,39.54402916741818,39.54402916741818,39.54402916741818,41.110995654386734,41.110995654386734	0.9977623354120823	41.110995654386734	0	true	187
25	14	14	36	20088	25272	202176	0	0	37.30847538353453	37.30847538353453	37.30847538353453	37.30847538353453	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,36.119164327000945,36.119164327000945,36.119164327000945,36.879379996108156,36.879379996108156,36.879379996108156,36.879379996108156,36.879379996108156,36.879379996108156,36.879379996108156,36.879379996108156,36.88478232954101,36.88478232954101,36.88478232954101,36.88478232954101,36.88478232954101,36.88478232954101,36.88478232954101,36.95130077488953,37.30847538353453,37.30847538353453	0.9968314678208231	37.30847538353453	0	true	44
26	14	14	24	13344	16848	134784	0	0	40.2601539342182	40.2601539342182	40.2601539342182	40.2601539342182	-21.10675644497346,29.85334713087828,32.78686199508729,34.16231792375032,34.16239905765154,37.124658099442094,39.28123321175026,40.259484513960054,40.259484513960054,40.2596417281851,40.2596417281851,40.2596417281851,40.25964216949483,40.25964216949483,40.25964216949483,40.25964216949483,40.25964216949483,40.25964216949483,40.25979848053891,40.25979848053891,40.25979848053891,40.25979848053891,40.2601539342182,40.2601539342182	0.9962825977292168	40.2601539342182	0	true	40
27	14	14	12	6480	8424	67392	0	0	41.17784764028643	41.17784764028643	41.17784764028643	41.17784764028643	30.549313270759733,35.1514158984758,35.151431484834426,35.151663297529,36.56412681926802,38.76329843354813,38.76330021588252,40.13299118168476,40.133000640968845,40.13312104997647,41.17784764028643,41.17784764028643	0.9962825977292168	41.17784764028643	0	true	17
28	14	14	24	12960	16848	134784	0	0	44.2445062253852	44.2445062253852	44.2445062253852	44.2445062253852	-14.922847175178227,-12.980999495563601,-8.015020601798858,-6.769046715897316,-5.801452051167166,-5.80140605836778,-5.80140605836778,-5.801136994069372,-5.800837964053576,-5.800837964053576,-5.800837964053576,-5.800837964053576,-5.800837964053576,-5.800837964053576,44.19982245903986,44.19982245903986,44.19987800011386,44.19987800011386,44.19987800011386,44.19987800011386,44.19987800011386,44.19987800011386,44.2445062253852,44.2445062253852	0.9962825977292168	44.2445062253852	0	true	25
29	14	13	22	11880	15444	123552	0	0	43.3643958236689	43.3643958236689	43.3643958236689	43.3643958236689	-131.07734970802554,-131.07734970802554,-125.13544138667352,-67.53463158981096,-66.5603030944171,-66.5603030944171,-15.59404108754243,-15.59404108754243,34.40597551287972,42.069925217499545,42.069925217499545,42.069925217499545,42.1277453817318,41.3643733001407,43.364165546820956,43.364165546820956,43.364165546820956,43.364165546820956,43.364165546820956,43.364165546820956,43.3643958236689,43.3643958236689	0.9962914805418883	43.3643958236689	0	true	22
30	14	13	27	14580	18954	151632	0	0	45.50004492651087	45.50004492651087	45.50004492651087	45.50004492651087	29.059419250953475,33.54461329800151,33.54461329800151,38.96765128306646,42.24600006818453,44.20443543282198,45.45820137527524,45.45820137527524,45.45842658576602,45.45842658576602,45.45842658576602,45.50000294597026,45.50000294597026,45.50000294597026,45.50000294597026,45.50000294597026,45.50000294597026,45.50000294597026,45.50000294597026,45.50004433476013,45.50004433476013,45.50004433476013,45.50004433476013,45.50004433476013,45.50004433476013,45.50004492651087,45.50004492651087	0.9961225974367784	45.50004492651087	0	true	26
31	14	12	35	18830	24570	196560	0	0	42.092739793729926	42.092739793729926	42.092739793729926	42.092739793729926	-38.00202744182967,-23.432714417984634,-23.432483763056965,-23.950494507025645,-21.03101234568819,-21.03101234568819,-21.03101234568819,-21.030964762214843,-15.866820344902937,-15.866820344902937,-15.866820344902937,-15.866820344902937,-15.866820344902937,-15.866820344902937,-15.866820344902937,-15.866820344902937,-15.866820344902937,-15.866820344902937,-15.866820344902937,-14.86648423459626,-10.588253699003523,-10.588253699003523,-10.588253699003523,39.41183041390416,39.41183041390416,39.41183041390416,41.78123520507914,41.78123520507914,41.78123520507914,41.78123520507914,41.78123520507914,41.78123520507914,41.78123520507914,42.092739793729926,42.092739793729926	0.9959354003845564	42.092739793729926	0	true	31
32	14	14	26	13468	18252	146016	0	0	41.063979178383704	41.063979178383704	41.063979178383704	41.063979178383704	23.02109443138872,27.04837618321482,30.963240751928154,37.460042080157976,37.460043710346056,37.460043710346056,38.71509740297017,38.71509740297017,38.76651883062962,38.76651883062962,38.76654653708118,38.76654653708118,38.78958665175297,40.47385752859185,40.47385752859185,40.82191304765692,40.82191304765692,40.82191304765692,40.82191304765692,40.82191304765692,40.82191304765692,41.063973443246965,41.063973443246965,41.063973443246965,41.063979178383704,41.063979178383704	0.9959038170506138	41.063979178383704	0	true	21
33	15	15	66	35244	46332	370656	0	0	45.021297391253896	45.021297391253896	45.021297391253896	45.021297391253896	-75.88494088184518,-75.88494088184518,-25.884759999270287,-25.884759999270287,-25.88475228560462,-21.26929742099838,-17.121069221540814,-11.49302732998081,-10.1679236732744,-10.1679236732744,-6.8301972648158475,-6.8301700494127395,-5.290856742815456,-5.290856742815456,-5.290856742815456,-5.290856742815456,-5.290856742815456,-5.290856742815456,-5.290856742815456,-5.290835778020074,-5.290835778020074,-4.978727590179125,-4.978727590179125,-4.978727590179125,45.021272146647576,45.021272146647576,45.02127260361763,45.02127260361763,45.02127260361763,45.02127260361763,45.02127260361763,45.02127260361763,45.02127260361763,45.02127271070093,45.021273122869545,45.021273122869545,45.021273122869545,45.021273122869545,45.021274298553905,45.021274298553905,45.021274298553905,45.021274298553905,45.021274298553905,45.021274298553905,45.021274298553905,45.021274298553905,45.021274298553905,45.021274298553905,45.021274298553905,45.021274298553905,45.021274298553905,45.021274298553905,45.021274298553905,45.021274298553905,45.021274298553905,45.021274298553905,45.021274298553905,45.021274298553905,45.021274298553905,45.021274298553905,45.021274298553905,45.021274298553905,45.021274298553905,45.021274298553905,45.021297391253896,45.021297391253896	0.9957260876876175	45.021297391253896	0	true	49
