# solver: BinaryMaxSum
# max_time: 1000
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 3dd75908-1ce2-42a2-ba26-99665e7b1d6f
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
23	12	12	100	68800	668844	5350752	0	0	-2313.228599423268	-1773.434696877944	-154.44293531120826	-148.2788238302627	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2087.795839103581,-2087.795839103581,-2087.795839103581,-2087.7958418303306,-2087.79584245088,-2087.79584245088,-2087.79584245088,-2087.79584245088,-2087.7958445056515,-2087.7958445056515,-2087.7958445056515,-2087.7958445056515,-2087.7958480813836,-2087.7958539793635,-2087.7958539793635,-2087.7958539793635,-2087.795884051759,-2087.795884051759,-2087.795895655514,-2087.795895655514,-2087.795906184567,-2087.79591019819,-2087.795951011787,-2087.795951011787,-2087.795951011787,-1787.7960508544015,-1787.7960508544015,-1787.7960508544015,-1787.7960567230198,-1787.7960567230198,-1787.7960567230198,-1787.7960567230198,-1787.7960567230198,-1787.7960567230198,-1787.7960567230198,-1787.7960567230198,-1787.7960567230198,-1787.7960567230198,-1787.7960567230198,-1787.7960561024697,-1787.7960561024697,-1787.7960561024697,-1787.7960561024697,-1787.7960561024697,-1787.7960561024697,-1787.796057655276,-1787.796057655276,-1787.796057655276,-1787.796057655276,-1787.7960834137987,-1787.7960834137987,-1787.7960834137987,-1787.7960834137987,-1787.7960834137987,-1787.7960834137987,-1787.7960834137987,-1787.796096544656,-1787.796096544656,-1787.796096544656,-1787.796096544656,-1787.796096544656,-1787.796096544656,-1783.3644279196142,-1776.0893060958194,-1776.0893060958194,-1776.0893060958194,-1776.0893060958194,-1776.0893060958194,-1776.0893060958194,-1776.0893060958194,-1776.0893060958194,-1774.8985459448877,-1775.065221062335,-1776.584913745238,-1776.584913745238,-1773.434696877944,-1774.3068651716324,-1774.3068651716324,-1774.3068651716324,-1774.3068651716324,-1981.3470139386673,-2086.8497210774685,-2086.8497210774685,-2086.8497210774685,-2088.2784829636234,-2107.141827375595,-2115.0307694176977,-2115.0307694176977,-2313.228599423268,-2313.228599423268	0.9977516614149626	-1773.434696877944	13	false	586
24	13	13	100	78200	687060	5496480	0	0	-1529.6273066307604	-1181.3906958317891	-86.66832357313194	-23.354794857946146	-Infinity,-Infinity,-2111.757361657218,-2111.757361657218,-2111.757378663445,-2111.757378663445,-2111.7573795914586,-2111.7573795914586,-2111.7573978937457,-1511.7574045551976,-1511.7574073249436,-1511.7574073249436,-2111.7574182541184,-2111.7574182541184,-2111.7574182541184,-2111.7574215965797,-2111.7574226483625,-2111.7574226483625,-2111.7574226483625,-2111.7574337904966,-2111.7574361757693,-2111.7574361757693,-2111.757439120426,-2111.757439120426,-2111.757502265479,-2111.757502265479,-2111.757502265479,-2111.757502265479,-2111.7575032225686,-2111.7575032225686,-2111.7575032225686,-2111.7575032225686,-2111.7575032225686,-2111.7575032225686,-2111.7575032225686,-2111.7575032225686,-2111.7575145204023,-2111.7575145204023,-2111.7575145204023,-2111.7575168798844,-1811.7575313600287,-1811.7575313600287,-1811.7575313600287,-1811.7575313600287,-1811.7575313600287,-1811.7575421356319,-1811.7575421356319,-1811.7575421356319,-1811.7575421356319,-1811.7575421356319,-1811.7575421356319,-1811.7575421356319,-1811.7575466361054,-1811.7575466361054,-1811.7575466361054,-1811.757548594067,-1811.757548594067,-1811.757548594067,-1811.757548594067,-1811.7575864591572,-1811.7575864591572,-1811.7575864591572,-1811.7575864591572,-1811.7575864591572,-1211.7575844498303,-1211.7575844498303,-1211.7575844498303,-1205.842180674962,-1205.8422135232868,-1200.323941054652,-1200.323941054652,-1191.3568801890358,-1185.8249596113733,-1181.3906958317891,-1182.7491307325295,-1182.7491307325295,-1182.7491307325295,-1182.7491307325295,-1281.4672729483682,-1381.553004053728,-1483.0042115171525,-1483.0042115171525,-1483.0042115171525,-1483.0042319103143,-1474.5588597270387,-1473.387260903592,-1472.0763676382228,-1472.0763676382228,-2072.076384149329,-2072.076384149329,-2073.434184146319,-2075.633294150489,-2099.031539236515,-2105.4442191639396,-2108.793371179297,-2112.862652833082,-1633.396497015702,-1541.3340270553813,-1537.264745401596,-1529.6273066307604	0.9975615034251832	-1181.3906958317891	15	true	347
25	15	15	100	72600	726660	5813280	0	0	-1830.553985156594	-1495.7184040352458	-94.74084414802512	-47.7157008589261	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1497.4494250525213,-1497.4494405352768,-1497.449448887186,-1497.449448887186,-1497.449448887186,-1497.449448887186,-1497.449448887186,-1497.449448887186,-1497.449448887186,-1495.7184040352458,-1495.8569585892365,-1495.8569585892365,-1495.8569659577852,-1495.8569714668201,-1495.8569714668201,-1495.8569714668201,-1495.8569714668201,-1495.8569714668201,-1495.8569714668201,-1495.8570196112187,-1495.8570196112187,-1495.8570196112187,-1495.8570196112187,-1495.857029932878,-1495.857029932878,-1495.857029932878,-1495.857029932878,-1495.857029932878,-1495.857029932878,-1495.857029932878,-1495.857064392635,-1495.857064392635,-1495.857064392635,-1495.857064392635,-1495.857064392635,-1495.857064392635,-1495.857064392635,-1495.857064392635,-1495.857064392635,-1495.857064392635,-1495.857064392635,-1495.857064392635,-1495.857064392635,-1495.8570953249398,-1495.8570953249398,-1495.8570953249398,-1495.8570953249398,-1495.8570953249398,-1495.8570953249398,-1495.8570953249398,-1495.8570953249398,-1495.8570953249398,-1495.8570953249398,-1495.8570953249398,-1495.8570953249398,-1495.8570953249398,-1495.8570953249398,-1495.8570953249398,-1495.8570953249398,-1495.8570953249398,-1495.8570953249398,-1495.8570953249398,-1495.8570953249398,-1495.8570953249398,-1495.8570953249398,-1495.8570953249398,-1495.8570953249398,-1585.9165891743417,-1685.215989023451,-1788.5572300725742,-1788.5572300725742,-1788.5572300725742,-1788.5572300725742,-1782.309737292815,-1776.1764095065498,-1776.1764095065498,-1776.1764095065498,-1776.2315299805587,-1778.5080677271308,-1778.5080677271308,-1778.5080677271308,-1778.5080677271308,-1782.4494050537312,-1788.7411295405705,-1788.7411822001807,-1791.0076867917237,-1801.6928419056662,-1803.202163498563,-1805.7515085043874,-1809.4789064866172,-1830.5539726936124,-1830.5539726936124,-1830.5539889334977,-1830.5539889334977,-1830.553985156594	0.9966306358339244	-1495.7184040352458	16	true	301
26	15	15	100	74000	723492	5787936	0	0	-1489.342704740887	-1193.6192095587053	-50.055798782718895	-50.60945444070347	-1493.4621086049112,-1493.4621086049112,-1493.4621410444993,-1493.4621419294213,-1495.292258739584,-1495.292280680415,-1495.2922828837677,-1495.2922828837677,-1495.2922828837677,-1795.2922855999348,-1795.2922855999348,-1795.2922855999348,-1795.2922945294033,-1793.6191476860063,-1793.6191476860063,-1793.6191476860063,-1793.6191476860063,-1793.6191492398161,-1793.619171084988,-1793.619171084988,-1793.6191778591233,-1793.6191778591233,-1793.619212949206,-1193.6192095587053,-1193.6192095587053,-1193.6192095587053,-1193.6192095587053,-1193.6192095587053,-1193.6192095587053,-1193.6192312758653,-1193.6192312758653,-1193.6192312758653,-1193.6192312758653,-1793.619242156457,-1793.619242156457,-1793.619242156457,-1793.619242156457,-1793.619242156457,-1793.619242156457,-1793.619242156457,-1793.619242156457,-1793.6192651798228,-1793.6192651798228,-1793.6192651798228,-1793.6192651798228,-1793.6192651798228,-1793.6192651798228,-1793.6192651798228,-1793.6192651798228,-1793.6192651798228,-1793.6192651798228,-1793.6192651798228,-1793.6192651798228,-1793.6192651798228,-1793.6192651798228,-1793.6192651798228,-1793.6192651798228,-1793.6192651798228,-1793.6192651798228,-1793.6192651798228,-1793.6192651798228,-1793.6192651798228,-1793.6192651798228,-1793.6192651798228,-1793.6192651798228,-1793.6192651798228,-1793.6192651798228,-1793.6192651798228,-1793.6192651798228,-1793.6192651798228,-1793.6192651798228,-1793.6192651798228,-1793.6192651798228,-1793.6192651798228,-1787.9489236180311,-1779.851722986716,-1779.851722986716,-1779.851722986716,-1771.2015278728716,-1771.202560194071,-1771.202560194071,-1867.1366191822267,-2068.2869484422326,-2078.528729269621,-1478.52871838903,-1478.52871838903,-1487.1778811816748,-1487.1778811816748,-1487.1778811816748,-1487.1778811816748,-1487.1778811816748,-1489.5083864180087,-1595.6386114080142,-1704.3988455054769,-1597.6654626312145,-1597.6654626312145,-1491.2885039426174,-1387.3039180689345,-1387.3039180689345,-1489.342704740887	0.9960817657423182	-1193.6192095587053	16	true	314
27	15	15	100	74800	723096	5784768	0	0	-1778.6307692143407	-979.3296805551009	-139.74834015055868	-43.52982200143686	-979.3296805551009,-979.3296805551009,-1779.3297055221917,-1779.3297060845998,-1779.3297138208413,-1780.0959349332702,-1780.095956523633,-1780.095956523633,-1779.2216221262106,-1479.2216257864582,-1479.2216257864582,-1777.4682302773492,-1777.4682302773492,-1777.5828818242505,-1777.5828818242505,-1777.5828818242505,-1777.5828818242505,-1777.5829060751828,-1777.5829060751828,-1777.5829095074807,-1777.5829095074807,-1777.5829553620613,-1777.5829553620613,-1777.5829553620613,-1777.5829553620613,-1777.5829437829777,-1777.5829437829777,-1777.5829437829777,-1777.5829605092076,-1777.5829605092076,-1777.5829605092076,-1777.5829605092076,-1777.5829605092076,-1777.5829605092076,-1777.5829605092076,-1777.5829605092076,-1777.5829605092076,-1777.582960682242,-1777.582960682242,-1777.582960682242,-1777.582960682242,-1777.582960682242,-1777.582960682242,-1777.582960682242,-1777.582960682242,-1777.582960682242,-1777.582960682242,-1777.582960682242,-1777.582960682242,-1777.582960682242,-1777.582960682242,-1777.582960682242,-1777.582960682242,-1777.582960682242,-1777.582960682242,-1777.582960682242,-1777.582960682242,-1777.582960682242,-1777.582960682242,-1777.582960682242,-1777.582960682242,-1777.5829405237137,-1777.5829405237137,-1777.5829405237137,-1777.582952074984,-1777.582952074984,-1777.582952074984,-1777.582952074984,-1777.582952074984,-1777.582952074984,-1777.582952074984,-1777.582952074984,-1777.5829721102177,-1777.5829721102177,-1777.5829721102177,-1777.5829721102177,-1773.3301733376966,-1768.8049462932918,-1768.8049462932918,-1770.0829818969055,-1770.0829818969055,-1761.658266277538,-1770.196549909339,-1770.196549909339,-1770.196549909339,-1770.196549909339,-1770.196549909339,-1770.196548486975,-1774.2304844010578,-1778.8493501570456,-1768.9531319578693,-1768.9531319578693,-1768.9531319578693,-1768.9531319578693,-1768.9531319578693,-1769.9318965513867,-1778.6307692143407,-1778.6307692143407,-1778.6307692143407,-1778.6307692143407	0.9960817657423182	-979.3296805551009	15	true	304
28	15	15	100	78600	712800	5702400	0	0	-1769.51233981083	-877.8662031417306	-94.5348117430641	-37.556565993449155	-877.8662031417306,-877.8662031417306,-2077.866226797652,-2077.866228467036,-2077.8662290407856,-2077.8662330964466,-2077.8662330964466,-2077.8662659587008,-2077.8662659587008,-2076.0323332382436,-2076.0323332382436,-2076.0323384749204,-2076.0323390104422,-2076.0323390104422,-2076.0323390104422,-2074.6771703125946,-2074.6771703125946,-2074.6771912744744,-2074.375640675836,-2074.375640675836,-2074.375640675836,-2074.375640675836,-2074.375640675836,-2074.375640675836,-2074.375661260899,-2075.1353822340734,-2075.1353822340734,-2075.1353822340734,-2075.1353822340734,-2075.1353822340734,-2075.1353822340734,-2075.1353822340734,-2075.1353822340734,-2075.1353822340734,-2075.1353822340734,-2075.1353822340734,-2075.1354069013632,-2075.135408911414,-2075.135408911414,-2075.135408911414,-2075.135408911414,-2075.135408911414,-2075.135408911414,-2075.135408911414,-2075.135408911414,-2075.135408911414,-1175.1354067157238,-1175.1354067157238,-1175.1354067157238,-1175.1354067157238,-1175.1354067157238,-1175.1354067157238,-1175.1354067157238,-1175.1354067157238,-1175.1354067157238,-1175.1354067157238,-1175.1354067157238,-1175.1354067157238,-1175.1354067157238,-1175.1354067157238,-1175.1354067157238,-1175.1354067157238,-1175.1354067157238,-1175.1354067157238,-1175.1354067157238,-1175.1354067157238,-1175.1354067157238,-1175.1354067157238,-1175.1354067157238,-1175.1354067157238,-1175.1354067157238,-1175.1354067157238,-1175.1354067157238,-1175.1354067157238,-1175.1354067157238,-1175.1354067157238,-1175.1354067157238,-1175.1354067157238,-1769.3418677118086,-1769.3418677118086,-1769.3418677118086,-1769.3418677118086,-1764.3278402697833,-1768.8704772922329,-1768.8704772922329,-1768.8704772922329,-1768.8704772922329,-1768.8704772922329,-1768.8704772922329,-1766.8374408719912,-1766.8374408719912,-1773.4910797430907,-1773.4910797430907,-1769.4758053715095,-1769.5123414802138,-1769.51233981083,-1769.51233981083,-1769.51233981083,-1769.51233981083,-1769.51233981083	0.9960817657423182	-877.8662031417306	15	true	286
29	15	15	100	69400	678348	5426784	0	0	-2068.97828748886	-895.0693242417603	-11.524654032483223	-9.104340771069324	-Infinity,-Infinity,-Infinity,-903.7426646871005,-903.7426741880871,-903.7427235970362,-901.859625473949,-901.8596327071949,-901.8596327071949,-901.8596327071949,-901.8596424628798,-901.8596527355777,-901.8596527355777,-901.8596527355777,-901.8596725522433,-898.707854325027,-896.4551997511799,-896.4552250601287,-896.4552391674902,-896.4552391674902,-895.0693242417603,-895.0693242417603,-895.0693242417603,-895.0693242417603,-895.0693242417603,-895.0693522805434,-895.0693522805434,-895.0693522805434,-895.0693522805434,-895.0693522805434,-895.0693522805434,-895.0693522805434,-895.0693522805434,-895.0693522805434,-895.0693522805434,-895.0693522805434,-895.0693522805434,-895.0693522805434,-895.0693522805434,-895.0693522805434,-895.0693522805434,-895.0693567693363,-895.0693567693363,-895.0693567693363,-895.0693567693363,-895.0693567693363,-895.0693567693363,-895.0693567693363,-895.0693567693363,-895.0693567693363,-895.0693567693363,-895.0693567693363,-895.0693567693363,-895.0693567693363,-895.0693567693363,-895.0693567693363,-895.0693567693363,-895.0693567693363,-895.0693567693363,-895.0693567693363,-895.0693567693363,-895.0693567693363,-895.0693567693363,-895.0693567693363,-895.0693567693363,-895.0693567693363,-895.069421542989,-895.069421542989,-895.069421542989,-895.069421542989,-895.1855994343996,-895.1856018182871,-895.1855994343996,-895.1855734774624,-1082.2313646123114,-1079.4284919203121,-1079.4284919203121,-1079.4284919203121,-1174.911146730913,-1369.527743117206,-1369.527743117206,-1369.5277352896594,-1369.5277352896594,-1369.5277352896594,-1369.5277352896594,-1369.5277352896594,-1369.5277449750631,-1369.5277449750631,-1369.5277449750631,-1369.5277449750631,-1373.8244625593618,-1373.8244294887877,-1378.904883328797,-1378.904883328797,-1668.9754824119016,-1668.9754824119016,-1668.9754824119016,-1668.9754824119016,-1765.6975280055995,-2068.97828748886	0.9960817657423182	-895.0693242417603	16	true	357
30	15	15	100	69400	680328	5442624	0	0	-2080.611357248828	-881.9681314595449	-50.38927641325429	-2.0386401352086967	-894.4931724593374,-894.4931724593374,-894.4931866293206,-894.4931887754927,-894.493195989957,-892.5341369210072,-892.5571708949557,-892.5571708949557,-892.5571811737553,-892.5571804349328,-892.5572046786652,-892.5572255344183,-890.8441833601474,-890.1308670662968,-890.1308670662968,-890.3928877485157,-890.3928885934854,-890.392932265162,-890.392932265162,-890.3929514284166,-890.3929514284166,-890.3929514284166,-890.3929514284166,-890.3929514284166,-890.3929514284166,-890.3929514284166,-890.3929514284166,-890.3929514284166,-890.3929514284166,-890.3929514284166,-890.3929514284166,-890.3929514284166,-890.392963173564,-890.392963173564,-890.392963173564,-890.392963173564,-890.392963173564,-890.392963173564,-890.392963173564,-890.392963173564,-890.392963173564,-890.392963173564,-890.392963173564,-890.392963173564,-890.392963173564,-890.392963173564,-890.392963173564,-890.392963173564,-890.392963173564,-890.392963173564,-890.392963173564,-890.3929650794287,-890.3929650794287,-890.3929650794287,-890.3929650794287,-890.3929756136245,-890.3929756136245,-890.3929756136245,-890.3929756136245,-890.3929756136245,-890.3929658182511,-890.3929658182511,-890.3929658182511,-890.3929658182511,-890.3929110337476,-890.3929110337476,-890.3929110337476,-890.3929110337476,-881.9681314595449,-890.5069329169013,-890.5069329169013,-890.5069329169013,-890.5069329169013,-890.5069329169013,-1084.7504125108758,-1084.7504125108758,-1084.7504125108758,-1084.7504125108758,-1084.7504125108758,-1084.7504125108758,-1274.0135178753033,-1371.2347069496789,-1371.2347069496789,-1371.2347069496789,-1371.2347069496789,-1371.2347069496789,-1371.2347069496789,-1371.2347069496789,-1375.5311969301977,-1380.6114715120154,-1380.6114715120154,-1380.6114715120154,-1380.6114715120154,-1380.6114715120154,-1380.6114715120154,-1475.5033044990384,-2080.611357248828,-2080.611357248828,-2080.611357248828,-2080.611357248828	0.9959128826372083	-881.9681314595449	15	true	287
31	15	14	100	67800	660924	5287392	0	0	-2113.8169152158557	-617.9542768437442	29.356736929659093	-21.941346306896307	-928.4345373139981,-928.4345373139981,-928.4345562415042,-928.4347386743116,-928.4358336397243,-924.1294938796532,-917.9541863176994,-917.9541863176994,-917.9542086039298,-917.9542086039298,-917.9542086039298,-917.9542230557627,-917.9542697250906,-617.9542768437442,-617.9542768437442,-617.954408432811,-617.954408432811,-617.954408432811,-617.954408432811,-617.954408432811,-916.8084602102782,-917.2332736394075,-917.2333388584863,-917.2333736934374,-917.2333736934374,-917.2334368104707,-917.2334368104707,-917.2334368104707,-917.2334368104707,-917.2334368104707,-917.2334368104707,-917.2334368104707,-917.2334368104707,-911.7195425550149,-911.7195425550149,-903.688279627954,-902.4076805522077,-902.4076805522077,-902.4076805522077,-903.399576776035,-903.399576776035,-997.3000749568571,-1682.6044992280752,-2097.2738366279805,-2097.2738366279805,-2097.2738366279805,-2097.2738366279805,-2097.2738366279805,-2097.2738366279805,-2194.4313568347525,-2391.1136426357675,-2391.1136426357675,-2391.1136426357675,-2391.1136426357675,-2391.8236427925626,-2382.483918012483,-2382.483918012483,-2382.483918012483,-2382.483918012483,-2382.483918012483,-2382.483918012483,-2385.6925376654954,-2385.6925376654954,-2385.6925028305445,-2383.9639486171627,-2385.6931594767198,-2391.270538495571,-2391.270538495571,-2391.270538495571,-2391.270538495571,-2391.270587868114,-2391.270587868114,-2391.2705407182857,-2391.2705407182857,-2391.2705407182857,-2710.222295733878,-2710.222295733878,-2710.222295733878,-2710.222295733878,-2710.222295733878,-2710.222295733878,-2710.222295733878,-2710.2222851830143,-2707.00569000157,-2707.00569000157,-2705.479775973589,-2704.440709894111,-2704.4406530031815,-2704.4406530031815,-2704.4406530031815,-2708.737462115837,-2713.8170262401,-2713.8170262401,-2713.8170262401,-2713.8170262401,-2713.8170262401,-2113.817027228586,-2113.817027228586,-2113.817027228586,-2113.8169152158557	0.9957118678763863	-617.9542768437442	18	true	337
32	16	14	100	67600	666468	5331744	0	0	-2708.1579050699474	-876.5392616588416	-111.74863930729607	-2.4179638370575756	-1476.520469059696,-1476.520469059696,-1476.5204823476965,-1476.5206643311276,-876.5392616588416,-887.1931551784439,-1487.1931691135774,-1487.1931738201506,-1487.193186716331,-1487.193186716331,-1487.193186716331,-1487.193186716331,-1487.1932007779164,-1487.1932007779164,-1487.1932007779164,-1487.1932007779164,-1487.1932007779164,-1487.1933506420837,-1487.1933506420837,-1487.1934074876851,-1487.1934074876851,-1487.1934382817713,-1487.1934382817713,-1487.1934382817713,-1487.1934382817713,-1487.1934382817713,-1487.1934382817713,-1487.193500632783,-1487.193500632783,-1487.193500632783,-1487.193500632783,-1487.193500632783,-1487.1934462813683,-1487.1934462813683,-1487.1934462813683,-1487.1934462813683,-1487.1934462813683,-2292.9105126838263,-2292.9105126838263,-2292.9105126838263,-2292.910664475425,-2292.910664475425,-2292.910664475425,-2292.910664475425,-2292.910664475425,-2292.910664475425,-2292.910664475425,-2292.910664475425,-2392.729993217812,-2392.729993217812,-2392.729993217812,-2392.729993217812,-2388.5236273430564,-2387.713378025066,-2387.713378025066,-2387.713378025066,-2387.713378025066,-2388.5245535388613,-2390.1750261997736,-2390.1750261997736,-2390.1750261997736,-2390.1750261997736,-2385.1604568541607,-2390.2879907100028,-2390.2879599159164,-2390.2879599159164,-2390.2879599159164,-2390.2879599159164,-2390.2879599159164,-2390.2879599159164,-2390.2878430806963,-2390.2878430806963,-2390.2877948133796,-2390.2877948133796,-2390.2877948133796,-2390.2877948133796,-2390.2877948133796,-2390.2877948133796,-2390.2877948133796,-2390.2877862350947,-2390.2877862350947,-2390.2877862350947,-2601.8375845468727,-2601.8375845468727,-2708.157980967876,-2708.157980967876,-2708.157980967876,-2708.157980967876,-2708.1579050699474,-2708.1579050699474,-2708.1579050699474,-2708.1579050699474,-2708.1579050699474,-2708.1579050699474,-2708.1579050699474,-2708.1579050699474,-2708.1579050699474,-2708.1579050699474,-2708.1579050699474,-2708.1579050699474	0.9955716437224469	-876.5392616588416	11	true	256
