# solver: Greedy
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 3e5df825-b1d0-4c9e-b3e4-e441f65407d1
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	1	0	0	0	0	0	1.6965695436015396	1.6965695436015396	1.6965695436015396	1.6965695436015396	1.6965695436015396	0.9991239280309399	1.6965695436015396	0	true	4
25	6	6	1	0	0	0	0	0	1.9116785527391165	1.9116785527391165	1.9116785527391165	1.9116785527391165	1.9116785527391165	0.9990443117099597	1.9116785527391165	0	true	1
26	6	6	1	0	0	0	0	0	2.1109937539658623	2.1109937539658623	2.1109937539658623	2.1109937539658623	2.1109937539658623	0.9990443117099597	2.1109937539658623	0	true	2
27	6	6	1	0	0	0	0	0	2.2433115170166142	2.2433115170166142	2.2433115170166142	2.2433115170166142	2.2433115170166142	0.9990443117099597	2.2433115170166142	0	true	1
28	6	6	1	0	0	0	0	0	2.404535097857574	2.404535097857574	2.404535097857574	2.404535097857574	2.404535097857574	0.9990443117099597	2.404535097857574	0	true	0
29	6	6	1	0	0	0	0	0	2.545659401143013	2.545659401143013	2.545659401143013	2.545659401143013	2.545659401143013	0.9990443117099597	2.545659401143013	0	true	0
30	6	6	1	0	0	0	0	0	2.6698602211086677	2.6698602211086677	2.6698602211086677	2.6698602211086677	2.6698602211086677	0.99887542860485	2.6698602211086677	0	true	0
31	6	6	1	0	0	0	0	0	2.772393769496303	2.772393769496303	2.772393769496303	2.772393769496303	2.772393769496303	0.99887542860485	2.772393769496303	0	true	1
32	7	7	1	0	0	0	0	0	2.857289624417758	2.857289624417758	2.857289624417758	2.857289624417758	2.857289624417758	0.9987036576717526	2.857289624417758	0	true	1
33	7	7	1	0	0	0	0	0	2.9213491019010833	2.9213491019010833	2.9213491019010833	2.9213491019010833	2.9213491019010833	0.9986204224270916	2.9213491019010833	0	true	1
34	8	8	1	0	0	0	0	0	2.964504723587819	2.964504723587819	2.964504723587819	2.964504723587819	2.964504723587819	0.9984128643598162	2.964504723587819	0	true	0
35	9	9	1	0	0	0	0	0	2.99917406120864	2.99917406120864	2.99917406120864	2.99917406120864	2.99917406120864	0.998144332911735	2.99917406120864	0	true	0
36	10	10	1	0	0	0	0	0	2.9994539851885307	2.9994539851885307	2.9994539851885307	2.9994539851885307	2.9994539851885307	0.9981368757356651	2.9994539851885307	0	true	1
37	11	11	1	0	0	0	0	0	-97.000095183533	-97.000095183533	2.9994412960831984	2.9994412960831984	-97.000095183533	0.9979193747669632	-97.000095183533	0	true	1
38	11	11	1	0	0	0	0	0	-97.0002494195655	-97.0002494195655	2.9990324470019054	2.9990324470019054	-97.0002494195655	0.9975972905593614	-97.0002494195655	0	true	0
39	12	12	1	0	0	0	0	0	-147.0001675019359	-147.0001675019359	2.9997041664243005	2.9997041664243005	-147.0001675019359	0.9975264473866985	-147.0001675019359	0	true	1
40	12	12	1	0	0	0	0	0	-97.000647896877	-97.000647896877	2.999274315149091	2.999274315149091	-97.000647896877	0.9975264473866985	-97.000647896877	0	true	1
41	13	13	1	0	0	0	0	0	-147.0003341931103	-147.0003341931103	2.9992926631577235	2.9992926631577235	-147.0003341931103	0.9974928900943846	-147.0003341931103	0	true	0
42	15	15	1	0	0	0	0	0	-97.00045592934426	-97.00045592934426	2.9994115875120313	2.9994115875120313	-97.00045592934426	0.9973089464179967	-97.00045592934426	0	true	0
43	15	15	1	0	0	0	0	0	-97.00008481448708	-97.00008481448708	2.9992806418070677	2.9992806418070677	-97.00008481448708	0.9972257111733355	-97.00008481448708	0	true	1
44	15	15	1	0	0	0	0	0	2.99980445641057	2.99980445641057	2.99980445641057	2.99980445641057	2.99980445641057	0.9972257111733355	2.99980445641057	0	true	0
45	18	18	1	0	0	0	0	0	-97.00013334201915	-97.00013334201915	2.999819776797156	2.999819776797156	-97.00013334201915	0.996617074008817	-97.00013334201915	0	true	0
46	19	19	1	0	0	0	0	0	-97.00003230790747	-97.00003230790747	2.9995829528245737	2.9995829528245737	-97.00003230790747	0.9964878162902743	-97.00003230790747	0	true	0
