# solver: DSA
# max_time: 500
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 40597e53-4092-4a44-8f3e-48acb9935b0c
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	3	1446	6	48	0	0	2.9493736380985185	2.9493736380985185	2.9493736380985185	2.9493736380985185	-97.05047783135569,2.9493736380985185,2.9493736380985185	0.9991239280309399	2.9493736380985185	0	true	6
25	6	6	1	483	2	16	0	0	2.9690903524653782	2.9690903524653782	2.9690903524653782	2.9690903524653782	2.9690903524653782	0.9990443117099597	2.9690903524653782	0	true	2
26	6	6	1	484	2	16	0	0	2.9995747105601094	2.9995747105601094	2.9995747105601094	2.9995747105601094	2.9995747105601094	0.9990443117099597	2.9995747105601094	0	true	3
27	6	6	1	484	2	16	0	0	2.9995780414183506	2.9995780414183506	2.9995780414183506	2.9995780414183506	2.9995780414183506	0.9990443117099597	2.9995780414183506	0	true	1
28	6	6	1	484	2	16	0	0	2.999486770650396	2.999486770650396	2.999486770650396	2.999486770650396	2.999486770650396	0.9990443117099597	2.999486770650396	0	true	2
29	6	6	1	484	2	16	0	0	2.999636677901272	2.999636677901272	2.999636677901272	2.999636677901272	2.999636677901272	0.9990443117099597	2.999636677901272	0	true	1
30	6	6	1	484	2	16	0	0	2.9996111940067856	2.9996111940067856	2.9996111940067856	2.9996111940067856	2.9996111940067856	0.99887542860485	2.9996111940067856	0	true	1
31	6	6	1	484	2	16	0	0	2.9995190257881217	2.9995190257881217	2.9995190257881217	2.9995190257881217	2.9995190257881217	0.99887542860485	2.9995190257881217	0	true	1
32	6	6	1	484	2	16	0	0	2.9994319277725627	2.9994319277725627	2.9994319277725627	2.9994319277725627	2.9994319277725627	0.9988428582917216	2.9994319277725627	0	true	2
33	7	7	1	484	2	16	0	0	2.9995167713222783	2.9995167713222783	2.9995167713222783	2.9995167713222783	2.9995167713222783	0.9987036576717526	2.9995167713222783	0	true	13
34	7	7	1	484	2	16	0	0	2.9996074023809047	2.9996074023809047	2.9996074023809047	2.9996074023809047	2.9996074023809047	0.9987036576717526	2.9996074023809047	0	true	0
35	8	8	16	7744	32	256	0	0	2.9847002877605155	2.9847002877605155	2.9847002877605155	2.9847002877605155	2.984685202438212,2.984685202438212,2.984685202438212,2.984685202438212,2.984685202438212,2.984685202438212,2.984685202438212,2.984685202438212,2.984685202438212,2.984685202438212,2.984685202438212,2.984685202438212,2.984685202438212,2.984685202438212,2.9847002877605155,2.9847002877605155	0.9983518909790103	2.9847002877605155	0	true	3
36	8	8	12	5772	24	192	0	0	2.9994008868362365	2.9994008868362365	2.9994008868362365	2.9994008868362365	2.999176390487964,2.999176390487964,2.999176390487964,2.999176390487964,2.999176390487964,2.999176390487964,2.999176390487964,2.999176390487964,2.999176390487964,2.999176390487964,2.9994008868362365,2.9994008868362365	0.9983518909790103	2.9994008868362365	0	true	2
37	10	10	21	10101	42	336	0	0	2.999703427941384	2.999703427941384	2.999703427941384	2.999703427941384	2.999510103657683,2.999510103657683,2.999510103657683,2.999510103657683,2.999510103657683,2.999510103657683,2.999510103657683,2.999510103657683,2.999510103657683,2.999510103657683,2.999510103657683,2.999510103657683,2.999510103657683,2.999510103657683,2.999510103657683,2.999510103657683,2.999510103657683,2.999510103657683,2.999510103657683,2.999703427941384,2.999703427941384	0.9981269328342386	2.999703427941384	0	true	2
38	10	10	1	483	2	16	0	0	2.999922435888592	2.999922435888592	2.999922435888592	2.999922435888592	2.999922435888592	0.9978048486266367	2.999922435888592	0	true	1
39	10	10	1	483	2	16	0	0	2.9999771596525875	2.9999771596525875	2.9999771596525875	2.9999771596525875	2.9999771596525875	0.9978048486266367	2.9999771596525875	0	true	1
40	11	11	1	483	2	16	0	0	2.9996342724299736	2.9996342724299736	2.9996342724299736	2.9996342724299736	2.9996342724299736	0.9975972905593614	2.9996342724299736	0	true	1
41	11	11	1	484	2	16	0	0	2.99998614106744	2.99998614106744	2.99998614106744	2.99998614106744	2.99998614106744	0.9975972905593614	2.99998614106744	0	true	1
42	12	12	1	484	2	16	0	0	2.9999089217350843	2.9999089217350843	2.9999089217350843	2.9999089217350843	2.9999089217350843	0.9975264473866985	2.9999089217350843	0	true	1
