# solver: BinaryMaxSum
# max_time: 1000
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 41873f64-5c3e-4172-b9d3-44b98c2c9d5f
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	100	191800	97020	776160	0	0	2.9468593216857526	2.9468593216857526	2.9468593216857526	2.9468593216857526	-97.05298718495668,-97.05299314062313,-97.05299314062313,2.9468593216857526,2.9468593216857526,2.9468593216857526,2.9468593216857526,2.9468593216857526,2.9468593216857526,2.9468593216857526,2.9468593216857526,2.9468593216857526,2.9468593216857526,2.9468593216857526,2.9468593216857526,2.9468593216857526,2.9468593216857526,2.9468593216857526,-147.0531831557575,-147.0531831557575,-147.0531831557575,-47.06795268427717,-47.06795268427717,-47.06795268427717,-47.06795268427717,-47.06795268427717,-47.06795268427717,-47.06795268427717,-47.06795268427717,-47.06795268427717,-47.06795268427717,-47.06795268427717,-47.06795268427717,-47.06795268427717,-47.06795268427717,-47.06795268427717,-47.06795268427717,-47.06795268427717,-47.06795268427717,-47.06795268427717,-47.06795268427717,-47.06795268427717,-47.06795268427717,-47.06795268427717,-47.06795268427717,-47.06795268427717,-47.06795268427717,-47.06795268427717,-47.06795268427717,-47.06795268427717,-47.06795268427717,-47.06795268427717,-47.06795268427717,-47.06795268427717,-47.06795268427717,-47.06795268427717,-47.06795268427717,-97.06791020683393,-97.06791020683393,-97.06791020683393,-97.06791020683393,-97.06791020683393,-97.06791020683393,-97.06791020683393,-97.06791020683393,-97.06791020683393,-97.06791020683393,-97.0697987308987,-97.0697987308987,-97.0697987308987,-97.0697987308987,-97.0697987308987,2.9468593216857526,2.9468593216857526,2.9468593216857526,2.9468593216857526,2.9468593216857526,2.9468593216857526,2.9468593216857526,2.9468593216857526,2.9468593216857526,2.9468593216857526,2.9468593216857526,2.9468593216857526,2.9468593216857526,2.9468593216857526,2.9468593216857526,2.9468593216857526,2.9468593216857526,2.9468593216857526,2.9468593216857526,2.9468593216857526,2.9468593216857526,2.9468593216857526,2.9468593216857526,2.9468593216857526,2.9468593216857526,2.9468593216857526,2.9468593216857526,2.9468593216857526	0.9991239280309399	2.9468593216857526	0	true	187
25	6	6	100	191800	97416	779328	0	0	2.9549212253379538	2.955049916712539	2.955047351907261	2.955049916712539	2.955049916712539,2.955047351907261,2.955047351907261,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538,2.9549212253379538	0.9990443117099597	2.955049916712539	0	true	72
26	6	6	100	192000	98208	785664	0	0	2.980815137120505	2.9809215541502088	2.9809215541502088	2.9809215541502088	2.9809215541502088,2.9809215541502088,2.9809215541502088,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505,2.980815137120505	0.9990443117099597	2.9809215541502088	0	true	89
27	6	6	100	191600	97812	782496	0	0	2.9999228226612806	2.9999228226612806	2.9999228226612806	2.9999228226612806	2.9999228226612806,2.9999228226612806,2.9999228226612806,2.9999228226612806,2.9999228226612806,2.9999228226612806,2.9999228226612806,2.9999228226612806,2.9999228226612806,2.9999228226612806,2.9999228226612806,-47.000174615811375,-47.000174615811375,-47.000174615811375,-47.000174615811375,-47.000174615811375,-47.000174615811375,-47.000174615811375,-47.000174615811375,-47.000174615811375,-47.000174615811375,-47.000174615811375,-47.000174615811375,-47.000174615811375,-47.000174615811375,-47.000174615811375,-47.000174615811375,-47.000174615811375,-47.000174615811375,-47.000174615811375,-47.000174615811375,-47.000174615811375,-47.000174615811375,-47.000174615811375,-47.000174615811375,-47.000174615811375,-47.000174615811375,-47.000174615811375,-47.000174615811375,-47.000174615811375,-47.000174615811375,-47.000174615811375,-47.000174615811375,-47.000174615811375,-47.000174615811375,-47.000174615811375,-47.000174615811375,-47.000174615811375,2.9999228226612806,2.9999228226612806,2.9999228226612806,2.9999228226612806,2.9999228226612806,2.9999228226612806,2.9999228226612806,2.9999228226612806,2.9999228226612806,2.9999228226612806,2.9999228226612806,2.9999228226612806,2.9999228226612806,2.9999228226612806,2.9999228226612806,2.9999228226612806,2.9999228226612806,2.9999228226612806,2.9999228226612806,2.9999228226612806,2.9999228226612806,2.9999228226612806,2.9999228226612806,2.9999228226612806,2.9999228226612806,2.9999228226612806,2.9999228226612806,2.9999228226612806,2.9999228226612806,2.9999228226612806,2.9999228226612806,2.9999228226612806,2.9999228226612806,2.9999228226612806,2.9999228226612806,2.9999228226612806,2.9999228226612806,2.9999228226612806,2.9999228226612806,2.9999228226612806,2.9999228226612806,2.9999228226612806,2.9999228226612806,2.9999228226612806,2.9999228226612806,2.9999228226612806,2.9999228226612806,2.9999228226612806,2.9999228226612806,2.9999228226612806,2.9999228226612806,2.9999228226612806	0.9990443117099597	2.9999228226612806	0	true	66
28	6	6	100	190800	97416	779328	0	0	2.9997057002389687	2.9998025018263847	2.9998025018263847	2.9998025018263847	2.9998025018263847,2.9998025018263847,2.9998025018263847,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687,2.9997057002389687	0.9990443117099597	2.9998025018263847	0	true	92
29	6	6	100	190800	97416	779328	0	0	2.9998492010389386	2.9999335768167437	2.9999335768167437	2.9999335768167437	2.9999335768167437,2.9999335768167437,2.9999335768167437,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386,2.9998492010389386	0.9990443117099597	2.9999335768167437	0	true	52
30	6	6	100	190800	97416	779328	0	0	2.9996479135201617	2.9996479135201617	2.9996479135201617	2.9996479135201617	2.9996479135201617,2.9996479135201617,2.9996479135201617,2.9996479135201617,2.9996479135201617,2.9996479135201617,2.9996479135201617,2.9996479135201617,2.9996479135201617,2.9996479135201617,2.9996479135201617,-47.000443871759444,-47.000443871759444,-47.000443871759444,-47.000443871759444,-47.000443871759444,-47.000443871759444,-47.000443871759444,-47.000443871759444,-47.000443871759444,-47.000443871759444,-47.000443871759444,-47.000443871759444,-47.000443871759444,-47.000443871759444,-47.000443871759444,-47.000443871759444,-47.000443871759444,-47.000443871759444,-47.000443871759444,-47.000443871759444,-47.000443871759444,-47.000443871759444,-47.000443871759444,-47.000443871759444,-47.000443871759444,-47.000443871759444,-47.000443871759444,-47.000443871759444,-47.000443871759444,-47.000443871759444,-47.000443871759444,-47.000443871759444,-47.000443871759444,-47.000443871759444,-47.000443871759444,-47.000443871759444,-47.000443871759444,2.9996479135201617,2.9996479135201617,2.9996479135201617,2.9996479135201617,2.9996479135201617,2.9996479135201617,2.9996479135201617,2.9996479135201617,2.9996479135201617,2.9996479135201617,2.9996479135201617,2.9996479135201617,2.9996479135201617,2.9996479135201617,2.9996479135201617,2.9996479135201617,2.9996479135201617,2.9996479135201617,2.9996479135201617,2.9996479135201617,2.9996479135201617,2.9996479135201617,2.9996479135201617,2.9996479135201617,2.9996479135201617,2.9996479135201617,2.9996479135201617,2.9996479135201617,2.9996479135201617,2.9996479135201617,2.9996479135201617,2.9996479135201617,2.9996479135201617,2.9996479135201617,2.9996479135201617,2.9996479135201617,2.9996479135201617,2.9996479135201617,2.9996479135201617,2.9996479135201617,2.9996479135201617,2.9996479135201617,2.9996479135201617,2.9996479135201617,2.9996479135201617,2.9996479135201617,2.9996479135201617,2.9996479135201617,2.9996479135201617,2.9996479135201617,2.9996479135201617,2.9996479135201617	0.99887542860485	2.9996479135201617	0	true	53
31	6	6	100	190000	97020	776160	0	0	2.9996197565359646	2.999710975879077	2.999710975879077	2.999710975879077	2.999710975879077,2.999710975879077,2.999710975879077,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646,2.9996197565359646	0.99887542860485	2.999710975879077	0	true	88
32	6	6	100	190000	97020	776160	0	0	2.999869683552722	2.999869683552722	2.999869683552722	2.999869683552722	2.999869683552722,2.999869683552722,2.999869683552722,2.999869683552722,2.999869683552722,2.999869683552722,2.999869683552722,2.999869683552722,2.999869683552722,2.999869683552722,2.999869683552722,-47.000213676623936,-47.000213676623936,-47.000213676623936,-47.000213676623936,-47.000213676623936,-47.000213676623936,-47.000213676623936,-47.000213676623936,-47.000213676623936,-47.000213676623936,-47.000213676623936,-47.000213676623936,-47.000213676623936,-47.000213676623936,-47.000213676623936,-47.000213676623936,-47.000213676623936,-47.000213676623936,-47.000213676623936,-47.000213676623936,-47.000213676623936,-47.000213676623936,-47.000213676623936,-47.000213676623936,-47.000213676623936,-47.000213676623936,-47.000213676623936,-47.000213676623936,-47.000213676623936,-47.000213676623936,-47.000213676623936,-47.000213676623936,-47.000213676623936,-47.000213676623936,-47.000213676623936,-47.000213676623936,-47.000213676623936,2.999869683552722,2.999869683552722,2.999869683552722,2.999869683552722,2.999869683552722,2.999869683552722,2.999869683552722,2.999869683552722,2.999869683552722,2.999869683552722,2.999869683552722,2.999869683552722,2.999869683552722,2.999869683552722,2.999869683552722,2.999869683552722,2.999869683552722,2.999869683552722,2.999869683552722,2.999869683552722,2.999869683552722,2.999869683552722,2.999869683552722,2.999869683552722,2.999869683552722,2.999869683552722,2.999869683552722,2.999869683552722,2.999869683552722,2.999869683552722,2.999869683552722,2.999869683552722,2.999869683552722,2.999869683552722,2.999869683552722,2.999869683552722,2.999869683552722,2.999869683552722,2.999869683552722,2.999869683552722,2.999869683552722,2.999869683552722,2.999869683552722,2.999869683552722,2.999869683552722,2.999869683552722,2.999869683552722,2.999869683552722,2.999869683552722,2.999869683552722,2.999869683552722,2.999869683552722	0.9988428582917216	2.999869683552722	0	true	52
33	6	6	100	189200	96624	772992	0	0	2.99893878080363	2.999021505556459	2.999021505556459	2.999021505556459	2.999021505556459,2.999021505556459,2.999021505556459,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363,2.99893878080363	0.9987596230470608	2.999021505556459	0	true	61
