# solver: Greedy
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 4252511c-ecaf-407a-a71b-c7732c3f015e
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	1	0	0	0	0	0	1.6266027908076397	1.6266027908076397	1.6266027908076397	1.6266027908076397	1.6266027908076397	0.9991239280309399	1.6266027908076397	0	true	2
25	6	6	1	0	0	0	0	0	1.8189283313092126	1.8189283313092126	1.8189283313092126	1.8189283313092126	1.8189283313092126	0.9990443117099597	1.8189283313092126	0	true	1
26	6	6	1	0	0	0	0	0	2.0018272323814865	2.0018272323814865	2.0018272323814865	2.0018272323814865	2.0018272323814865	0.9990443117099597	2.0018272323814865	0	true	1
27	6	6	1	0	0	0	0	0	2.1625816927421613	2.1625816927421613	2.1625816927421613	2.1625816927421613	2.1625816927421613	0.9990443117099597	2.1625816927421613	0	true	0
28	6	6	1	0	0	0	0	0	2.3114965448185565	2.3114965448185565	2.3114965448185565	2.3114965448185565	2.3114965448185565	0.9990443117099597	2.3114965448185565	0	true	1
29	6	6	1	0	0	0	0	0	2.4448375710867576	2.4448375710867576	2.4448375710867576	2.4448375710867576	2.4448375710867576	0.9990443117099597	2.4448375710867576	0	true	0
30	6	6	1	0	0	0	0	0	2.5638822381405175	2.5638822381405175	2.5638822381405175	2.5638822381405175	2.5638822381405175	0.99887542860485	2.5638822381405175	0	true	1
31	6	6	1	0	0	0	0	0	2.669668007510798	2.669668007510798	2.669668007510798	2.669668007510798	2.669668007510798	0.99887542860485	2.669668007510798	0	true	0
32	7	7	1	0	0	0	0	0	2.7594374997400757	2.7594374997400757	2.7594374997400757	2.7594374997400757	2.7594374997400757	0.9987036576717526	2.7594374997400757	0	true	0
33	7	7	1	0	0	0	0	0	2.837169506923348	2.837169506923348	2.837169506923348	2.837169506923348	2.837169506923348	0.9986204224270916	2.837169506923348	0	true	0
34	8	8	1	0	0	0	0	0	2.8980695748751066	2.8980695748751066	2.8980695748751066	2.8980695748751066	2.8980695748751066	0.9984128643598162	2.8980695748751066	0	true	1
35	9	9	1	0	0	0	0	0	2.9434879781655017	2.9434879781655017	2.9434879781655017	2.9434879781655017	2.9434879781655017	0.998144332911735	2.9434879781655017	0	true	0
36	10	10	1	0	0	0	0	0	2.9795682674421067	2.9795682674421067	2.9795682674421067	2.9795682674421067	2.9795682674421067	0.9981368757356651	2.9795682674421067	0	true	1
37	11	11	1	0	0	0	0	0	2.999961615906952	2.999961615906952	2.999961615906952	2.999961615906952	2.999961615906952	0.9979193747669632	2.999961615906952	0	true	0
38	11	11	1	0	0	0	0	0	2.999703143675218	2.999703143675218	2.999703143675218	2.999703143675218	2.999703143675218	0.9975972905593614	2.999703143675218	0	true	0
39	12	12	1	0	0	0	0	0	2.999860701602725	2.999860701602725	2.999860701602725	2.999860701602725	2.999860701602725	0.9975264473866985	2.999860701602725	0	true	0
40	12	11	1	0	0	0	0	0	2.999536569373264	2.999536569373264	2.999536569373264	2.999536569373264	2.999536569373264	0.9975284213450698	2.999536569373264	0	true	1
41	13	12	1	0	0	0	0	0	2.999632484430658	2.999632484430658	2.999632484430658	2.999632484430658	2.999632484430658	0.9974948640527561	2.999632484430658	0	true	1
42	14	13	1	0	0	0	0	0	2.999496014163236	2.999496014163236	2.999496014163236	2.999496014163236	2.999496014163236	0.9973245918658294	2.999496014163236	0	true	0
43	14	13	1	0	0	0	0	0	2.999448669671481	2.999448669671481	2.999448669671481	2.999448669671481	2.999448669671481	0.9972413566211682	2.999448669671481	0	true	3
44	15	14	1	0	0	0	0	0	2.999182284944309	2.999182284944309	2.999182284944309	2.999182284944309	2.999182284944309	0.9971568419590441	2.999182284944309	0	true	3
45	18	17	1	0	0	0	0	0	2.9998632969362022	2.9998632969362022	2.9998632969362022	2.9998632969362022	2.9998632969362022	0.996503461738107	2.9998632969362022	0	true	0
46	18	18	1	0	0	0	0	0	2.9998324021908176	2.9998324021908176	2.9998324021908176	2.9998324021908176	2.9998324021908176	0.9965014877797355	2.9998324021908176	0	true	0
47	18	18	1	0	0	0	0	0	2.99972845242633	2.99972845242633	2.99972845242633	2.99972845242633	2.99972845242633	0.9965014877797355	2.99972845242633	0	true	0
48	19	19	1	0	0	0	0	0	2.99981331370761	2.99981331370761	2.99981331370761	2.99981331370761	2.99981331370761	0.9960968263135962	2.99981331370761	0	true	0
49	20	20	1	0	0	0	0	0	2.9999426396661044	2.9999426396661044	2.9999426396661044	2.9999426396661044	2.9999426396661044	0.9958423684576074	2.9999426396661044	0	true	0
50	20	19	1	0	0	0	0	0	2.99982295444432	2.99982295444432	2.99982295444432	2.99982295444432	2.99982295444432	0.9957068233161038	2.99982295444432	0	true	0
51	23	22	1	0	0	0	0	0	2.9998838436913813	2.9998838436913813	2.9998838436913813	2.9998838436913813	2.9998838436913813	0.9954843508966889	2.9998838436913813	0	true	0
52	23	22	1	0	0	0	0	0	2.9996799100754825	2.9996799100754825	2.9996799100754825	2.9996799100754825	2.9996799100754825	0.9952406767021734	2.9996799100754825	0	true	0
