# solver: Greedy
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 42e040a0-d389-436a-a327-a58274305df3
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	1	0	0	0	0	0	1.6267072328076784	1.6267072328076784	1.6267072328076784	1.6267072328076784	1.6267072328076784	0.9991239280309399	1.6267072328076784	0	true	6
25	6	6	1	0	0	0	0	0	1.8240652058005697	1.8240652058005697	1.8240652058005697	1.8240652058005697	1.8240652058005697	0.9990443117099597	1.8240652058005697	0	true	1
26	6	6	1	0	0	0	0	0	2.002562820575969	2.002562820575969	2.002562820575969	2.002562820575969	2.002562820575969	0.9990443117099597	2.002562820575969	0	true	0
27	6	6	1	0	0	0	0	0	2.162327661704691	2.162327661704691	2.162327661704691	2.162327661704691	2.162327661704691	0.9990443117099597	2.162327661704691	0	true	1
28	6	6	1	0	0	0	0	0	2.310874285093831	2.310874285093831	2.310874285093831	2.310874285093831	2.310874285093831	0.9990443117099597	2.310874285093831	0	true	1
29	6	6	1	0	0	0	0	0	2.4451992687467516	2.4451992687467516	2.4451992687467516	2.4451992687467516	2.4451992687467516	0.9990443117099597	2.4451992687467516	0	true	1
30	6	6	1	0	0	0	0	0	2.5638586467086104	2.5638586467086104	2.5638586467086104	2.5638586467086104	2.5638586467086104	0.99887542860485	2.5638586467086104	0	true	0
31	6	6	1	0	0	0	0	0	2.6696548385102457	2.6696548385102457	2.6696548385102457	2.6696548385102457	2.6696548385102457	0.99887542860485	2.6696548385102457	0	true	0
32	7	7	1	0	0	0	0	0	2.7598830969617536	2.7598830969617536	2.7598830969617536	2.7598830969617536	2.7598830969617536	0.9987036576717526	2.7598830969617536	0	true	0
33	7	7	1	0	0	0	0	0	2.8363588503019557	2.8363588503019557	2.8363588503019557	2.8363588503019557	2.8363588503019557	0.9986204224270916	2.8363588503019557	0	true	0
34	8	8	1	0	0	0	0	0	2.897527736867679	2.897527736867679	2.897527736867679	2.897527736867679	2.897527736867679	0.9984128643598162	2.897527736867679	0	true	0
35	9	9	1	0	0	0	0	0	2.9442559739469845	2.9442559739469845	2.9442559739469845	2.9442559739469845	2.9442559739469845	0.998144332911735	2.9442559739469845	0	true	0
36	10	10	1	0	0	0	0	0	2.9794227398649804	2.9794227398649804	2.9794227398649804	2.9794227398649804	2.9794227398649804	0.9981368757356651	2.9794227398649804	0	true	0
37	11	11	1	0	0	0	0	0	2.999968129247627	2.999968129247627	2.999968129247627	2.999968129247627	2.999968129247627	0.9979193747669632	2.999968129247627	0	true	0
38	11	11	1	0	0	0	0	0	2.9997137021704563	2.9997137021704563	2.9997137021704563	2.9997137021704563	2.9997137021704563	0.9975972905593614	2.9997137021704563	0	true	0
39	12	12	1	0	0	0	0	0	2.9997027686973308	2.9997027686973308	2.9997027686973308	2.9997027686973308	2.9997027686973308	0.9975264473866985	2.9997027686973308	0	true	1
40	12	12	1	0	0	0	0	0	2.999558902205006	2.999558902205006	2.999558902205006	2.999558902205006	2.999558902205006	0.9975264473866985	2.999558902205006	0	true	0
41	13	13	1	0	0	0	0	0	2.9995805300157774	2.9995805300157774	2.9995805300157774	2.9995805300157774	2.9995805300157774	0.9974928900943846	2.9995805300157774	0	true	0
42	15	15	1	0	0	0	0	0	2.9994646478410174	2.9994646478410174	2.9994646478410174	2.9994646478410174	2.9994646478410174	0.9973089464179967	2.9994646478410174	0	true	0
43	15	15	1	0	0	0	0	0	2.9998443956279086	2.9998443956279086	2.9998443956279086	2.9998443956279086	2.9998443956279086	0.9972257111733355	2.9998443956279086	0	true	0
44	16	15	1	0	0	0	0	0	2.9999709998261315	2.9999709998261315	2.9999709998261315	2.9999709998261315	2.9999709998261315	0.9971431704695829	2.9999709998261315	0	true	0
45	19	18	1	0	0	0	0	0	2.9999069891514516	2.9999069891514516	2.9999069891514516	2.9999069891514516	2.9999069891514516	0.9964897902486456	2.9999069891514516	0	true	0
46	19	17	1	0	0	0	0	0	2.99920791905058	2.99920791905058	2.99920791905058	2.99920791905058	2.99920791905058	0.9964934091723268	2.99920791905058	0	true	0
47	19	17	1	0	0	0	0	0	2.9997166218965328	2.9997166218965328	2.9997166218965328	2.9997166218965328	2.9997166218965328	0.9964934091723268	2.9997166218965328	0	true	1
48	20	18	1	0	0	0	0	0	2.9997087664113513	2.9997087664113513	2.9997087664113513	2.9997087664113513	2.9997087664113513	0.9960887477061874	2.9997087664113513	0	true	0
49	21	19	1	0	0	0	0	0	2.9996940028904713	2.9996940028904713	2.9996940028904713	2.9996940028904713	2.9996940028904713	0.9960176486500318	2.9996940028904713	0	true	0
50	23	22	1	0	0	0	0	0	2.9999241785825808	2.9999241785825808	2.9999241785825808	2.9999241785825808	2.9999241785825808	0.9955630533480526	2.9999241785825808	0	true	0
