# solver: DSA
# max_time: 500
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 440dbbce-a9f7-406f-853c-d61a9fffc141
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-nopolice-refugeOnFire.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
23	9	9	16	864	5472	43776	0	0	45.916945939730184	45.916945939730184	45.916945939730184	45.916945939730184	6.811471304901048,25.706623526986956,25.706623526986956,33.50176297042478,37.76493703981038,40.41301052141114,40.41301052141114,40.41301052141114,43.33294618331992,43.33294618331992,43.33294618331992,44.33717746749926,44.33717746749926,44.33717746749926,45.916945939730184,45.916945939730184	0.9975653416775723	45.916945939730184	0	true	39
24	9	9	12	648	4104	32832	0	0	44.332139891320416	44.332139891320416	44.332139891320416	44.332139891320416	17.728762614781964,29.386235982041498,36.19804109556053,36.19804109556053,36.97653600938507,36.80411166895122,39.55358327598057,43.8233115519258,43.8233115519258,43.8233115519258,44.332139891320416,44.332139891320416	0.9975653416775723	44.332139891320416	0	true	8
25	9	9	16	864	5472	43776	0	0	43.00270625187298	43.00270625187298	43.00270625187298	43.00270625187298	15.854619313393076,19.108168044492686,23.369674109455907,23.862305281359795,28.806296712239273,28.806296712239273,28.806296712239273,28.806296712239273,34.761762535388726,39.93667859522033,39.93667859522033,41.04869433453611,41.04869433453611,41.04869433453611,43.00270625187298,43.00270625187298	0.9975653416775723	43.00270625187298	0	true	3
26	9	9	13	702	4446	35568	0	0	45.32437367785616	45.32437367785616	45.32437367785616	45.32437367785616	22.82901555476734,22.82901555476734,32.41942541496772,35.69141762246313,36.301303880305454,38.68811192090345,38.68811192090345,41.903530662287494,41.903530662287494,38.90420689991511,40.13480169928009,45.32437367785616,45.32437367785616	0.9975653416775723	45.32437367785616	0	true	8
27	9	9	14	756	4788	38304	0	0	43.46488030567287	43.46488030567287	43.46488030567287	43.46488030567287	10.142133039373455,10.142133039373455,15.755928273819613,20.970208396311506,25.869678730774304,32.54505301146846,39.14326689456972,39.785477719351476,39.785477719351476,41.690907464243466,41.690907464243466,41.690907464243466,43.46488030567287,43.46488030567287	0.9975653416775723	43.46488030567287	0	true	2
28	10	10	8	464	2736	21888	0	0	48.13045175023921	48.13045175023921	48.13045175023921	48.13045175023921	36.366278810542205,41.672677631517956,41.30903181908796,44.60385201774569,46.235115312089725,46.235115312089725,48.13045175023921,48.13045175023921	0.9970015206790418	48.13045175023921	0	true	2
29	12	12	11	726	3762	30096	0	0	49.45260122215496	49.45260122215496	49.45260122215496	49.45260122215496	41.874079875378605,41.874079875378605,44.32136665628383,47.52570909757818,47.52570909757818,47.52570909757818,47.52570909757818,47.52570909757818,47.52570909757818,49.45260122215496,49.45260122215496	0.9966696763439367	49.45260122215496	0	true	2
30	13	13	10	700	3420	27360	0	0	50.14949271884559	50.14949271884559	50.14949271884559	50.14949271884559	44.26306170640912,44.26306170640912,47.5415152899231,47.5415152899231,49.54181207231274,49.54181207231274,49.54181207231274,49.54181207231274,50.14949271884559,50.14949271884559	0.9965839188191344	50.14949271884559	0	true	2
31	13	13	4	280	1368	10944	0	0	49.896882654371346	49.896882654371346	49.896882654371346	49.896882654371346	46.30013081746084,49.267089392001175,49.896882654371346,49.896882654371346	0.9964077978666628	49.896882654371346	0	true	2
32	13	13	13	910	4446	35568	0	0	43.15737498337477	43.15737498337477	43.15737498337477	43.15737498337477	33.43794468900787,37.899518021207044,31.58131568144183,35.94205300687106,35.94205300687106,41.23203576433358,41.23203576433358,41.23203576433358,41.23203576433358,41.23203576433358,41.23203576433358,43.15737498337477,43.15737498337477	0.9955863021910939	43.15737498337477	0	true	2
33	14	14	19	1406	6498	51984	0	0	43.61484779747904	43.61484779747904	43.61484779747904	43.61484779747904	-0.6788269462773329,5.492407377235992,11.38232430035616,16.971973993988527,22.225437961511545,22.225437961511545,22.225437961511545,22.225437961511545,27.144163272521226,31.356970736606883,35.7224014340719,38.99821105004267,38.99030002798037,38.99030002798037,38.99030002798037,41.07520436062467,43.066352431160716,43.61484779747904,43.61484779747904	0.99540882871159	43.61484779747904	0	true	2
34	15	15	16	1248	5472	43776	0	0	45.88681460526799	45.88681460526799	45.88681460526799	45.88681460526799	21.082847985859882,26.002344182061282,30.5379309111832,34.64593218692575,34.64593218692575,38.263654180081005,39.28063183238784,41.35391332212801,41.35391332212801,41.35391332212801,41.35391332212801,41.35391332212801,41.35391332212801,44.25695066388375,45.88681460526799,45.88681460526799	0.9953466855776751	45.88681460526799	0	true	2
35	17	16	11	902	3762	30096	0	0	43.72973535400951	43.72973535400951	43.72973535400951	43.72973535400951	11.541537213415339,29.843996861026383,33.598863212520534,36.88986683641291,39.55862561576609,39.55862561576609,41.164032595412685,41.730101293197706,41.730101293197706,43.72973535400951,43.72973535400951	0.9952351203749059	43.72973535400951	0	true	2
