# solver: DSA
# max_time: 500
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 4457c370-2e14-4d1e-b4eb-68276de5820d
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-nopolice-refuge.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	19	19	10	780	3420	27360	0	0	48.37875580316805	48.37875580316805	48.37875580316805	48.37875580316805	33.59926386946119,36.87724734410495,38.33929593662675,44.317858651908,43.48222254604282,45.47708795526712,46.47543169753253,46.47543169753253,48.37875580316805,48.37875580316805	0.9980839809622682	48.37875580316805	0	true	33
25	21	19	15	1410	5130	41040	0	0	50.40067233848431	50.40067233848431	50.40067233848431	50.40067233848431	22.33476957874995,40.15456446411955,44.334073409511205,45.81434229619245,45.81434229619245,45.81434229619245,47.618837434116315,49.15179703145968,49.15179703145968,49.15179703145968,49.15179703145968,49.15179703145968,49.15179703145968,50.40067233848431,50.40067233848431	0.9979112230499849	50.40067233848431	0	true	7
26	21	18	8	752	2736	21888	0	0	51.5128003326962	51.5128003326962	51.5128003326962	51.5128003326962	41.473415407428426,41.490258477619044,47.37438893273586,47.37438893273586,47.52765642563741,49.51350353439147,51.5128003326962,51.5128003326962	0.9979454383284229	51.5128003326962	0	true	3
27	21	16	50	4500	17100	136800	0	0	46.06244191037192	46.06244191037192	46.06244191037192	46.06244191037192	25.62272739121521,28.84869340589309,33.29925739117131,33.29925739117131,33.29925739117131,38.04021392877906,38.04021392877906,40.27079874865595,43.44420727236678,43.60886692622724,43.60886692622724,43.60886692622724,43.60886692622724,43.60886692622724,43.845854169041125,43.845854169041125,43.845854169041125,43.845854169041125,43.845854169041125,43.845854169041125,43.845854169041125,43.845854169041125,43.845854169041125,43.845854169041125,44.84596186627698,44.84596186627698,44.84596186627698,44.84596186627698,44.84596186627698,44.84596186627698,44.84596186627698,44.84596186627698,44.84596186627698,44.84596186627698,44.84596186627698,44.84596186627698,44.84596186627698,44.84596186627698,44.84596186627698,44.84596186627698,44.84596186627698,44.84596186627698,44.84596186627698,44.84596186627698,44.84596186627698,44.84596186627698,44.84596186627698,44.84596186627698,46.06244191037192,46.06244191037192	0.9979246021011691	46.06244191037192	0	true	10
28	21	17	16	1312	5472	43776	0	0	46.340941725513865	46.340941725513865	46.340941725513865	46.340941725513865	0.8638673235624346,10.850414661493943,12.359546978025435,25.645362087464157,26.801126180706937,26.801126180706937,32.78149624575636,37.99910071561348,42.32109897394631,42.32109897394631,45.34035618444954,45.34035618444954,45.34035618444954,45.34035618444954,46.340941725513865,46.340941725513865	0.9978556232225239	46.340941725513865	0	true	16
29	23	18	20	1720	6840	54720	0	0	47.17155160690339	47.17155160690339	47.17155160690339	47.17155160690339	-10.286085145222705,0.07080100526466282,3.3484739313473657,5.3491433712703245,12.749748683613491,12.749748683613491,26.96095266814045,28.81166831032428,32.48285118403842,32.48285118403842,32.48285118403842,32.48285118403842,42.17137803202574,45.17152796845089,45.17152796845089,45.17152796845089,46.171838287000185,46.171838287000185,47.17155160690339,47.17155160690339	0.9975313457278423	47.17155160690339	0	true	4
30	24	16	48	4320	16416	131328	0	0	43.42198170482268	43.42198170482268	43.42198170482268	43.42198170482268	-16.963869006897465,-6.280839098052763,-6.280839098052763,-6.280839098052763,-6.280839098052763,10.165386324999224,11.438263515712952,16.688049566802647,20.02961114707184,20.02961114707184,25.969703992864677,29.449994834630996,34.036786187375625,35.41934136635895,41.42075916997765,42.42148416162332,42.42148416162332,42.42148416162332,42.42148416162332,42.42148416162332,42.42148416162332,42.42148416162332,42.42148416162332,42.42148416162332,42.42148416162332,42.42148416162332,42.42148416162332,42.42148416162332,42.42148416162332,42.42148416162332,42.42148416162332,42.42148416162332,42.42148416162332,42.42148416162332,42.42148416162332,42.42148416162332,42.42148416162332,42.42148416162332,42.42148416162332,42.42148416162332,42.42148416162332,42.42148416162332,42.42148416162332,42.42148416162332,42.42148416162332,42.42148416162332,43.42198170482268,43.42198170482268	0.9975304684130105	43.42198170482268	0	true	6
31	24	15	45	3690	15390	123120	0	0	44.58944599515502	44.58944599515502	44.58944599515502	44.58944599515502	-32.957638118617794,-32.957638118617794,-10.531144020203426,-10.531144020203426,-5.909711158351863,6.880763191518229,10.879759074934318,10.879759074934318,19.0375347679164,28.100277764263055,32.86534840964053,34.86095924948093,36.09450830389291,36.09450830389291,40.42061607386752,41.82265410645122,43.58995151069873,43.58995151069873,43.58995151069873,43.58995151069873,43.58995151069873,43.58995151069873,43.58995151069873,43.58995151069873,43.58995151069873,43.58995151069873,43.58995151069873,43.58995151069873,43.58995151069873,43.58995151069873,43.58995151069873,43.58995151069873,43.58995151069873,43.58995151069873,43.58995151069873,43.58995151069873,43.58995151069873,43.58995151069873,43.58995151069873,43.58995151069873,43.58995151069873,43.58995151069873,43.58995151069873,44.58944599515502,44.58944599515502	0.9972459990788196	44.58944599515502	0	true	5
32	24	14	35	2730	11970	95760	0	0	41.91337192734763	41.91337192734763	41.91337192734763	41.91337192734763	-21.46760934582064,5.354671472890653,9.923663792332546,9.923663792332546,26.709258018906162,26.709258018906162,30.088044936667803,30.088044936667803,34.36597482400313,34.36597482400313,37.36542300798881,37.36542300798881,37.36542300798881,39.76963492526561,39.76963492526561,39.76963492526561,39.76963492526561,39.76963492526561,40.87333816420578,40.87333816420578,40.87333816420578,40.87333816420578,40.87333816420578,40.87333816420578,40.87333816420578,40.87333816420578,40.87333816420578,40.87333816420578,40.87333816420578,40.87333816420578,40.87333816420578,40.87333816420578,40.87333816420578,41.91337192734763,41.91337192734763	0.9969814886570503	41.91337192734763	0	true	4
33	25	16	20	1480	6840	54720	0	0	40.0148799162562	40.0148799162562	40.0148799162562	40.0148799162562	4.5194828719989175,7.108070064696001,7.108070064696001,14.450247385294901,19.90819949117443,24.601820106229425,24.601820106229425,24.601820106229425,31.006244459654525,36.34376257055631,38.0948618297287,38.0948618297287,38.0948618297287,38.0948618297287,39.060199189210444,39.060199189210444,39.060199189210444,39.060199189210444,40.0148799162562,40.0148799162562	0.9967747347950371	40.0148799162562	0	true	3
