# solver: Random
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 46b9d2d2-f4f0-406e-bf5f-b69f02c4fe5a
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	100	0	0	0	0	0	-148.4242494089668	1.623795350465282	1.6238232107056392	1.6238232107056392	-98.42443390550699,1.6235543017679992,-49.36275508681377,0.6369241100717058,1.6234350652937775,1.6237215238030143,-98.42425452743734,-98.42424994614498,0.6372370986651545,1.6235287107479166,-98.42434514375276,0.6370706754583682,1.6234669215100355,1.6235632547952497,1.6236134868966978,1.6234732441067514,0.6370040905266302,0.6371581457379912,1.623795350465282,-48.376250310920305,-148.42420492293866,-49.363098339921244,-98.42423229642655,1.6237156838209459,-148.42452354359602,-48.37618721470698,1.6236653277983015,1.6237725250713644,-98.42428380007347,1.6237816058286048,0.6372370986651545,-98.42453945573692,-148.4244393500784,-49.362851805236055,-98.42442510948165,-98.42425256262314,-49.36272371073701,0.637122729667406,1.6237460996491555,1.6235505163129766,1.6236628631488277,-49.362763966393835,-48.376184778394645,-98.42448947451459,1.6233646076294603,0.6372258441507836,-98.42416159533222,-98.42448947451459,1.6237943530913945,-98.42435751894028,1.6237448775286363,-98.42424339751744,0.6372109790116991,1.6233646076294603,0.6371020647606807,-98.42415821094515,0.6371787307737987,1.6235543017679992,-48.37625549233201,0.6372051006809987,-98.42439187278393,1.6236217507708222,1.6237922248973384,-98.42423813640862,-98.42415267791884,0.6371412132452968,0.6372432249380788,-148.4242558562737,1.6234778093064748,0.6371272087177648,-98.42414731179875,-48.376529058907934,1.6235574998178812,-148.42452354359602,1.6237941405316876,-98.42441127317711,0.6370534898509568,0.6369241100717058,1.6234643457149838,-148.42420492293866,1.6236661940498154,-148.42417304863426,-98.42421703440893,0.637122729667406,-148.4243975565432,-98.42428827912383,1.6237000053766275,-148.42439780544623,0.6370204433569201,1.6236381021897837,1.623257321819725,-98.42413475558577,1.623782624156703,-48.376184778394645,0.637120051710498,1.6237816058286048,-148.42425562981953,-98.42423227801744,-98.42430276752836,-148.4242494089668	0.9991239280309399	1.623795350465282	0	true	3
25	6	6	100	0	0	0	0	0	1.8671467440425125	1.9235727822762478	1.9235786723014239	1.9235786723014239	-148.17446959016866,-149.15193932784123,-48.07666548252637,1.8671608996999223,1.9233939428756748,-48.08132604009786,1.8672101025373316,0.880343640945339,1.9235727822762478,1.923296835965235,-98.17437295022681,1.8671608996999223,-99.1515341335123,1.8671552073927031,-98.17440026299923,-49.11957210035898,1.9233725194172175,-48.132876437296176,-148.17447979847253,-48.08138405354178,1.9185999363277375,-48.133093408449795,1.9186138064023535,-149.15160298385103,-48.08131849269794,1.8669082189504842,1.86710943827601,0.8801914484240677,-99.15155781259682,1.9235155996423146,-48.08129318532172,1.8672085113999568,-99.1517497214613,1.8669701476859324,-49.11957813158911,-48.13293633732903,-99.15161755418042,-98.17452912743475,-99.15159568451851,-48.08128726072833,-49.119629288794094,-98.1744302448578,-99.15181535973521,1.9234714072550299,-148.17447102996974,-49.119473867744446,-48.07648651646471,-98.17450771227885,-99.15152233659022,-49.11956435299266,-49.11960228364869,-48.07642820105328,1.9234421530436927,-99.15150882341023,1.8670364557519283,1.9235697900227535,1.918508824502999,-148.1744716697261,-98.17439038270894,1.9235462316601364,-149.1515359832061,-99.15174258542682,0.8804271993862361,-149.1516021033943,-99.15162747463839,1.9185888969936171,-98.17466985554914,-99.15156906712369,1.918577824348014,-48.08152917744059,1.9233864400197878,0.8804351989735274,-48.132868570320035,1.8670883910344374,-98.17460697311344,1.9185821221315085,0.880343640945339,-98.17443560255379,1.9234274481146572,-148.17440402932482,-98.1746030545844,-48.08129189255503,-49.119881922100234,-148.17472567013078,1.8672102997610958,0.8803278156601098,-49.11956435299266,-48.08169531508412,-99.15165624037843,-99.15163869625862,-148.17480667022625,0.8802919564973184,-99.15159684841848,-49.11975428033764,-149.15150938306317,-149.151575239044,1.9187086670979252,-99.15150544199139,0.8804868860193054,1.8671467440425125	0.9990443117099597	1.9235727822762478	0	true	3
26	6	6	100	0	0	0	0	0	-148.93137204856484	2.136644983027405	2.136644983027405	2.136644983027405	-147.95266944873376,2.130056749672478,-98.93134355046213,2.1298668137269807,-47.86337878151877,-147.95268797018738,-47.9167198721812,-47.86992831566332,2.136564476045954,2.083286694507123,1.0967840217551539,-97.95268749592466,-148.93140806877452,2.1364362391370686,2.136512162528283,-47.91671382518483,-147.95274721477955,-47.86366975935022,2.083339871333743,2.1363666811807898,2.1365233236095067,-98.93160979813577,-147.95268472455365,-47.91673169660782,2.1364290114799536,-97.95311690518447,-98.93156454156141,-147.95272021856394,2.0832497776413845,-98.93133114320378,-97.95281635583292,-148.9315729832328,-98.93131454619676,1.0968657915898103,2.130133443043559,2.1364212328036714,-47.863448222166824,-148.93139889166156,-47.86994173679102,-148.931364763473,2.1300083565022465,-98.93143577568458,-47.86993269811022,1.096908111416609,-98.93149711780262,-98.93133257155641,-98.9313950531782,-47.86990355192411,-98.93148606340844,-47.86992727675633,-48.903183270009905,2.0829786040268834,2.1298562164641925,-97.95273131183264,-148.93149096435866,-47.86994725584979,-47.91665842685775,-47.863405234248845,-48.90316186582747,-47.86987397158923,2.0833129702344433,2.0833297715719072,-47.91671378411881,2.1300729878152147,-98.93157576095207,2.136644983027405,2.0831047441263824,1.0969036607164513,2.0833517013590903,1.0969052566086699,-47.91671562028518,2.0833475968853534,-97.95280216217756,-47.86345620522156,-97.9526451422726,2.136617428133161,2.1365233236095067,2.136467001119919,-98.93160431548385,-148.93136383235412,-97.95285536735993,-97.95292512668499,-97.95271377165199,1.0968088005568457,2.136587364740154,-47.91674674862042,2.0829883110596468,-47.869901994506755,1.096691814140945,-48.903180433278834,1.0968466539714155,-48.90315850422089,-47.86990550545126,-98.9313816030268,1.0967748063380982,-147.95274856363307,-98.93132459687435,2.1366272034538656,-97.95271501425886,-148.93137204856484	0.9990443117099597	2.136644983027405	0	true	2
27	6	6	100	0	0	0	0	0	-47.67182119208214	2.3281753031742047	2.3281824623840865	2.3281824623840865	-147.7524586819492,-47.67190392459684,-98.73299187916281,1.2922718978880816,1.2920778830981026,-147.7523659656032,-148.73304308451193,-98.73295627507267,-98.7330452370445,-97.75248566714475,-47.67871589731653,-47.671937566646086,-47.720553064094425,2.3212901849415277,-47.67216530975431,-98.73310462085513,-48.708090505704384,-47.720477120058256,-98.73306294549255,-98.73307093855642,2.3212783436991233,-47.671903819826795,-98.7331053769675,-48.70780141823993,2.3280245359445666,-47.720321995048835,-147.752320070355,-97.7525306144855,-47.67183299205735,-48.70779152564569,2.3281753031742047,-47.67896509906155,-48.70779806472798,-147.75249780435468,2.279580825747193,-97.75232004662685,-48.707722909907204,2.2796332370675843,2.3211050609966963,-48.70780238322175,-47.720389667675875,-47.67190181991114,-97.75238940969805,-48.707842946425,-147.75230813515967,-98.73305587960084,2.3281721535407853,1.2922195802414445,1.2920767192854845,-47.678782160507595,-98.73299655293113,-148.7329767444615,2.279579882578215,2.3212530019398265,-47.67183534625552,-47.678797978451385,-147.7523412794362,2.279673318015038,2.3278873477149804,-47.72052412265556,-148.73298596099573,-97.75240400394755,-148.73301872793908,-98.73299850832888,-47.678772800749385,-147.75242280915262,2.3210960281973008,-47.671884165020955,-47.720391311340364,2.3281685459919492,1.292215787520763,-148.7333175978997,-98.73298858074722,2.3281299202845753,2.279645718743293,-97.75234610612263,1.292212587790128,-147.75237059146912,-47.720400606357174,-97.75234442704343,2.3279505824452977,2.321093366966061,2.3212493969673074,-47.720384403712245,2.3281336515048947,-47.678787472107665,-148.73301704375433,2.321174169712996,-47.720605308340076,2.327995847234563,-97.75233962754076,-97.7522997889356,-147.75234836484736,2.279633055661128,2.328086247684068,-147.75230484671687,-47.72033276424302,2.3281439923267393,2.321294987419225,-47.67182119208214	0.9990443117099597	2.3281753031742047	0	true	1
28	6	6	100	0	0	0	0	0	-97.57479339546778	2.494650526233274	2.494698119166135	2.494698119166135	-47.54911847777528,2.4508366306213305,2.4945371112715193,2.494493700952164,1.4628721491684726,2.489171177503889,-97.57478644528727,-147.5751065020698,2.4891962222992996,-97.5747878716471,-47.54912205341434,2.4509285130660294,-147.5751065020698,-47.54907185916258,-47.54907779943059,-98.55797356892377,2.450720719185083,-97.57498613053161,2.4509056418708033,-47.54907966636925,2.4945306998109884,2.4507670345526633,-98.55794449701861,-98.55796775167578,2.450797328210029,2.4892067959645945,-147.5747869023605,-48.53725219490305,1.4628774658721602,2.450903665977795,-47.54912215212789,2.4508054951594005,-98.55795005406574,-47.510813400766075,-47.549321331095854,-48.53708719041193,-48.53705038389214,-47.54910102470025,-47.54937704183763,-98.55817096772135,2.494650526233274,2.4945306998109884,2.4892358678697555,-148.5581218941724,-47.510765444330794,-98.55794209444119,-147.57482107303,1.4627848177148914,-148.55794296658058,2.450645650623587,-47.54923669457831,2.4891863265167995,2.450695997036662,-148.55796187484563,1.4629157886106907,-98.55794199066361,-98.55794209444119,-47.50561397729871,-47.50537190405399,1.4630131911381796,2.489027120643361,-47.50531600111093,-48.537023798880156,-47.51092854387688,2.4946153958420436,-47.505413152949146,-47.510784139197064,1.4628766837504932,2.450887569651045,-48.53699864144124,2.4509306931913075,2.494584906888439,-148.5579478151236,1.4629523035206144,-147.5747761944183,-48.53702118641664,-98.55810467768744,2.4892387353032435,2.489198202861704,2.450929617798913,-98.5579707971641,-48.53699334677861,2.4508892818826555,2.489202717743804,2.4891714573202846,-47.510943147093045,-147.5747869023605,-47.549239944581416,-48.537038334011235,-98.55797170788385,-98.55813345762643,2.4891145086705375,-148.55799374869576,-98.55799403837156,2.4508981433163397,-148.55796187484563,2.489220007896723,-47.51082324683789,2.4509344539078097,-97.57479339546778	0.9990443117099597	2.494650526233274	0	true	1
29	6	6	100	0	0	0	0	0	2.600377185143387	2.6385779989577185	2.6385779989577185	2.6385779989577185	2.600399173487163,2.6333950721582644,-47.361505745916695,2.600289406707813,-147.42116998546078,-47.39963829818773,-97.4211632761784,2.6333912902666756,1.611112868737728,-98.40659962861699,-47.36660969443356,2.6333050842141037,-98.40651604217227,-147.42116665743254,1.6110252588678877,2.600424063984097,-148.40653527263143,-47.36662475447638,-98.4067106316311,2.633387277495084,2.6333790420194214,2.638549867670445,1.611196003068295,-47.366626040571255,2.6333909511834723,2.6334101691952574,1.6111879570414716,2.6333701816613306,2.6331816013027947,-47.3614282184101,-97.42128115551608,2.633345960323311,-47.36664778978262,-48.38880309298197,-148.40652227675076,2.600399281784199,1.6111564640350762,-47.36661109761057,2.600442014487665,1.611149359365403,2.6334101691952574,2.6385536188894037,-47.36164400676402,-47.36145958475565,-47.361443620791555,2.6332761015071204,-47.36146478033722,2.6385130778364543,2.6385195939856465,-98.40665009722878,2.638478258982545,2.638540505558031,2.6383838708651357,-47.39956477033496,-47.39956419365428,2.63335085386776,2.6003863623837393,-47.361428300961215,1.6111990297198753,-148.40651958950014,1.6109941712087172,-97.42122587437738,-47.36151019552368,-98.40657126842424,-47.361431596848405,-98.40654704044061,2.6004223770759136,-148.40651710515394,2.6004324743411726,-97.42133881877407,-147.4211851653055,-47.36662983468703,1.611103384410667,-97.4211617147792,-47.361431596848405,2.638388666105546,-148.4068108459751,2.6385779989577185,-147.4211776172283,-48.38884980926548,1.6111809611304946,2.638463778807742,2.6384877433096063,-98.40653549764501,-147.42130899248608,-98.40659962861699,-97.42116293007098,-97.42126069323129,-97.42126388876018,-47.366595330496054,-148.40652227675076,-47.36147253711734,1.6109941712087172,-98.40665318251109,2.6003423662894773,-98.40665009722878,2.633237981506711,-148.40655020092734,-147.4211681527156,2.600377185143387	0.9990443117099597	2.6385779989577185	0	true	0
30	6	6	100	0	0	0	0	0	2.7257524402016555	2.7581422654058545	2.758145226909465	2.758145226909465	-148.27964969350435,-47.24205996341102,0.7354667220886237,-47.24205323507232,-148.27953200667255,0.7355314328441206,2.7580033226551146,2.758113739703701,2.7526289238355344,-147.2917277332764,-49.264483124681675,-97.29170499143902,-98.27955495091928,0.7355342052315939,-97.29171508374523,-47.24188138042328,-97.29187351178247,-47.27425935112228,-47.24192215204573,-47.24712929456907,0.7355444011678618,-97.29173931938163,-47.247392110236284,-97.29177723614153,-47.27424286564709,-148.27951339291127,-148.27954043397395,-47.24192215204573,2.7528663369534474,-97.29171825961008,-147.29173670964678,-147.29171000966755,-98.2795209824809,-147.2917154253606,2.7257060195816725,-97.29175973140977,-97.29171902336036,-148.27952865840675,-147.2917356119646,2.7527594200664836,-47.274222128826224,0.73554021041112,-148.27956679057638,-98.27950771760925,2.7257393505854117,-47.274422395566326,2.725762591571765,-98.27955637772334,-47.2742597381495,-97.29203268543847,-147.2917105463209,2.7581422654058545,-47.24188141237384,-148.2795068082052,-47.27448608010423,-147.29184379476868,2.7257524402016555,-47.242005734811215,-47.24188660977681,2.752779650925167,0.7355405757445008,-148.27957324974557,-98.27951036714818,0.7354952490124772,2.7528544413262406,-47.2742595652048,-47.24716577533095,-147.29171720694976,-47.27422326443702,-98.2795262356309,0.7355110208153847,-47.2745518915376,-49.264559494953176,-47.247128158958276,-49.26449484431663,2.7581085922006574,-47.24188621199332,0.7353414605969736,-49.264522731694974,2.7580080176461372,-98.27967574540725,-147.29174436363667,-98.2795919921992,-47.24739212212018,-98.27968297433421,2.7528624740663314,-148.279513589494,2.7581112915100054,2.725624381698084,-47.24724837480317,-98.27963922838676,2.752872895204217,0.735449160722679,-47.247140425359454,-97.29174871094905,2.758039864000719,2.7581363558582064,-147.29172618931148,-148.27953200667255,2.7257524402016555	0.99887542860485	2.7581422654058545	0	true	0
31	6	6	100	0	0	0	0	0	-49.16349341276689	2.853941356379765	2.853949327465741	2.853949327465741	-147.18465258180177,2.853941356379765,0.8365797149229031,-97.18474789458847,-148.17553367409107,2.853811471600572,-147.18465335478612,-147.1846665932383,2.853932712147145,-49.16344041003563,-98.175562037762,-49.16342397315916,-47.17069748299274,2.8537977204687004,2.853926018268905,0.8364540401911603,-47.14607045404559,-147.1846707514817,0.8366078151556139,-47.14970517125626,2.8292241294360236,-47.14969829914973,-97.18466219722389,-98.17562442175236,-147.18465314886157,2.8501169971898834,0.836557113216111,-148.17553480032754,-97.18470444970363,2.850202542321497,-98.17552623830663,2.850253998902114,2.853908043081177,-97.18468903068369,2.8501753498176545,-49.16339355182396,-97.18481502117697,2.8292448881640087,-97.18466988765051,0.8366002767711833,0.8364932904451023,2.8292808399939275,-148.17555304472907,-47.149706496464006,0.8365802144308638,-98.17555534465028,-147.1846719546184,-47.146054218006235,-98.17552664529039,-47.14622603239683,-147.1846711109207,0.8366028797869873,2.850286462976782,-47.17091553521628,2.8538974629336242,2.8292786076889063,-97.18471802103386,-49.16341312226727,-47.149856589888806,-98.17551918643115,-148.1755325840516,2.8292681100922623,-47.149703050439506,-98.17555555139208,2.8290219251678175,2.8291853613209583,0.8366019719153259,-97.18478911409606,-148.17554625669922,-49.16340572322857,2.8503081083319644,-148.17552042719342,2.850292223419815,2.8502789995841984,-47.17070057732609,2.8501984942640597,-47.14968974805062,2.8502904517322243,2.8292132128907372,-49.16340977251081,0.8365295159354047,2.8292665672446407,0.8366060210439022,0.8364066453580258,-47.17071247288914,0.8366062756567735,0.8366006225164239,-47.14606582884413,2.850307843624991,-98.17561549531676,-147.18466668836172,-47.14607863233639,-49.16356739343602,-97.18471802103386,2.8293119079105007,-47.170915465261196,-147.1846700597032,-147.18494759142646,2.8292734855639554,-49.16349341276689	0.99887542860485	2.853941356379765	0	true	1
32	7	7	100	0	0	0	0	0	0.9123479536752354	2.9247780878817258	2.9247845206627243	2.9247845206627243	-147.1035134947517,-148.0970942258283,2.9059258087216184,-147.1035842481178,1.9218925371079292,2.9057960234846805,-47.07522798394038,2.924596905322385,2.924665266730025,-47.075248416632974,0.912373289440123,1.9219222844337955,2.924771847090124,0.912426904739163,-48.07808793023716,2.924757420939481,2.9246664062480696,2.924742609878363,1.921831440352622,-98.09713384605261,0.9124435763837713,-47.094074991943394,-98.09704441675795,-47.09408230275289,-98.09702365493057,0.9124085030530598,0.9124323695047989,2.9247490656046846,-97.10347045113927,0.9124509104734153,-97.1034788141893,-98.09719842854116,0.9124514858930132,2.90592833708259,2.924724518433786,2.9059245018215867,-147.10358332641033,2.924758946981491,-47.07530672009266,-48.07808727091945,-47.07524084469833,-48.07810707014196,-49.08756425729823,-49.087559415691736,1.9219174830451902,0.9124394253752456,2.9246963765300276,0.9124381973537268,2.905926454456837,2.905935486480593,-98.09703677289863,-47.07522907392974,-47.094067390268876,2.9247780878817258,-98.09701382761483,-47.0940788214616,-49.08758049070327,-98.09707092518131,0.9123655752330616,-48.07809824465952,-148.09704502326986,1.9029747512167563,-148.0970525101105,-47.0940861142915,-147.10350116730666,-98.09703899421936,2.905880588060766,0.9124255383472204,-47.075233456001264,-147.10348183689376,-49.08755937658138,-47.07525298029636,1.9218925371079292,-49.087566314464645,-47.075235654098954,2.924704090737089,0.9124439269310783,-147.1034988131725,-48.078084813355424,-148.0970315904535,-47.094067682088514,-47.075298369111096,0.9124160028075625,1.9219146044939928,-49.08755695812771,2.924660443857612,1.9219099663996555,-147.1034819513995,-97.10359136711891,-48.07827949670628,-98.0970209561828,1.9219174830451902,-97.10353002376895,0.9122593232148519,-98.09701081320082,-147.10355306592805,-47.094082807946336,2.90581788272079,-47.07536010237564,0.9123479536752354	0.9987036576717526	2.9247780878817258	0	true	1
33	7	7	100	0	0	0	0	0	-98.0463665739382	2.9709937940791082	2.9709937940791082	2.9709937940791082	0.9631109467689465,1.970515642356676,2.9518310520822904,-148.04635216148424,1.9704821028524029,-98.0463879955945,-49.03663860767546,-148.04635489860783,-49.03683060271095,-47.04825771486745,-49.03665518537622,2.970971907489972,1.9704935524045961,-148.04652910263792,-47.03884545533676,-98.04232538719674,2.9610252726481394,1.9704155311720184,-48.029503037066064,-49.036710434433566,2.9611688981203805,-148.0465461721398,2.961164252231261,1.9704089999938363,-148.04226403668258,-48.029495050528936,1.970520262470186,1.9705155512347312,1.970406328690821,-148.04635015955273,2.9516703841100536,-47.03886518747088,2.96115070324894,2.9709937940791082,-98.04645217939554,1.970474556175683,-98.04226121762731,2.961067439842971,-48.02947398385727,-47.03884397201014,-47.038871934256136,-47.038932848722325,-48.02947498855347,2.9709755992076676,-148.0422733823497,2.9611642938239466,-148.0422693352678,-47.02915342221554,-98.04635629686462,1.9705034809093709,-47.048090279716966,1.970527529389949,2.970977662022077,1.970520262470186,2.970856546270393,2.95180014765717,-98.04636973450708,-98.04635668305032,0.9632868328306358,-47.029045341732825,2.9516703841100536,1.970462366137934,-148.04226036164835,-148.04234273296015,-98.04643149552454,-98.04640836422683,-148.04636031756272,-148.04646490621272,-48.02947947174446,-98.0464179167509,0.9632718855999753,2.951910820034832,2.961127052107761,-49.03667239490226,-98.04227040674816,-148.04225657136726,0.9633139869253097,-98.0464854054597,-47.03884630667529,-148.04635180846336,-148.04224657420633,2.9611599364585106,-47.02901320651386,2.9518997338013024,-47.038846650267615,-48.02950064219934,-47.04810624961571,0.9633209560077555,2.9611439132495576,0.9633385834606755,-49.03664519618228,2.9709811787712064,1.9704918082533982,1.9705192723823268,0.9633460708666979,-47.048103902865606,0.9633202294342631,2.970968399070711,-98.04232339285662,-98.0463665739382	0.9986204224270916	2.9709937940791082	0	true	0
