# solver: Closest
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 488e09f1-237f-44c0-8803-801c8304af61
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
23	12	12	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9977516614149626	-Infinity	17	false	26
24	13	13	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9975615034251832	-Infinity	17	true	17
25	15	15	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9966306358339244	-Infinity	13	true	17
26	15	15	1	0	0	0	0	0	-Infinity	-Infinity	-115.13619665204143	-115.13619665204143	-Infinity	0.9960817657423182	-Infinity	12	true	29
27	15	15	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9960817657423182	-Infinity	11	true	16
28	15	15	1	0	0	0	0	0	-2068.1259352678976	-2068.1259352678976	-49.79724857913532	-49.79724857913532	-2068.1259352678976	0.9960817657423182	-2068.1259352678976	12	true	28
29	15	15	1	0	0	0	0	0	-2071.869801614198	-2071.869801614198	1.131665149797385	1.131665149797385	-2071.869801614198	0.9960817657423182	-2071.869801614198	13	true	30
30	15	14	1	0	0	0	0	0	-2131.8669931967383	-2131.8669931967383	-96.94200808628936	-96.94200808628936	-2131.8669931967383	0.9959217654498799	-2131.8669931967383	14	true	29
31	15	14	1	0	0	0	0	0	-Infinity	-Infinity	-73.05441956601432	-73.05441956601432	-Infinity	0.9957118678763863	-Infinity	13	true	17
32	16	16	1	0	0	0	0	0	-1786.160557391314	-1786.160557391314	4.6350232498301285	4.6350232498301285	-1786.160557391314	0.9955252557007185	-1786.160557391314	15	true	28
33	16	15	1	0	0	0	0	0	-2104.09332596121	-2104.09332596121	-49.96081856664256	-49.96081856664256	-2104.09332596121	0.9954509032687288	-2104.09332596121	19	true	27
34	16	14	1	0	0	0	0	0	-2406.347277188372	-2406.347277188372	-56.77622386411662	-56.77622386411662	-2406.347277188372	0.9954715201672747	-2406.347277188372	18	true	27
35	17	16	1	0	0	0	0	0	-1794.1754713509079	-1794.1754713509079	-49.027571720592164	-49.027571720592164	-1794.1754713509079	0.9948208084456174	-1794.1754713509079	18	true	39
36	17	16	1	0	0	0	0	0	-2055.4146901472964	-2055.4146901472964	-59.11638517535873	-59.11638517535873	-2055.4146901472964	0.9941416571014978	-2055.4146901472964	19	true	28
37	18	16	1	0	0	0	0	0	-2207.37658674038	-2207.37658674038	-67.47133545210642	-67.47133545210642	-2207.37658674038	0.9939305532201108	-2207.37658674038	19	true	28
38	20	19	1	0	0	0	0	0	-2099.9150991520214	-2099.9150991520214	-54.99304707673793	-54.99304707673793	-2099.9150991520214	0.993384607511277	-2099.9150991520214	18	true	28
39	21	19	1	0	0	0	0	0	-2095.188525952863	-2095.188525952863	-1.75184339234991	-1.75184339234991	-2095.188525952863	0.9932766977869731	-2095.188525952863	18	true	25
40	21	20	1	0	0	0	0	0	-1290.3955248773632	-1290.3955248773632	50.2081213416668	50.2081213416668	-1290.3955248773632	0.9930579174008087	-1290.3955248773632	17	true	24
41	22	20	1	0	0	0	0	0	-Infinity	-Infinity	NaN	NaN	-Infinity	0.992941271082972	-Infinity	16	true	137
42	24	21	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.992788801076173	-Infinity	16	true	11
43	25	22	1	0	0	0	0	0	-Infinity	-Infinity	17.162999597768263	17.162999597768263	-Infinity	0.9922502394338396	-Infinity	16	true	18
44	27	24	1	0	0	0	0	0	-Infinity	-Infinity	17.589241073703988	17.589241073703988	-Infinity	0.9914981978491166	-Infinity	15	true	17
45	29	25	1	0	0	0	0	0	-Infinity	-Infinity	10.746204552169615	10.746204552169615	-Infinity	0.9909273583319321	-Infinity	15	true	17
46	29	25	1	0	0	0	0	0	-Infinity	-Infinity	11.371127518752616	11.371127518752616	-Infinity	0.990874061455904	-Infinity	15	true	16
47	33	25	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9905771269401452	-Infinity	15	true	10
48	33	28	1	0	0	0	0	0	-Infinity	-Infinity	19.34358204069696	19.34358204069696	-Infinity	0.9905452146131408	-Infinity	12	true	16
49	34	26	1	0	0	0	0	0	35.04000011954608	35.04000011954608	72.59477088698739	72.59477088698739	35.04000011954608	0.9898341143872321	35.04000011954608	8	true	21
50	34	29	1	0	0	0	0	0	-112.10975812047664	-112.10975812047664	72.36030363452666	72.36030363452666	-112.10975812047664	0.9895464647867759	-112.10975812047664	8	true	21
51	34	27	1	0	0	0	0	0	-55.38977806537743	-55.38977806537743	70.647355137492	70.647355137492	-55.38977806537743	0.9895447101571123	-55.38977806537743	6	true	20
52	35	27	1	0	0	0	0	0	-64.86361219350945	-64.86361219350945	72.63973385255923	72.63973385255923	-64.86361219350945	0.9894075200502995	-64.86361219350945	8	true	19
53	35	27	1	0	0	0	0	0	-Infinity	-Infinity	0.7401486008531695	0.7401486008531695	-Infinity	0.9891407066770972	-Infinity	4	true	16
54	35	25	1	0	0	0	0	0	-357.0033693044717	-357.0033693044717	65.73402587660549	65.73402587660549	-357.0033693044717	0.989204531331106	-357.0033693044717	4	true	19
55	36	27	1	0	0	0	0	0	-472.89493641856893	-472.89493641856893	72.10603462665428	72.10603462665428	-472.89493641856893	0.9892073094947399	-472.89493641856893	8	true	19
56	37	27	1	0	0	0	0	0	-Infinity	-Infinity	-13.097682740426016	-13.097682740426016	-Infinity	0.989066354245107	-Infinity	7	true	13
57	37	24	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9891176771627639	-Infinity	8	true	8
58	37	25	1	0	0	0	0	0	-264.36083315250755	-264.36083315250755	67.55553079697707	67.55553079697707	-264.36083315250755	0.9888247636733172	-264.36083315250755	7	true	18
59	37	25	1	0	0	0	0	0	-Infinity	-Infinity	-31.0499613369685	-31.0499613369685	-Infinity	0.9885518090962927	-Infinity	9	true	9
60	37	25	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.988171822109796	-Infinity	11	true	7
61	37	28	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9881099714141585	-Infinity	12	true	7
62	37	27	1	0	0	0	0	0	-Infinity	-Infinity	-28.879877130410197	-28.879877130410197	-Infinity	0.9880198273151974	-Infinity	10	true	12
63	38	26	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9878608871115143	-Infinity	15	true	8
64	38	25	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9878786527368569	-Infinity	12	true	7
65	38	22	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9880659960082178	-Infinity	13	true	6
66	38	21	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9877143024250445	-Infinity	12	true	6
67	38	21	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9878728770808812	-Infinity	15	true	6
68	38	21	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.987836687844072	-Infinity	12	true	6
69	38	21	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9875129586711605	-Infinity	17	true	5
70	38	20	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9875396071091745	-Infinity	16	true	6
71	38	18	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9872970295581989	-Infinity	18	false	5
72	38	17	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9873032804263752	-Infinity	19	false	5
