# solver: BinaryMaxSum
# max_time: 1000
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 4b7154a0-b293-4b33-9901-48e9dbedb386
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	12	12	100	113600	571824	4574592	0	0	-669.1168311239685	9.374638504514303	34.974431439718416	33.84090002131315	-Infinity,-Infinity,-Infinity,-Infinity,9.374638504514303,9.374637851880843,9.374637851880843,9.374634221786893,9.374123829593351,9.374123829593351,9.374003110023125,9.374003110023125,9.374003110023125,9.37400173404314,9.37400173404314,9.37400173404314,9.373992322725428,9.373980926403902,9.373980926403902,9.373980926403902,9.373961953442482,9.373959230176766,9.37391626425979,9.37391626425979,9.37391626425979,9.37391626425979,9.373859662800953,9.373859662800953,9.373725635353146,8.444426619785688,8.444395411085509,8.444385567222717,8.444385095733423,8.444385095733423,8.444385095733423,8.444385095733423,8.444385095733423,8.444385095733423,8.444385095733423,8.444385095733423,8.444385095733423,8.444385095733423,8.444385095733423,8.444385095733423,8.444382114148347,8.444382114148347,8.444393952358226,8.444393952358226,8.444393952358226,8.444251505080473,8.444251505080473,8.44420383051807,8.44420383051807,8.444185635862297,8.444185635862297,8.444185635862297,8.44415420999568,8.44415420999568,8.44415420999568,8.44415420999568,8.44415420999568,8.44415420999568,8.44415420999568,8.44415420999568,8.44415420999568,8.44408501970726,8.44408501970726,8.44408501970726,8.44408501970726,8.44408501970726,9.37337984675554,9.37337984675554,9.37337984675554,-180.8811279141185,-180.8811279141185,-276.84776689593747,-276.84776689593747,-274.9282592809383,-469.06586157784756,-568.334615620191,-669.1168311239685,-669.1168311239685,-669.1168311239685,-669.1168311239685,-669.1168311239685,-669.1168311239685,-669.1168311239685,-669.1168311239685,-669.1168311239685,-669.1168311239685,-669.1168311239685,-669.1168311239685,-669.1168311239685,-669.1168311239685,-669.1168311239685,-669.1168311239685,-669.1168311239685,-669.1168311239685,-669.1168311239685,-669.1168311239685	0.9977623354120823	9.374638504514303	10	true	579
25	14	14	100	113600	580140	4641120	0	0	-267.3254875507005	25.282220927540443	36.995856721762	34.773792808452676	-Infinity,-Infinity,-Infinity,16.193785494115637,16.193785494115637,16.193785494115637,16.19378408669882,20.81142484766835,20.811421901037775,20.811421901037775,20.811421901037775,20.811421901037775,20.811416236370277,20.811416236370277,20.811416236370277,20.81140184182121,20.81140184182121,20.8114001124479,20.8114001124479,20.811368995494334,20.811338347847624,20.811322269832985,20.81131579240308,22.842130137276357,22.83968319095932,22.839616847648742,22.839616847648742,22.839616847648742,22.839616847648742,22.839616847648742,22.839616847648742,22.839616847648742,22.839616847648742,23.40586739782085,23.40586739782085,22.801763051448983,22.801763051448983,22.80149817527987,22.80149817527987,22.80149817527987,22.80149817527987,22.80149817527987,22.80149436759204,22.80149436759204,22.801500448675153,20.948217802254412,20.948217802254412,20.948217802254412,20.948217802254412,20.94820033154229,20.94820033154229,20.94820033154229,20.94810703410655,20.94810703410655,20.94810703410655,20.94810703410655,20.94810703410655,20.94810703410655,20.948089329223215,20.948089329223215,20.948089329223215,20.948089329223215,20.948089329223215,20.948089329223215,20.948089329223215,20.948089329223215,20.948089329223215,20.948089329223215,20.948089329223215,20.948069938663245,20.948069938663245,20.948069938663245,20.947841764800977,20.947841764800977,20.947841764800977,20.947841764800977,20.947841764800977,20.947841764800977,20.947841764800977,20.947841764800977,20.947841764800977,22.779987442447236,22.779987442447236,22.779987442447236,23.36690866681979,23.36690866681979,23.36690866681979,25.282220927540443,-70.65501512113501,-70.65501512113501,-70.65501512113501,-70.65501512113501,-70.65501512113501,-167.3506206261781,-167.3506206261781,-167.3506206261781,-167.3506206261781,-167.3506206261781,-267.3254875507005,-267.3254875507005	0.9968314678208231	25.282220927540443	7	true	376
26	14	14	100	113600	593604	4748832	0	0	-173.5276474313502	26.25522460824982	41.59049544200492	41.60856364095969	-Infinity,-Infinity,12.639617618623909,12.639468743238162,12.639468743238162,12.639422255553024,12.63941864667728,17.747069502873735,17.747068885718903,22.364561392859535,22.364561392859535,22.364515085049298,22.364515085049298,22.364515085049298,22.364515085049298,22.364515085049298,24.396567001893004,24.39653393086985,24.39653393086985,24.39653393086985,24.39654234398182,24.39654234398182,24.39654234398182,24.39654234398182,24.39654234398182,24.39652996236306,24.39652996236306,24.39652996236306,24.39626811983561,25.722306564611962,25.707636736233734,25.707512836785096,25.707512836785096,24.364183014263393,24.364183014263393,24.364183014263393,24.36427858585166,24.36427858585166,24.36427858585166,24.36427858585166,24.36427858585166,24.36427858585166,24.36427858585166,22.514301481449927,22.514301481449927,22.514301481449927,22.514301481449927,22.514301481449927,22.514301481449927,22.514301481449927,22.514301481449927,22.514301481449927,22.514301481449927,22.514301481449927,22.514301481449927,22.514301481449927,22.514301481449927,22.514301481449927,22.514301481449927,22.514301481449927,22.514301481449927,22.514301481449927,24.34762610914659,24.34762610914659,24.34762610914659,24.34762610914659,24.34762610914659,24.34762757794134,24.34762757794134,24.34762757794134,24.34762757794134,24.34762757794134,24.34762757794134,24.34762757794134,24.34762757794134,24.34762757794134,24.34762757794134,24.34762757794134,24.34762757794134,24.34762757794134,24.34762757794134,24.34762757794134,26.25522460824982,26.25522460824982,-69.09963690132106,-69.09963690132106,-69.09864701776418,-69.09864701776418,-69.09864701776418,-69.09864701776418,-69.09864701776418,-69.09864701776418,-69.09864701776418,-69.09864701776418,-165.80242072566762,-168.41999249729892,-173.5276474313502,-173.5276474313502,-173.5276474313502,-173.5276474313502	0.9962825977292168	26.25522460824982	7	true	361
27	14	14	100	114400	587268	4698144	0	0	-266.293627526575	27.139358721532837	42.90735988213678	42.67577924024906	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,23.77659643356332,23.776549965913468,23.776540993196015,23.776495059262686,23.776495059262686,23.77647043219882,25.80902417366218,25.80900250910905,25.808955813131263,25.808955813131263,25.808955813131263,25.808946964941214,25.808896263175626,25.808917960763594,25.808917960763594,25.808917960763594,25.808917960763594,25.808917960763594,27.139358721532837,26.38208917206301,25.78673472969348,25.78673472969348,25.78673472969348,25.78673472969348,25.78673472969348,25.786658896085374,23.942930642635602,23.942930642635602,23.942930642635602,23.942930642635602,23.942930642635602,23.942930642635602,23.942930642635602,23.942930642635602,23.942930642635602,23.942930642635602,23.942930642635602,23.942930642635602,23.942930642635602,23.942930642635602,23.942930642635602,23.942930642635602,23.942930642635602,23.942861645722445,23.942861645722445,23.942861645722445,23.942861645722445,23.942861645722445,23.942861645722445,23.942861645722445,23.942861645722445,23.94281097711189,23.94281097711189,23.94281097711189,23.94281097711189,23.94281097711189,23.94281097711189,23.942861645722445,23.942861645722445,23.942861645722445,23.942861645722445,25.774819769212485,25.774819769212485,25.774819769212485,25.774819769212485,25.774819769212485,25.774819769212485,25.774819769212485,25.774819769212485,25.774819769212485,25.774819769212485,25.774819769212485,25.774819769212485,25.774819769212485,26.360001596994955,26.360001596994955,26.360001596994955,26.360001596994955,26.360001596994955,-69.58985133500492,-69.58985133500492,-69.58985133500492,-69.58985133500492,-69.58985133500492,-69.58985133500492,-69.58985133500492,-69.58985133500492,-69.58977550139682,-166.30242998153946,-166.30242998153946,-266.293627526575,-266.293627526575,-266.293627526575,-266.293627526575	0.9962825977292168	27.139358721532837	8	true	348
28	14	14	100	114400	587268	4698144	0	0	-163.189144994167	28.914782645260484	44.459216443194556	44.2848200456297	24.93834258245719,24.93834258245719,24.938317849209177,24.93820006452536,24.938199346769558,26.971215047679635,26.971047774171623,26.971047774171623,28.310084439377608,28.309880519234607,28.309880519234607,28.309880519234607,28.309880519234607,26.969601808481354,26.969574496608157,26.969574496608157,26.969574496608157,26.969574496608157,26.969574496608157,26.969574496608157,26.969572698835375,26.969558492083156,26.969558492083156,26.969558492083156,26.969558492083156,26.969558492083156,26.969558492083156,26.969558492083156,26.969546799127837,26.969546799127837,26.969544325886776,26.969547882051398,26.969547882051398,26.969547882051398,26.969547882051398,26.969497405935268,26.96949840666927,26.96949840666927,26.96949840666927,26.96949840666927,26.96949840666927,26.96949840666927,26.96949840666927,26.96949840666927,26.96949840666927,26.96949840666927,26.969418641193943,26.969418641193943,26.969418641193943,26.969418641193943,26.969418641193943,26.969418641193943,26.969418641193943,26.969353074963013,26.969353074963013,26.969353074963013,26.969353074963013,26.969353074963013,26.969353074963013,26.969353074963013,26.969353074963013,26.969353074963013,26.969353074963013,26.969353074963013,26.969353074963013,26.969353074963013,26.969353074963013,26.969353074963013,26.969353074963013,28.914782645260484,28.914782645260484,28.914782645260484,28.914782645260484,28.914782645260484,28.914782645260484,28.914782645260484,28.914782645260484,28.914782645260484,28.914782645260484,28.914782645260484,28.914782645260484,28.914782645260484,-67.80723686504008,-67.80723686504008,-67.80723686504008,-67.80723686504008,-67.80723686504008,-67.80723686504008,-67.80723686504008,-67.80723686504008,-67.80723686504008,-67.80723686504008,-67.80723686504008,-67.80723686504008,-67.80723686504008,-67.80723686504008,-67.80723686504008,-67.80723686504008,-163.189144994167,-163.189144994167	0.9962825977292168	28.914782645260484	7	true	363
29	14	13	100	114400	587268	4698144	0	0	-775.8996567605564	15.787474091030326	42.992836154385586	42.96212501900745	15.787474091030326,15.787474091030326,15.78745922126236,15.787349639688252,15.787349639688252,15.787327907720957,15.78721179213867,14.869365595874868,14.869354249633574,12.983123336131932,12.983119161890194,12.983105638799678,12.98295341705569,12.98295341705569,12.98295341705569,12.982952209848456,12.982952209848456,12.982948802641893,12.98293243942755,12.98285409592335,12.98285409592335,12.98285409592335,12.982793965246223,12.98278646482914,12.98278646482914,12.98278646482914,12.98278646482914,12.98278646482914,12.983224217214548,12.983159563866245,12.983159563866245,12.983159563866245,12.983159563866245,12.983159563866245,12.983201655234573,12.983201655234573,12.983201655234573,12.983201655234573,12.983201655234573,12.983201655234573,12.983201655234573,12.983201655234573,12.983201655234573,12.983201655234573,12.983201655234573,12.983201655234573,12.983201655234573,12.983201655234573,12.983201655234573,12.983201655234573,12.983201655234573,12.983201655234573,12.983201655234573,12.983201655234573,12.983201655234573,12.983201655234573,12.983201655234573,12.983201655234573,12.983201655234573,12.983201655234573,12.982989809787789,12.982989809787789,12.982989809787789,12.982989809787789,12.982989809787789,12.982989809787789,12.982989809787789,12.982989809787789,12.982989809787789,12.982986118954777,14.941364365836442,14.941364365836442,14.941364365836442,14.941364365836442,14.941364365836442,14.941478820624617,-369.1555270207014,-570.4960289396549,-570.4960289396549,-570.4960289396549,-570.4960289396549,-570.4960289396549,-673.6200096835252,-775.8995839788772,-775.8995839788772,-775.8995839788772,-775.8996567605564,-775.8996567605564,-775.8996567605564,-775.8996567605564,-775.8996567605564,-775.8996567605564,-775.8996567605564,-775.8996567605564,-775.8996567605564,-775.8996567605564,-775.8996567605564,-775.8996567605564,-775.8996567605564,-775.8996567605564	0.9962914805418883	15.787474091030326	10	true	349
30	14	13	100	114400	580140	4641120	0	0	24.488243620837515	24.488243620837515	45.45565218772141	45.45565218772141	16.130869563357038,16.130869563357038,16.130795305040103,16.130687980440968,16.130679455501962,16.130679455501962,16.13066702246354,16.13066702246354,16.13066702246354,16.13066702246354,15.212434074274142,13.32641442757555,13.32641442757555,10.336060871354519,10.336060871354519,10.336048187760937,10.336048187760937,10.336048187760937,10.33603340402275,10.33603340402275,10.33603340402275,10.33603817816747,10.335888628713974,10.33589563979853,10.33589563979853,10.335880665634242,10.335880665634242,10.335868788557605,10.335868788557605,10.335868788557605,10.335868788557605,10.335868788557605,10.335868788557605,10.335868788557605,10.335868788557605,10.335868788557605,10.335868788557605,10.335868788557605,10.335868788557605,10.335868788557605,10.335868788557605,10.335868788557605,10.335868788557605,10.335868788557605,10.335865671217988,10.335865671217988,10.335865671217988,10.335865671217988,10.335865671217988,10.335865671217988,10.335865671217988,10.335865671217988,10.335865671217988,10.335865671217988,10.335842430995534,10.335842430995534,10.335842430995534,10.335842430995534,12.310930105320253,12.310930105320253,12.310930105320253,12.310930105320253,12.310930105320253,12.310930105320253,12.310930105320253,12.310930105320253,12.310930105320253,12.310911805133301,12.310911805133301,12.311033623574147,12.311033623574147,12.311033623574147,12.311051923761099,12.311051923761099,12.311051923761099,12.311051923761099,12.311051923761099,12.311051923761099,-671.9675356108372,-671.9675356108372,-671.9675356108372,-775.5119975277013,-775.5119975277013,-775.5119975277013,-775.5119975277013,-775.5119975277013,-775.5119975277013,-775.5119975277013,-775.511920182328,-775.5118116784262,-775.5118116784262,-775.5118116784262,-775.5118116784262,-775.5118116784262,-775.5117690627561,-775.5117690627561,-775.5117690627561,-775.5117690627561,-775.5117690627561,24.488243620837515	0.9961225974367784	24.488243620837515	7	true	342
31	14	13	100	112000	578160	4625280	0	0	-881.2495280083037	16.29196216974895	40.0308923087927	39.319246792547226	16.29196216974895,16.29196216974895,16.291935681680194,16.291814266195566,16.291806858842726,16.291773554717658,16.291766706352924,16.291760895540598,16.29175286474065,16.291723636106617,10.497459422404042,10.497459422404042,10.497409428323685,10.497406928705395,10.497405832281778,10.497405832281778,10.497402714417866,10.497402714417866,10.49739246389796,10.497387408012166,10.497237690581905,10.497215060368667,10.497215060368667,10.497215060368667,10.497215060368667,10.497215060368667,10.497215060368667,10.497214765461187,10.497214765461187,10.497214765461187,10.497214765461187,10.497214765461187,10.497214765461187,10.497214765461187,10.497214765461187,10.49720319537267,10.49720319537267,12.49193829007934,12.49193829007934,12.49193829007934,12.49193829007934,12.49193829007934,12.49193829007934,12.49193829007934,12.49193829007934,12.49193829007934,12.49193829007934,12.49193829007934,12.49193829007934,12.49193829007934,12.49193829007934,12.49193829007934,12.49193829007934,12.49193829007934,12.49193829007934,12.49193829007934,12.49193829007934,12.49193829007934,12.49193829007934,12.49193829007934,12.49193829007934,12.49193829007934,12.49193829007934,12.49193829007934,12.49193829007934,12.49193829007934,12.49193829007934,12.49193829007934,12.49193829007934,12.49193829007934,12.49193829007934,12.49193829007934,12.49193829007934,12.49193829007934,12.49193829007934,12.49193829007934,12.49193829007934,12.49193829007934,12.49193829007934,12.49193829007934,-469.3700798343858,-775.3220607435543,-775.3219110261242,-775.3219110261242,-775.3219110261242,-775.3219110261242,-775.3219110261242,-881.2495280083037,-881.2495280083037,-881.2495280083037,-881.2495280083037,-881.2495280083037,-881.2495280083037,-881.2495280083037,-881.2495280083037,-881.2495280083037,-881.2495280083037,-881.2495280083037,-881.2495280083037,-881.2495280083037	0.9959126998632849	16.29196216974895	10	true	335
32	14	13	100	111800	576180	4609440	0	0	12.891466194604327	25.086706179077048	46.15903766604349	46.1423176673866	18.6933369582716,18.6933369582716,18.69318560779935,18.693074000769187,18.693072602031684,18.693072602031684,18.693051013363466,18.693051013363466,18.693051013363466,17.775091757099183,17.775059316330427,17.775056578474718,17.775056578474718,15.888912309706434,12.898633711835103,12.898633711835103,12.898633438484183,12.898635801118587,12.898635801118587,12.898635801118587,12.898635801118587,12.898632476253972,12.898632476253972,12.898632476253972,12.898632476253972,12.898632476253972,12.898632476253972,12.898628349779472,12.898628349779472,12.898628349779472,12.898604597865145,12.898604597865145,12.898604597865145,12.898604597865145,12.898604597865145,12.898604597865145,12.898604597865145,12.898604597865145,12.898716204895308,12.898716204895308,12.898716204895308,12.898716204895308,12.898716204895308,12.898716204895308,12.898716204895308,12.898716204895308,12.898787811080624,12.898787811080624,12.898787811080624,12.898787811080624,12.898787811080624,12.898787811080624,12.898787811080624,12.898787811080624,12.898787811080624,12.898787811080624,12.898787811080624,12.898787811080624,12.898787811080624,12.898787811080624,12.898787811080624,12.898787811080624,12.898787811080624,12.898787811080624,12.898787811080624,12.898787811080624,12.898787811080624,12.898787811080624,12.898787811080624,12.898787811080624,12.898787811080624,12.898792539421699,12.898792539421699,12.898792539421699,12.898792539421699,12.898792539421699,12.898792539421699,12.898792539421699,12.898792539421699,12.898792539421699,12.898792539421699,19.16738403904347,25.086706179077048,19.168422248244333,19.168422248244333,19.168422248244333,19.168422248244333,19.168422248244333,19.168422248244333,19.168422248244333,12.891392227336212,12.891392227336212,12.891392227336212,12.891392227336212,12.891392227336212,12.891392227336212,12.891392227336212,12.891434955123387,12.891466194604327,12.891466194604327	0.9959126998632849	25.086706179077048	7	true	472
33	15	15	100	111600	574200	4593600	0	0	-880.5493023186317	18.057667591031453	41.36922531818569	40.938852424385615	13.183407905554127,13.183407905554127,13.183331606668283,13.183040288979903,13.183039940192607,13.183039074722721,13.183037034454038,13.18303210153963,13.183000466922763,13.182995479678738,13.182964245523287,13.182964245523287,16.17237519480495,18.057667591031453,18.056735055881674,16.170769179232277,16.170769179232277,16.170769179232277,16.170769179232277,16.17065301838176,16.17065301838176,13.180196286273798,13.180196286273798,13.180196286273798,13.180196286273798,13.180160508251888,13.180160508251888,13.180160508251888,13.180160508251888,13.180160508251888,13.180160508251888,13.180160508251888,13.180160508251888,13.180160508251888,13.180160508251888,13.180160508251888,13.180160508251888,13.180272529591953,13.180272529591953,13.180272529591953,13.180272529591953,13.180200960818098,13.18032060716115,13.18032060716115,13.18032060716115,13.18032060716115,13.18032060716115,13.18032060716115,13.18032060716115,13.18032060716115,13.18032060716115,13.18032060716115,13.18032060716115,13.18032060716115,13.18032060716115,13.18032060716115,13.18032060716115,13.18032060716115,13.18032060716115,13.180317256147788,13.180317256147788,13.180317256147788,13.180317256147788,13.180317256147788,13.180317256147788,13.180344838252935,13.180348189266297,13.180348189266297,13.180348189266297,13.180348189266297,13.180413526495698,13.180413526495698,13.180413526495698,13.180419758040152,13.180419758040152,13.180455536062063,13.180455536062063,13.180455536062063,13.180473272997205,13.180479884989154,13.180479884989154,13.180485903946654,13.180501595260829,-274.6310581249269,-774.6302436809117,-774.6302322727884,-880.5493813438344,-880.5493354896042,-880.5493354896042,-880.5493354896042,-880.5493354896042,-880.5493354896042,-880.549321892531,-880.549321892531,-880.5493023186317,-880.5493023186317,-880.5493023186317,-880.5493023186317,-880.5493023186317,-880.5493023186317	0.9957260876876175	18.057667591031453	9	true	336
