# solver: Greedy
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 4b7154a0-b293-4b33-9901-48e9dbedb386
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	12	12	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9977623354120823	-Infinity	8	true	8
25	14	14	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9968314678208231	-Infinity	7	true	3
26	14	14	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9962825977292168	-Infinity	8	true	2
27	14	14	1	0	0	0	0	0	-Infinity	-Infinity	-21.60230150311932	-21.60230150311932	-Infinity	0.9962825977292168	-Infinity	7	true	8
28	14	14	1	0	0	0	0	0	-71.02855369627312	-71.02855369627312	43.60254054217764	43.60254054217764	-71.02855369627312	0.9962825977292168	-71.02855369627312	7	true	10
29	14	13	1	0	0	0	0	0	-371.1129654106041	-371.1129654106041	42.96211525455694	42.96211525455694	-371.1129654106041	0.9962914805418883	-371.1129654106041	8	true	10
30	14	13	1	0	0	0	0	0	-79.25106993663879	-79.25106993663879	40.776815990099934	40.776815990099934	-79.25106993663879	0.9961225974367784	-79.25106993663879	9	true	9
31	14	13	1	0	0	0	0	0	-370.60916893556157	-370.60916893556157	39.319237625238266	39.319237625238266	-370.60916893556157	0.9959126998632849	-370.60916893556157	8	true	10
32	14	13	1	0	0	0	0	0	-621.5793431719361	-621.5793431719361	40.481231258113056	40.481231258113056	-621.5793431719361	0.9959126998632849	-621.5793431719361	7	true	9
33	15	15	1	0	0	0	0	0	-369.2638886950369	-369.2638886950369	41.18528873238726	41.18528873238726	-369.2638886950369	0.9957260876876175	-369.2638886950369	7	true	8
34	15	14	1	0	0	0	0	0	-Infinity	-Infinity	32.27959357045175	32.27959357045175	-Infinity	0.9957467045861633	-Infinity	7	true	9
35	15	13	1	0	0	0	0	0	-Infinity	-Infinity	19.497470183394213	19.497470183394213	-Infinity	0.9953213165571241	-Infinity	9	true	8
36	15	13	1	0	0	0	0	0	-4.756115153366444	-4.756115153366444	33.79377482011475	33.79377482011475	-4.756115153366444	0.9948050167786461	-4.756115153366444	11	true	9
37	15	12	1	0	0	0	0	0	-152.15822903140403	-152.15822903140403	24.023150055756055	24.023150055756055	-152.15822903140403	0.9946092659068145	-152.15822903140403	16	true	10
38	16	13	1	0	0	0	0	0	-101.18863591387229	-101.18863591387229	24.20562977647957	24.20562977647957	-101.18863591387229	0.9943892792127561	-101.18863591387229	16	true	9
39	16	13	1	0	0	0	0	0	-31.967956859437628	-31.967956859437628	29.637556712026466	29.637556712026466	-31.967956859437628	0.9943892792127561	-31.967956859437628	14	true	10
