# solver: Random
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 4b912b32-d0e9-4078-8790-72afd9b1a915
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	100	0	0	0	0	0	-243.12109560456278	6.986866405155581	4.934535019873557	8.989067623705909	6.986866405155581,-93.20851627705709,3.893027119407349,-243.09893828085686,-94.12722456259306,-193.22472925987495,-192.2281200646286,-192.12254058633224,-294.1291198677691,-242.29354047508818,-242.12068988589212,-292.15520500884605,-192.1250653436142,-496.5187770025079,-192.17747417568495,-293.14940035438224,-192.2281354277659,-243.0983491071946,-391.2833363960106,-342.102797770925,-442.20382037994074,-196.16316778559906,-292.15379534597105,-342.05136908623655,-192.26897743278306,-342.1319810895005,-243.21786671892664,-394.2353680345009,-392.2106800352744,-196.11448479701585,-193.04145801639118,-242.24120625324775,-146.40424907340665,-243.1877649123574,-292.05489449657034,-392.25864020540433,-196.24484370619194,-446.38955290643145,-192.12049889122375,-292.1329143752161,-293.1504710783623,-291.32858076917233,-243.22400388842436,-446.5642281426737,-341.03880297296706,-391.1144510910206,-193.20210305878888,-242.03094893123915,-193.24404247068685,-291.1592578154326,-192.26862955842486,-447.48527078332353,-442.10553284774653,-143.16671117269368,-391.282421174473,-393.09131574349595,-100.46145283582239,-392.155079554921,-443.08819124254126,-193.10448256094253,-441.23441688457973,-192.05695871055576,-193.05621950929645,-292.2004227233138,-293.03394169519515,-392.1561524694796,-341.15713086866106,-393.13764636461843,-241.97760934242444,-193.2013336369929,-146.1844344813769,-292.22367937762056,-293.22484385997785,-246.0596548372385,-393.0881491375718,-292.15696498158957,-146.1422674820673,-92.99740250645284,-294.1981808587568,-192.20261954984042,-193.09924521816973,-342.2231676098884,-441.11384652100213,-391.16284104387,-192.09592512019032,-293.2784690854389,-394.23413531081945,3.8274672921140107,-294.15762990781155,-94.04567618700463,-444.23316766339116,-292.0782910528149,-342.10345901826,-391.23411503740095,-293.17426253797436,-292.17500631711954,-45.06558440413768,-93.0212937558663,-442.21033714057336,-243.12109560456278	0.9991239280309399	6.986866405155581	1	true	7
25	6	6	100	0	0	0	0	0	-141.32470351236987	9.631617430153593	9.905351646358486	9.724418666232712	8.802194872011093,-91.19821984314645,-445.3014465509652,-143.25663006882382,-91.29685063824499,-142.36038932601872,-143.31700055694185,-191.21401451456904,-395.24889581056794,-93.24681820049908,-141.18597503100926,-242.31913980825416,-192.1496392234082,-241.32695522254616,-91.13743865458888,-241.42266865685176,-191.16470004228327,-140.33726829987086,-192.33421162637572,-292.43071473632017,-241.36116262877826,-242.20506592117172,-292.1807289139882,-93.20043549231758,-241.50593769403196,-192.31226865198602,-243.3455558079472,-495.3944480765338,-244.26004742336033,-43.14485786479163,-243.11782610600773,-143.34460659778864,-91.2903504052835,-143.34385364826807,8.76819206608133,-91.2833357644621,-191.15965790695884,-240.2805289740318,-292.37364691586936,-342.1729776582035,-91.38343868444302,-42.239623024298304,-150.60423453495946,-92.21392604989684,-342.23540014254644,-393.2983495690552,-92.17585028387248,-141.1134682125233,-242.29486680276517,-141.18273889075394,-91.1627713051837,7.7597616311897895,-144.14521753799403,-92.33267703893745,-190.49915090861816,-91.294809202641,-92.27330491397821,-192.32218542951534,-93.36757960719423,-293.32759900228325,-92.31005493162394,-291.3252712498719,-244.31968305240844,-241.2656924348621,-293.2749226011722,-146.30008846464006,-91.32784792347458,-193.3437304478955,-242.20155342250285,4.692630287740083,-193.43808648184074,-192.46507526624714,-143.3367785014838,-41.285333170455694,-142.20365629792087,-346.2469981240466,-142.2041608970986,8.809478592231903,-342.46379903538417,-145.31459411190184,-191.41419687495977,-240.13516629924422,-241.32529924066466,-92.35870278969118,-93.2209037395116,-192.30407764680072,-291.3810637968394,-243.3747764937379,-93.22079417884575,-292.2325973455429,-442.37731713974057,9.631617430153593,-146.35413351909733,-142.32880644881473,-42.15710037234354,-91.31652163708621,-242.39947286083867,-142.27231734780983,-242.31959750868168,-141.32470351236987	0.9990443117099597	9.631617430153593	0	true	4
26	6	6	100	0	0	0	0	0	-291.53726014070304	9.440981603048773	10.542945478700677	10.542945478700677	-91.50625780950057,-44.55805662803202,-140.692559245342,-141.75712603525963,-292.5725838123189,-240.55593120149325,-392.68274611644244,-95.62493748817444,-89.44440254358298,-140.6290318226139,-91.66635502483241,-142.59222386887387,-341.7569902374338,-90.5313217569213,-190.62849435983128,-93.4941922162034,-140.59591819969197,-193.60738439851787,-292.6570084263554,-91.71348153176953,-141.6574823116903,-42.66973030140852,-92.59259660189932,-189.58812294099582,-92.67977820784856,-340.5321399819596,-92.68201920105332,-141.55116347639998,-241.78711345053728,-41.5848582663745,8.316878497697584,-142.62557940287073,-141.60231558715228,5.350874227205358,-90.65063067988626,-142.57143690473274,-241.5353313739784,-89.66283732953963,-92.65934429658637,-190.64881044765173,-140.48311094935084,-240.61614429415053,-89.62732220748295,-89.67517957069212,-193.6536075248336,-340.6479077243437,-291.58516718903536,-242.61571885480893,-290.8436198679068,-442.6424535229681,-141.70189940462615,-341.61534695751465,-193.6942571791402,-190.60261106222035,-141.55385361348914,-341.67847204220584,-242.79890493743207,-89.66557822361216,-243.65755918379188,-191.724741441889,-294.6430448813825,-92.60534581289315,-190.72786280180776,-189.5905337752754,-141.59428926498438,-91.55596629195489,-141.54160865096713,-141.69727288988202,-242.56191236622723,-241.60533089772642,-40.54145620468868,-294.6049635095406,-94.65362619279276,-140.52204372843332,-141.73946446490572,-191.58725548859283,-191.59071020814625,7.4484878923830635,-142.5917081035586,-242.51068950712607,-190.75930991314922,8.38293701046631,-139.77418461760513,-142.59032730156304,-291.7622878337377,-141.61595128927243,-191.65046347732084,-92.53909042066103,9.440981603048773,-140.5900927157186,-343.6905747467813,-242.68061651323438,-191.5885525212731,-140.64353802485513,-141.7332742925498,-91.69538532457523,-91.6644142287473,-192.6290389902206,-340.7355822582959,-291.53726014070304	0.9990443117099597	9.440981603048773	0	true	4
27	6	6	100	0	0	0	0	0	-90.10645744755774	10.994230875060548	10.965226632057794	11.05265510782179	-91.15476231625547,9.834695418010803,8.880758557455453,-241.2668909399507,-192.1250114856538,-140.13748395411776,10.993249310370961,-195.12620969511363,-392.22470018602263,-291.2179654383459,-340.109257766561,-190.14780479706948,-242.06503413826766,-241.14185369797187,-92.0675764860285,-342.2000352270338,-341.08774314433094,-292.13746578347735,-192.22583291401963,-242.05024336569954,-290.0621194259305,-40.16323904923186,-240.14940316017126,-191.0749758466594,9.982441867275067,-94.12173598704753,-192.04817917119678,-141.18394349867236,-341.21350158454754,-189.1804009463695,-91.13117105235665,-191.15074616878672,-243.10530782413846,-95.05427259980782,-241.07417755200817,-91.06894653163224,-41.06781906720782,-190.14928713111158,-341.34167433528023,8.946237226532219,-140.09395604761508,-140.08407481244652,5.919531696267844,-90.06071032832409,-140.00296077038377,-292.0699761643249,-90.9937857751345,-142.1493096863024,-42.18385529630008,-91.17203245399023,-90.208822393937,-192.1536553853175,-291.1447683946925,-94.0709775213661,-92.06005783206642,-341.04411689708377,10.994230875060548,-191.26095985693343,9.787805156879733,-191.0140356021155,-91.037003762798,-191.2757015890906,-141.07754256968994,-41.06011546753332,-341.1328262820067,-341.09335949035994,8.844050847982396,8.847104524024077,-140.1981776228614,-194.10544490414415,-290.0994734326475,-92.04358247368764,-290.00849467127495,-239.1381472964688,-191.06042512463063,-91.05185737820533,-240.14484034735798,9.974728638798263,-242.0982034499963,-545.445130066806,-189.12075541072176,-241.24515036785357,5.959688924680716,-292.0719057176687,-240.1146762553541,-241.14907501814542,7.909182564482382,9.937530942877482,-141.04362867581006,8.931981699054575,-140.12190324476998,-240.10550033694997,-191.08325816435703,-342.1170888388204,-292.0664459208124,10.022213958082805,-192.07896512550917,-140.0852570701388,5.575064926236021,-90.10645744755774	0.9990443117099597	10.994230875060548	0	true	1
28	6	6	100	0	0	0	0	0	-89.55054555904245	11.444909538029583	11.486801972793094	11.484340121500288	6.46676937136006,-90.68969492058436,-43.5416584857956,-140.4434981975818,-290.58267432304837,-341.7049935275835,-240.636125587557,-91.63579480198965,-91.54469662784028,-140.52701796546856,-139.66780212339125,-238.5854356208069,-190.49546760244306,-191.56571779758394,-90.72682071146221,-88.59821030526561,-90.52806581492639,-239.61055919370366,-239.4758467465471,-91.54669038193538,-140.6159230970409,-88.61135314004676,-340.5855866667245,-289.55950568955717,-242.57696307800867,-289.5378955514672,-89.60313040950366,-38.51321378352641,-88.56860109474086,-89.59905131161656,-189.6843951671066,-191.64955469853936,-89.57322410512127,-90.56434116483874,-41.67114962622183,-190.6361550561134,-40.520187650331906,-390.54247193850983,-190.65171123163458,-190.56356671991767,-89.68055924853537,-140.62679819715828,-290.58532784859403,-241.62753458196275,-191.68602441026056,-189.59251707913438,-190.6298336473138,11.444909538029583,-291.5664991826458,-192.61783808403612,-240.65647572010278,-141.60104661063895,-290.5270312707836,-89.50875359929995,10.406265359096961,-89.65995881783384,-90.61252550807188,-140.65836479188107,-143.6066435059649,-190.60662436262382,-190.71810952695972,-90.56776402726246,-90.53609988149219,-240.59837698341946,-141.62322110722118,-240.71804117665644,-142.5483946735112,-339.5433798817798,-94.62945538604872,-90.5234457607418,-139.46144147446066,-190.56243678913958,-141.56938078742297,-90.64002084014568,-192.5618588234221,-90.57809643971858,-188.45432932720195,-390.6735639632238,-189.67262269648216,-240.5572419647023,-189.51904048637374,-90.6689908243165,9.33158328852604,10.433299885651277,-90.56392901395708,-239.49243074275756,-290.4705914639337,-191.5803344066442,-40.61126621770386,-240.51673266779994,-239.64222910285872,-192.68497574000065,-340.47694672762026,-190.67676529126777,-291.60505652509914,-190.55026997539127,-189.47006889805445,-191.57385663163552,-339.616966410488,-89.55054555904245	0.9990443117099597	11.444909538029583	0	true	1
29	6	6	100	0	0	0	0	0	-240.95695849702014	12.130236076810652	12.202130114032743	12.202130114032743	8.083250343674514,-88.8730302170074,7.129317029995782,-239.988396539997,-89.88975256070945,-139.96975536166082,-188.80683711086942,-139.0034048330735,-189.91110842098573,-238.88389355136107,-190.8682158352136,10.089649438238983,-138.88864776640526,-239.79798467674806,-138.85146677736955,-239.05081065837285,10.038945914556056,-188.84887923396246,-237.8869847351682,-139.86347630963198,-289.8053760363098,-91.01220038810494,-293.9551715077228,-290.8288484665817,-188.8568402117758,-238.8149913462992,-192.97640217994115,-187.91327804459723,11.122245630112477,-139.94372988663488,-492.9151403392141,-187.87321384362414,-38.868760597320666,-188.84268922076353,-339.0129016027429,-139.82468169224524,10.062399355149191,-238.95077957316397,10.062881929360849,-90.8924865936096,-89.88844082414212,-188.76846078782245,-191.0059480817812,-89.96747824451045,-189.79442850785549,-88.97651540499632,-191.90886787511005,10.129189954861909,-338.99757863101934,-238.77504332739494,-89.93305002561003,-188.06703102215766,-339.97746241947215,-141.97227105013198,-38.827065170663985,-88.00066932658665,-190.905757400158,10.038926366970543,-238.8956693747797,-188.84520879261402,7.0426491369348305,-240.81359856754312,-189.91253379319772,-189.8745767805792,-189.90586562250888,-189.99253686837457,-189.9262012925492,-392.88936916696736,-191.92102856880487,-292.9525460449452,-140.94869850613017,-290.9943841228582,-291.0300740933949,-88.83116031127967,-190.88879169441117,-190.94877836869594,-89.95374935734326,-191.9967518694391,-190.9587098501196,-189.94032204424678,-93.90953032029554,-340.0602326088649,-292.9168420556523,-339.8873363357595,10.158398121167838,12.130236076810652,11.125448776627291,-37.970108251132686,-139.92799974788022,-289.97785191558467,-190.97778066620165,-189.93264688837758,-139.85253814902075,-187.89040940963886,-189.98943866704167,-138.0142887770381,-240.85519355828745,-140.92677345587902,-188.95706760682424,-240.95695849702014	0.9990443117099597	12.130236076810652	0	true	1
30	6	6	100	0	0	0	0	0	-88.17788490939678	10.775882818336623	12.842694160634412	12.885804901863644	10.767098344510229,-94.21777556630465,-144.1536853559586,-144.21100841743484,-195.18238058884896,-341.27535235015773,-290.31321628911155,-239.3445792137368,-290.19763386961847,-92.19876996925905,-188.215288908678,10.734652472728087,-139.24067740547505,-240.1674619008028,-140.27331164673976,-140.21368354947575,-194.17127056071388,-88.22058974423011,-142.18977704647222,-191.21472009436306,-41.278239332580405,-45.27607443189827,-90.20792786524753,-191.25665988904032,-290.20597932848244,-340.12328381378404,-240.1749788541294,-492.2383324852417,-289.23482792069865,-189.07717575427836,-339.2925771988117,-291.23636144605894,-440.2659688706906,-188.2438615731066,-239.1785236636202,-139.10858818337144,-288.10498188962043,-43.209559998924725,-244.2198509127352,-243.11562941443455,4.72983849193624,-245.18862756447075,-291.26325704176566,-189.2002838926225,-188.20664389365197,-137.215028243634,-194.1305018381661,-188.12808308210433,-188.16338260763757,-139.2443265974978,-90.23202014731586,-338.1753584785698,10.7356049154969,-190.29407312586295,-240.27235797255267,-189.21847155018943,-138.19677502714018,-140.28290717212772,8.761562267474314,-190.30636975299538,-139.1711092346172,-244.2399590234561,-188.16774474323603,-140.25943574718795,-342.21147696910475,-90.21816941350878,-442.286140426769,-290.22370846333683,-137.1671074320404,-189.18585472368216,-390.222159020777,-94.25011600021824,-295.22638722786587,-188.25341042937893,-94.1439063654089,-241.12232166454734,-94.21374210325,-338.3499354304974,-189.15434399311965,-290.1641881017327,10.775882818336623,-243.21395965268107,-187.2710640228235,-291.25341947633405,-189.20156844092148,-440.17869565540207,-143.30227481779752,-240.24705833054912,-338.24437828043153,-43.23161705300036,-87.30381977494035,-188.20832886755605,-4.531152579364179,-89.26595088373791,-188.21316460041515,-137.23903746179994,-244.22704351765518,-89.18551507946938,-93.17880882067783,-88.17788490939678	0.99887542860485	10.775882818336623	1	true	0
31	6	6	100	0	0	0	0	0	-188.7311853082581	11.395278587607377	13.461068427542516	13.419922653623054	-189.69805615408484,-90.62072171842159,-291.58878592847356,-38.60524150511302,-388.57663967838755,-92.6665993556342,-188.59776800018383,9.344972564023044,-88.56235614172927,-186.66903278768922,-339.5477315756127,-340.64988831732563,-243.60476902411799,-236.59186942481665,11.395278587607377,-187.6387959159374,-294.6322323907495,-290.5519636185894,-89.57868831600047,-90.6441154376274,11.371721359357187,-287.64788544310125,-190.62589340616572,-38.63525204282333,-438.6388993596016,-190.65569622746074,-238.58416692764487,-93.65557818327687,-238.71062277386994,-93.57176834417375,-343.6122148170815,11.327209455890834,-97.85258648548253,-238.59057573148309,-86.60479128960132,-89.62840220997394,-288.6218285857391,-137.64279233854492,7.348192799781842,-287.64150857625145,-290.653746697639,-147.84829915129353,-236.64474946248524,-86.58703552308667,-98.86565232682796,-237.61232708792213,-93.58347227600993,-237.63612324710607,-138.6579470352173,-390.5906712333763,-288.5404257861313,-240.57857725194248,-87.66701623373231,-194.62599365978735,-138.58885719012545,-88.58401616804154,-388.60386095784816,-187.59584019794394,-239.5631764786225,-142.69826524992004,-89.62137410996407,-91.61134918686582,-188.667128161314,-288.6654373510089,-187.6035197631134,-89.66537139189674,-98.89246247090153,-238.62955795062481,-43.884428382845925,-89.61913587685463,-389.6114972316624,-89.64543351626601,-43.880069153320406,-288.61343107792436,-238.61576218074003,-92.57121053037004,-338.6813563763656,-88.60179122250698,-338.5707135390461,-343.5893759659674,-239.66268208912288,-86.59505689880046,11.385893131846784,7.347646593302127,-89.63129747246602,-289.60677852477176,-88.67229105869036,-42.59737906310798,-136.60318463011737,7.366541803140617,-139.67278462547085,-187.666650628713,-188.58973130007513,-92.64932687200044,2.05127330507998,-189.6233850414722,-194.6174390499115,-441.62132614825543,-338.632142852056,-188.7311853082581	0.99887542860485	11.395278587607377	1	true	1
32	7	7	100	0	0	0	0	0	-87.11284796852944	10.901377229121525	12.866996940505278	12.883509032489364	-288.1099516030757,-138.19872364979162,-187.13345448233733,-40.134761623076756,-90.16347295878477,-338.0832293711205,-88.20195226455023,-190.11922775732612,-238.09356200333485,-140.1715034857267,-187.18727299265163,-239.07566805479158,-39.14335201193062,-340.07764462927616,-138.10408728927993,-139.17006157278965,-290.1304118367356,-194.1416193659848,-141.16136067022342,-241.1739216645077,-89.17217909708339,-187.14995401967883,-98.40300367922734,10.885578642963527,-138.22326218838134,-343.15498949202254,-140.1369519913564,-445.4052274310513,-92.08567176869782,-342.0911682831718,-186.09533778036342,-294.1434225464498,-39.11435963087472,-140.11279677933024,-43.18623758795313,-237.11634550983163,-291.14856834075056,-43.15552880375774,-188.17438773354698,-48.44539539688566,-88.12668203160092,-192.17939766994817,-142.17864908627067,-238.09303659746143,-339.10327744461785,-143.17718809172356,-39.09107196337882,-41.14007406440957,-189.14710422232832,9.859018287537468,-244.11170719481703,-240.1374749811996,-190.12290008168944,-186.07071158554703,-340.1385789138835,-188.10652559973792,-289.0831332763855,-90.16512319227981,-239.10622359894327,-189.11546662799856,10.901377229121525,-243.1500363369114,-339.1474836949962,-41.1619693977581,-395.4118589574927,-143.11148846384808,-393.12379152355834,-94.10305224152061,-136.1820038306238,-193.1269172281079,-90.15073395754777,-137.13049581741967,-344.14226384924206,-338.17464162786325,-39.14540383517543,-190.06708141830595,-442.15033869570027,-90.18070813861075,-194.11345408170436,-290.0661811742397,-247.40019607741897,-192.15655168928959,-188.1390236050845,-139.16534932190126,7.817264988349979,-189.1451074771193,-92.15021320119376,-339.14721737214717,-188.22452473128556,-95.1006447388163,-339.1752067511321,-242.11267694002572,-243.1055466690044,-491.1232321759627,-93.10542192265717,-189.14462580151093,-94.09625754664768,-390.15838824936657,-188.13370304640443,-87.11284796852944	0.9987036576717526	10.901377229121525	0	true	1
33	7	7	100	0	0	0	0	0	-143.7545379397796	13.280351265244663	14.327645114203694	14.31531704197874	-341.72942688978844,-140.74276818289195,-238.71544549686485,-136.75046164843587,-243.80383024707228,-140.70214178198904,-41.79576301453031,-239.82352374329497,-40.80989086734542,-47.00056383962931,-88.82269687818803,-338.7316147588653,13.280351265244663,-138.70007524042694,-338.73208915302064,-341.7587196034682,-139.72905088000772,-138.76989175378145,-39.76184166502861,-239.71236453529536,-142.74408690017125,-189.7285818908015,-240.74998770286217,-239.76667824076904,-140.75202706436056,-89.73030999748254,-441.7454287033216,-138.79818420591755,-143.79941530394666,-37.74231587225105,-237.7479142508549,-36.77010903805359,-339.7577719493561,-342.7369241573937,-240.77349422369275,-240.75924312459603,-339.726392417782,-237.78892912987237,-87.74122892260027,-240.74836709048822,-338.7508975434963,-340.7319220612505,-237.73053725546208,-240.74684822510673,-240.78079475015588,-139.77923132800288,-36.81187431809556,-38.76099039132939,-237.72317040188952,-140.75076864653673,-341.70834346802746,-139.73753047821725,-42.78685446250236,-241.74581797731338,-339.7119159440932,-40.78136652948541,-242.80115095629728,-340.8126307560145,-136.7366668479267,-136.7148964604636,-238.70864484544967,-140.75844376539678,-138.8118512454796,7.170784424785399,-341.7094525828424,-93.749966143844,-237.77905836672468,-138.75252273423482,-138.78184852932444,-238.8087005212736,-241.74011704006315,-138.7898627376171,-239.74691782877565,-190.7572370432097,-240.7514382076409,-340.7466720248998,-138.7443623221573,-237.8025545788156,-139.7694826105861,-136.75317146921657,-244.73014922648775,-188.75852850150352,-240.72387239452996,-140.78526220050247,-38.73008585107755,2.9562062254396473,-244.75692035403176,-139.80982035002552,-239.74430485872514,-241.72607679292625,-445.0267655694758,-243.77223252988728,-88.73524700431284,-139.77293339660213,-238.75447656424453,-189.7516974327474,10.25565911617785,-239.730371899144,-47.067204306847046,-143.7545379397796	0.9986204224270916	13.280351265244663	0	true	1
