# solver: Closest
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 512c2599-57a2-4cce-ae6c-754f349c70f4
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	1	0	0	0	0	0	1.6286229511308905	1.6286229511308905	1.6286229511308905	1.6286229511308905	1.6286229511308905	0.9991239280309399	1.6286229511308905	0	true	10
25	6	6	1	0	0	0	0	0	1.829444302922905	1.829444302922905	1.829444302922905	1.829444302922905	1.829444302922905	0.9990443117099597	1.829444302922905	0	true	14
26	6	6	1	0	0	0	0	0	2.023388742036944	2.023388742036944	2.023388742036944	2.023388742036944	2.023388742036944	0.9990443117099597	2.023388742036944	0	true	3
27	6	6	1	0	0	0	0	0	2.183026954677268	2.183026954677268	2.18302755930594	2.18302755930594	2.183026954677268	0.9990443117099597	2.183026954677268	0	true	3
28	6	6	1	0	0	0	0	0	2.337554589015006	2.337554589015006	2.337554709152615	2.337554709152615	2.337554589015006	0.9990443117099597	2.337554589015006	0	true	3
29	6	6	1	0	0	0	0	0	2.476191430025089	2.476191430025089	2.4761916936283974	2.4761916936283974	2.476191430025089	0.9990443117099597	2.476191430025089	0	true	3
30	6	6	1	0	0	0	0	0	2.596129144346387	2.596129144346387	2.596129144346387	2.596129144346387	2.596129144346387	0.99887542860485	2.596129144346387	0	true	3
31	6	6	1	0	0	0	0	0	2.6971217545212602	2.6971217545212602	2.6971217545212602	2.6971217545212602	2.6971217545212602	0.99887542860485	2.6971217545212602	0	true	4
32	7	7	1	0	0	0	0	0	2.7898895006668787	2.7898895006668787	2.7898895006668787	2.7898895006668787	2.7898895006668787	0.9987036576717526	2.7898895006668787	0	true	4
33	7	7	1	0	0	0	0	0	2.863231803122931	2.863231803122931	2.863231803122931	2.863231803122931	2.863231803122931	0.9986204224270916	2.863231803122931	0	true	3
34	8	8	1	0	0	0	0	0	2.9244438808930444	2.9244438808930444	2.9244438808930444	2.9244438808930444	2.9244438808930444	0.9984128643598162	2.9244438808930444	0	true	3
35	9	9	1	0	0	0	0	0	2.96707899845477	2.96707899845477	2.967079135510216	2.967079135510216	2.96707899845477	0.998144332911735	2.96707899845477	0	true	2
36	10	10	1	0	0	0	0	0	2.9995368922689494	2.9995368922689494	2.999744479336412	2.999744479336412	2.9995368922689494	0.9981368757356651	2.9995368922689494	0	true	3
37	11	11	1	0	0	0	0	0	2.9999174056618063	2.9999174056618063	2.9999176297748744	2.9999176297748744	2.9999174056618063	0.9979193747669632	2.9999174056618063	0	true	2
38	11	11	1	0	0	0	0	0	2.999650315059971	2.999650315059971	2.999650689746711	2.999650689746711	2.999650315059971	0.9975972905593614	2.999650315059971	0	true	3
39	12	12	1	0	0	0	0	0	2.9992915756656315	2.9992915756656315	2.99929217177929	2.99929217177929	2.9992915756656315	0.9975264473866985	2.9992915756656315	0	true	3
40	12	12	1	0	0	0	0	0	2.999381895331461	2.999381895331461	2.999381895331461	2.999381895331461	2.999381895331461	0.9975264473866985	2.999381895331461	0	true	3
41	13	13	1	0	0	0	0	0	2.999082696923507	2.999082696923507	2.999082696923507	2.999082696923507	2.999082696923507	0.9974928900943846	2.999082696923507	0	true	2
42	15	15	1	0	0	0	0	0	2.99984691566853	2.99984691566853	2.9998470896263667	2.9998470896263667	2.99984691566853	0.9973089464179967	2.99984691566853	0	true	2
43	15	15	1	0	0	0	0	0	2.9991284419803246	2.9991284419803246	2.9991284419803246	2.9991284419803246	2.9991284419803246	0.9972257111733355	2.9991284419803246	0	true	3
44	16	16	1	0	0	0	0	0	2.9995157997246107	2.9995157997246107	2.9995157997246107	2.9995157997246107	2.9995157997246107	0.9971411965112114	2.9995157997246107	0	true	3
45	18	18	1	0	0	0	0	0	2.9999965589238986	2.9999965589238986	2.9999965589238986	2.9999965589238986	2.9999965589238986	0.996617074008817	2.9999965589238986	0	true	2
46	19	19	1	0	0	0	0	0	2.9999101497526857	2.9999101497526857	2.9999105601305245	2.9999105601305245	2.9999101497526857	0.9964878162902743	2.9999101497526857	0	true	3
47	19	19	1	0	0	0	0	0	-97.00048938400035	-97.00048938400035	2.999207562147999	2.999207562147999	-97.00048938400035	0.9964878162902743	-97.00048938400035	0	true	3
48	20	20	1	0	0	0	0	0	-97.00014373803785	-97.00014373803785	2.9997735167231054	2.9997735167231054	-97.00014373803785	0.9960831548241349	-97.00014373803785	0	true	3
49	23	23	1	0	0	0	0	0	-97.00093493499826	-97.00093493499826	2.9993188988678745	2.9993188988678745	-97.00093493499826	0.9959128826372083	-97.00093493499826	0	true	2
50	23	23	1	0	0	0	0	0	-97.00088923465486	-97.00088923465486	2.999564139780736	2.999564139780736	-97.00088923465486	0.9955316893428181	-97.00088923465486	0	true	3
51	24	24	1	0	0	0	0	0	-97.00014980203986	-97.00014980203986	2.9996753355049104	2.9996753355049104	-97.00014980203986	0.9954409603673023	-97.00014980203986	0	true	2
52	25	25	1	0	0	0	0	0	-97.00064712435594	-97.00064712435594	2.999168069974265	2.999168069974265	-97.00064712435594	0.99521450347636	-97.00064712435594	0	true	2
53	27	27	1	0	0	0	0	0	-97.00090984214368	-97.00090984214368	2.9765858847782796	2.9765858847782796	-97.00090984214368	0.9947950007676504	-97.00090984214368	0	true	2
54	28	28	1	0	0	0	0	0	0.9997196680285289	0.9997196680285289	2.9999444196002067	2.9999444196002067	0.9997196680285289	0.9944607072619737	0.9997196680285289	0	true	2
55	29	29	1	0	0	0	0	0	0.9993628838667604	0.9993628838667604	2.999723360252616	2.999723360252616	0.9993628838667604	0.9943720619091834	0.9993628838667604	0	true	3
56	32	32	1	0	0	0	0	0	0.9996033213408229	0.9996033213408229	2.9997896887586855	2.9997896887586855	0.9996033213408229	0.9937259560903926	0.9996033213408229	0	true	3
