# solver: DSA
# max_time: 500
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 512c2599-57a2-4cce-ae6c-754f349c70f4
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	1	480	2	16	0	0	1.6286229511308905	1.6286229511308905	1.6286229511308905	1.6286229511308905	1.6286229511308905	0.9991239280309399	1.6286229511308905	0	true	19
25	6	6	1	481	2	16	0	0	1.829444302922905	1.829444302922905	1.829444302922905	1.829444302922905	1.829444302922905	0.9990443117099597	1.829444302922905	0	true	6
26	6	6	12	5772	24	192	0	0	2.023388742036944	2.023388742036944	2.023388742036944	2.023388742036944	2.017278688526854,2.017278688526854,2.017278688526854,2.017278688526854,2.017278688526854,2.017278688526854,2.017278688526854,2.017278688526854,2.017278688526854,2.017278688526854,2.023388742036944,2.023388742036944	0.9990443117099597	2.023388742036944	0	true	3
27	6	6	1	481	2	16	0	0	2.18302755930594	2.18302755930594	2.18302755930594	2.18302755930594	2.18302755930594	0.9990443117099597	2.18302755930594	0	true	2
28	6	6	2	962	4	32	0	0	2.337554709152615	2.337554709152615	2.337554709152615	2.337554709152615	2.337554709152615,2.337554709152615	0.9990443117099597	2.337554709152615	0	true	1
29	6	6	24	11544	48	384	0	0	2.4761916936283974	2.4761916936283974	2.4761916936283974	2.4761916936283974	2.476191430025089,2.476191430025089,2.476191430025089,2.476191430025089,2.476191430025089,2.476191430025089,2.476191430025089,2.476191430025089,2.476191430025089,2.476191430025089,2.476191430025089,2.476191430025089,2.476191430025089,2.476191430025089,2.476191430025089,2.476191430025089,2.476191430025089,2.476191430025089,2.476191430025089,2.476191430025089,2.476191430025089,2.476191430025089,2.4761916936283974,2.4761916936283974	0.9990443117099597	2.4761916936283974	0	true	4
30	6	6	2	962	4	32	0	0	2.596129144346387	2.596129144346387	2.596129144346387	2.596129144346387	2.596129144346387,2.596129144346387	0.99887542860485	2.596129144346387	0	true	1
31	6	6	5	2405	10	80	0	0	2.6971217545212602	2.6971217545212602	2.6971217545212602	2.6971217545212602	2.6971198129023666,2.6971198129023666,2.6971198129023666,2.6971217545212602,2.6971217545212602	0.99887542860485	2.6971217545212602	0	true	2
32	7	7	2	962	4	32	0	0	2.7898895006668787	2.7898895006668787	2.7898895006668787	2.7898895006668787	2.7898895006668787,2.7898895006668787	0.9987036576717526	2.7898895006668787	0	true	1
33	7	7	1	481	2	16	0	0	2.863231803122931	2.863231803122931	2.863231803122931	2.863231803122931	2.863231803122931	0.9986204224270916	2.863231803122931	0	true	1
