# solver: Random
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 536edff8-03f1-4fa3-82f7-821094c3ebf1
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: Ambulancias_Collapse_ConySinNormas.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	12	12	100	0	0	0	0	0	-926.9033367893772	-174.8369233280805	33.533025250243014	37.59422429059661	-Infinity,-725.7635340532539,-381.7662876083914,-831.0812018300439,-727.642117774425,-332.2213165686886,-577.2581785240496,-620.0291602505854,-Infinity,-472.41340978872205,-227.1074283340305,-Infinity,-720.6801563627362,-Infinity,-522.1924288278555,-631.1158908160025,-281.1298946254689,-Infinity,-922.5439973933203,-276.90639522223427,-174.8369233280805,-469.8274786141596,-Infinity,-574.7599746748485,-577.1049926469007,-529.2410357936369,-Infinity,-928.6776573879168,-379.9262608339312,-375.633949864914,-578.8063126711372,-375.9180159634335,-575.3296040214999,-475.10703607092773,-Infinity,-527.2710983767956,-582.7657161870845,-374.0109704168765,-Infinity,-Infinity,-927.785520963546,-1075.6951666377947,-278.0057900869376,-725.9503680260134,-372.3045739358553,-382.5407038934177,-529.9889486064326,-722.9415998560147,-719.2134759400867,-626.6989038076363,-729.187719415631,-783.1090184815067,-430.35990652906395,-275.74387751832046,-226.33993297460407,-772.171003594049,-426.1731876361581,-526.6741897075891,-224.32887507071746,-1031.391047226247,-434.66506136238354,-378.63011126811955,-725.528848327597,-274.7407349591886,-615.5711594855148,-378.8739118057148,-875.4761298029252,-Infinity,-Infinity,-576.2759211912253,-Infinity,-230.15165198645832,-428.408130822172,-377.7701165326953,-673.6939351191771,-Infinity,-378.5377528258597,-721.6322489571756,-Infinity,-433.2689692112064,-Infinity,-581.4559922868843,-491.7583381280222,-427.59781208220033,-Infinity,-724.2739468720637,-267.7596407724777,-Infinity,-382.2032908610991,-729.6770117267346,-519.5587352174238,-926.5240886913693,-829.2948954553033,-782.402646926496,-425.619025313218,-378.54430106818734,-Infinity,-978.9286279130971,-478.4990900287146,-926.9033367893772	0.9977623354120823	-174.8369233280805	3	true	33
25	14	14	100	0	0	0	0	0	-322.7912307435284	-133.268545439416	34.649692807341225	33.374315054425445	-677.4666219122421,-338.10209492339965,-727.3421562321986,-528.4270780651904,-924.0692316011352,-673.7864492724631,-489.8794861676693,-627.2309205261947,-727.0352867808867,-677.1375098058203,-625.1690981011419,-627.2685107492158,-930.0741798689899,-427.4786976268939,-835.317328626834,-424.12779206235194,-473.01937969127374,-772.6050160794425,-528.4914405768178,-Infinity,-587.7657584830205,-573.5740156825138,-529.6723777166256,-835.6730360199384,-574.4607220566987,-Infinity,-576.8840662635819,-724.2874115356668,-683.9854426656387,-474.64522972240906,-Infinity,-827.1698825177726,-635.8005382236049,-617.2935020718959,-471.1367347663717,-724.0616019457016,-Infinity,-376.0188247653886,-878.2986633433483,-981.2111760657737,-527.7450616796832,-826.0437106465305,-630.5011892947948,-526.0058284545161,-529.957938242014,-422.6171468835567,-682.8281395645278,-722.3644657380486,-626.837920756951,-875.2034225863825,-422.5506611280798,-580.6863515562857,-875.2229529261255,-429.22151887202085,-630.395085939159,-Infinity,-633.0793349693145,-376.0965614274799,-519.4493846660115,-429.1213877141566,-524.7790244716206,-526.46905495346,-929.0126401215801,-381.27571310665616,-471.7453798460004,-585.4983339903566,-573.1390221970994,-485.48317983222245,-778.5117433281284,-974.2194389133992,-376.32723021806305,-584.4905297892883,-582.624618466912,-775.5151406402288,-771.8017747941142,-724.0697900731241,-330.8201076398239,-472.9530840585895,-133.268545439416,-1087.909215274733,-577.2699111875464,-529.374662634732,-521.5117681108911,-525.9784840123746,-523.6446936505579,-970.3972483518301,-377.53299696501495,-826.1912493639693,-980.924890537674,-677.2817016311249,-325.5313044060245,-572.8916170350323,-537.5929216290042,-783.6994890997115,-672.1958082157333,-431.6755899904088,-924.5393789319071,-Infinity,-726.3893928042478,-322.7912307435284	0.9968314678208231	-133.268545439416	4	true	10
26	14	14	100	0	0	0	0	0	-434.0829433803887	-174.9538314486277	41.23803155169695	39.96997585704359	-573.889069439482,-731.0009365058886,-584.4385113275151,-474.52679945090733,-473.10033061068094,-418.76951387833833,-272.05528542260294,-721.2892631265428,-530.3975763523541,-672.3751322610234,-479.10660411051083,-522.1777824247489,-Infinity,-Infinity,-783.1274271496276,-325.04949580747655,-325.3765798322987,-674.1792089261065,-525.8948222938191,-774.5298709149902,-Infinity,-782.0611624602291,-Infinity,-335.2571199608449,-615.1042471254761,-621.0893172606278,-472.3912271133226,-Infinity,-575.997833630885,-280.95426725826,-378.538170248702,-530.669945443048,-678.6485312840831,-379.4201206422826,-Infinity,-Infinity,-429.1809081384787,-374.98804986359124,-569.9220793962565,-526.1289025982488,-384.57604435621346,-279.4944925652745,-234.1461572474404,-373.3273168049699,-327.35949834729524,-273.8253061720725,-368.90714126240835,-518.2787320968756,-576.8700240361625,-530.6825713874566,-474.21487383704294,-633.336305697587,-677.9607357219886,-525.1495596381831,-320.1739570634355,-532.1523056639379,-631.7984430173968,-731.449237537751,-523.7472407180222,-527.3179870908017,-426.93111762638773,-230.20700035802625,-425.37195417803287,-568.3534026519158,-616.5994341140366,-526.4581673746591,-470.83999088669657,-427.2717307266021,-519.8423163180987,-524.0254647308616,-371.5111806345804,-174.9538314486277,-321.51941336321886,-923.0625284314949,-Infinity,-679.3660746463661,-471.4142244367852,-770.9800872573958,-Infinity,-525.625421645135,-582.7013126057999,-Infinity,-Infinity,-390.18443854465926,-Infinity,-425.5330281902668,-529.336739926926,-334.13425102767553,-676.4628141631607,-523.390793813407,-930.6536749397329,-419.7494421941004,-186.3481146392567,-230.03637239855905,-329.5365666377719,-627.1174698458511,-271.6322861653092,-321.52561489730164,-380.3457883106915,-434.0829433803887	0.9962825977292168	-174.9538314486277	1	true	10
27	14	14	100	0	0	0	0	0	-34.31329446231267	-34.31329446231267	-4.911068650048476	-4.911068650048476	-521.6041437253931,-515.7309735776406,-Infinity,-684.8007285138851,-369.64397712404127,-Infinity,-724.8683698191066,-282.9384619440195,-326.94204427684514,-473.8711723784836,-426.0911651502057,-373.30769960457616,-221.16702502398687,-327.03877311209766,-375.9035050886404,-324.38933395115515,-272.7105030238571,-Infinity,-475.5450801912143,-364.35927436105237,-519.9259306860328,-325.2940173123356,-425.7480424746292,-424.0840181985512,-415.24551801476395,-381.6382257624009,-534.6133217552737,-180.76457791567242,-472.38944768870454,-316.4141172852443,-Infinity,-Infinity,-369.33940692071417,-375.92595086350417,-420.84034511800616,-173.35733540409893,-529.5595310463094,-722.5987797665076,-268.90010473096515,-432.16723377439536,-575.9212404792128,-217.66992063517412,-467.57891862352267,-474.53398360803953,-Infinity,-528.828200424726,-167.15317892653835,-Infinity,-273.8338142490613,-473.2001127017346,-376.18646068900887,-620.2792446949809,-Infinity,-Infinity,-124.0670285741071,-Infinity,-369.1734443497191,-579.7165997991895,-Infinity,-925.3292369038093,-522.2974619544448,-528.5300109825988,-574.2298199614778,-322.2826599711698,-420.26482742714666,-Infinity,-619.0719559018726,-322.77430400213,-469.2563683862598,-522.2543934122883,-128.03249574205262,-515.9776382381743,-522.0750892372224,-317.4195740881991,-625.3974021541108,-233.1398913663116,-Infinity,-665.9347626789335,-472.1362782925545,-319.72314043471994,-327.98608159823107,-522.5493416824796,-368.71919916542,-320.72038814413827,-569.1467549973196,-279.1491161105508,-474.88305631869116,-178.69915845514453,-525.6917489430034,-575.5017942491032,-521.805993023581,-317.8107808466499,-274.82194615329627,-428.0467301611215,-Infinity,-375.60621742235867,-272.3468241101543,-Infinity,-222.68610784362122,-34.31329446231267	0.9962825977292168	-34.31329446231267	5	true	8
28	14	14	100	0	0	0	0	0	-620.9440787089803	25.418081952957785	43.50962503928317	43.743139172754965	-316.656491410534,-680.0201610267075,-424.55986725999105,-673.947300774651,-224.28088432758344,-127.7073243758956,-125.36767974506857,-Infinity,-267.602281747638,-Infinity,-180.0250300504753,-Infinity,-416.6983054979984,-563.9860991123994,-666.8376435111052,-475.6265697206188,-218.0239200710103,-Infinity,-Infinity,-377.3417343558724,-570.9916583820393,-524.7536234169171,-81.92950335407558,-273.12800534587785,-174.16949915491173,-734.6458504476076,-235.66786372469917,-284.76593368783483,-573.7239987801067,-461.8786583034983,-423.7572092236059,-520.1544568737572,-567.6547738808347,-Infinity,-176.7219631097262,-170.67878819830835,-278.144015065783,-820.3064924047145,-68.99995169973573,-422.1026142444129,-623.9358424111696,-363.06894629321584,-168.20395767495359,-624.9521059004219,-372.83247458608446,-Infinity,-Infinity,-569.7965558147498,-573.2581086676327,-622.850530722909,-224.03086724839162,-492.89236262434474,-468.23437613129306,-227.7621432598317,-534.0411315624998,-529.6796027123632,-176.2373239299997,-375.9605143382798,-475.7937055006172,-424.02535328800275,-431.39312750222484,-171.40320048403737,-437.6287085017343,-427.1301461314449,-321.7821788189287,-520.84897768595,-326.2772319265607,-Infinity,-923.9206692755821,-219.68247973357518,-465.943918184973,-226.8900522743809,-469.23959510322965,-567.7584429229948,-523.7994701957288,-520.914527092977,-326.26760176377985,-325.9129569595296,-778.2194910693084,-Infinity,-172.00069518484813,-317.1583935402653,25.418081952957785,-267.3226551824413,-575.7112778297695,-369.4646624796387,-273.4578212307259,-513.2849118459249,-223.58647468984861,-271.478053191284,-274.5472720594746,-317.34819215080194,-526.4106874052133,-423.7920581043117,-518.0097398248134,-466.698941725837,-327.36056133726674,-317.455310608413,-216.96651934391676,-620.9440787089803	0.9962825977292168	25.418081952957785	2	true	8
29	14	13	100	0	0	0	0	0	-625.904506211751	-71.72640058025989	41.97751561316405	42.23197429415916	-324.65354554397675,-570.4798077004787,-374.7879230260112,-573.0219515891991,-874.8577999316191,-173.22834372169567,-432.40485156245774,-Infinity,-469.25860295425963,-278.93182914209655,-119.17975759334796,-526.8438136964726,-129.3133382224479,-570.0355894159447,-378.98484286290596,-882.3469396638582,-324.98537177775785,-Infinity,-424.97932390369334,-727.899795709582,-278.81775363532165,-421.8370229959828,-Infinity,-420.9241530808412,-366.8122396444254,-369.6591462341183,-470.0071991115738,-477.89580147687707,-Infinity,-132.57336099642012,-128.12346790366814,-667.2215170768745,-370.0313808164501,-Infinity,-474.55453566453804,-Infinity,-321.18279307942566,-624.7810490722155,-332.2528356495727,-281.2145843880587,-429.4741587555669,-277.3703906562883,-271.12359525187526,-Infinity,-378.5104558323946,-320.3097520690086,-517.8914008146339,-473.35623492351556,-Infinity,-574.7561879858774,-353.00792845476514,-Infinity,-236.32511566087916,-621.5639926663326,-724.1761901222726,-616.4993088820883,-Infinity,-426.5073563897831,-414.1461165763607,-568.4269766053466,-Infinity,-324.60746208622885,-321.1666553613348,-266.0194740430895,-167.62153186563341,-122.32493012575436,-782.2402762743072,-231.37183730697868,-379.00923610667627,-175.36285354649291,-569.501492244258,-71.72640058025989,-467.7257862470564,-620.4334677619133,-423.6094647182155,-374.7631198605757,-Infinity,-113.30718245894678,-339.4185771730765,-323.029176167668,-228.33368924709336,-618.1922909892279,-Infinity,-224.55387149741702,-522.1959151980518,-429.7597694718363,-567.264034745077,-527.0663907147223,-368.4463693308426,-122.12423395054759,-328.90962949600885,-381.5948947074396,-670.9649008446644,-270.8299877569945,-273.48046771302955,-421.9883153214331,-380.3152818589195,-318.6793474391164,-439.85093024367035,-625.904506211751	0.9962914805418883	-71.72640058025989	5	true	7
30	14	13	100	0	0	0	0	0	-135.23548072121758	-69.30745320260043	40.913564873421706	41.992481519896515	-Infinity,-422.96180511667154,-279.72940696661544,-320.8283537392034,-770.505812295398,-Infinity,-368.3493901057781,-370.6591938478045,-825.1671011140327,-786.3079513442849,-574.2578350384614,-183.22818492548086,-467.6770985439849,-575.6878674743199,-Infinity,-367.1423702474005,-181.73527460374854,-724.3811801981856,-667.2017437483204,-271.941530063836,-326.58278263950496,-336.75174265144653,-673.0707872029019,-332.1955568335115,-672.0169984856053,-480.44378063926797,-278.1223720539105,-679.7790269446122,-374.65537169321215,-466.97666957189256,-626.4948309650838,-421.80109020023474,-469.95620167089896,-137.81585953353073,-421.51421766776724,-Infinity,-729.1991110454848,-575.3417135856264,-Infinity,-123.71022605778622,-217.18997768784692,-74.53245274006436,-328.54275607087897,-371.9036675983604,-569.8116151437335,-219.9401278212996,-775.6258994179307,-520.0349512464487,-127.42426554620586,-Infinity,-320.88335473920074,-431.6293957519862,-Infinity,-525.9136958261283,-619.5011914189142,-771.9314490429431,-622.7508445139438,-420.1259275045482,-322.5001659249783,-81.00078478582596,-Infinity,-274.3959369986303,-237.03475205528224,-528.3394159952738,-321.8314031856541,-229.5300802372699,-294.02237932027595,-422.12403503252057,-375.1334619041587,-272.3805085607094,-Infinity,-667.8908510860723,-221.21889251108271,-273.8504918233091,-126.30211571128982,-432.39790802699486,-175.56136148855427,-625.3627663226098,-467.39103091749865,-69.30745320260043,-270.53698116374045,-Infinity,-368.9099313753799,-676.7910075916448,-320.72204315267635,-Infinity,-478.2952829403015,-Infinity,-640.6509684011421,-170.23349872244958,-222.48464438923543,-477.134902428956,-123.07822983648632,-425.8513554117955,-471.6833950737654,-424.9305251775315,-271.94600243823766,-524.7200618530536,-576.2575598169202,-135.23548072121758	0.9961225974367784	-69.30745320260043	2	true	8
31	14	13	100	0	0	0	0	0	-516.4504029452438	-120.54532190136894	40.06832554160325	40.527082453708935	-532.2552153429784,-Infinity,-533.7156620313272,-Infinity,-619.2604678231131,-684.9751682408419,-342.35688651245516,-622.5026291773227,-Infinity,-629.0522356010762,-371.66663273834456,-321.96114713483473,-Infinity,-774.6863304675322,-379.76498974008797,-Infinity,-877.6377163592915,-622.6295487375485,-185.5019466103486,-127.07039537999233,-477.9898124870636,-377.8421599953153,-618.5601157749055,-665.2760474874796,-120.54532190136894,-374.4572712951723,-332.4365236275174,-Infinity,-680.1668679977774,-317.63041124825094,-831.5092379113855,-619.73496378396,-235.12793516120433,-713.9692853615288,-Infinity,-227.4517661293667,-382.19578737920153,-516.7266508290945,-517.6248354106428,-Infinity,-330.4255819877615,-364.8715022790336,-376.6372027362526,-429.98825264596167,-180.1720206766577,-472.51929348466103,-327.35306832148626,-379.8078017532225,-Infinity,-318.984476546474,-880.2878190538892,-286.4494541189133,-469.5923317591781,-423.0499519544421,-330.2769232725055,-376.0546051710332,-619.0999343145816,-420.608286754947,-633.4191176567552,-422.5686987705863,-523.4246019995666,-617.0447894734041,-Infinity,-580.1740480730491,-388.15402768369177,-518.2698059200649,-526.3553995079961,-491.0230941458179,-369.62989793707834,-Infinity,-295.06366095993764,-327.59283738574976,-569.9263072241334,-840.646738377639,-471.1687502743384,-Infinity,-278.58963102081793,-Infinity,-316.4437428699159,-331.1921416374521,-176.77445511622233,-Infinity,-Infinity,-Infinity,-Infinity,-419.2932839676552,-Infinity,-273.5558082103632,-277.4642600063757,-Infinity,-428.03902429995856,-524.2952514756577,-Infinity,-334.2962151189849,-Infinity,-625.0315277736827,-674.6393183566039,-382.3017926253705,-376.20054699689723,-516.4504029452438	0.9959126998632849	-120.54532190136894	3	true	8
32	14	13	100	0	0	0	0	0	-331.818707465397	-125.12064096889931	41.26841970760799	41.08271414982735	-520.9127457254183,-618.6956272525649,-428.27149060782045,-576.0666898208224,-477.1510414709814,-368.4883641674176,-Infinity,-328.039099024806,-522.9328917519911,-430.7112645738011,-387.77500248493703,-620.3813768392009,-174.04097529601103,-580.0909479372914,-668.2089738425897,-620.5922306360769,-267.662073880989,-226.22830154169847,-779.6303769117392,-786.7253538664135,-Infinity,-473.98412112585055,-Infinity,-326.26251461171495,-368.5635141959522,-439.79987847935865,-229.10626366301688,-176.67893258679558,-Infinity,-321.53995271525116,-430.57714766270766,-768.5950041637155,-372.3646302988976,-572.4811880091116,-372.9126486062087,-623.0742577902478,-125.12064096889931,-372.88890882768345,-575.6478265350705,-268.6761359956886,-768.0329557111221,-569.2265395584366,-375.61029230011223,-667.6672557815288,-387.3843907658595,-631.579819677675,-772.7834791570706,-227.11023767614944,-Infinity,-671.8891575883846,-Infinity,-293.5026747362083,-Infinity,-383.3839971057549,-282.2525986252892,-730.1964135752046,-514.7003920425234,-178.76976940082181,-470.20736079612254,-419.2357776332808,-572.889332318408,-723.0229336353723,-478.4952253156219,-414.85689211740674,-525.9713169821442,-232.80519511399604,-721.7268917336439,-133.16717558223377,-373.74651818311855,-522.021596996602,-Infinity,-270.6992170779497,-578.4200144820309,-330.470658869383,-327.47195293539284,-270.03347429302823,-580.894735926178,-422.93072284923073,-427.5301694163848,-Infinity,-277.1107538997651,-464.5039349616636,-515.8835283494659,-374.8725868644668,-523.927574326779,-180.41914419312437,-Infinity,-921.9180079580967,-572.7948523796472,-781.2864711574618,-628.7897250243044,-720.1049251260304,-522.5235257620664,-424.406245816481,-425.30864431264774,-475.7943748518538,-474.50351970295816,-Infinity,-429.0694776633766,-331.818707465397	0.9959126998632849	-125.12064096889931	2	true	8
33	15	14	100	0	0	0	0	0	-Infinity	-31.427793724950934	-Infinity	36.55753239724375	-687.7468588278218,-576.161364154732,-427.16636099646223,-529.6499363188877,-327.8426337600827,-437.02467795687136,-338.1576097749843,-437.0604915187483,-Infinity,-380.71859684758414,-376.34892275242146,-589.6803596652588,-Infinity,-735.7121810539759,-333.807400436499,-Infinity,-320.411305602543,-480.71231963596216,-381.80818642321333,-31.427793724950934,-379.28266732416114,-491.05964436776696,-640.355269698547,-423.5938456324397,-628.8575478687212,-532.945234654721,-331.0802178067824,-Infinity,-328.9013910667771,-282.8433092630868,-Infinity,-575.3568055048469,-677.7584390250244,-486.46852448741686,-Infinity,-736.615430293019,-285.6767284081887,-485.51228215122006,-441.47723294100473,-482.31121389489005,-Infinity,-Infinity,-573.3805329500783,-571.0972946605098,-324.0907283147971,-Infinity,-378.0802756403129,-989.4894170803244,-479.65691143054863,-369.5672263020825,-374.0487739722978,-324.6101384868811,-438.70072768857705,-329.8998921060656,-287.8428124841383,-Infinity,-372.29158680238373,-Infinity,-273.0388719854531,-434.50193150013587,-373.18442687048906,-337.94671497074916,-Infinity,-475.2629477480776,-178.79753739889395,-522.8674451040691,-379.36227959061694,-674.4025124397047,-183.43216344452887,-379.58911568492476,-231.26777774797918,-332.394126405474,-Infinity,-334.93274391079564,-289.61658755709584,-491.48726174368284,-546.1001692420033,-377.43780085468086,-577.151311759973,-576.5822739789909,-427.31224669350865,-330.57697746575,-127.11475530494563,-Infinity,-139.2878818018596,-378.6076724425851,-Infinity,-324.53587785969114,-129.10636063508525,-422.4967598840076,-476.30122910313315,-621.0287669828689,-Infinity,-434.97349083236384,-231.68615522636821,-525.1710061252925,-344.47051387880794,-629.5813542715514,-Infinity,-Infinity	0.995680357652013	-31.427793724950934	4	true	5
