# solver: DSA
# max_time: 500
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 5436ce90-e65a-4fbe-bda6-205f91244831
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: Ambulancias_Collapse_ConySinNormas.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	12	12	46	25392	32292	258336	0	0	33.37406634400489	33.37406634400489	33.37406634400489	33.37406634400489	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,31.411401437654916,31.411401437654916,31.411401437654916,31.411401437654916,31.49823606571968,31.49823606571968,31.777063461843696,31.777063461843696,31.777063461843696,31.777063461843696,31.777063461843696,31.777063461843696,31.777063461843696,31.777063461843696,31.777063461843696,31.777063461843696,31.777063461843696,31.777063461843696,31.777063461843696,31.777063461843696,31.777063461843696,31.777063461843696,31.777063461843696,31.777063461843696,31.777063461843696,31.777063461843696,31.777063461843696,31.777063461843696,31.777063461843696,31.777063461843696,31.777063461843696,31.777063461843696,31.777063461843696,31.777063461843696,32.38719422996152,32.38719422996152,32.38719422996152,32.38719422996152,32.38719422996152,33.37406634400489,33.37406634400489	0.9977623354120823	33.37406634400489	2	true	206
25	14	14	27	15066	18954	151632	0	0	37.350026095843035	37.350026095843035	37.350026095843035	37.350026095843035	-34.33680803093852,-30.30162414568955,-25.54547802838367,-19.701630843880185,32.215153329762664,32.215153329762664,34.96886790526912,34.96886790526912,34.96886790526912,34.96886790526912,36.98778033188107,36.98780124132916,37.3440569662326,37.3498669965001,37.3498669965001,37.3498669965001,37.3498669965001,37.3498669965001,37.34987062856913,37.34987062856913,37.34987062856913,37.34987097094741,37.35002392625387,37.35002392625387,37.35002392625387,37.350026095843035,37.350026095843035	0.9968314678208231	37.350026095843035	1	true	49
26	14	14	23	12788	16146	129168	0	0	42.08177495525724	42.08177495525724	42.08177495525724	42.08177495525724	-24.12556067224355,-17.589166883805152,-17.589166883805152,-16.623868898244,-15.090892070845182,-15.085668832933873,37.02105873856125,39.25677161207217,41.13277419249188,41.13277419249188,41.13291867255752,41.13291867255752,41.13291867255752,41.13291867255752,41.132949035113825,42.08176721687226,42.0817702780672,42.0817702780672,42.0817702780672,42.0817702780672,42.0817702780672,42.08177495525724,42.08177495525724	0.9962825977292168	42.08177495525724	0	true	31
27	14	14	26	14040	18252	146016	0	0	42.88435366496566	42.88435366496566	42.88435366496566	42.88435366496566	-17.92741420319369,-16.51850254936654,-15.551813733384176,-13.617253532634027,-10.383258744214032,-10.06515083893095,41.83958939743968,41.83958939743968,41.839706878243454,41.83983587601092,41.83983587601092,41.83983587601092,41.83985461877605,41.83985461877605,41.83985461877605,41.83985461877605,41.83985461877605,42.88435324744734,42.88435324744734,42.88435324744734,42.88435324744734,42.88435324744734,42.88435324744734,42.88435324744734,42.88435366496566,42.88435366496566	0.9962825977292168	42.88435366496566	0	true	26
28	14	14	21	11340	14742	117936	0	0	45.81506817589739	45.81506817589739	45.81506817589739	45.81506817589739	34.2559737288371,35.22868427159095,40.53552084944877,40.535928130351266,40.535928130351266,42.42648387016082,44.847305601396734,44.847305601396734,45.814959615350865,45.814959615350865,45.814959615350865,45.81497915075883,45.81497915075883,45.81497915075883,45.81497915075883,45.81497915075883,45.81497915075883,45.81497915075883,45.81497915075883,45.81506817589739,45.81506817589739	0.9962825977292168	45.81506817589739	0	true	22
29	14	13	29	15660	20358	162864	0	0	43.26772876644175	43.26772876644175	43.26772876644175	43.26772876644175	-87.5379482252816,-87.53759211669849,-34.20898889478211,-29.675070829033288,22.267844948092105,23.233064362914803,38.96610845213307,38.96610845213307,38.96610845213307,38.96610845213307,42.09633938117658,43.267565810008804,43.267565810008804,43.267565810008804,43.267565810008804,43.267565810008804,43.267595298228926,43.267595298228926,43.267595298228926,43.267595298228926,43.267595298228926,43.267595298228926,43.267595298228926,43.267595298228926,43.267595298228926,43.267595298228926,43.267595298228926,43.26772876644175,43.26772876644175	0.9962914805418883	43.26772876644175	0	true	26
30	14	13	22	11792	15444	123552	0	0	45.14787609516226	45.14787609516226	45.14787609516226	45.14787609516226	30.517457799896036,34.576843549164934,34.576843549164934,36.285133877181764,42.07455231830133,43.20133504401642,45.14779825418026,45.14781233898604,45.14781233898604,45.14781233898604,45.14782989866943,45.14782989866943,45.14782989866943,45.14782989866943,45.14782989866943,45.14782989866943,45.14782989866943,45.14787363796374,45.14787363796374,45.14787363796374,45.14787609516226,45.14787609516226	0.9961225974367784	45.14787609516226	0	true	47
31	14	13	78	41652	54756	438048	0	0	39.93968276307975	39.93968276307975	39.93968276307975	39.93968276307975	-28.357018472793477,-21.08590158774512,-21.08590032199183,-21.08590032199183,-14.112576261293263,36.189739014226475,39.58613604056176,39.58613604056176,39.58613604056176,39.58613604056176,39.58613609410132,39.58613609410132,39.58613609410132,39.58613609410132,39.58613609410132,39.58613609410132,39.58613609410132,39.58613609410132,39.58613609410132,39.58613609410132,39.939682249385214,39.939682249385214,39.939682249385214,39.939682249385214,39.939682249385214,39.939682249385214,39.939682249385214,39.939682249385214,39.939682249385214,39.939682249385214,39.939682249385214,39.939682249385214,39.939682249385214,39.939682249385214,39.939682249385214,39.939682249385214,39.939682249385214,39.939682249385214,39.939682249385214,39.939682249385214,39.939682249385214,39.939682249385214,39.939682249385214,39.939682249385214,39.939682249385214,39.939682249385214,39.939682249385214,39.939682249385214,39.939682249385214,39.939682249385214,39.939682249385214,39.939682249385214,39.939682249385214,39.939682249385214,39.939682249385214,39.939682249385214,39.939682249385214,39.939682249385214,39.939682249385214,39.939682249385214,39.939682249385214,39.939682249385214,39.939682249385214,39.939682249385214,39.939682249385214,39.939682249385214,39.939682249385214,39.939682249385214,39.939682249385214,39.939682249385214,39.939682249385214,39.939682249385214,39.939682249385214,39.939682249385214,39.939682249385214,39.939682249385214,39.93968276307975,39.93968276307975	0.9959126998632849	39.93968276307975	0	true	53
32	14	14	22	11748	15444	123552	0	0	40.443460851718726	40.443460851718726	40.443460851718726	40.443460851718726	16.706066185588973,26.495556653398033,26.495556653398033,30.297283543906346,33.48610569950989,36.05041061145129,36.05041061145129,36.05041061145129,36.44443618748293,36.44443618748293,36.44443618748293,38.77742156007207,38.77742156007207,38.77742156007207,40.08897024779968,40.08897024779968,40.08897024779968,40.08897024779968,40.08897024779968,40.08897024779968,40.443460851718726,40.443460851718726	0.9959038170506138	40.443460851718726	0	true	21
33	15	14	61	32330	42822	342576	0	0	41.37566620257317	41.37566620257317	41.37566620257317	41.37566620257317	8.10765941276766,13.771262128759748,29.353669326925573,32.375497203946054,34.06729057669419,35.14490720341155,35.14490720341155,38.72207898508595,38.72207898508595,38.72207898508595,38.72208067500129,38.72208067500129,38.72208067500129,38.72208067500129,38.72208067500129,38.72208067500129,38.72208067500129,38.72208067500129,38.72208067500129,38.72208067500129,38.72208067500129,38.72208067500129,38.72208067500129,38.72208067500129,38.72208067500129,38.72208067500129,38.72208067500129,38.72208067500129,41.01285799976075,41.01285799976075,41.01285799976075,41.01285799976075,41.01285799976075,41.01285799976075,41.01285799976075,41.01285799976075,41.01285799976075,41.01285799976075,41.01285799976075,41.01285799976075,41.01285799976075,41.01285799976075,41.01285799976075,41.01285799976075,41.01285799976075,41.01285799976075,41.37566471487525,41.37566471487525,41.37566471487525,41.37566471487525,41.37566471487525,41.37566471487525,41.37566471487525,41.37566471487525,41.37566471487525,41.37566471487525,41.37566471487525,41.37566471487525,41.37566471487525,41.37566620257317,41.37566620257317	0.9957635928966743	41.37566620257317	0	true	44
