# solver: Closest
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 560b81e8-9192-4cc2-bbfe-569ce2ff4c92
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-nopolice-refugeOnFire.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	9	9	1	0	0	0	0	0	-4.895262967650169	-4.895262967650169	46.034267523202075	46.034267523202075	-4.895262967650169	0.9975653416775723	-4.895262967650169	12	true	8
25	9	9	1	0	0	0	0	0	7.391834877244962	7.391834877244962	47.015578058415244	47.015578058415244	7.391834877244962	0.9975653416775723	7.391834877244962	10	true	3
26	9	9	1	0	0	0	0	0	6.489493899780012	6.489493899780012	47.25708827117157	47.25708827117157	6.489493899780012	0.9975653416775723	6.489493899780012	10	true	2
27	10	10	1	0	0	0	0	0	13.604362848581538	13.604362848581538	47.499917907490364	47.499917907490364	13.604362848581538	0.997262083184068	13.604362848581538	10	true	2
28	10	10	1	0	0	0	0	0	27.74241646194173	27.74241646194173	51.24873380195176	51.24873380195176	27.74241646194173	0.9970015206790418	27.74241646194173	7	true	2
29	12	12	1	0	0	0	0	0	26.125649816308766	26.125649816308766	51.27863505490924	51.27863505490924	26.125649816308766	0.9966696763439367	26.125649816308766	7	true	1
30	13	13	1	0	0	0	0	0	20.522981095039867	20.522981095039867	53.46330042010392	53.46330042010392	20.522981095039867	0.9965839188191344	20.522981095039867	8	true	2
31	13	13	1	0	0	0	0	0	23.748166678835112	23.748166678835112	48.45190036641165	48.45190036641165	23.748166678835112	0.9960483181143581	23.748166678835112	7	true	1
32	13	13	1	0	0	0	0	0	8.667229239831258	8.667229239831258	46.10732130483724	46.10732130483724	8.667229239831258	0.9955863021910939	8.667229239831258	8	true	2
33	15	15	1	0	0	0	0	0	13.764698101433162	13.764698101433162	44.58608697183888	44.58608697183888	13.764698101433162	0.9953466855776751	13.764698101433162	8	true	2
34	15	15	1	0	0	0	0	0	9.65190853590683	9.65190853590683	49.003494157209715	49.003494157209715	9.65190853590683	0.9953466855776751	9.65190853590683	9	true	2
35	17	17	1	0	0	0	0	0	11.043188427234593	11.043188427234593	49.38427780654649	49.38427780654649	11.043188427234593	0.9952186707218108	11.043188427234593	9	true	2
36	17	16	1	0	0	0	0	0	-0.9222682631498618	-0.9222682631498618	42.796184274392324	42.796184274392324	-0.9222682631498618	0.994762247680599	-0.9222682631498618	10	true	2
37	19	18	1	0	0	0	0	0	10.619655477029916	10.619655477029916	42.391668413598985	42.391668413598985	10.619655477029916	0.9944788749899475	10.619655477029916	8	true	1
38	20	19	1	0	0	0	0	0	10.505574472616416	10.505574472616416	42.27727434744539	42.27727434744539	10.505574472616416	0.9943707459369359	10.505574472616416	8	true	2
39	22	22	1	0	0	0	0	0	10.571288663629296	10.571288663629296	42.34264999525384	42.34264999525384	10.571288663629296	0.994087080808007	10.571288663629296	8	true	2
40	22	22	1	0	0	0	0	0	27.571740067968936	27.571740067968936	46.83176426397983	46.83176426397983	27.571740067968936	0.9937276010557021	27.571740067968936	8	true	2
