# solver: DSA
# max_time: 500
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 560b81e8-9192-4cc2-bbfe-569ce2ff4c92
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-nopolice-refugeOnFire.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	9	9	18	1044	6156	49248	0	0	45.65416366977295	45.65416366977295	45.65416366977295	45.65416366977295	11.464689654108547,17.700071647699843,23.031727620424,32.6532593552154,32.6532593552154,32.6532593552154,34.07410699951194,34.07410699951194,34.07410699951194,37.676824981145764,37.676824981145764,37.676824981145764,41.157955169644296,44.17948693617078,44.17948693617078,44.17948693617078,45.65416366977295,45.65416366977295	0.9975653416775723	45.65416366977295	0	true	14
25	9	9	14	812	4788	38304	0	0	44.93711825774796	44.93711825774796	44.93711825774796	44.93711825774796	5.716793934647754,20.518481544922167,30.312318272198098,36.827437476411944,36.827437476411944,42.32882416690659,42.97223793709343,42.97223793709343,42.97223793709343,42.97223793709343,42.97223793709343,42.97223793709343,44.93711825774796,44.93711825774796	0.9975653416775723	44.93711825774796	0	true	7
26	9	9	8	464	2736	21888	0	0	47.394925541464346	47.394925541464346	47.394925541464346	47.394925541464346	35.40847252738242,38.82217188556089,38.82217188556089,41.189872172156655,45.4240181425381,45.4240181425381,47.394925541464346,47.394925541464346	0.9975653416775723	47.394925541464346	0	true	3
27	10	10	12	696	4104	32832	0	0	45.02708900663967	45.02708900663967	45.02708900663967	45.02708900663967	39.62207919439153,41.882456708000745,40.06954643951809,39.09794523760449,38.254151242963886,38.67630381890672,38.67630381890672,40.2712530721285,42.56521887320863,43.58856189492659,45.02708900663967,45.02708900663967	0.997262083184068	45.02708900663967	0	true	2
28	10	10	32	1984	10944	87552	0	0	50.87489062336521	50.87489062336521	50.87489062336521	50.87489062336521	32.078930411395056,37.19313040618331,41.773806367088476,46.67865437092784,46.76436452876129,46.768544564990066,48.77753666383413,48.77753666383413,48.77753666383413,48.77753666383413,48.788433450151395,48.788433450151395,49.86994667009505,49.86994667009505,50.81839029488034,50.81839029488034,50.81839029488034,50.81839029488034,50.81839029488034,50.81839029488034,50.81839029488034,50.81839029488034,50.81839029488034,50.81839029488034,50.826778522667496,50.826778522667496,50.826778522667496,50.826778522667496,50.826778522667496,50.826778522667496,50.87489062336521,50.87489062336521	0.9970015206790418	50.87489062336521	0	true	6
29	12	12	7	434	2394	19152	0	0	51.656034124545855	51.656034124545855	51.656034124545855	51.656034124545855	49.07920196020339,51.15229497988173,51.15229497988173,51.15229497988173,51.15229497988173,51.656034124545855,51.656034124545855	0.9966696763439367	51.656034124545855	0	true	2
30	13	13	12	840	4104	32832	0	0	53.588540331168254	53.588540331168254	53.588540331168254	53.588540331168254	47.36175924306639,49.38085448033044,49.38085448033044,50.233204411957516,50.233204411957516,52.210376169709015,52.210376169709015,52.26706563443426,52.267129015185,53.54778159113688,53.588540331168254,53.588540331168254	0.9965839188191344	53.588540331168254	0	true	3
31	13	13	13	962	4446	35568	0	0	49.31125711351538	49.31125711351538	49.31125711351538	49.31125711351538	47.08557966215895,47.72701906230574,47.72701906230574,47.72701906230574,47.72701906230574,47.72701906230574,47.72701906230574,47.72701906230574,47.72701906230574,47.72701906230574,47.72701906230574,49.31125711351538,49.31125711351538	0.9960483181143581	49.31125711351538	0	true	3
32	13	13	14	1036	4788	38304	0	0	46.878381198629356	46.878381198629356	46.878381198629356	46.878381198629356	32.4687858936974,38.068190433542945,38.068190433542945,38.068190433542945,38.068190433542945,38.068190433542945,42.10098011203631,44.957689201896955,44.957689201896955,44.957689201896955,44.957689201896955,44.957689201896955,46.878381198629356,46.878381198629356	0.9955863021910939	46.878381198629356	0	true	3
33	15	15	9	666	3078	24624	0	0	47.1406524797843	47.1406524797843	47.1406524797843	47.1406524797843	30.989308058984435,37.644292989674156,39.922685082353595,44.898666851808,45.4120214430007,45.4120214430007,45.4120214430007,47.1406524797843,47.1406524797843	0.9953466855776751	47.1406524797843	0	true	2
