# solver: Closest
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 56f65405-fd44-4067-aa40-d045b23c8790
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	9	9	1	0	0	0	0	0	-Infinity	-Infinity	NaN	NaN	-Infinity	0.9976279600236874	-Infinity	13	false	179
25	9	9	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9975483437027073	-Infinity	11	false	7
26	9	9	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9975483437027073	-Infinity	11	false	6
27	10	10	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.997245085209203	-Infinity	11	false	6
28	10	10	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9970255371725607	-Infinity	12	true	6
29	10	10	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9970255371725607	-Infinity	12	true	5
30	10	10	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9968566540674508	-Infinity	12	true	5
31	10	10	1	0	0	0	0	0	-561.3658177678942	-561.3658177678942	8.38841402281002	8.38841402281002	-561.3658177678942	0.9964971743151462	-561.3658177678942	10	true	8
32	10	10	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9962776262785035	-Infinity	11	true	4
33	12	12	1	0	0	0	0	0	-768.6338788442667	-768.6338788442667	1.5252101896705614	1.5252101896705614	-768.6338788442667	0.9959930472799584	-768.6338788442667	11	true	8
34	12	11	1	0	0	0	0	0	-900.073632539759	-900.073632539759	3.7492083988616587	3.7492083988616587	-900.073632539759	0.9960094969330535	-900.073632539759	13	true	8
35	14	14	1	0	0	0	0	0	-815.2485713667625	-815.2485713667625	-1.343006695958783	-1.343006695958783	-815.2485713667625	0.9950440850702948	-815.2485713667625	9	true	9
36	15	14	1	0	0	0	0	0	-598.3397771507313	-598.3397771507313	9.44410746949987	9.44410746949987	-598.3397771507313	0.9950530775473202	-598.3397771507313	13	true	9
37	17	17	1	0	0	0	0	0	-905.8083865729014	-905.8083865729014	51.51066154804065	51.51066154804065	-905.8083865729014	0.9946165403089612	-905.8083865729014	8	true	8
38	20	19	1	0	0	0	0	0	-Infinity	-Infinity	27.18807043821829	27.18807043821829	-Infinity	0.994028775926481	-Infinity	10	true	6
39	22	22	1	0	0	0	0	0	-Infinity	-Infinity	51.33962930708029	51.33962930708029	-Infinity	0.9932332707028023	-Infinity	7	true	7
40	25	22	1	0	0	0	0	0	-Infinity	-Infinity	-23.13129697381093	-23.13129697381093	-Infinity	0.9926476996074016	-Infinity	9	true	6
41	25	23	1	0	0	0	0	0	-59.914355299532446	-59.914355299532446	72.22580122438318	72.22580122438318	-59.914355299532446	0.9925381449177881	-59.914355299532446	10	true	9
42	29	26	1	0	0	0	0	0	-286.41828788776075	-286.41828788776075	69.24824776029189	69.24824776029189	-286.41828788776075	0.9921556356511503	-286.41828788776075	11	true	9
43	29	24	1	0	0	0	0	0	-Infinity	-Infinity	14.834069336819397	14.834069336819397	-Infinity	0.9921750462418026	-Infinity	11	true	6
44	32	25	1	0	0	0	0	0	-95.20507832809147	-95.20507832809147	64.5255636503278	64.5255636503278	-95.20507832809147	0.9914196781716759	-95.20507832809147	12	true	9
45	34	29	1	0	0	0	0	0	-82.92339474938129	-82.92339474938129	66.18181646209257	66.18181646209257	-82.92339474938129	0.9908247490514034	-82.92339474938129	11	true	9
46	34	29	1	0	0	0	0	0	10.538481767835128	10.538481767835128	70.65172788787021	70.65172788787021	10.538481767835128	0.9909178540879214	10.538481767835128	10	true	10
47	35	30	1	0	0	0	0	0	9.871297988839963	9.871297988839963	69.66555843906154	69.66555843906154	9.871297988839963	0.9904107661151769	9.871297988839963	12	true	10
