# solver: Greedy
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 58dd19a8-a937-4a66-b4af-3dca072290fe
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	12	12	1	0	0	0	0	0	-Infinity	-Infinity	-131.97187501801906	-131.97187501801906	-Infinity	0.9977623354120823	-Infinity	8	true	21
25	14	14	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9968314678208231	-Infinity	7	true	2
26	14	14	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9962825977292168	-Infinity	7	true	3
27	14	14	1	0	0	0	0	0	-Infinity	-Infinity	-21.59770968664654	-21.59770968664654	-Infinity	0.9962825977292168	-Infinity	7	true	6
28	14	14	1	0	0	0	0	0	-216.4076309778078	-216.4076309778078	44.022140861380365	44.022140861380365	-216.4076309778078	0.9962825977292168	-216.4076309778078	6	true	8
29	14	13	1	0	0	0	0	0	-Infinity	-Infinity	16.265952471104704	16.265952471104704	-Infinity	0.9962914805418883	-Infinity	9	true	7
30	14	13	1	0	0	0	0	0	-79.24737921034385	-79.24737921034385	40.784225144341306	40.784225144341306	-79.24737921034385	0.9961225974367784	-79.24737921034385	9	true	7
31	14	13	1	0	0	0	0	0	-177.31029319682563	-177.31029319682563	39.422572685736114	39.422572685736114	-177.31029319682563	0.9959126998632849	-177.31029319682563	8	true	8
32	14	13	1	0	0	0	0	0	-468.95903772998497	-468.95903772998497	40.43028724482167	40.43028724482167	-468.95903772998497	0.9959126998632849	-468.95903772998497	7	true	7
33	15	13	1	0	0	0	0	0	-20.662689089572126	-20.662689089572126	33.953741770582496	33.953741770582496	-20.662689089572126	0.9957306935904842	-20.662689089572126	12	true	7
34	15	14	1	0	0	0	0	0	-105.61007446939726	-105.61007446939726	38.38320126546958	38.38320126546958	-105.61007446939726	0.9956634693415021	-105.61007446939726	11	true	7
35	16	15	1	0	0	0	0	0	13.116094454354673	13.116094454354673	43.01784581703419	43.01784581703419	13.116094454354673	0.9950216404325162	13.116094454354673	9	true	7
36	16	16	1	0	0	0	0	0	-721.6643718281885	-721.6643718281885	43.270493921534495	43.270493921534495	-721.6643718281885	0.9949286450603518	-721.6643718281885	7	true	8
37	16	15	1	0	0	0	0	0	-534.8975601020074	-534.8975601020074	34.20036051624199	34.20036051624199	-534.8975601020074	0.9943138666920113	-534.8975601020074	11	true	7
38	17	14	1	0	0	0	0	0	-1413.7802651443012	-1413.7802651443012	24.564790416357603	24.564790416357603	-1413.7802651443012	0.9941817211454809	-1413.7802651443012	14	true	8
39	17	15	1	0	0	0	0	0	-1356.218176977303	-1356.218176977303	28.267530300299967	28.267530300299967	-1356.218176977303	0.9941728383328093	-1356.218176977303	12	true	8
40	18	16	1	0	0	0	0	0	-1092.1629173693818	-1092.1629173693818	32.578485359371115	32.578485359371115	-1092.1629173693818	0.9938175258259554	-1092.1629173693818	10	true	7
41	18	15	1	0	0	0	0	0	-1354.190817289742	-1354.190817289742	31.192774826731778	31.192774826731778	-1354.190817289742	0.9938264086386268	-1354.190817289742	11	true	7
42	18	15	1	0	0	0	0	0	-1306.3221318397655	-1306.3221318397655	31.96761573101626	31.96761573101626	-1306.3221318397655	0.9938264086386268	-1306.3221318397655	12	true	7
43	20	17	1	0	0	0	0	0	-1147.687958487752	-1147.687958487752	29.284911257630235	29.284911257630235	-1147.687958487752	0.9935850739503294	-1147.687958487752	12	true	8
44	20	17	1	0	0	0	0	0	-Infinity	-Infinity	18.03257505668595	18.03257505668595	-Infinity	0.9932074995796201	-Infinity	10	true	6
45	22	18	1	0	0	0	0	0	-Infinity	-Infinity	14.229533114076423	14.229533114076423	-Infinity	0.9926789539482822	-Infinity	11	true	140
46	23	18	1	0	0	0	0	0	-74.86699248075844	-74.86699248075844	38.981438468713215	38.981438468713215	-74.86699248075844	0.9927023855652467	-74.86699248075844	9	true	8
47	23	17	1	0	0	0	0	0	-314.69885630678755	-314.69885630678755	39.92501361246795	39.92501361246795	-314.69885630678755	0.9927491025800369	-314.69885630678755	7	true	8
48	24	17	1	0	0	0	0	0	-332.55415535284993	-332.55415535284993	31.405774239348943	31.405774239348943	-332.55415535284993	0.9926760661202946	-332.55415535284993	10	true	8
