# solver: Random
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 5d187b25-51b1-4c9c-b78c-00b1f9b39f62
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	100	0	0	0	0	0	1.6791794639287723	1.6791794639287723	1.6791794639287723	1.6791794639287723	-98.3981900104325,-148.39795560487454,-98.42392394420834,1.6787916411631068,-98.42366978209812,1.6790569205336068,1.6790611144402443,-98.42361111137981,-98.42386281314052,1.6789667232786032,-98.42377719034697,-98.42392394420834,0.6365144358924012,1.6789705860250685,-98.42391676952256,0.6364985835160339,-98.42369052573838,-98.42359483605904,-148.39799354727865,-48.32089424348548,-48.32119875618763,-98.39802289595585,-98.39802807650148,-148.42395998602464,-49.36323605890269,1.6790225347380165,0.6367244050729329,1.679026478972569,1.6791392188788525,-98.42361111137981,-98.39832958035451,-148.39822940658365,-49.36335877996791,-98.42386281314052,0.6366516619615676,-148.42357108390746,-98.39807827705687,0.6366973746834715,1.6789079958525996,-98.39808142670047,-49.36326952414939,-148.42357534583397,-98.42392693349804,0.6363157494703637,1.6791254025722075,-98.4235981471771,0.6364147561291866,1.6791522043250857,1.6789528967443579,0.6366960321861065,1.6790683137314861,0.6367052581900227,-98.42402594015687,0.6365957200403755,-98.42359504029368,0.6366726598920384,-98.3981900104325,-49.36330462738728,-98.42364332817375,0.6365132086928744,1.6789786894139145,0.6367435424501277,1.6790728137282902,0.6367519014608414,0.6366349114984718,-98.39795725234224,-49.36335097966994,-98.42391262447036,1.679026478972569,0.6367568893223206,-49.36357718344436,1.6789152283462871,-49.36361829639741,-98.39794921948388,-98.42384821229045,1.6789528967443579,-98.39827705806607,-98.39828004735577,-148.42364201985754,-98.42372475679068,-48.32086146397551,1.6790940954035851,1.6790226131728896,-49.36349213820494,1.6790226131728896,0.6366518631772865,-49.36349320557137,0.6365144358924012,-98.39810624727977,0.6362081680035494,0.636769747910515,1.6791394522937508,-48.320827569461926,1.6790194635292852,1.6791392188788525,-148.42369268815,1.6790787466368513,0.6366020991230792,-48.32093894977404,1.6791794639287723	0.9991239280309399	1.6791794639287723	0	true	10
25	6	6	100	0	0	0	0	0	1.8674414035443843	1.923929671029063	1.923935999929058	1.923935999929058	-148.1747847883661,-149.15168199204425,-48.07630894383302,1.8674552630498942,1.9237506539862284,-48.08225541132225,1.867505520035429,0.8806768048483758,1.923929671029063,1.9236539636686982,-98.1746886127838,1.8674552630498942,-99.15127809155808,1.8674497004598252,-98.17471556655951,-49.11923989429453,1.9237290049782272,-48.13258234666764,-148.17479452459247,-48.08231259353427,1.9176707256064327,-48.13279941635926,1.917684454650591,-149.15134727710168,-48.08224809891547,1.8672027744060504,1.8674036615293748,0.8805247575823457,-99.15130136438503,1.923872435273937,-48.082221897521194,1.8675029896270008,-99.15149356180235,1.8672650963780073,-49.11924586164008,-48.13264166659518,-99.15136136869103,-98.17484443940847,-99.15133847644545,-48.08221613299922,-49.11929608873306,-98.17474626271103,-99.15155861528841,1.9238277496201555,-148.17478737763608,-49.11914084448953,-48.076130036412316,-98.17482348195963,-99.151265873069,-49.1192307622203,-49.119269561529066,-48.07607068368033,1.923799552652613,-99.1512522935473,1.8673306770935585,1.9239264699182383,1.9175798673306785,-148.17478662133516,-98.17470597360338,1.9239021480784444,-149.15128019321293,-99.15148569418739,0.8807597431602872,-149.15134491198666,-99.15137118515025,1.9176605625151015,-98.17498553005882,-99.15131252432029,1.9176487128722142,-48.08245808148057,1.923743629648771,0.8807689063617015,-48.13257409323984,1.8673830123928674,-98.17492280806707,1.9176534166024672,0.8806768048483758,-98.17475072303723,1.9237845625214758,-148.17472029374733,-98.17491797974574,-48.08222063940072,-49.11954859376292,-148.17504074895774,1.8675042082137938,0.8806608041913674,-49.1192307622203,-48.082623882272614,-99.15139976901591,-99.1513815392241,-148.175122775432,0.8806246752744671,-99.15134021868354,-49.11942097538257,-149.1512527336982,-149.15131893600253,1.917779800750149,-99.15124830935447,0.8808205474741198,1.8674414035443843	0.9990443117099597	1.923929671029063	0	true	1
26	6	6	100	0	0	0	0	0	-148.9313702604145	2.1366450931496748	2.1366450931496748	2.1366450931496748	-147.952667689633,2.1300594322452935,-98.93134296508053,2.12986722950865,-47.863377665839295,-147.9526864055106,-47.91671904277181,-47.86992805993024,2.1365655555663117,2.083286853141005,1.0967856723193872,-97.95268724844973,-148.93140767184664,2.1364373437088706,2.136512388021231,-47.916713569451744,-147.95274629941076,-47.86366847249985,2.083341191003073,2.1363672998327345,2.1365252818980918,-98.93160944670848,-147.95268327996877,-47.916731362434874,2.1364301193184554,-97.95311654138546,-98.93156133604,-147.9527192979431,2.0832503160883458,-98.93132998905624,-97.95281533170501,-148.9315745886994,-98.93131443607449,1.096866326804766,2.130134197671838,2.1364192126569317,-47.86344638300826,-148.93139801663935,-47.869939897632456,-148.93136331888812,2.1300087874126166,-98.93143348010283,-47.86993182308801,1.0969069780186003,-98.93149621014376,-98.93133181692812,-98.93139397365785,-47.86990191840481,-98.93148418414268,-47.869926852215265,-48.90318292682051,2.0829790878046395,2.129856567891493,-97.95273307438747,-148.93148800828763,-47.86994555753351,-47.91665705222325,-47.863403789663955,-48.903161610094386,-47.86987260438376,2.0833132177093745,2.0833312342321655,-47.91671358475196,2.1300731464490967,-98.93157766005596,2.1366450931496748,2.0831028450224904,1.0969041076204522,2.0833521482630912,1.09690614472297,-47.916715162232435,2.0833484042458927,-97.95280111443145,-47.86345586203217,-97.95264439146932,2.1366186335661164,2.1365252818980918,2.1364693106345225,-98.93160171553367,-148.93136238595685,-97.95285278768458,-97.95292393094418,-97.9527136130181,1.0968089889337105,2.1365879425159466,-47.91674583325163,2.0829892588052554,-47.86990042982999,1.0966956342572591,-48.903180059666674,1.0968471444161039,-48.90315806710198,-47.86990370310994,-98.93137946455374,1.0967752372484685,-147.9527476813365,-98.93132573027236,2.1366274984978944,-97.9527139347385,-148.9313702604145	0.9990443117099597	2.1366450931496748	0	true	3
27	6	6	100	0	0	0	0	0	-47.671818426837184	2.3281748126708233	2.3281816745307884	2.3281816745307884	-147.75246182022352,-47.671918924956216,-98.73300137156922,1.2922672881479906,1.2920690304826241,-147.75237943858113,-148.73305595636555,-98.73296032673886,-98.73306021359593,-97.75250883831114,-47.67871818227969,-47.671952463738606,-47.72058609681304,2.3212903003382914,-47.67219240120065,-98.73309788456882,-48.708118464084926,-47.72048025833255,-98.73307254578216,-98.7330884480949,2.3212787513025916,-47.67191866600934,-98.73311363073763,-48.70781603107435,2.328023244474633,-47.72031893341669,-147.75232418749525,-97.7525393446454,-47.6718346040621,-48.70780164381292,2.3281748126708233,-47.6789878601045,-48.707812004220386,-147.75251878638966,2.2795677077345267,-97.75231750153716,-48.70772135370894,2.2796354940752477,2.3210867115399987,-48.70781687547557,-47.72040052539938,-47.671916575815104,-97.75239632150578,-48.707860202222676,-147.75231321482397,-98.7330601657209,2.3281681018745948,1.292207581148382,1.292060608513846,-47.67879643575255,-98.73299406167344,-148.73297362025195,2.2795653647186924,2.3212435095334163,-47.67183873381531,-47.67881057164805,-147.75234368657703,2.279673433411802,2.327862269667867,-47.720557762511184,-148.73298861897143,-97.7524181133245,-148.73302884610632,-98.73300546488203,-47.67878365847289,-147.75243964634606,2.3210736667439433,-47.671897637998896,-47.72040196920719,2.3281665314748676,1.2922019131600344,-148.73334555628026,-98.73299940056091,2.3281229637314227,2.2796417429769673,-97.75235559852904,1.2922109931842192,-147.75238104655645,-47.720415219191594,-97.75234454832146,2.327935281862577,2.321072806857228,2.3212430733656664,-47.720397876690186,2.328135908512558,-47.67880247246704,-148.73302749884164,2.3211496752460885,-47.720627698691914,2.327977906241746,-97.75234645608717,-97.75230049113568,-147.75234935951133,2.2796398370079007,2.32806382038956,-147.75230179526378,-47.72033504920618,2.3281440352730614,-47.67870345638251,-47.671818426837184	0.9990443117099597	2.3281748126708233	0	true	1
28	6	6	100	0	0	0	0	0	-47.54928722256564	2.49462427875911	2.4946984444674474	2.4946984444674474	1.4627985740993936,2.4889603465945465,-47.51083472093143,2.494450608061372,1.4628025889380452,1.4629183560287948,-148.55822104783567,-47.50531549989299,-48.53714228679176,-147.57505250520666,-148.55816497875205,-148.55795838011986,-47.54914593850505,2.4508391980394344,-47.5055032414066,-47.505537084426464,1.4628790699502991,-47.51086188309053,-147.574790481982,-147.57516812342288,2.4891941736849237,-147.57478502214263,-47.5491456657158,2.450916744702868,-147.57516812342288,-47.54906659639995,-47.54908700512166,-98.5579890149132,2.4506516939462917,-97.57502665023586,-47.5490972804114,-47.54907909309996,-47.5055105345036,-47.549274199761925,-98.5579504099125,-148.55798809463755,2.4507596394035085,2.4891913499751555,-147.57478705882858,-48.53730530074451,-48.53715050161896,-47.54911964443707,-47.54914672933381,-47.54922105574859,-98.55796418946662,-47.51083701306754,-47.54937192223025,-48.53708422229465,-48.53708135758301,-47.549106078983016,-47.54943672747862,-98.55820361536712,2.49462427875911,-47.5055105345036,2.4892299549758725,-148.55818852074367,-47.510771676847476,-148.55795087739142,-147.57484774422184,-48.537270770059386,-98.55793785527578,-47.54939166602456,-47.549282346601956,2.4891682115091855,2.450646293557308,-148.55795838011986,1.4629183560287948,-98.5579516076031,-148.55795087739142,-47.5056736629397,-47.50540436648291,1.4630106495202349,-47.511002093749376,-47.50531542784164,-48.53702855764062,-47.510974573997046,-47.505416693553556,-47.50544740220849,-47.51077631415745,1.4628679328142808,2.450885521036669,-48.5370078471323,-47.54907145559453,2.494588384528335,-148.55795283004846,1.462921515615996,-147.57477394065512,-48.53702811896043,-148.55814591200203,-47.510775933277394,-47.51080277246932,-47.54907916515131,-148.55799192953856,-48.53698718883581,-47.549135804591344,2.4891859541219166,-47.51082832746393,-47.511010053378385,-147.57478705882858,-47.54928722256564	0.9990443117099597	2.49462427875911	0	true	1
29	6	6	100	0	0	0	0	0	-47.361926427627274	2.637970983022602	2.638089294539818	2.638089294539818	-47.36201599311035,-97.4216384480238,-47.39910989927006,2.637970983022602,-48.38877648577583,-48.388863446836226,-47.36201850855169,-47.36731619970631,-148.40699897020252,2.600730654361932,1.611209537015384,-98.40708760011907,-98.40708094809534,2.637822216974729,-47.36206738684918,-48.3888518023123,-147.42171859921308,-47.399413766846195,-47.36747351883953,2.6378746646257443,-47.39917281464951,-147.42166970568823,-47.399175261408445,-147.42173317600717,-47.367211200321016,-48.3888520122973,-148.40700887762463,2.6327670271180423,2.6325156276739796,-148.40722123960697,-97.4216570958066,1.6111233250952781,-47.39915025454247,-98.40712812212558,2.632743028977308,-98.40723332097004,2.6327901154895605,2.632801379330984,-47.36201318936285,-48.388775407318676,2.6327474178735315,2.6326131176357577,-47.36758163373367,-48.38905443302155,-47.367218414570175,-47.36722767939731,-47.36192467631884,-147.4216781662188,2.632671336052626,-47.36739622304344,-48.388795043889615,-148.40735749583524,-47.39919651778455,-48.388795043889615,2.632526456684621,-47.39924521789937,-48.3888520122973,2.632655341577418,-47.361964703805974,2.637947113622604,2.63791186621378,-47.36198989969153,-47.36723522917953,-47.36201599311035,-47.36201599311035,-47.362066051117694,-148.4070725084465,2.6378776764299605,-47.36205303245778,-47.361964703805974,-47.39910826077059,-47.39910947859474,-47.3674354638461,-47.39939952415481,2.6379539992042913,1.6110187417270485,-98.40700341076584,-48.38888203848353,-147.421958864362,2.637956129141174,-148.40726950260705,-47.361991142697605,-148.40730521590257,2.6008484038754602,-98.4072112240983,-47.3991751752252,-147.42169402220037,-147.42173889582136,-47.367209449012584,-48.388794325688224,-147.42177097937173,-47.36195336918606,2.6379319902993856,-98.40706120104673,-47.36217446804011,-147.42166236371048,-48.38884662131759,-48.38878621381174,2.637928578901458,-47.361926427627274	0.9990443117099597	2.637970983022602	0	true	0
30	6	6	100	0	0	0	0	0	-148.27994454445826	2.757499392921174	2.757518538984514	2.757518538984514	-98.2798751181484,-47.24250218334011,-147.2916487209943,0.7351119077928829,2.752818073450068,2.725426638729361,-47.274521205889364,-98.2801853378918,2.752875652672625,-47.274758191756824,-47.24256183354513,-97.29168071593044,-47.27447873782636,-147.29142960562217,0.7350690645498497,-47.242798949380266,-98.28001940829587,2.757499392921174,2.752886237747087,-98.27994255213665,2.7572913109196855,-49.26474802315868,-47.242496386115086,-98.27994559302564,-49.26477403716671,-47.24256167325114,2.7573837029756465,2.753011219550792,-97.29153157384802,-49.26487377070191,-147.29147744176794,-148.27987494502779,-49.26481133811921,-147.291477313323,-47.24252290272778,-97.29139673783915,2.725307491032264,2.7572000879195677,2.7528399618970827,-49.26494939813524,-147.2917677158755,-47.246982573803315,-97.29140073716954,-47.274481210940216,-98.27989312603174,-98.27987864630228,-47.24256183354513,2.752798488404036,-147.29147734477021,-97.2916728247391,-147.29141153215366,-148.2799412192646,-97.29139826538615,2.7255027143077806,-97.29188051230906,-147.29147540917265,-98.28009856727716,-97.29152939571773,-47.246982573803315,2.7253320685431217,-49.265104128699036,-98.28012605118538,-98.28015456113742,-47.274455497706555,2.725485717461304,-47.274518619425585,-98.27986516833099,2.7255139965540844,-147.29141204000425,-97.29160179846316,-47.24252001935487,2.757266733408828,-98.27989683061816,2.725526124462004,-147.2914110166368,2.7254616728940952,2.7574159261924125,-47.24250194650558,2.7528944006642746,-49.26477122512508,-98.28034153484337,-98.28013572976265,-49.26512909785512,2.752976714833076,2.725354235983938,2.7528254408187416,-97.29140995103339,-47.27453808931638,-148.2799395452006,0.7351496799426248,2.7253320685431217,0.7350595442419333,2.752828763553329,0.7351989218285987,2.7574683071961443,2.7573438976774165,0.7352463365027546,0.734948882149352,-47.24252323096905,-148.27994454445826	0.99887542860485	2.757499392921174	0	true	12
31	6	6	100	0	0	0	0	0	0.8371548589147736	2.853761434015535	2.8537626529394675	2.8537626529394675	-97.18431957753239,-47.17149676334935,-47.146572904684554,-98.17522215051115,-98.17506301065198,2.8284075391268804,-148.17506982041417,-97.18433685201924,-147.18429718147235,2.82847630521928,2.8509628179637074,2.828508054375829,-47.17153659171206,2.850847807325145,2.8537493242645806,2.8508402685208667,-147.1842971250652,-47.17173024854488,-47.14932592913829,0.8371693739163598,-147.18438306181534,-47.1463436191065,-49.16273400986302,-97.18436297516854,-98.17510741628269,2.8536518408469083,-97.18439416752688,-97.18436000469,-47.14625787240682,0.8372580651683499,-148.1750726776363,-49.16285439350615,2.8283687152082373,2.853761434015535,2.8534669701100954,0.8371121436006126,2.853586685699262,-97.18442356788154,0.8369767832674194,2.8509104638494103,2.8284858419453998,2.8509840571655727,-97.18435247591452,-98.1750481823602,-147.18456261876526,2.850874626766025,0.8372628433287901,-148.1750271794209,-97.18428750692492,2.850846714875857,-98.17501926065076,2.8509481107284325,-47.1466325476713,-97.18438868169534,-47.149045258593276,0.8370682042302102,-97.18457015322551,-47.17148079561475,-147.18456960275157,-49.16275051144294,0.8372711324671696,2.8284850463419033,-98.17514164142328,2.8509838682817588,0.8372688311977705,-98.17509308765362,-97.1843131014109,2.8537375525687687,-98.17500318532227,2.8537463015007583,-97.18443211650239,0.8372333142759325,2.8507302171588775,2.8285409759107347,-47.1466325476713,2.8284285264377678,-147.18438077738946,-49.16285673518498,2.8509582737957873,-148.17507017597578,-98.17518050167293,2.82847630521928,2.8507667585250833,-98.17504682728706,2.8285360288487422,2.828458603919356,0.837271599921373,-147.18459730434498,-98.17499785277857,0.8372333142759325,2.8509582737957873,-98.17506378071432,2.850797703926329,2.850935082657087,-47.171534918238166,2.8507046540693177,-47.14911240332178,2.850847807325145,2.8284827702782716,0.8371548589147736	0.99887542860485	2.853761434015535	0	true	0
32	7	7	100	0	0	0	0	0	-97.1038314554329	1.9218331595658877	2.9243831435315513	2.9243831435315513	-148.0971855821672,-147.10380408077503,-47.07607680190471,-147.10371786387498,-49.08820767541925,-148.09726678864416,-49.0882622145277,-48.07836306136375,-48.07830616093332,-148.09719741987686,-147.1038035256118,-48.07816937030597,-47.09450595746928,-49.08846885428647,-148.09720144440087,-49.08838912964339,-147.10390011809446,-47.07569479367497,-47.07570754085645,-49.088185509429046,-49.08863582476948,-49.08818401493813,-97.1038314554329,-98.09718463831814,-47.09427312714329,-147.1037811578789,-48.07820692107269,-47.09429014668144,-47.07564710201069,-47.07569241502332,-47.075709790151976,-47.07607739125398,-49.08830697914034,-48.078511717527846,-47.0756895248206,-49.0881898912306,-48.07814775007892,-47.075627282518305,-47.07568649428023,-47.07591042077097,-48.07833612827062,-148.09721413724722,-49.08843694258677,-47.09452707485027,-148.09748572956954,-47.09425778320997,-148.09720717765893,-49.088410373946296,-49.088206572485156,-47.07579513870934,-147.10379486331846,-49.08820524442405,-147.10374313069923,-148.09722183201367,-49.08844485799797,-47.094266957699325,-47.07588689871968,-47.09428653152811,-147.1037787572102,-47.07564997055085,-47.07583069612789,-48.0781497664294,-47.07589301724732,-48.078232571707765,-49.088184894839394,-49.08820553552619,-48.078168362993594,-49.088249011568884,-47.075763986463606,-49.088410373946296,-47.09427222992711,-47.09453506887648,-148.09721455894606,-47.075747265565035,-47.0943306400878,-47.0758254624157,-148.09739847797758,-47.09435261943613,-49.08822611000585,-148.09719978435288,-49.08863523542021,-48.0781531934063,-148.0973932442654,-148.09723746308623,-98.09730789492652,-47.09443531483993,-147.10397254742566,-148.09753585777844,-47.094326670410815,-49.088179803936114,-47.07562646132389,-147.1037388995099,-49.088210481908476,-47.07569046395721,1.9218331595658877,-49.08836455853071,-47.07567301071467,-47.07565450602645,-49.08820277897405,-97.1038314554329	0.9987036576717526	1.9218331595658877	0	true	1
33	7	7	100	0	0	0	0	0	2.9703669622798157	2.9705085663434456	2.9705130775676736	2.9705130775676736	0.9632333410300481,-148.0418878628201,2.9704226959499187,2.961400819708754,2.9705085663434456,-148.04181574891265,-98.04654074900878,2.9702981747491197,2.9523268935326836,-49.03653543421603,1.9701331122260692,-148.04661353095992,1.9705808893700978,2.9703971690430278,2.961175571886996,-98.04661957596231,-148.04188894172262,0.9634861336097842,-48.02947615148052,2.9524559753891215,-148.0466333891028,1.9705022392710947,-98.04681052107453,0.9635120027405087,-148.0466101572507,-49.03649696117707,-47.047608899490236,0.963472655523991,2.970451821963073,-48.02947473582659,-98.04656281476763,2.961156933685372,-98.04171615357829,2.9611936428310734,1.970519302369766,1.970519775645092,0.963275082743615,-47.038694999172414,-98.04658896955647,-47.03863121161831,1.9703148628180696,-98.04168731598857,1.9705003754822763,1.9704077111697837,1.9705273795342813,1.9702937787169872,-98.04657835445582,-47.04747516088394,2.9611336465945373,-47.038612919196495,2.970234909206418,-98.04677161302699,1.9705691623964778,-98.04214829645038,-47.03861489659339,-48.029527770824636,-47.038727662547835,-47.038694999172414,-47.0386094075433,1.9705797638693106,-47.02961809549006,-98.04171676029031,2.961304879944545,-98.04176025043628,2.9702197411106637,-148.04661352337996,1.9705808893700978,2.9524607911167555,-48.02943931009466,2.970505354606128,1.9703231360646871,-47.02969252343082,2.9523189434374753,-98.04689143631897,-98.046732197574,-49.03647665559179,-47.029688932237754,2.952327216684093,-48.02969361833635,-98.04182765803634,-98.04174276632436,-148.04657767698097,-98.04656391726647,-98.04672224483824,-98.04668143921809,-48.02943756453372,-98.04656763303863,-49.036482793501115,-47.047472641362276,2.9611421695253237,-49.036530762647864,-148.04171763346707,-98.04192179759231,0.9635096454005042,-148.04655559711574,2.961262592874318,-148.04680554772233,-98.04172457327407,2.961131513086138,2.9703669622798157	0.9986204224270916	2.9705085663434456	0	true	2
