# solver: DSA
# max_time: 500
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 5e45c472-ef0e-48eb-80ed-01666e32081b
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	1	12	1	8	0	0	1.5702754224014286	1.5702754224014286	1.5702754224014286	1.5702754224014286	1.5702754224014286	0.9991239280309399	1.5702754224014286	0	true	3
25	6	6	15	240	15	120	0	0	1.824801726841993	1.824801726841993	1.824801726841993	1.824801726841993	1.7658827177232763,1.7658827177232763,1.7658827177232763,1.7658827177232763,1.7658827177232763,1.7658827177232763,1.7658827177232763,1.7658827177232763,1.7658827177232763,1.7658827177232763,1.7658827177232763,1.7658827177232763,1.7658827177232763,1.824801726841993,1.824801726841993	0.9990443117099597	1.824801726841993	0	true	1
26	6	6	1	24	1	8	0	0	2.0019887596022	2.0019887596022	2.0019887596022	2.0019887596022	2.0019887596022	0.9990443117099597	2.0019887596022	0	true	1
27	6	6	1	24	1	8	0	0	2.1624927338010815	2.1624927338010815	2.1624927338010815	2.1624927338010815	2.1624927338010815	0.9990443117099597	2.1624927338010815	0	true	1
28	6	6	1	24	1	8	0	0	2.3108399686026955	2.3108399686026955	2.3108399686026955	2.3108399686026955	2.3108399686026955	0.9990443117099597	2.3108399686026955	0	true	0
29	6	6	1	24	1	8	0	0	2.444962960477891	2.444962960477891	2.444962960477891	2.444962960477891	2.444962960477891	0.9990443117099597	2.444962960477891	0	true	1
30	6	6	1	24	1	8	0	0	2.563836322264526	2.563836322264526	2.563836322264526	2.563836322264526	2.563836322264526	0.99887542860485	2.563836322264526	0	true	0
31	6	6	1	24	1	8	0	0	2.6695982300863843	2.6695982300863843	2.6695982300863843	2.6695982300863843	2.6695982300863843	0.99887542860485	2.6695982300863843	0	true	0
32	7	7	1	24	1	8	0	0	2.7603854976238598	2.7603854976238598	2.7603854976238598	2.7603854976238598	2.7603854976238598	0.9987036576717526	2.7603854976238598	0	true	1
33	7	7	1	28	1	8	0	0	2.837247894903781	2.837247894903781	2.837247894903781	2.837247894903781	2.837247894903781	0.9986204224270916	2.837247894903781	0	true	0
34	8	8	1	28	1	8	0	0	2.898405925242142	2.898405925242142	2.898405925242142	2.898405925242142	2.898405925242142	0.9984128643598162	2.898405925242142	0	true	0
35	9	9	1	32	1	8	0	0	2.9438024406949754	2.9438024406949754	2.9438024406949754	2.9438024406949754	2.9438024406949754	0.998144332911735	2.9438024406949754	0	true	0
36	10	10	7	252	7	56	0	0	2.9803221446156907	2.9803221446156907	2.9803221446156907	2.9803221446156907	2.9756501732480456,2.9756501732480456,2.9756501732480456,2.9756501732480456,2.9756501732480456,2.9803221446156907,2.9803221446156907	0.9981368757356651	2.9803221446156907	0	true	1
37	11	11	1	40	1	8	0	0	2.9996809114513057	2.9996809114513057	2.9996809114513057	2.9996809114513057	2.9996809114513057	0.9979193747669632	2.9996809114513057	0	true	0
38	11	11	1	44	1	8	0	0	2.999521519895374	2.999521519895374	2.999521519895374	2.999521519895374	2.999521519895374	0.9975972905593614	2.999521519895374	0	true	0
39	12	12	9	396	9	72	0	0	2.999638786286303	2.999638786286303	2.999638786286303	2.999638786286303	2.999357895630908,2.999357895630908,2.999357895630908,2.999357895630908,2.999357895630908,2.999357895630908,2.999357895630908,2.999638786286303,2.999638786286303	0.9975264473866985	2.999638786286303	0	true	1
40	12	11	12	576	12	96	0	0	2.999577462503171	2.999577462503171	2.999577462503171	2.999577462503171	0.9997524777578575,0.9997524777578575,0.9997524777578575,0.9997524777578575,0.9997524777578575,0.9997524777578575,0.9997524777578575,0.9997524777578575,0.9997524777578575,0.9997524777578575,2.999577462503171,2.999577462503171	0.9975284213450698	2.999577462503171	0	true	15
41	13	12	2	88	2	16	0	0	2.9998177083409456	2.9998177083409456	2.9998177083409456	2.9998177083409456	2.9998177083409456,2.9998177083409456	0.9974948640527561	2.9998177083409456	0	true	1
42	14	13	1	48	1	8	0	0	2.9999293468447017	2.9999293468447017	2.9999293468447017	2.9999293468447017	2.9999293468447017	0.9973245918658294	2.9999293468447017	0	true	0
43	14	13	10	520	10	80	0	0	2.999444969495542	2.999444969495542	2.999444969495542	2.999444969495542	2.999269556306088,2.999269556306088,2.999269556306088,2.999269556306088,2.999269556306088,2.999269556306088,2.999269556306088,2.999269556306088,2.999444969495542,2.999444969495542	0.9972413566211682	2.999444969495542	0	true	0
44	15	14	1	52	1	8	0	0	2.999786817884834	2.999786817884834	2.999786817884834	2.999786817884834	2.999786817884834	0.9971568419590441	2.999786817884834	0	true	0
45	18	17	8	448	8	64	0	0	2.999437431516688	2.999437431516688	2.999437431516688	2.999437431516688	2.9993648617184965,2.9993648617184965,2.9993648617184965,2.9993648617184965,2.9993648617184965,2.9993648617184965,2.999437431516688,2.999437431516688	0.996503461738107	2.999437431516688	0	true	0
46	18	18	3	180	3	24	0	0	2.999921448494156	2.999921448494156	2.999921448494156	2.999921448494156	2.9992206123437364,2.999921448494156,2.999921448494156	0.9965014877797355	2.999921448494156	0	true	1
47	18	18	8	512	8	64	0	0	2.999852336358865	2.999852336358865	2.999852336358865	2.999852336358865	2.999459811701667,2.999459811701667,2.999459811701667,2.999459811701667,2.999459811701667,2.999459811701667,2.999852336358865,2.999852336358865	0.9965014877797355	2.999852336358865	0	true	1
48	19	19	12	816	12	96	0	0	2.9997021367860617	2.9997021367860617	2.9997021367860617	2.9997021367860617	2.9992253665311197,2.9992253665311197,2.9992253665311197,2.9992253665311197,2.9992253665311197,2.9992253665311197,2.9992253665311197,2.9992253665311197,2.9992253665311197,2.9992253665311197,2.9997021367860617,2.9997021367860617	0.9960968263135962	2.9997021367860617	0	true	1
49	20	20	8	576	8	64	0	0	2.9999079790530234	2.9999079790530234	2.9999079790530234	2.9999079790530234	2.9993311345030302,2.9993311345030302,2.9993311345030302,2.9993311345030302,2.9993311345030302,2.9993311345030302,2.9999079790530234,2.9999079790530234	0.9960257272574407	2.9999079790530234	0	true	0
50	23	23	31	2480	31	248	0	0	2.999782681189335	2.999782681189335	2.999782681189335	2.999782681189335	1.9995736959047634,1.9995736959047634,1.9995736959047634,1.9995736959047634,1.9995736959047634,1.9995736959047634,1.9995736959047634,1.9995736959047634,1.9995736959047634,1.9995736959047634,1.9995736959047634,1.9995736959047634,1.9995736959047634,1.9995736959047634,1.9995736959047634,1.9995736959047634,1.9995736959047634,1.9995736959047634,1.9995736959047634,1.9995736959047634,1.9995736959047634,1.9995736959047634,1.9995736959047634,1.9995736959047634,1.9995736959047634,1.9995736959047634,1.9995736959047634,1.9995736959047634,1.9995736959047634,2.999782681189335,2.999782681189335	0.9955594344243718	2.999782681189335	0	true	1
51	24	23	20	1760	20	160	0	0	2.9993428899004364	2.9993428899004364	2.9993428899004364	2.9993428899004364	0.9999630981672162,0.9999630981672162,0.9999630981672162,0.9999630981672162,0.9999630981672162,0.9999630981672162,0.9999630981672162,0.9999630981672162,0.9999630981672162,0.9999630981672162,0.9999630981672162,0.9999630981672162,0.9999630981672162,0.9999630981672162,0.9999630981672162,0.9999630981672162,0.9999630981672162,0.9999630981672162,2.9993428899004364,2.9993428899004364	0.9952595755258404	2.9993428899004364	0	true	2
52	24	23	28	2464	28	224	0	0	2.9999303117147216	2.9999303117147216	2.9999303117147216	2.9999303117147216	2.9996790042897956,2.9996790042897956,2.9996790042897956,2.9996790042897956,2.9996790042897956,2.9996790042897956,2.9996790042897956,2.9996790042897956,2.9996790042897956,2.9996790042897956,2.9996790042897956,2.9996790042897956,2.9996790042897956,2.9996790042897956,2.9996790042897956,2.9996790042897956,2.9996790042897956,2.9996790042897956,2.9996790042897956,2.9996790042897956,2.9996790042897956,2.9996790042897956,2.9996790042897956,2.9996790042897956,2.9996790042897956,2.9996790042897956,2.9999303117147216,2.9999303117147216	0.9952270052127122	2.9999303117147216	0	true	1
53	26	24	11	1012	11	88	0	0	2.999924955868658	2.999924955868658	2.999924955868658	2.999924955868658	0.999952807287326,0.999952807287326,0.999952807287326,0.999952807287326,0.999952807287326,0.999952807287326,0.999952807287326,0.999952807287326,0.999952807287326,2.999924955868658,2.999924955868658	0.9949944802275169	2.999924955868658	0	true	0
54	28	26	1	96	1	8	0	0	2.9997421051471855	2.9997421051471855	2.9997421051471855	2.9997421051471855	2.9997421051471855	0.9944663001440256	2.9997421051471855	0	true	1
55	28	27	16	1600	16	128	0	0	2.9994730314637637	2.9994730314637637	2.9994730314637637	2.9994730314637637	2.99930884593354,2.99930884593354,2.99930884593354,2.99930884593354,2.99930884593354,2.99930884593354,2.99930884593354,2.99930884593354,2.99930884593354,2.99930884593354,2.99930884593354,2.99930884593354,2.99930884593354,2.99930884593354,2.9994730314637637,2.9994730314637637	0.9943955666357168	2.9994730314637637	0	true	0
56	30	29	1	104	1	8	0	0	2.9997406377156954	2.9997406377156954	2.9997406377156954	2.9997406377156954	2.9997406377156954	0.9938501326938683	2.9997406377156954	0	true	0
57	32	31	1	112	1	8	0	0	2.999991236651916	2.999991236651916	2.999991236651916	2.999991236651916	2.999991236651916	0.993402665574897	2.999991236651916	0	true	1
58	32	32	2	240	2	16	0	0	2.9997218081735455	2.9997218081735455	2.9997218081735455	2.9997218081735455	2.9997218081735455,2.9997218081735455	0.9933170177144486	2.9997218081735455	0	true	1
59	34	33	2	256	2	16	0	0	2.999919821259366	2.999919821259366	2.999919821259366	2.999919821259366	2.999919821259366,2.999919821259366	0.9928533568258746	2.999919821259366	0	true	1
60	38	36	8	1056	8	64	0	0	2.999811299910918	2.999811299910918	2.999811299910918	2.999811299910918	0.9992487118842539,0.9992487118842539,0.9992487118842539,0.9992487118842539,0.9992487118842539,0.9992487118842539,2.999811299910918,2.999811299910918	0.9924152111769908	2.999811299910918	0	true	1
61	38	37	5	680	5	40	0	0	2.9998888082661574	2.9998888082661574	2.9998888082661574	2.9998888082661574	2.9990021464582584,2.9990021464582584,2.9990021464582584,2.9998888082661574,2.9998888082661574	0.9921614478619104	2.9998888082661574	0	true	0
62	38	37	4	576	4	32	0	0	2.999927303653678	2.999927303653678	2.999927303653678	2.999927303653678	2.9998508591019846,2.9998508591019846,2.999927303653678,2.999927303653678	0.9918128248806484	2.999927303653678	0	true	0
63	43	42	5	740	5	40	0	0	2.9998693048769476	2.9998693048769476	2.9998693048769476	2.9998693048769476	2.999725595555674,2.999725595555674,2.999725595555674,2.9998693048769476,2.9998693048769476	0.9913681359253111	2.9998693048769476	0	true	0
64	43	43	1	156	1	8	0	0	2.9998719919591994	2.9998719919591994	2.9998719919591994	2.9998719919591994	2.9998719919591994	0.991278101490704	2.9998719919591994	0	true	0
65	44	44	1	164	1	8	0	0	2.9997471770299633	2.9997471770299633	2.9997471770299633	2.9997471770299633	2.9997471770299633	0.9909263713527463	2.9997471770299633	0	true	0
66	45	45	10	1680	10	80	0	0	2.999962171597768	2.999962171597768	2.999962171597768	2.999962171597768	2.999303749893268,2.999303749893268,2.999303749893268,2.999303749893268,2.999303749893268,2.999303749893268,2.999303749893268,2.999303749893268,2.999962171597768,2.999962171597768	0.990538488532764	2.999962171597768	0	true	0
67	47	46	7	1232	7	56	0	0	2.999931989211583	2.999931989211583	2.999931989211583	2.999931989211583	0.9991972668525549,0.9991972668525549,0.9991972668525549,0.9991972668525549,0.9991972668525549,2.999931989211583,2.999931989211583	0.9896917335009979	2.999931989211583	0	true	0
68	50	49	1	180	1	8	0	0	2.9996792485004082	2.9996792485004082	2.9996792485004082	2.9996792485004082	2.9996792485004082	0.9887053391918469	2.9996792485004082	0	true	0
69	51	49	2	368	2	16	0	0	2.999946936582572	2.999946936582572	2.999946936582572	2.999946936582572	2.999946936582572,2.999946936582572	0.9884685372968468	2.999946936582572	0	true	0
70	55	54	10	1880	10	80	0	0	2.999715198382482	2.999715198382482	2.999715198382482	2.999715198382482	2.999292190980916,2.999292190980916,2.999292190980916,2.999292190980916,2.999292190980916,2.999292190980916,2.999292190980916,2.999292190980916,2.999715198382482,2.999715198382482	0.9879953356094783	2.999715198382482	0	true	23
71	58	58	23	4416	23	184	0	0	2.9999572218931383	2.9999572218931383	2.9999572218931383	2.9999572218931383	2.9993135471615315,2.9993135471615315,2.9993135471615315,2.9993135471615315,2.9993135471615315,2.9993135471615315,2.9993135471615315,2.9993135471615315,2.9993135471615315,2.9993135471615315,2.9993135471615315,2.9993135471615315,2.9993135471615315,2.9993135471615315,2.9993135471615315,2.9993135471615315,2.9993135471615315,2.9993135471615315,2.9993135471615315,2.9993135471615315,2.9993135471615315,2.9999572218931383,2.9999572218931383	0.9874959606962957	2.9999572218931383	0	true	1
72	60	59	1	200	1	8	0	0	2.999935365826609	2.999935365826609	2.999935365826609	2.999935365826609	2.999935365826609	0.9871763622140506	2.999935365826609	0	true	0
73	61	59	9	1872	9	72	0	0	2.999681020195239	2.999681020195239	2.999681020195239	2.999681020195239	2.99908649023722,2.99908649023722,2.99908649023722,2.99908649023722,2.99908649023722,2.99908649023722,2.99908649023722,2.999681020195239,2.999681020195239	0.9866493518836685	2.999681020195239	0	true	0
74	61	58	3	648	3	24	0	0	2.999671318212109	2.999671318212109	2.999671318212109	2.999671318212109	0.9998798959802375,2.999671318212109,2.999671318212109	0.9864028264159501	2.999671318212109	0	true	0
75	64	61	5	1100	5	40	0	0	2.9998613266231473	2.9998613266231473	2.9998613266231473	2.9998613266231473	2.9993628210090426,2.9993628210090426,2.9993628210090426,2.9998613266231473,2.9998613266231473	0.9849970025076584	2.9998613266231473	0	true	0
76	70	68	1	228	1	8	0	0	2.9999548262145317	2.9999548262145317	2.9999548262145317	2.9999548262145317	2.9999548262145317	0.9842171427318125	2.9999548262145317	0	true	0
77	71	69	7	1652	7	56	0	0	2.9993966886064176	2.9993966886064176	2.9993966886064176	2.9993966886064176	2.999006402135714,2.999006402135714,2.999006402135714,2.999006402135714,2.999006402135714,2.9993966886064176,2.9993966886064176	0.9836097849847569	2.9993966886064176	0	true	0
78	73	71	6	1464	6	48	0	0	2.9995479224103767	2.9995479224103767	2.9995479224103767	2.9995479224103767	2.999531946349755,2.999531946349755,2.999531946349755,2.999531946349755,2.9995479224103767,2.9995479224103767	0.98291919199304	2.9995479224103767	0	true	0
