# solver: BinaryMaxSum
# max_time: 1000
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 5f80b230-3eea-4f17-b1c1-afb8824df829
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: Ambulancias_Collapse_ConySinNormas.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	12	12	100	113600	564696	4517568	0	0	-882.7787020366668	-6.229015366360592	28.001720132945383	29.40931051296153	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-15.26744269711164,-15.267464996597859,-15.267464996597859,-15.267468400056352,-15.267468400056352,-11.435370099986276,-8.652803564118921,-8.652803564118921,-8.65280652997202,-8.652811058642977,-8.652811058642977,-8.652818628846882,-8.652818628846882,-6.913103911071344,-6.9131063170000555,-6.913125594565782,-6.913128150984518,-6.913128150984518,-6.913237680503981,-6.913237680503981,-6.913237680503981,-6.913237680503981,-6.229015366360592,-6.22919003851495,-6.229193027713087,-6.229193027713087,-6.229193027713087,-6.229193027713087,-6.229193027713087,-6.229207781182716,-6.229207781182716,-6.229207781182716,-6.229267548939141,-6.229267548939141,-6.229267548939141,-6.229267548939141,-6.229267548939141,-6.229267548939141,-6.229273479012981,-6.229273479012981,-6.229273479012981,-6.229273479012981,-6.229261249049706,-581.8930817595806,-892.0538745943844,-892.053892636089,-892.053892636089,-892.053892636089,-892.053892636089,-892.053892636089,-892.053892636089,-892.053892636089,-892.053892636089,-892.053892636089,-892.053892636089,-892.053892636089,-892.0539888800987,-892.0539888800987,-892.0539888800987,-892.0539888800987,-892.0539888800987,-892.0539888800987,-892.0539888800987,-887.0268151290911,-882.4901214979627,-882.4901214979627,-882.4901549423182,-882.4901619775549,-882.4901619775549,-882.4901619775549,-882.4901619775549,-882.4901619775549,-882.4901619775549,-882.4901708632265,-882.4901708632265,-880.5433959308259,-880.5433959308259,-880.6315309368669,-882.7536240765791,-882.7536240765791,-882.7536240765791,-882.7536118230154,-882.7536118230154,-882.7536118230154,-882.7536118230154,-882.7536149052048,-882.7536149052048,-882.7536149052048,-882.7536149052048,-881.4218334865924,-881.4218334865924,-881.4218334865924,-881.4300653481895,-882.7787020366668	0.9977623354120823	-6.229015366360592	12	true	590
25	14	14	100	113600	580140	4641120	0	0	-167.49096836390612	25.128513891971195	36.85973424154092	34.623840606506604	-Infinity,-Infinity,-Infinity,-Infinity,17.382956103050798,17.382956103050798,17.382944158800452,17.382944158800452,16.042056728031028,16.042056728031028,16.04205026304129,16.04205026304129,20.659299503180158,20.659299503180158,20.65929813541714,20.65929813541714,20.65929813541714,20.65929813541714,20.659278662613723,20.659244722919432,20.659244722919432,20.659244722919432,20.659244722919432,20.659244722919432,20.659244722919432,22.689802012904423,22.689802012904423,22.689735346747042,22.686760826938027,22.686760826938027,22.686746377949362,22.686746377949362,22.686746377949362,23.252783032116085,23.25277936938849,22.648149668814842,22.648149668814842,22.648149668814842,22.647859549745622,22.647859549745622,22.647803135870237,22.647803135870237,22.647803135870237,22.647875274734364,22.6478809651657,22.6478809651657,22.64784640215341,22.64784640215341,20.793057481804198,20.793057481804198,20.793057481804198,20.793057481804198,20.79299939538309,20.79299939538309,20.79299939538309,20.79299939538309,20.79299939538309,20.79299939538309,20.79299939538309,20.79299939538309,20.79299939538309,20.79299939538309,20.79299939538309,20.79299939538309,20.79299939538309,20.79299939538309,20.79299939538309,20.79299939538309,20.79299939538309,20.79299939538309,20.79299939538309,20.79299939538309,22.708756614133094,22.708756614133094,24.541429865271326,24.541429865271326,24.541429865271326,24.541335612710355,24.541335612710355,24.541335612710355,25.128513891971195,25.128513891971195,25.128513891971195,25.128513891971195,25.128447907626153,25.128447907626153,-70.80358404769356,-167.49096836390612,-167.49096836390612,-167.49096836390612,-167.49096836390612,-167.49096836390612,-167.49096836390612,-167.49096836390612,-167.49096836390612,-167.49096836390612,-167.49096836390612,-167.49096836390612,-167.49096836390612,-167.49096836390612	0.9968314678208231	25.128513891971195	7	true	476
26	14	14	100	113600	593604	4748832	0	0	-165.21014423043718	26.076796315152464	42.43169974021622	41.692806031447084	-Infinity,-Infinity,12.47401558106377,12.474014418411842,12.474014333433518,12.474013213395098,12.474009250854822,12.474009250854822,17.58158985244745,17.581583315505725,17.581583315505725,22.198915644900346,22.198746840132053,22.198746840132053,24.23109006841534,24.23108216859663,24.23108216859663,24.231047291170327,24.231023090124694,24.23099372263117,24.23099372263117,24.23096867495137,24.23096867495137,24.23096867495137,24.23096867495137,24.23091132658513,24.230909201567087,24.230909201567087,24.230658840357307,24.230658840357307,24.23060005857228,24.23060005857228,24.230593725744896,24.230593725744896,24.230593725744896,24.230593725744896,24.230593725744896,24.230593725744896,25.551105490638825,25.551105490638825,25.551105490638825,25.551105490638825,25.530490228549464,25.530490228549464,25.530490228549464,25.53049654187512,24.169041524243596,24.169041524243596,24.169035011617154,24.169035011617154,24.169035011617154,24.169012048944865,24.169012048944865,24.169005214390992,24.169005214390992,24.169005214390992,24.168987874809275,24.168987874809275,24.168987874809275,24.16896444826145,24.16896444826145,24.16896444826145,24.168930286814728,24.168930286814728,24.168930286814728,24.168930286814728,24.168930286814728,24.16891307270201,24.168911426232683,24.168911426232683,24.168911426232683,24.168911426232683,24.168911426232683,24.168911426232683,24.168911426232683,24.168911426232683,24.168911426232683,24.168911426232683,24.168911426232683,24.168911426232683,26.076796315152464,26.076796315152464,26.076796315152464,26.076796315152464,26.076796315152464,26.076796315152464,26.076796315152464,26.076796315152464,-69.27336738135818,-69.27336738135818,-165.2100200469634,-165.2100728215676,-165.21011330376282,-165.21011330376282,-165.21011330376282,-165.21011330376282,-165.21011330376282,-165.21011330376282,-165.21011330376282,-165.21014423043718	0.9962825977292168	26.076796315152464	7	true	377
27	14	14	100	114400	587268	4698144	0	0	-164.44429013846525	26.30649139927459	43.84892303432027	42.85969069495861	18.59643533881286,18.59643533881286,18.59642529556065,18.59641405174117,18.59641405174117,18.59641405174117,23.704041586874574,25.736995057699943,25.736995057699943,25.736994761492653,25.736994761492653,25.736994761492653,25.736994761492653,25.736994761492653,25.73698950900122,25.73694261904727,25.73692661509253,25.73692661509253,25.73692661509253,25.73692661509253,25.73692661509253,25.735128320314914,25.735128320314914,25.735128320314914,25.73489895499675,25.73489895499675,25.73489895499675,25.73490217100958,25.73490217100958,25.734864962142552,26.30649139927459,26.30649139927459,26.30649139927459,26.306404609064373,26.30629051289744,25.705840036233138,25.705840036233138,25.705840036233138,25.705840036233138,25.705840036233138,25.705840036233138,25.705840036233138,25.70582669580541,23.857711132761494,23.857711132761494,23.857711132761494,23.857711132761494,23.857711132761494,23.857711132761494,23.857711132761494,23.857660808553312,23.857660808553312,23.857660808553312,23.857660808553312,23.857660808553312,23.857660808553312,23.857660808553312,23.857660808553312,23.857660808553312,23.857660808553312,23.857660808553312,23.857660808553312,23.857660808553312,23.85777636554687,23.85777636554687,23.85777636554687,23.85777636554687,23.85777636554687,23.85777636554687,23.85777636554687,25.784755167796092,25.784755167796092,25.784755167796092,25.784755167796092,25.784755167796092,25.784755167796092,25.784755167796092,25.784639610802536,25.784639610802536,25.784639610802536,25.784639610802536,25.784639610802536,25.784639610802536,25.784639610802536,25.784639610802536,25.784639610802536,25.784639610802536,-69.08298112431844,-69.08298112431844,-69.08298112431844,-164.44429013846525,-164.44429013846525,-164.44429013846525,-164.44429013846525,-164.44429013846525,-164.44429013846525,-164.44429013846525,-164.44429013846525,-164.44429013846525,-164.44429013846525	0.9962825977292168	26.30649139927459	8	true	374
28	14	14	100	114400	587268	4698144	0	0	36.78946827328875	36.78946827328875	45.574148904591475	45.574148904591475	20.30742849741783,20.30742849741783,20.307420563358917,20.307412512419525,20.30739665292746,20.30739665292746,20.307396492646305,20.307386515872665,24.924963968043016,24.92494980167929,24.92494980167929,26.957554295297314,26.957554295297314,26.957554295297314,26.95678496022626,26.95678496022626,26.956782442828157,26.956729998560874,26.956729998560874,26.956729998560874,26.956729998560874,26.956729998560874,26.956729998560874,26.956729998560874,26.956729998560874,26.956628099496967,26.956628099496967,26.95662510142749,26.956576235526924,26.956576235526924,27.530014951771527,27.530014951771527,27.530005337775194,27.530001690670147,27.530001690670147,27.52998945931359,27.53010938245854,27.53010938245854,26.93106639351333,26.93098896731455,26.930978227045284,26.930823144898323,26.930823144898323,26.930823144898323,26.930823144898323,26.930823144898323,26.930823144898323,26.930823144898323,26.930823144898323,26.930823144898323,26.930823144898323,26.930823144898323,26.930823144898323,26.930823144898323,26.930823144898323,26.930823144898323,26.930823144898323,26.930823144898323,26.930823144898323,26.930829195362673,26.930829195362673,26.930829195362673,26.930829195362673,26.930829195362673,26.930829195362673,26.93098345464026,26.93098345464026,26.930966219683594,26.930966219683594,26.930966219683594,28.87686431632739,28.87686431632739,28.87686431632739,28.87686431632739,28.87686431632739,28.87686431632739,28.87686431632739,28.87686431632739,28.87686431632739,28.87686431632739,28.87686431632739,28.87686431632739,28.87686431632739,28.87686431632739,28.87686431632739,28.87686431632739,28.87686431632739,28.87686431632739,28.87686431632739,28.87686431632739,36.78946827328875,36.78946827328875,36.78946827328875,36.78946827328875,36.78946827328875,36.78946827328875,36.78946827328875,36.78946827328875,36.78946827328875,36.78946827328875	0.9962825977292168	36.78946827328875	5	true	385
29	14	13	100	114400	587268	4698144	0	0	-775.8460303299729	14.99479255795945	43.274244027793976	42.98324481554252	14.921844837623631,14.921844837623631,14.921761498466587,14.92175394335451,14.921753076754847,14.921750266045713,14.921684253564017,14.921684615107488,14.921669016614494,14.921669016614494,14.921669016614494,14.92166327524047,14.92166327524047,13.035630897579544,13.035552296433586,13.035553535768365,13.035553535768365,13.035553535768365,13.035553535768365,13.035553535768365,13.035553535768365,13.035553535768365,13.035553535768365,13.035551465157589,13.035540855626003,13.035540855626003,13.035540855626003,13.035540855626003,13.035539616291224,13.035539616291224,13.035539616291224,13.035539616291224,13.035539616291224,13.035512593630877,13.035512593630877,13.035512593630877,13.035512593630877,13.035512593630877,13.035512593630877,13.035512593630877,13.035549061872523,13.035549061872523,13.035549061872523,13.035549061872523,13.035488533074393,13.035488533074393,13.035488533074393,13.035502289058932,13.035502289058932,13.035502289058932,13.035502289058932,13.035502289058932,13.035502289058932,13.035502289058932,13.035502289058932,13.035502289058932,13.035502289058932,13.035502289058932,13.035502289058932,13.035502289058932,14.99479255795945,14.99479255795945,14.99479255795945,14.99479255795945,14.99479255795945,14.99479255795945,14.99479255795945,14.99479255795945,14.99479255795945,14.99479255795945,14.99479255795945,14.99479255795945,14.99479255795945,14.99479255795945,14.99479255795945,14.99479255795945,-570.442793314939,-570.442793314939,-570.442793314939,-570.442793314939,-570.442793314939,-570.442793314939,-673.5666510251907,-775.8460303299729,-775.8460303299729,-775.8460303299729,-775.8460303299729,-775.8460303299729,-775.8460303299729,-775.8460303299729,-775.8460303299729,-775.8460303299729,-775.8460303299729,-775.8460303299729,-775.8460303299729,-775.8460303299729,-775.8460303299729,-775.8460303299729,-775.8460303299729,-775.8460303299729	0.9962914805418883	14.99479255795945	9	true	371
30	14	13	100	114400	580140	4641120	0	0	24.556360844647216	28.10039335211234	45.68516314669864	45.68516314669864	16.197970457791982,16.197970457791982,16.197958282084286,16.197951360304373,16.197788019511563,16.197788019511563,16.19778302733934,16.19776639655157,16.197742889319656,16.197742889319656,16.197742889319656,16.19732136474404,15.279094746447662,13.392910808583885,13.39287798388758,10.40232860839226,10.402261972534582,10.402261972534582,10.402261972534582,10.402261972534582,10.402261972534582,10.401939403486686,10.401939403486686,10.401924662934,10.401924662934,10.401904466493036,10.401904466493036,10.401904466493036,10.401896066616345,10.401893168741523,10.401893168741523,10.401947030920951,10.401947030920951,10.401947030920951,10.401947030920951,10.401947030920951,10.401947030920951,10.401947030920951,10.401947030920951,10.401947030920951,10.401947030920951,10.401947030920951,10.401947030920951,10.401947030920951,10.401947030920951,10.401947030920951,10.402057228591708,10.402057228591708,10.402057228591708,10.402057228591708,10.402057228591708,10.402057228591708,10.402052551151122,10.402159577187746,10.402159577187746,10.402159577187746,10.402159577187746,12.378161513365079,12.378161513365079,12.378161513365079,12.378008292093888,12.378008292093888,12.378008292093888,12.378008292093888,12.378008292093888,12.378008292093888,12.378008292093888,12.378008292093888,12.378008292093888,12.378008292093888,12.378008292093888,12.378008292093888,12.378008292093888,12.378008292093888,12.378008292093888,12.378008292093888,12.378008292093888,12.378008292093888,28.10039335211234,28.10039335211234,28.10039335211234,24.556091051781657,24.556091051781657,24.556091051781657,24.556091051781657,24.556091051781657,24.556091051781657,24.556091051781657,24.556091051781657,24.556091051781657,24.556091051781657,24.556244273052847,24.556244273052847,24.556244273052847,24.556244273052847,24.5562974161749,24.5562974161749,24.5562974161749,24.556360844647216,24.556360844647216	0.9961225974367784	28.10039335211234	7	true	353
31	14	14	100	112000	578160	4625280	0	0	-881.1876140464946	15.433925194193463	40.10219017372281	39.50226318517442	15.433925194193463,15.433925194193463,15.433918375070547,15.43390752426771,15.433899982119542,15.433891183631829,15.43388235422259,15.433881005501021,13.548105599572303,13.548087986522368,10.558009255896842,10.557955404675688,10.557949641882068,10.557949641882068,10.557897693486389,10.557897693486389,10.557893284918883,10.55783186834632,10.557791862154154,10.557791862154154,10.557791862154154,10.557786039626798,10.557752274590449,10.557702191256759,10.557702191256759,10.557702191256759,10.557702191256759,10.557702191256759,10.557702191256759,10.557702191256759,10.557702191256759,10.557702191256759,10.557702191256759,12.55284569561099,12.55284569561099,12.55284569561099,12.55284569561099,12.55284569561099,12.55284569561099,12.55284569561099,12.55284569561099,12.55284569561099,12.55284569561099,12.55284569561099,12.552811636577438,12.552811636577438,12.552811636577438,12.552811636577438,12.552811636577438,12.552811636577438,12.552811636577438,12.552811636577438,12.552811636577438,12.552811636577438,12.552811636577438,12.552811636577438,12.552811636577438,12.552811636577438,12.552811636577438,12.552811636577438,12.552811636577438,12.552811636577438,12.552811636577438,12.552801102953332,12.552801102953332,12.552801102953332,12.552801102953332,12.552801102953332,12.552801102953332,12.552801102953332,12.552801102953332,12.552801102953332,12.552801102953332,12.552801102953332,12.552801102953332,12.552801102953332,12.552801102953332,12.552801102953332,12.552801102953332,12.552801102953332,-569.8942369978091,-775.2606653318915,-775.2606653318915,-775.2606653318915,-775.2606653318915,-775.2606653318915,-775.2606653318915,-881.1876712678287,-881.1876712678287,-881.1876712678287,-881.1876712678287,-881.1876712678287,-881.1876712678287,-881.1876712678287,-881.1876712678287,-881.1876712678287,-881.1876140464946,-881.1876140464946,-881.1876140464946,-881.1876140464946	0.9959038170506138	15.433925194193463	10	true	357
32	14	14	100	111800	583308	4666464	0	0	-564.2207451625064	30.50189150865475	44.051077080137794	43.84022441643438	30.50189150865475,30.50189150865475,30.501841277998892,30.501827728019435,30.501598986624813,30.501592551074836,30.501589680485395,30.50140300871752,28.467854722952964,28.467854722952964,28.467704241771216,28.467616885508107,28.467616885508107,28.467560404980986,25.13458670793161,25.134569123347354,25.134569123347354,25.134569123347354,25.134569123347354,25.134569123347354,25.134537228728085,25.134537228728085,25.134537228728085,25.134537228728085,25.134537228728085,25.134537228728085,25.134537228728085,25.134537228728085,21.214294893333488,21.214294893333488,21.214231038813196,21.214231038813196,21.214231038813196,21.214231038813196,21.214231038813196,21.214231038813196,21.214231038813196,21.214231038813196,21.214251876788026,21.214251876788026,21.214251876788026,21.214251876788026,21.214251876788026,21.214251876788026,25.13449421218261,25.13449421218261,25.13449421218261,25.13449421218261,25.13449421218261,25.13449421218261,25.13449421218261,25.13449421218261,25.13449421218261,25.13449421218261,25.13449421218261,28.46743820816515,28.46743820816515,28.467585933287978,27.39289382219911,27.39289382219911,25.135164163485875,21.216095269498453,21.216280846084345,21.216280846084345,21.216280846084345,21.216210656349872,21.216210656349872,21.216210656349872,21.216210656349872,21.216210656349872,21.216210656349872,21.216210656349872,21.216210656349872,21.216210656349872,21.216210656349872,21.216210656349872,21.216210656349872,21.216210656349872,21.216210656349872,21.216264137670123,21.216264137670123,21.216264137670123,21.216264137670123,21.216264137670123,21.216263881547633,21.216263881547633,21.216263881547633,21.216263881547633,21.216263881547633,21.216263881547633,21.216263881547633,21.216263881547633,21.216263881547633,21.216263881547633,21.216263881547633,21.216263881547633,-72.86438580537856,-362.88052301487073,-462.8806020495356,-564.2207451625064	0.9959038170506138	30.50189150865475	7	true	360
33	15	13	100	111200	577368	4618944	0	0	-474.1609790501593	11.104370990567995	38.43035993539167	37.7221119663024	-5.511927293278774,-5.511927293278774,-5.512011983082601,-5.512015701310048,-5.512075441113751,-5.512075890660384,-5.512076604674945,-5.512076604674945,-5.512076604674945,-5.512076604674945,-5.512076604674945,-5.512076604674945,-5.512080693916545,-5.512080693916545,-5.512080693916545,-5.512080693916545,-5.512080693916545,-5.512085674812326,-5.512093783383122,-5.512093783383122,-5.512093783383122,-5.512093783383122,-5.512093783383122,-5.512093783383122,-5.512093783383122,-5.512102882465641,-5.512102882465641,-5.512102882465641,-5.512102882465641,-5.512102882465641,1.2153050617745222,10.279094061306628,11.104370990567995,11.039696912159336,11.039696912159336,11.039696912159336,11.03970889621558,8.201770198538362,8.201770198538362,8.201770198538362,1.4695770182127745,1.4695770182127745,1.4695770182127745,1.4695770182127745,1.4695770182127745,1.4695770182127745,1.4695770182127745,-4.092971659748521,-4.092971659748521,-4.093152021580288,-4.093152021580288,-4.093152021580288,-4.093152021580288,-96.54471872958732,-96.54471872958732,-387.8057024329844,-590.0217589471836,-689.0443956671687,-689.0443956671687,-689.0443956671687,-788.9788759401428,-788.9788759401428,-1094.4025511869538,-1305.5325641121372,-1305.5325641121372,-1305.5516442634487,-1305.5516442634487,-1305.5516442634487,-1305.5516442634487,-1305.5516442634487,-1305.5516442634487,-1305.5516442634487,-1305.5516442634487,-1305.551612341887,-1305.551612341887,-1305.551612341887,-1305.551612341887,-1305.551612341887,-1305.551612341887,-1305.551612341887,-1305.551612341887,-1305.551612341887,-1198.8429576300266,-1092.4215994167037,-1092.4215994167037,-784.380188600647,-784.380188600647,-784.380188600647,-784.380188600647,-683.9557135224977,-578.8040378599892,-578.8040378599892,-474.1609948410612,-474.1609948410612,-474.1609948410612,-474.1609790501593,-474.1609790501593,-474.1609790501593,-474.1609790501593,-474.1609790501593	0.9957724757093455	11.104370990567995	10	true	366
