# solver: Closest
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 5fb72c38-4266-4700-839d-db859ac7d23a
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: demo_N79.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	13	13	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9975615034251832	-Infinity	18	false	22
25	15	15	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9966306358339244	-Infinity	15	true	17
26	15	15	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9960817657423182	-Infinity	13	true	15
27	15	15	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9960817657423182	-Infinity	13	true	13
28	15	15	1	0	0	0	0	0	-Infinity	-Infinity	-80.27304978730908	-80.27304978730908	-Infinity	0.9960817657423182	-Infinity	13	true	20
29	15	15	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9960817657423182	-Infinity	14	true	13
30	15	15	1	0	0	0	0	0	-Infinity	-Infinity	-73.4585727996363	-73.4585727996363	-Infinity	0.9959128826372083	-Infinity	12	true	20
31	15	15	1	0	0	0	0	0	-Infinity	-Infinity	-125.44231865988446	-125.44231865988446	-Infinity	0.9957029850637148	-Infinity	13	true	18
32	16	16	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9955252557007185	-Infinity	13	true	12
33	16	16	1	0	0	0	0	0	-Infinity	-Infinity	-127.4826684496211	-127.4826684496211	-Infinity	0.9954094501429293	-Infinity	14	true	20
34	16	16	1	0	0	0	0	0	-1230.7352718989923	-1230.7352718989923	1.9399176812427608	1.9399176812427608	-1230.7352718989923	0.9953925618324183	-1230.7352718989923	14	true	22
35	17	16	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.994788238132489	-Infinity	17	true	11
36	17	15	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9941258654345267	-Infinity	15	true	11
37	19	17	1	0	0	0	0	0	-Infinity	-Infinity	-39.608266418520245	-39.608266418520245	-Infinity	0.9938984215643987	-Infinity	16	true	17
38	20	17	1	0	0	0	0	0	-Infinity	-Infinity	-106.2931784669168	-106.2931784669168	-Infinity	0.9934826474437238	-Infinity	16	true	17
39	20	18	1	0	0	0	0	0	-999.5037863519585	-999.5037863519585	-6.157468816178934	-6.157468816178934	-999.5037863519585	0.9934563279987716	-999.5037863519585	15	true	20
40	21	19	1	0	0	0	0	0	-787.688285562019	-787.688285562019	-6.295132796444317	-6.295132796444317	-787.688285562019	0.9931010154919178	-787.688285562019	11	true	20
41	21	18	1	0	0	0	0	0	-Infinity	-Infinity	-48.30456208429525	-48.30456208429525	-Infinity	0.9930855528180083	-Infinity	13	true	16
42	23	19	1	0	0	0	0	0	-503.54327282206725	-503.54327282206725	-16.8743907764374	-16.8743907764374	-503.54327282206725	0.9928833683040774	-503.54327282206725	15	true	19
43	23	19	1	0	0	0	0	0	-441.530251583576	-441.530251583576	-9.998204410057514	-9.998204410057514	-441.530251583576	0.9927794064965162	-441.530251583576	14	true	19
44	23	17	1	0	0	0	0	0	-898.725282751696	-898.725282751696	-20.30001394977327	-20.30001394977327	-898.725282751696	0.9924515100781542	-898.725282751696	13	false	18
45	23	16	1	0	0	0	0	0	-609.0792387185274	-609.0792387185274	-21.09716368349565	-21.09716368349565	-609.0792387185274	0.9922429284769082	-609.0792387185274	15	false	18
46	23	15	1	0	0	0	0	0	-435.0272390692599	-435.0272390692599	-33.6899126754241	-33.6899126754241	-435.0272390692599	0.9922924236553322	-435.0272390692599	18	false	20
47	23	14	1	0	0	0	0	0	-342.5698789200144	-342.5698789200144	-35.422050605216896	-35.422050605216896	-342.5698789200144	0.9923473654966699	-342.5698789200144	18	false	19
48	23	13	1	0	0	0	0	0	-Infinity	-Infinity	-73.04403463538493	-73.04403463538493	-Infinity	0.9923641441428268	-Infinity	17	false	14
49	23	13	1	0	0	0	0	0	-Infinity	-Infinity	-87.04933323610479	-87.04933323610479	-Infinity	0.9921795790350999	-Infinity	18	false	13
50	23	13	1	0	0	0	0	0	-1394.6692720916863	-1394.6692720916863	-112.49651301767514	-112.49651301767514	-1394.6692720916863	0.9921795790350999	-1394.6692720916863	19	false	16
