# solver: Greedy
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 65ffd3a4-d4c8-4a54-9126-7135013c7762
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	9	9	1	0	0	0	0	0	-1174.5519780797733	-1174.5519780797733	34.19145778926939	34.19145778926939	-1174.5519780797733	0.9976279600236874	-1174.5519780797733	11	false	37
25	9	9	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9975483437027073	-Infinity	10	false	2
26	9	9	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9975483437027073	-Infinity	10	false	2
27	10	10	1	0	0	0	0	0	-Infinity	-Infinity	29.499156434602313	29.499156434602313	-Infinity	0.997245085209203	-Infinity	10	false	10
28	10	10	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9970255371725607	-Infinity	11	true	2
29	10	9	1	0	0	0	0	0	-1026.4093666588647	-1026.4093666588647	53.180040484744815	53.180040484744815	-1026.4093666588647	0.9970344199852318	-1026.4093666588647	12	true	13
30	10	8	1	0	0	0	0	0	-1202.464971024476	-1202.464971024476	46.45315576936048	46.45315576936048	-1202.464971024476	0.996903042089179	-1202.464971024476	16	false	13
31	10	7	1	0	0	0	0	0	-Infinity	-Infinity	-25.173990127860165	-25.173990127860165	-Infinity	0.9965938982753452	-Infinity	16	false	9
32	10	7	1	0	0	0	0	0	-Infinity	-Infinity	-191.82364577251172	-191.82364577251172	-Infinity	0.9964069205518309	-Infinity	18	false	7
33	11	8	1	0	0	0	0	0	-Infinity	-Infinity	-137.41038528882623	-137.41038528882623	-Infinity	0.996261542173255	-Infinity	17	false	8
34	11	7	1	0	0	0	0	0	-Infinity	-Infinity	-54.24780771913572	-54.24780771913572	-Infinity	0.9963894839195502	-Infinity	19	false	8
35	12	8	1	0	0	0	0	0	-603.4663102229442	-603.4663102229442	-49.04621226846056	-49.04621226846056	-603.4663102229442	0.9956294368369876	-603.4663102229442	19	false	10
36	14	10	1	0	0	0	0	0	-1825.5873348301507	-1825.5873348301507	28.010113216717137	28.010113216717137	-1825.5873348301507	0.9954057215548943	-1825.5873348301507	17	false	12
37	17	14	1	0	0	0	0	0	-1666.7700516275263	-1666.7700516275263	45.71317966343914	45.71317966343914	-1666.7700516275263	0.9950649578523332	-1666.7700516275263	17	false	13
38	21	19	1	0	0	0	0	0	-250.28948560288498	-250.28948560288498	59.44323617554192	59.44323617554192	-250.28948560288498	0.9938596734926635	-250.28948560288498	16	true	10
39	21	19	1	0	0	0	0	0	-Infinity	-Infinity	26.63443702491763	26.63443702491763	-Infinity	0.9935001937403588	-Infinity	11	true	9
40	22	18	1	0	0	0	0	0	-74.08842109453029	-74.08842109453029	70.26338380876976	70.26338380876976	-74.08842109453029	0.9933108399558417	-74.08842109453029	11	true	11
41	22	19	1	0	0	0	0	0	-363.9414247741064	-363.9414247741064	73.53969246341734	73.53969246341734	-363.9414247741064	0.9933003121778609	-363.9414247741064	9	true	11
42	22	15	1	0	0	0	0	0	-573.143019291921	-573.143019291921	65.60446960473408	65.60446960473408	-573.143019291921	0.99322979799826	-573.143019291921	12	true	10
43	24	18	1	0	0	0	0	0	-567.5527725931571	-567.5527725931571	61.52261776508725	61.52261776508725	-567.5527725931571	0.9931007596084251	-567.5527725931571	13	true	13
44	25	20	1	0	0	0	0	0	-520.3010809777755	-520.3010809777755	70.25777151250038	70.25777151250038	-520.3010809777755	0.9923281011251563	-520.3010809777755	12	true	11
45	25	18	1	0	0	0	0	0	-307.8994159516159	-307.8994159516159	63.34259545883168	63.34259545883168	-307.8994159516159	0.9921452906470928	-307.8994159516159	15	true	11
46	28	20	1	0	0	0	0	0	-284.7892988189041	-284.7892988189041	59.71726629519821	59.71726629519821	-284.7892988189041	0.9916166353514012	-284.7892988189041	13	true	12
47	28	21	1	0	0	0	0	0	-218.7711777926845	-218.7711777926845	72.04602780470299	72.04602780470299	-218.7711777926845	0.9915014877797355	-218.7711777926845	11	true	12
48	29	20	1	0	0	0	0	0	-363.266371616976	-363.266371616976	64.03060164055299	64.03060164055299	-363.266371616976	0.991478787258464	-363.266371616976	11	true	12
49	29	21	1	0	0	0	0	0	-363.32275929712034	-363.32275929712034	68.22328006527081	68.22328006527081	-363.32275929712034	0.9915172794467066	-363.32275929712034	11	true	11
50	29	21	1	0	0	0	0	0	-265.49912228879	-265.49912228879	58.63221657058031	58.63221657058031	-265.49912228879	0.9912303974967283	-265.49912228879	12	true	12
51	30	21	1	0	0	0	0	0	-414.8502870428586	-414.8502870428586	62.07244455586508	62.07244455586508	-414.8502870428586	0.9909634013496024	-414.8502870428586	11	true	12
52	31	19	1	0	0	0	0	0	-481.4101747964315	-481.4101747964315	49.95226739648925	49.95226739648925	-481.4101747964315	0.9910597597619552	-481.4101747964315	14	true	12
53	32	22	1	0	0	0	0	0	-447.4335163497334	-447.4335163497334	49.06818864819511	49.06818864819511	-447.4335163497334	0.9905474444550048	-447.4335163497334	15	true	12
54	32	22	1	0	0	0	0	0	-151.66743488412357	-151.66743488412357	52.45017096232805	52.45017096232805	-151.66743488412357	0.9905859366432471	-151.66743488412357	16	true	12
55	32	25	1	0	0	0	0	0	-19.235426458650497	-19.235426458650497	64.38479361678101	64.38479361678101	-19.235426458650497	0.9904068547532184	-19.235426458650497	11	true	11
56	32	23	1	0	0	0	0	0	-186.0337806450155	-186.0337806450155	59.76575848338846	59.76575848338846	-186.0337806450155	0.9903445654001652	-186.0337806450155	14	true	13
57	32	21	1	0	0	0	0	0	-Infinity	-Infinity	-7.577771772588221	-7.577771772588221	-Infinity	0.990395668989114	-Infinity	15	true	7
58	32	19	1	0	0	0	0	0	-Infinity	-Infinity	-48.66937188181548	-48.66937188181548	-Infinity	0.990550295728208	-Infinity	19	true	6
59	34	21	1	0	0	0	0	0	-Infinity	-Infinity	-77.86896511110616	-77.86896511110616	-Infinity	0.990336852340603	-Infinity	18	true	7
60	35	24	1	0	0	0	0	0	-Infinity	-Infinity	-71.59119934989006	-71.59119934989006	-Infinity	0.9901848209912195	-Infinity	18	true	8
61	36	26	1	0	0	0	0	0	-169.29722324281545	-169.29722324281545	64.97269731137733	64.97269731137733	-169.29722324281545	0.9899626410100817	-169.29722324281545	17	true	12
