# solver: DSA
# max_time: 500
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 66179d67-9f67-4b01-8e23-fa1c4f8d7c84
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	1	482	2	16	0	0	1.6113263485948806	1.6113263485948806	1.6113263485948806	1.6113263485948806	1.6113263485948806	0.9991239280309399	1.6113263485948806	0	true	5
25	6	6	4	1932	8	64	0	0	1.863026421515003	1.863026421515003	1.863026421515003	1.863026421515003	1.8111104995769136,1.8111104995769136,1.863026421515003,1.863026421515003	0.9990443117099597	1.863026421515003	0	true	5
26	6	6	6	2898	12	96	0	0	2.0492671702481973	2.0492671702481973	2.0492671702481973	2.0492671702481973	2.0429866179558656,2.0429866179558656,2.0429866179558656,2.0429866179558656,2.0492671702481973,2.0492671702481973	0.9990443117099597	2.0492671702481973	0	true	2
27	6	6	1	483	2	16	0	0	2.210638520869619	2.210638520869619	2.210638520869619	2.210638520869619	2.210638520869619	0.9990443117099597	2.210638520869619	0	true	1
28	6	6	6	2898	12	96	0	0	2.360104619773708	2.360104619773708	2.360104619773708	2.360104619773708	2.360103315253733,2.360103315253733,2.360103315253733,2.360103315253733,2.360104619773708,2.360104619773708	0.9990443117099597	2.360104619773708	0	true	1
29	6	6	17	8211	34	272	0	0	2.4934496526967784	2.4934496526967784	2.4934496526967784	2.4934496526967784	2.493448557643297,2.493448557643297,2.493448557643297,2.493448557643297,2.493448557643297,2.493448557643297,2.493448557643297,2.493448557643297,2.493448557643297,2.493448557643297,2.493448557643297,2.493448557643297,2.493448557643297,2.493448557643297,2.493448557643297,2.4934496526967784,2.4934496526967784	0.9990443117099597	2.4934496526967784	0	true	2
30	6	6	12	5796	24	192	0	0	2.581366414144406	2.581366414144406	2.581366414144406	2.581366414144406	2.581364684586873,2.581364684586873,2.581364684586873,2.581364684586873,2.581364684586873,2.581364684586873,2.581364684586873,2.581364684586873,2.581364684586873,2.581364684586873,2.581366414144406,2.581366414144406	0.99887542860485	2.581366414144406	0	true	2
31	6	6	5	2415	10	80	0	0	2.6868295361878807	2.6868295361878807	2.6868295361878807	2.6868295361878807	2.686828212358144,2.686828212358144,2.686828212358144,2.6868295361878807,2.6868295361878807	0.99887542860485	2.6868295361878807	0	true	1
32	7	7	27	13041	54	432	0	0	2.778892785187263	2.778892785187263	2.778892785187263	2.778892785187263	2.7788899171239967,2.7788899171239967,2.7788899171239967,2.7788899171239967,2.7788899171239967,2.7788899171239967,2.7788899171239967,2.7788899171239967,2.7788899171239967,2.7788899171239967,2.7788899171239967,2.7788899171239967,2.7788899171239967,2.7788899171239967,2.7788899171239967,2.7788899171239967,2.7788899171239967,2.7788899171239967,2.7788899171239967,2.7788899171239967,2.7788899171239967,2.7788899171239967,2.7788899171239967,2.7788899171239967,2.7788899171239967,2.778892785187263,2.778892785187263	0.9987036576717526	2.778892785187263	0	true	2
33	7	7	26	12558	52	416	0	0	2.8551728070844313	2.8551728070844313	2.8551728070844313	2.8551728070844313	-47.14482702159937,-47.14482702159937,-47.14482702159937,-47.14482702159937,-47.14482702159937,-47.14482702159937,-47.14482702159937,-47.14482702159937,-47.14482702159937,-47.14482702159937,-47.14482702159937,-47.14482702159937,-47.14482702159937,-47.14482702159937,-47.14482702159937,-47.14482702159937,-47.14482702159937,-47.14482702159937,-47.14482702159937,-47.14482702159937,-47.14482702159937,-47.14482702159937,-47.14482702159937,-47.14482702159937,2.8551728070844313,2.8551728070844313	0.9986204224270916	2.8551728070844313	0	true	2
