# solver: Greedy
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 69398219-b0b8-42b5-97a0-f1664f61203a
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	1	0	0	0	0	0	1.5696448970277979	1.5696448970277979	1.5696448970277979	1.5696448970277979	1.5696448970277979	0.9991239280309399	1.5696448970277979	0	true	2
25	6	6	1	0	0	0	0	0	1.8240617859029238	1.8240617859029238	1.8240617859029238	1.8240617859029238	1.8240617859029238	0.9990443117099597	1.8240617859029238	0	true	0
26	6	6	1	0	0	0	0	0	2.002532456870329	2.002532456870329	2.002532456870329	2.002532456870329	2.002532456870329	0.9990443117099597	2.002532456870329	0	true	0
27	6	6	1	0	0	0	0	0	2.162280899377647	2.162280899377647	2.162280899377647	2.162280899377647	2.162280899377647	0.9990443117099597	2.162280899377647	0	true	1
28	6	6	1	0	0	0	0	0	2.3108113114018534	2.3108113114018534	2.3108113114018534	2.3108113114018534	2.3108113114018534	0.9990443117099597	2.3108113114018534	0	true	0
29	6	6	1	0	0	0	0	0	2.4451258946413743	2.4451258946413743	2.4451258946413743	2.4451258946413743	2.4451258946413743	0.9990443117099597	2.4451258946413743	0	true	0
30	6	6	1	0	0	0	0	0	2.563798529562684	2.563798529562684	2.563798529562684	2.563798529562684	2.563798529562684	0.99887542860485	2.563798529562684	0	true	0
31	6	6	1	0	0	0	0	0	2.669605247420538	2.669605247420538	2.669605247420538	2.669605247420538	2.669605247420538	0.99887542860485	2.669605247420538	0	true	1
32	7	7	1	0	0	0	0	0	2.75984499399907	2.75984499399907	2.75984499399907	2.75984499399907	2.75984499399907	0.9987036576717526	2.75984499399907	0	true	0
33	7	7	1	0	0	0	0	0	2.8363313699131107	2.8363313699131107	2.8363313699131107	2.8363313699131107	2.8363313699131107	0.9986204224270916	2.8363313699131107	0	true	0
34	8	8	1	0	0	0	0	0	2.897511758050958	2.897511758050958	2.897511758050958	2.897511758050958	2.897511758050958	0.9984128643598162	2.897511758050958	0	true	0
35	9	9	1	0	0	0	0	0	2.944249196205104	2.944249196205104	2.944249196205104	2.944249196205104	2.944249196205104	0.998144332911735	2.944249196205104	0	true	1
36	10	10	1	0	0	0	0	0	2.9794212541670775	2.9794212541670775	2.9794212541670775	2.9794212541670775	2.9794212541670775	0.9981368757356651	2.9794212541670775	0	true	1
37	11	11	1	0	0	0	0	0	2.999968993368317	2.999968993368317	2.999968993368317	2.999968993368317	2.999968993368317	0.9979193747669632	2.999968993368317	0	true	0
38	11	11	1	0	0	0	0	0	2.999716707916799	2.999716707916799	2.999716707916799	2.999716707916799	2.999716707916799	0.9975972905593614	2.999716707916799	0	true	1
39	12	12	1	0	0	0	0	0	2.9997047278937123	2.9997047278937123	2.9997047278937123	2.9997047278937123	2.9997047278937123	0.9975264473866985	2.9997047278937123	0	true	1
