# solver: BinaryMaxSum
# max_time: 1000
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 6df34bcd-60b0-4c61-90aa-2faba262b330
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-nopolice-refugeOnFire.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	9	9	100	34752	75240	601920	0	0	-7.09316423454289	-1.921581337331581	45.50728544381133	46.088713799447476	-1.921581337331581,-1.921581337331581,-1.921581337331581,-1.921581337331581,-1.921581337331581,-1.921581337331581,-1.921581337331581,-1.921581337331581,-1.921581337331581,-1.921581337331581,-1.921581337331581,-1.921581337331581,-1.921581337331581,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289	0.9975653416775723	-1.921581337331581	11	true	154
25	9	9	100	34814	75240	601920	0	0	20.20291811089443	27.463096988125116	47.06398506212222	46.843054248429745	2.136211295749593,2.136211295749593,2.136211295749593,2.136211295749593,2.136211295749593,2.136211295749593,2.136211295749593,2.136211295749593,2.136211295749593,2.136211295749593,2.136211295749593,2.136211295749593,2.136211295749593,2.136211295749593,2.136211295749593,2.136211295749593,2.136211295749593,2.136211295749593,2.136211295749593,2.136211295749593,2.136211295749593,2.136211295749593,2.136211295749593,2.136211295749593,2.136211295749593,2.136211295749593,2.136211295749593,-1.4759323679226313,-1.4759323679226313,-1.4759323679226313,-1.4759323679226313,-1.4759323679226313,-1.4759323679226313,-1.4759323679226313,-1.4759323679226313,5.405622901664799,5.405622901664799,5.405622901664799,5.405622901664799,5.405622901664799,5.405622901664799,5.405622901664799,5.405622901664799,5.405622901664799,7.394234562888215,7.394234562888215,7.394234562888215,7.394234562888215,13.971995192290848,13.971995192290848,13.971995192290848,13.971995192290848,13.971995192290848,13.971995192290848,13.971995192290848,13.971995192290848,13.971995192290848,13.971995192290848,13.971995192290848,13.971995192290848,13.971995192290848,13.971995192290848,13.971995192290848,13.971995192290848,13.971995192290848,13.971995192290848,13.971995192290848,13.971995192290848,13.971995192290848,13.971995192290848,13.971995192290848,13.971995192290848,13.971995192290848,13.971995192290848,13.971995192290848,13.971995192290848,13.971995192290848,18.23902195670479,18.23902195670479,18.23902195670479,18.23902195670479,22.13593205126827,22.13593205126827,22.13593205126827,25.465020152140042,25.465020152140042,27.463096988125116,27.463096988125116,27.463096988125116,26.386054078298955,26.386054078298955,26.386054078298955,24.12562197037787,24.12562197037787,24.12562197037787,24.12562197037787,24.12562197037787,24.12562197037787,20.20291811089443,20.20291811089443	0.9975653416775723	27.463096988125116	7	true	60
26	9	9	100	34716	75240	601920	0	0	32.83927669524455	32.83927669524455	46.770326586041115	46.770326586041115	15.824443290823734,15.824443290823734,15.824443290823734,15.824443290823734,15.824443290823734,15.824443290823734,15.824443290823734,15.824443290823734,15.824443290823734,15.824443290823734,15.824443290823734,15.824443290823734,15.824443290823734,15.824443290823734,15.824443290823734,15.824443290823734,15.824443290823734,15.824443290823734,15.824443290823734,15.824443290823734,15.824443290823734,15.824443290823734,15.824443290823734,15.824443290823734,15.824443290823734,15.824443290823734,19.095197341508317,19.095197341508317,19.095197341508317,19.095197341508317,19.095197341508317,19.095197341508317,19.095197341508317,19.095197341508317,19.095197341508317,19.095197341508317,19.095197341508317,19.095197341508317,19.095197341508317,19.095197341508317,19.095197341508317,19.095197341508317,19.095197341508317,21.735027027902927,21.735027027902927,21.735027027902927,21.735027027902927,21.735027027902927,21.735027027902927,21.735027027902927,21.735027027902927,21.735027027902927,23.23514797832953,23.23514797832953,23.23514797832953,23.23514797832953,23.23514797832953,23.23514797832953,23.23514797832953,23.23514797832953,23.7210708321171,23.7210708321171,23.7210708321171,28.316614607749884,28.316614607749884,27.236365393214143,24.973190541098006,21.048576697304618,21.048576697304618,21.048576697304618,21.048576697304618,21.048576697304618,21.048576697304618,21.048576697304618,21.048576697304618,21.048576697304618,21.048576697304618,21.048576697304618,21.048576697304618,21.048576697304618,21.048576697304618,21.048576697304618,21.048576697304618,21.048576697304618,21.048576697304618,21.048576697304618,21.048576697304618,21.048576697304618,21.048576697304618,21.048576697304618,21.048576697304618,30.464615250045433,32.27476655530751,32.27476655530751,32.27476655530751,32.27476655530751,32.27476655530751,32.83927669524455,32.83927669524455,32.83927669524455	0.9975653416775723	32.83927669524455	6	true	62
27	10	10	100	34912	75240	601920	0	0	31.13370949421877	33.58122682784332	46.0847519713408	46.44846724693961	16.502644859372868,16.502644859372868,16.502644859372868,16.502644859372868,16.502644859372868,16.502644859372868,16.502644859372868,18.38813609482851,18.38813609482851,23.92296019346476,27.955396800586474,29.029523282092136,29.029523282092136,29.029523282092136,29.029523282092136,29.029523282092136,29.02791247917584,27.95140778473983,27.95140778473983,27.95140778473983,27.95140778473983,27.95140778473983,27.95140778473983,27.95140778473983,27.95140778473983,27.95140778473983,25.689486016937494,21.76626669739162,21.76626669739162,21.76626669739162,21.76626669739162,21.76626669739162,21.76626669739162,21.76626669739162,21.76626669739162,21.76626669739162,21.76626669739162,21.76626669739162,21.76626669739162,21.76626669739162,21.76626669739162,21.76626669739162,21.76626669739162,21.76626669739162,21.76626669739162,21.76626669739162,21.76626669739162,21.76626669739162,21.76626669739162,21.76626669739162,21.76626669739162,21.76626669739162,21.76626669739162,21.76626669739162,21.76626669739162,21.76626669739162,21.76626669739162,21.76626669739162,21.76626669739162,21.76626669739162,21.76626669739162,21.76626669739162,21.76626669739162,21.76626669739162,21.76626669739162,21.76626669739162,21.76626669739162,21.76626669739162,21.76626669739162,21.76626669739162,21.76626669739162,21.76626669739162,21.76626669739162,27.673460790088036,27.673460790088036,27.673460790088036,27.673460790088036,33.01201945407932,33.01201945407932,33.01201945407932,33.01201945407932,33.01201945407932,33.01201945407932,33.01201945407932,33.01201945407932,33.01201945407932,33.01201945407932,33.58122682784332,33.58122682784332,33.58122682784332,32.980336273632915,32.980336273632915,32.980336273632915,31.13370949421877,31.13370949421877,31.13370949421877,31.13370949421877,31.13370949421877,31.13370949421877,31.13370949421877	0.997262083184068	33.58122682784332	6	true	35
28	10	10	100	35610	82764	662112	0	0	49.14464184982925	49.15403499846178	52.2611570526413	51.798693518147545	37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,37.24989194920715,41.85976957644424,41.85976957644424,41.85976957644424,41.85976957644424,41.85976957644424,49.15403499846178,49.15403499846178,49.15403499846178,49.15403499846178,49.15403499846178,49.15403499846178,49.15403499846178,49.15403499846178,49.15403499846178,49.15403499846178,49.15403499846178,49.15403499846178,49.15403499846178,49.14464184982925,49.14464184982925,49.14464184982925,49.14464184982925,49.14464184982925	0.9970015206790418	49.15403499846178	2	true	41
29	12	12	100	35610	82764	662112	0	0	44.73157791803382	46.794116530587516	49.55344651723913	51.169225642040765	30.855309930694922,30.855309930694922,30.855309930694922,30.855309930694922,29.780601945731775,29.780601945731775,29.780601945731775,36.16595741389684,33.05782416345835,38.16524259921128,38.16524259921128,38.16524259921128,38.16524259921128,38.16524259921128,38.16524259921128,38.16524259921128,38.16524259921128,38.16524259921128,38.16524259921128,38.16524259921128,38.16524259921128,38.16524259921128,38.16524259921128,38.16524259921128,38.16524259921128,38.16524259921128,38.16524259921128,38.16524259921128,38.16524259921128,38.16524259921128,38.16524259921128,38.16524259921128,38.16524259921128,38.16524259921128,38.16524259921128,38.16524259921128,38.16524259921128,38.16524259921128,38.16524259921128,38.16524259921128,38.16524259921128,38.16524259921128,38.16524259921128,38.16524259921128,38.16524259921128,38.16524259921128,38.16524259921128,38.16524259921128,38.16524259921128,38.16524259921128,38.16524259921128,38.16524259921128,38.16524259921128,38.16524259921128,38.16524259921128,38.16524259921128,40.16491539343596,40.16491539343596,40.16491539343596,42.77434209504996,42.77434209504996,42.77434209504996,42.77434209504996,42.77434209504996,42.77434209504996,42.77434209504996,42.77434209504996,42.77434209504996,42.77434209504996,42.77434209504996,42.77434209504996,42.77434209504996,42.77434209504996,42.77434209504996,42.77434209504996,42.77434209504996,42.77434209504996,42.77434209504996,42.77434209504996,46.794116530587516,46.794116530587516,46.794116530587516,46.794116530587516,46.794116530587516,46.794116530587516,46.794116530587516,46.794116530587516,46.794116530587516,46.794116530587516,46.794116530587516,46.794116530587516,46.794116530587516,46.779167002583065,46.779167002583065,44.73157791803382,44.73157791803382,44.73157791803382,44.73157791803382,44.73157791803382,44.73157791803382	0.9966696763439367	46.794116530587516	3	true	40
30	13	13	100	36523	97812	782496	0	0	47.59981969580447	48.88746057037814	49.810289711452015	50.587612902756334	43.59262356353853,43.59262356353853,43.59262356353853,43.59262356353853,43.59262356353853,43.59262356353853,43.59243887916406,43.59243887916406,43.59243887916406,43.59243887916406,43.59243887916406,43.59243887916406,43.59243887916406,43.59243887916406,43.59243887916406,43.59243887916406,43.59243887916406,43.59243887916406,43.59243887916406,43.59243887916406,43.59243887916406,43.59243887916406,43.59243887916406,43.59243887916406,43.59243887916406,43.59243887916406,43.59243887916406,43.59243887916406,43.59243887916406,43.59243887916406,43.59243887916406,43.59243887916406,43.59243887916406,43.59243887916406,43.59243887916406,43.59243887916406,43.59243887916406,43.59243887916406,43.59243887916406,45.59234291464431,45.59234291464431,45.59234291464431,45.59234291464431,45.59234291464431,45.59234291464431,45.59234291464431,45.59234291464431,45.59234291464431,45.59234291464431,45.59234291464431,45.59234291464431,45.59234291464431,45.59234291464431,45.59234291464431,47.61744654717822,47.61744654717822,47.61744654717822,47.61744654717822,48.88746057037814,48.88746057037814,48.88746057037814,48.88746057037814,47.59972373128471,47.59972373128471,47.59972373128471,47.59972373128471,47.59972373128471,47.59972373128471,47.59972373128471,47.59972373128471,47.59972373128471,47.59972373128471,47.59972373128471,47.59972373128471,47.59972373128471,47.59972373128471,47.59972373128471,47.59972373128471,47.59972373128471,47.59972373128471,47.59972373128471,47.59972373128471,47.59972373128471,47.59972373128471,47.59972373128471,47.59972373128471,47.59981969580447,47.59981969580447,47.59981969580447,47.59981969580447,47.59981969580447,47.59981969580447,47.59981969580447,47.59981969580447,47.59981969580447,47.59981969580447,47.59981969580447,47.59981969580447,47.59981969580447,47.59981969580447	0.9965839188191344	48.88746057037814	3	true	46
31	13	13	100	37013	105336	842688	0	0	32.290363754338564	32.29388470587292	46.8727170773476	47.423272092628764	23.04414978701532,23.04414978701532,23.04414978701532,23.04414978701532,23.04414978701532,28.96275711503617,28.96264794550858,28.96264794550858,28.96264794550858,28.96264794550858,31.219965625088875,31.219965625088875,31.219965625088875,31.219965625088875,31.219965625088875,31.219965625088875,32.29388470587292,32.29388470587292,32.29388470587292,32.29388470587292,32.29388470587292,32.29388470587292,32.29388470587292,32.29388470587292,32.29388470587292,32.29388470587292,32.29388470587292,32.29388470587292,32.29388470587292,32.29388470587292,32.29388470587292,32.29388470587292,32.29388470587292,32.29388470587292,32.29388470587292,32.29388470587292,32.290363754338564,32.290363754338564,32.290363754338564,32.290363754338564,32.290363754338564,32.290363754338564,32.290363754338564,32.290363754338564,32.290363754338564,32.290363754338564,32.290363754338564,32.290363754338564,32.290363754338564,32.290363754338564,32.290363754338564,32.290363754338564,32.290363754338564,32.290363754338564,32.290363754338564,32.290363754338564,32.290363754338564,32.290363754338564,32.290363754338564,32.290363754338564,32.290363754338564,32.290363754338564,32.290363754338564,32.290363754338564,32.290363754338564,32.290363754338564,32.290363754338564,32.290363754338564,32.290363754338564,32.290363754338564,32.290363754338564,32.290363754338564,32.290363754338564,32.290363754338564,32.290363754338564,32.290363754338564,32.290363754338564,32.290363754338564,32.290363754338564,32.290363754338564,32.290363754338564,32.290363754338564,32.290363754338564,32.290363754338564,32.290363754338564,32.290363754338564,32.290363754338564,32.290363754338564,32.290363754338564,32.290363754338564,32.290363754338564,32.290363754338564,32.290363754338564,32.290363754338564,32.290363754338564,32.290363754338564,32.290363754338564,32.290363754338564,32.290363754338564,32.290363754338564	0.9960483181143581	32.29388470587292	7	true	50
32	13	13	100	37018	105336	842688	0	0	22.09277321204769	23.01105360637991	45.5451354775923	45.57949438108653	23.01105360637991,23.01105360637991,23.01105360637991,23.01105360637991,23.01105360637991,23.01103155755137,23.01103155755137,23.01103155755137,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769,22.09277321204769	0.9955863021910939	23.01105360637991	9	true	51
33	15	15	100	37018	105336	842688	0	0	22.336908434389386	23.255300499537547	45.79715620757331	45.79715620757331	23.255300499537547,23.255300499537547,23.255300499537547,23.255300499537547,23.255300499537547,23.255300499537547,23.255300499537547,23.255300499537547,23.255300499537547,23.255300499537547,23.255300499537547,23.255300499537547,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386,22.336908434389386	0.9953466855776751	23.255300499537547	9	true	49
