# solver: BinaryMaxSum
# max_time: 1000
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 703ce4ed-65c1-4144-97b8-4984e327fd61
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	100	192400	97812	782496	0	0	1.6276418645806825	1.6277807502238848	1.6277744219805281	1.6277807502238848	1.6277807502238848,1.6277744219805281,1.6277744219805281,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825,1.6276418645806825	0.9991239280309399	1.6277807502238848	0	true	163
25	6	6	100	192400	98208	785664	0	0	1.8346935998844314	1.8348121317673574	1.8348097669688488	1.8348121317673574	1.8348121317673574,1.8348097669688488,1.8348097669688488,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314,1.8346935998844314	0.9990443117099597	1.8348121317673574	0	true	79
26	6	6	100	192400	98208	785664	0	0	2.0231164735492557	2.023215933907361	2.02321536926044	2.023215933907361	2.023215933907361,2.02321536926044,2.02321536926044,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557,2.0231164735492557	0.9990443117099597	2.023215933907361	0	true	69
27	6	6	100	192400	98208	785664	0	0	2.183510794450939	2.1835947670352205	2.1835947670352205	2.1835947670352205	2.1835947670352205,2.1835947670352205,2.1835947670352205,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939,2.183510794450939	0.9990443117099597	2.1835947670352205	0	true	62
28	6	6	100	192400	98208	785664	0	0	2.337806702238466	2.337874443713048	2.337874443713048	2.337874443713048	2.337874443713048,2.337874443713048,2.337874443713048,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466,2.337806702238466	0.9990443117099597	2.337874443713048	0	true	61
29	6	6	100	192400	98208	785664	0	0	2.476138000774589	2.476191883002012	2.476191883002012	2.476191883002012	2.476191883002012,2.476191883002012,2.476191883002012,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589,2.476138000774589	0.9990443117099597	2.476191883002012	0	true	53
30	6	6	100	192400	98208	785664	0	0	2.5960872064773426	2.5961292700607195	2.5961292700607195	2.5961292700607195	2.5961292700607195,2.5961292700607195,2.5961292700607195,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426,2.5960872064773426	0.99887542860485	2.5961292700607195	0	true	53
31	6	6	100	192400	98208	785664	0	0	2.6970479085451586	2.6970792543885165	2.6970792543885165	2.6970792543885165	2.6970792543885165,2.6970792543885165,2.6970792543885165,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586,2.6970479085451586	0.99887542860485	2.6970792543885165	0	true	53
32	7	7	100	192400	98208	785664	0	0	2.789521478651113	2.7895432265729165	2.7895432265729165	2.7895432265729165	2.7895432265729165,2.7895432265729165,2.7895432265729165,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113,2.789521478651113	0.9987036576717526	2.7895432265729165	0	true	51
33	7	7	100	192400	98604	788832	0	0	2.863179064597366	2.8631931440791414	2.863192946214296	2.8631931440791414	2.8631931440791414,2.863192946214296,2.863192946214296,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366,2.863179064597366	0.9986204224270916	2.8631931440791414	0	true	51
