# solver: DSA
# max_time: 500
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 7063b8a4-acd3-4513-bd1e-2a608fa9be1c
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-nopolice-refugeOnFire.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	9	9	18	1044	6156	49248	0	0	45.65416366977295	45.65416366977295	45.65416366977295	45.65416366977295	11.464689654108547,17.700071647699843,23.031727620424,32.6532593552154,32.6532593552154,32.6532593552154,34.07410699951194,34.07410699951194,34.07410699951194,37.676824981145764,37.676824981145764,37.676824981145764,41.157955169644296,44.17948693617078,44.17948693617078,44.17948693617078,45.65416366977295,45.65416366977295	0.9975653416775723	45.65416366977295	0	true	56
25	9	9	14	812	4788	38304	0	0	44.93711825774796	44.93711825774796	44.93711825774796	44.93711825774796	5.716793934647754,20.518481544922167,30.312318272198098,36.827437476411944,36.827437476411944,42.32882416690659,42.97223793709343,42.97223793709343,42.97223793709343,42.97223793709343,42.97223793709343,42.97223793709343,44.93711825774796,44.93711825774796	0.9975653416775723	44.93711825774796	0	true	14
26	9	9	16	928	5472	43776	0	0	46.9637453524265	46.9637453524265	46.9637453524265	46.9637453524265	35.453394268000075,36.56038567886866,36.56038567886866,36.56038567886866,39.97408503704712,42.70699148891305,44.21811739076857,45.20863269909091,46.909633885382576,46.909633885382576,46.909633885382576,46.909633885382576,46.909633885382576,46.909633885382576,46.9637453524265,46.9637453524265	0.9975653416775723	46.9637453524265	0	true	3
27	10	10	5	290	1710	13680	0	0	47.60752514115387	47.60752514115387	47.60752514115387	47.60752514115387	42.543132251717594,44.996230857188735,46.013318547259914,47.60752514115387,47.60752514115387	0.997262083184068	47.60752514115387	0	true	10
28	10	10	13	806	4446	35568	0	0	52.22067963910443	52.22067963910443	52.22067963910443	52.22067963910443	38.00389043182653,43.27238068709832,43.27238068709832,43.27238068709832,43.27238068709832,43.34080190499788,47.37787294788444,47.37787294788444,47.383091986398114,50.62664726558793,50.33130321967004,52.22067963910443,52.22067963910443	0.9970015206790418	52.22067963910443	0	true	3
29	12	12	10	620	3420	27360	0	0	53.159355427066465	53.159355427066465	53.159355427066465	53.159355427066465	49.42657549141444,52.68670330055833,52.43675380361591,52.43675380361591,50.451644564870406,50.45575563197599,50.45575563197599,52.441004158180924,53.159355427066465,53.159355427066465	0.9966696763439367	53.159355427066465	0	true	4
30	13	13	39	2730	13338	106704	0	0	54.18899533283526	54.18899533283526	54.18899533283526	54.18899533283526	53.41479717547322,53.41479717547322,53.41479717547322,53.41479717547322,54.16054463960814,54.18653227265776,54.18653227265776,54.18653227265776,54.18653227265776,54.18653227265776,54.18653227265776,54.18653227265776,54.18653227265776,54.18653227265776,54.18653227265776,54.18653227265776,54.18653227265776,54.18653227265776,54.18653227265776,54.18653227265776,54.18653227265776,54.18653227265776,54.18653227265776,54.18653227265776,54.18653227265776,54.18653227265776,54.18653227265776,54.18653227265776,54.18653227265776,54.18653227265776,54.18653227265776,54.18653227265776,54.18653227265776,54.18653227265776,54.18653227265776,54.18653227265776,54.18653227265776,54.18899533283526,54.18899533283526	0.9965839188191344	54.18899533283526	0	true	28
31	13	13	41	3034	14022	112176	0	0	50.35543332262841	50.35543332262841	50.35543332262841	50.35543332262841	49.68882459337165,47.26259239217683,49.68882459337165,46.99566395185217,46.99566395185217,46.99566395185217,50.354785804009936,50.354785804009936,50.354785804009936,50.354785804009936,50.354785804009936,50.354785804009936,50.354785804009936,50.354785804009936,50.354785804009936,50.354785804009936,50.354785804009936,50.354785804009936,50.354785804009936,50.354785804009936,50.354785804009936,50.354785804009936,50.354785804009936,50.354785804009936,50.354785804009936,50.354785804009936,50.354785804009936,50.354785804009936,50.354785804009936,50.354785804009936,50.354785804009936,50.354785804009936,50.354785804009936,50.354785804009936,50.354785804009936,50.354785804009936,50.354785804009936,50.354785804009936,50.354785804009936,50.35543332262841,50.35543332262841	0.9960483181143581	50.35543332262841	0	true	5
32	13	13	7	518	2394	19152	0	0	48.59321717441731	48.59321717441731	48.59321717441731	48.59321717441731	39.100867453449155,40.11405900725082,44.13777262513081,47.057445112141615,47.057445112141615,48.59321717441731,48.59321717441731	0.9955863021910939	48.59321717441731	0	true	2
33	15	15	6	444	2052	16416	0	0	49.172661613192105	49.172661613192105	49.172661613192105	49.172661613192105	47.58310617704245,48.51703878285049,48.51703878285049,48.51703878285049,49.172661613192105,49.172661613192105	0.9953466855776751	49.172661613192105	0	true	8
34	15	15	13	1066	4446	35568	0	0	51.73352952125154	51.73352952125154	51.73352952125154	51.73352952125154	38.136795408194075,42.16945913729662,47.47950427090541,47.47950427090541,47.47950427090541,47.47950427090541,49.758253225539264,50.751951307836464,51.73332838968157,51.73332838968157,51.73332838968157,51.73352952125154,51.73352952125154	0.9953466855776751	51.73352952125154	0	true	3
35	16	15	28	2296	9576	76608	0	0	49.09489364023502	49.09489364023502	49.09489364023502	49.09489364023502	39.591066948321426,39.592099092442425,37.302696368840756,37.302696368840756,39.58033673756562,40.58051458837713,40.58051458837713,44.83140554807919,47.806580762496225,47.806580762496225,47.806580762496225,47.806580762496225,48.482135353889326,48.482135353889326,48.482135353889326,48.482135353889326,48.482135353889326,48.482135353889326,48.482135353889326,48.482135353889326,48.482135353889326,48.482135353889326,48.482135353889326,48.482135353889326,48.482135353889326,48.482135353889326,49.09489364023502,49.09489364023502	0.9952873206073942	49.09489364023502	0	true	4
36	16	15	20	1640	6840	54720	0	0	44.51421530098353	44.51421530098353	44.51421530098353	44.51421530098353	14.559147393149921,24.970342512340643,31.62181515010309,32.62176789037744,31.491681279424586,39.095240949142855,39.095240949142855,39.095240949142855,40.53685629136236,42.518348533113105,42.518348533113105,42.518348533113105,42.518348533113105,44.495193471976634,44.49536906986335,44.49536906986335,44.49536906986335,44.49536906986335,44.51421530098353,44.51421530098353	0.9948160928783969	44.51421530098353	0	true	3
37	19	19	19	1558	6498	51984	0	0	47.3664782896783	47.3664782896783	47.3664782896783	47.3664782896783	30.709830850842366,40.601757110219495,43.86168906382672,46.86141289904815,46.86141289904815,46.86141289904815,46.86191781241669,46.86191781241669,46.86191781241669,47.36614790061638,47.36614790061638,47.36614790061638,47.36641673483821,47.36641673483821,47.36641673483821,47.36641673483821,47.36641673483821,47.3664782896783,47.3664782896783	0.9944624253368524	47.3664782896783	0	true	3
38	20	19	25	2450	8550	68400	0	0	44.912261201070706	44.912261201070706	44.912261201070706	44.912261201070706	4.454459198505788,8.071806764209178,13.347339403239857,19.86619163717883,19.86619163717883,26.975168094946866,26.975168094946866,32.58761221197107,37.621456127419975,37.621456127419975,37.621456127419975,37.621456127419975,37.621456127419975,37.621456127419975,37.621456127419975,41.5654879644529,41.5654879644529,41.5654879644529,41.5654879644529,44.256917444098406,44.256917444098406,44.256917444098406,44.256917444098406,44.912261201070706,44.912261201070706	0.9943707459369359	44.912261201070706	0	true	4
39	21	20	27	2646	9234	73872	0	0	44.41731652874393	44.41731652874393	44.41731652874393	44.41731652874393	33.98683623740713,33.98683623740713,37.60604792125664,37.60604792125664,37.60604792125664,40.62073988588101,42.30220352096893,44.09459361271406,44.09459361271406,44.09459361271406,42.700887079470384,43.71923691524658,42.205078860378705,42.205078860378705,39.942371302172035,39.942371302172035,42.775733105970204,44.417065064823475,44.417065064823475,44.417065064823475,44.417065064823475,44.417065064823475,44.417065064823475,44.417065064823475,44.417065064823475,44.41731652874393,44.41731652874393	0.9941681593203735	44.41731652874393	0	true	4
40	21	20	39	3978	13338	106704	0	0	46.2106979277466	46.2106979277466	46.2106979277466	46.2106979277466	30.724237396940268,30.724237396940268,39.32159712100422,43.88106881032762,41.074175927517096,42.222496998715,45.50018768918027,45.50018768918027,45.50018768918027,45.50018768918027,45.50040453410846,45.50040453410846,45.50040453410846,45.50040453410846,45.50040453410846,46.16847631784539,46.16847631784539,46.16847631784539,46.16847631784539,46.16847631784539,46.16847631784539,46.16847631784539,46.16847631784539,46.16847631784539,46.16847631784539,46.16847631784539,46.16847631784539,46.16847631784539,46.16869576199839,46.16869576199839,46.20920223542772,46.21065417921557,46.21065417921557,46.21065417921557,46.21065417921557,46.21065417921557,46.21065417921557,46.2106979277466,46.2106979277466	0.9938086795680686	46.2106979277466	0	true	5
41	21	19	45	4590	15390	123120	0	0	43.62320654490591	43.62320654490591	43.62320654490591	43.62320654490591	5.054148610729403,7.331795395451842,8.293429302653792,8.293759256459737,20.828407361776037,26.626373357670516,26.626373357670516,26.626373357670516,26.626373357670516,26.626373357670516,26.626373357670516,26.626373357670516,31.900577456480008,31.900577456480008,31.900577456480008,36.549199472708494,36.549199472708494,36.549199472708494,36.549199472708494,36.549199472708494,36.549199472708494,36.549199472708494,36.549199472708494,36.549199472708494,36.549199472708494,36.549199472708494,36.549199472708494,36.549199472708494,36.549199472708494,36.549199472708494,36.549199472708494,36.549199472708494,36.549199472708494,36.549199472708494,40.46681682704061,40.46681682704061,40.46681682704061,40.46681682704061,40.46681682704061,40.46681682704061,40.46681682704061,43.048155429607746,43.048155429607746,43.62320654490591,43.62320654490591	0.9937010988368267	43.62320654490591	0	true	6
42	23	20	16	1568	5472	43776	0	0	39.031350168905504	39.031350168905504	39.031350168905504	39.031350168905504	9.614842705928947,12.665688342123948,12.665688342123948,18.28331818183787,18.28331818183787,26.27646642100453,29.81916754259429,31.805714192664663,31.805714192664663,31.805714192664663,34.67476366391251,37.11728811635014,37.11728811635014,37.53124379715152,39.031350168905504,39.031350168905504	0.9930428568295305	39.031350168905504	0	true	3
43	24	21	18	1836	6156	49248	0	0	43.169897752028064	43.169897752028064	43.169897752028064	43.169897752028064	7.594993311289839,25.033067348383298,30.630579120114298,30.630579120114298,32.30108370122167,35.64051666139994,38.27270534021703,41.01563550901244,41.600948586351095,41.600948586351095,41.600948586351095,41.600948586351095,41.600948586351095,41.600948586351095,41.600948586351095,41.600948586351095,43.169897752028064,43.169897752028064	0.9928615085428534	43.169897752028064	0	true	3
44	25	21	32	3392	10944	87552	0	0	45.41629392247479	45.41629392247479	45.41629392247479	45.41629392247479	-1.9053901209448725,11.677060090555418,20.935488579807135,21.917208682982213,21.917208682982213,31.622385753983174,31.622385753983174,36.226971286798545,39.67646718480828,42.2610069142676,42.26102287702381,42.26102287702381,44.24099246281016,44.24099246281016,44.85289241628633,44.85289241628633,44.85289241628633,44.85289241628633,45.41417729634563,45.41417729634563,45.41417729634563,45.41417729634563,45.41417729634563,45.41417729634563,45.41446725659834,45.41446725659834,45.41446725659834,45.41446725659834,45.41446725659834,45.416214879644635,45.41629392247479,45.41629392247479	0.9925916976773089	45.41629392247479	0	true	5
45	25	21	28	2968	9576	76608	0	0	35.35426493171294	35.35426493171294	35.35426493171294	35.35426493171294	-7.77823961001037,-1.3896369307784227,0.6104611128557913,0.6104611128557913,10.144941346906538,15.279370660544306,19.846354128489885,19.846354128489885,23.699516482274074,24.877448340631435,24.877448340631435,26.84330517153064,26.84330517153064,30.476662419858776,32.34077344785103,32.34077344785103,32.34077344785103,32.34077344785103,32.34077344785103,34.59594256863156,34.956711212921995,34.956711212921995,34.956711212921995,34.956711212921995,34.956711212921995,34.956711212921995,35.35426493171294,35.35426493171294	0.9926206490667565	35.35426493171294	0	true	4
46	26	23	16	1696	5472	43776	0	0	40.14883288082224	40.14883288082224	40.14883288082224	40.14883288082224	3.1748784704586956,12.626145512723772,20.852248282581968,18.492239102600244,26.972666768021295,31.23415689574641,31.554560816825074,35.22541132284301,35.22541132284301,35.225525775347236,35.225525775347236,35.225525775347236,37.6106096925277,38.300183199922905,40.14883288082224,40.14883288082224	0.9917713717548491	40.14883288082224	0	true	3
