# solver: DSA
# max_time: 500
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 746abf70-c4a2-40aa-b10e-2f238061bb3f
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	12	12	11	5841	4180	33440	0	0	-27.766106030167194	-27.766106030167194	-27.766106030167194	-27.766106030167194	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-77.76610561300787,-27.766106030167194,-27.766106030167194	0.9977623354120823	-27.766106030167194	0	true	68
25	14	14	48	25632	18240	145920	0	0	23.35490180827046	23.35490180827046	23.35490180827046	23.35490180827046	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-41.024217822997464,-38.641020675523755,-33.99265379702412,-33.99265379702412,-29.95344180708259,20.129716900834012,20.129717117711447,22.393892638254677,23.354894706590596,23.354894706590596,23.354894706590596,23.354894706590596,23.354894706590596,23.354894706590596,23.354894706590596,23.354894706590596,23.354894706590596,23.354894706590596,23.354894706590596,23.354894706590596,23.354894706590596,23.354894706590596,23.354894706590596,23.354894706590596,23.354894706590596,23.354894706590596,23.354894706590596,23.354894706590596,23.354894706590596,23.354894706590596,23.354894706590596,23.354894706590596,23.354894706590596,23.354894706590596,23.354894706590596,23.354894706590596,23.354894706590596,23.354894706590596,23.354894706590596,23.35490180827046,23.35490180827046	0.9968314678208231	23.35490180827046	0	true	40
26	14	14	34	18190	12920	103360	0	0	24.684305289199113	24.684305289199113	24.684305289199113	24.684305289199113	23.725837502994832,23.72585415225072,23.72585415225072,23.725863956082677,23.725863956082677,24.683917634899792,24.683917634899792,24.683917634899792,24.683920435107993,24.683920435107993,-Infinity,-Infinity,-Infinity,-Infinity,24.68425659229152,24.68425659229152,24.68425659229152,24.68425662615373,24.68425662615373,24.68425662615373,24.68425662615373,24.68425662615373,24.68425662615373,24.68425662615373,24.68425662615373,24.68425662615373,24.68425662615373,24.68425662615373,24.68425662615373,24.68425662615373,24.68425662615373,24.68425662615373,24.684305289199113,24.684305289199113	0.9962825977292168	24.684305289199113	0	true	28
27	14	14	23	11937	8740	69920	0	0	25.878354569569325	25.878354569569325	25.878354569569325	25.878354569569325	-25.08734855105466,-24.122632250301365,-24.122632250301365,-24.122632250301365,-24.122415062064235,-24.122415062064235,-24.12224779928185,-24.12224779928185,-24.12224779928185,-24.12224779928185,-24.121999894522375,-24.121999894522375,-24.121999894522375,-24.121999894522375,-24.121999894522375,-24.121999894522375,-24.121999894522375,-24.121999894522375,-24.121999894522375,25.878345084967293,25.878345084967293,25.878354569569325,25.878354569569325	0.9962825977292168	25.878354569569325	0	true	16
28	14	14	23	11937	8740	69920	0	0	26.904610605553856	26.904610605553856	26.904610605553856	26.904610605553856	24.96889109780693,24.969030513519826,24.969030513519826,25.934401766619086,25.934401766619086,25.934401766619086,25.934572418105677,26.904231528306234,26.904231528306234,26.904231528306234,26.904231528306234,26.904231528306234,26.904231528306234,26.904231528306234,26.904231528306234,26.904231528306234,26.904231528306234,26.904233667771464,26.904233667771464,26.904233667771464,26.904542174366874,26.904610605553856,26.904610605553856	0.9962825977292168	26.904610605553856	0	true	17
29	14	14	21	10857	7980	63840	0	0	29.393732162223742	29.393732162223742	29.393732162223742	29.393732162223742	25.476929561968028,25.476929561968028,25.476929561968028,25.47695599096142,27.40718479339586,27.411727276100635,27.41190816245251,27.41190816245251,27.41190816245251,27.41190846228669,27.41191526530277,29.393666099596164,29.39368466082245,29.39368466082245,29.39368466082245,29.39368466082245,29.39368466082245,29.39368466082245,29.393727326594206,29.393732162223742,29.393732162223742	0.9962825977292168	29.393732162223742	0	true	16
30	14	14	10	5150	3800	30400	0	0	27.1923486695522	27.1923486695522	27.1923486695522	27.1923486695522	-24.34811718467257,-24.34811718467257,-23.225722148435285,-23.225722148435285,-23.225722148435285,-23.225626968192433,-23.225626968192433,-23.225441096869705,27.1923486695522,27.1923486695522	0.9961137146241074	27.1923486695522	0	true	11
31	14	14	20	10300	7600	60800	0	0	29.77806436790283	29.77806436790283	29.77806436790283	29.77806436790283	-22.217978723558737,-22.217750567868386,-22.217745036219505,-22.21773766781913,-22.21748720571751,-22.21748720571751,-20.221975024061315,-20.221975024061315,-20.221975024061315,-20.221975024061315,-20.221962915721285,-20.221962915721285,-20.221962915721285,-20.221962915721285,-20.221962915721285,-20.221962915721285,-20.221962915721285,-20.221962915721285,29.77806436790283,29.77806436790283	0.9959038170506138	29.77806436790283	0	true	15
32	15	15	30	15450	11400	91200	0	0	28.838268389359033	28.838268389359033	28.838268389359033	28.838268389359033	-22.35010458254779,-21.39095412517023,28.609194771312787,28.609194771312787,28.62173862473161,28.62173862473161,28.621887483851996,28.621887483851996,28.621888509400375,28.621888509400375,28.621888509400375,28.838035506981402,28.838039751216098,28.838039751216098,28.838039751216098,28.838039751216098,28.838039751216098,28.838039751216098,28.838039751216098,28.838076365298452,28.838076365298452,28.838076365298452,28.838076365298452,28.838076365298452,28.838076365298452,28.838076365298452,28.838076365298452,28.838082859609006,28.838268389359033,28.838268389359033	0.9957260876876175	28.838268389359033	0	true	19
33	16	15	18	9270	6840	54720	0	0	28.601880547967482	28.601880547967482	28.601880547967482	28.601880547967482	-127.17570646194217,-73.75927152905732,-73.75927152905732,-23.7592635378494,-23.7592635378494,-22.23533529076184,-22.23533529076184,27.76472436043901,27.76472436043901,27.76472436043901,27.76472436043901,27.76472436043901,27.76472436043901,27.76472436043901,27.76472436043901,28.601822866119043,28.601880547967482,28.601880547967482	0.9955125346356584	28.601880547967482	0	true	13
