# solver: Random
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 74944d76-bc5a-4c3d-8371-be38b8845b27
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-nopolice-refuge.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
23	18	18	100	0	0	0	0	0	38.76041265030293	44.03424320180883	51.08329843045691	52.759189752358054	35.971049544703874,35.277859995431555,41.88717221928014,39.32922566951163,42.533623325696055,31.491970625907925,39.46070099813768,41.017459662052275,38.93792490585065,28.46845247348667,43.000921780285225,42.55495160833062,41.233773616374066,33.753933173297526,37.81230585473931,32.69770086492932,36.73580890283949,44.03424320180883,38.71658415614561,37.728890169413454,34.53756374204458,43.749681040274936,31.4020824907742,39.665161185492195,36.53304555816847,35.65888987670243,28.450896410122645,33.01912227097854,38.12011595341355,33.10116644202404,41.23124199166351,39.425178515291186,27.088820182395143,37.85660088040608,31.902852512786716,34.82213948095983,38.420472215149765,38.78797877150666,37.54688221105392,38.555770780478966,38.76159840560302,38.64386066065646,36.23269496025333,37.86239892398031,26.565454489502354,34.88335327898441,37.53964110828318,38.47474209934708,29.01161775615861,32.86419862233174,34.310817950675585,40.339069493547896,38.64934626964287,35.187006543332664,43.259823404337965,40.33565856725869,31.682930317262155,39.03591824590688,41.116575741448855,39.32050950767085,42.14332797559134,29.78099724949414,31.22745647842153,30.36540389466678,30.909621843325894,38.57482520874745,37.34834866302436,36.3042110917776,38.95420973640353,38.72114636888978,42.79236954752251,36.746877005163505,41.151656570269544,28.35713252282794,42.5751688577621,34.11867823155063,43.56614332870892,37.95039310125017,36.27632586249405,37.02422580224319,39.115699346684345,39.00583678200733,34.032193149494304,34.16800272308371,30.90801857137744,33.9304423168331,36.33443645287621,33.19899516436231,38.25238437903909,38.146037070647175,41.79292579795564,38.493648378421604,40.43945728198153,32.71404727554848,36.03215852063545,32.57262240595445,34.71119712084765,39.10506999623749,34.52069412761213,38.76041265030293	0.998213238680811	44.03424320180883	0	true	9
24	19	16	100	0	0	0	0	0	30.124508624373153	42.66508612447768	49.37072859503191	50.083646406212104	29.888895488596745,26.78722583156996,38.165857249620025,32.277832441509105,38.94758291053341,33.070430761738976,35.275568181112895,35.47261001785784,37.0905293392768,29.007598326206175,37.114680580411736,36.2142765146551,29.974472054992475,41.252729012819,38.10092912675852,35.49824323497951,41.47769531241576,24.581260517334492,32.8558825795402,33.569460928888596,30.3889419296124,33.27451641645979,34.67216313097653,29.223052861402483,27.793442523533923,41.111071746883624,33.306801677135866,25.461186987091388,38.353611464284235,25.462164229915295,32.08390746121802,40.03680081673892,38.004955265385426,37.647029530448464,32.59562509981636,36.12858900671627,42.359810361255754,33.43843802072914,31.019696247223322,34.87943713103307,36.47845602531781,34.678316926617526,34.338917315015,31.473351470777573,40.86190554926013,36.96211905456029,34.958117583563116,33.239292073551695,37.384964281170376,29.313038059459508,35.42750426561496,36.8585766660288,31.825936245884,38.16659024453841,40.02916092386481,40.20482512866407,19.325222444602186,30.802123911674453,35.81390122744556,36.06481745489459,34.900077745279475,34.38047433859662,37.642937287216526,31.36980128547173,31.09182269028132,31.42405451064563,38.73887433467803,34.48899027985239,27.217340114937432,33.32564458955372,30.7255106434613,33.27135855527486,38.043759583227754,40.52217151059995,35.06412472236828,41.49670436149539,31.544593981706118,37.63423630674038,37.847856871037244,38.65403570031032,40.70903615781448,22.230918131902193,35.49796708276765,41.576748735063,32.200222130842924,34.82464946191843,25.225432830001186,32.72032976998224,37.29225212977073,39.883334828235306,33.21235595037105,31.63636383812051,39.71532948733251,37.38730848263439,35.95434012744959,41.039626104085606,34.51112195113045,32.7212149405192,42.66508612447768,30.124508624373153	0.9981001016223013	42.66508612447768	1	true	4
25	19	15	100	0	0	0	0	0	28.843564309640556	41.34084817890529	46.83494806206151	46.73167443993385	37.41589284231679,33.33007542778143,35.4109337059687,36.21578187437057,32.600347814140335,33.40551187945961,39.13181344234936,28.733535793804936,24.118744308984212,30.62103092301963,32.284309065138174,36.91692880368958,26.62798897267166,26.188390377020806,35.59598948613482,34.01667243983697,27.992969333119632,34.625040081088045,36.63681884438803,25.46505775269175,26.158359937953108,31.346004127245294,30.658441300289923,34.73811681182833,33.891083294762026,31.06508361749784,31.162139604938158,35.93525921256888,26.462349892965833,36.74046407257581,36.1744673368804,36.98459414480968,37.4722130040154,34.569939727882335,34.9199739307718,39.530156570030066,28.8384318079512,37.191216887687744,28.65078953107024,31.290989067627194,24.96975773192613,37.013040502656054,35.4934434883586,34.7472645607851,31.73285753352954,36.143719774662706,35.91889912127787,35.32000291492464,35.94377632450075,31.833340597530153,35.90743782895589,35.677026607737865,36.97610085470011,38.377424955276595,33.282254956068684,32.91180551948264,26.644377269594052,31.661908234161153,33.51403698457717,31.635328689897676,38.10132759698015,36.39816656337779,34.49048177658638,32.71450388151757,33.45330061425216,28.198987286285863,36.09562499087403,31.40143134439095,30.379972631647632,40.82327313592957,38.42267688526914,32.24834568982932,30.470592161233824,39.75013944364403,39.041271539049674,34.68141560090004,38.07467834665037,29.72862981408746,35.19400492104094,28.212211359979552,33.3908280947831,34.39131382236717,34.50205291419917,23.381031639974594,29.729528377774432,31.537755292504453,41.34084817890529,36.78570370771662,36.50832364409626,32.13294335392429,23.6826379095111,39.33715489786388,29.867452037935287,30.22293928837469,29.985434268166518,40.52024410140251,25.91875977704738,31.775532785717957,35.68896524943389,28.843564309640556	0.9981138096665473	41.34084817890529	0	true	2
26	20	15	100	0	0	0	0	0	39.60211258217186	42.85613724794908	47.47049841503109	47.27154309283961	38.93707717578646,24.482560522493237,36.204760137882175,37.9908586815906,27.22093102261784,38.39650596875164,31.84510019693887,35.296489141644216,32.82588792786103,37.76338727745197,23.964223918279544,35.479700736349244,37.40536221015523,40.72158835421476,29.378416415174154,29.30800665632119,30.41284635031394,41.82109479433672,31.404311298095823,34.21962271532921,31.505057937234213,31.777947019523836,38.195108983738855,34.22189601207073,33.88132352253865,29.481178264690133,36.41531955654573,24.306440561725083,34.449890746329686,30.23939715397685,34.63976864252439,34.61632056670248,39.34639041113094,30.600820763921973,36.43921805336939,23.818983877962566,35.4844198889987,32.36389345196453,30.920402511403392,29.418906326709898,26.399169511348983,30.60182446261451,38.57547699601694,29.046874306309604,27.876455993027466,33.228417221829005,24.642070771662027,30.935345716135902,31.754812612425532,32.48813125780544,39.393249566920964,27.738730969230897,33.6692886981613,40.54896919271383,35.59084219872416,35.428201834167325,38.541418780878395,39.526481731560104,38.66918106064237,33.508507661359126,34.662416104821844,36.015141554611844,29.90093696087288,36.66980354416539,35.67043055871309,35.028143350942656,34.275820754547674,38.21956308712408,32.51657189196449,39.73287199069222,38.024567712351775,27.665036266178785,34.1294289475538,26.707604827192636,40.09090948653316,30.676839951942178,33.16842800373027,33.030528987916185,33.963749505153075,31.517306788403495,42.85613724794908,26.573166580294956,33.15588476171538,39.175745009608015,35.542875954382005,29.04788336038357,35.07919743098286,28.60534936117196,31.850458857858605,24.93756849793794,34.71365250956512,28.185955465535564,36.99558366320966,33.89434165591476,27.747207430085428,34.11128393033678,37.357886391401934,31.59812312676911,35.91606389360349,39.60211258217186	0.9980791191759087	42.85613724794908	1	true	2
27	20	12	100	0	0	0	0	0	15.008045886823695	36.924427735607836	42.232601595400446	42.24108065213313	26.119708710571953,28.540384033457105,26.35405281980354,34.8345248292803,26.118619963672483,33.5979574744338,26.332507185510206,34.05175794381299,17.065150191318462,28.807021592483107,26.034117225428616,28.53610764164698,26.151043216664718,10.731740942103448,31.30821981965898,29.220315503074232,31.24864507186253,26.471980219362383,27.622815082971155,26.34098140729534,22.01354850364509,28.918961075956595,30.623492390546904,27.552126996563633,33.625806471366786,19.992033893310353,15.650562064993798,33.47932021526107,33.62136447604402,35.54671865834245,28.87090858000969,26.292835007293164,28.51940425952536,34.406243911299214,23.339673894293902,34.75474681243143,27.571344111228587,24.6139989833345,24.675544281931305,32.96784301557433,29.197022641621537,15.1362101234506,34.21506504371652,27.355218569696166,23.822537612726904,34.08868645818346,32.85630010337644,32.74576984715631,34.3996404435599,35.348290253626004,29.639738229842422,33.07012898066155,30.037513676840636,26.679999757401188,35.45410922295978,27.021268061783484,35.6254176161566,14.431761164027098,25.750687173738303,29.289857491413954,29.74731459970265,31.869904272339426,36.924427735607836,19.44961295896819,26.231660748239864,25.27189791296286,20.951119914304616,28.875002191137682,24.802089573831196,28.584795107069027,29.728874473393482,16.053024672066897,21.996019340904667,32.11593406468943,31.282799274025287,29.501837868566245,32.40993606064419,30.747286080773257,30.88793723149694,32.21330929496884,31.89203327264208,29.12587431486163,24.27359217353516,30.99711904788431,21.318927802203177,28.017041040341116,30.15726492143437,27.664176519316854,25.44780766977186,27.351447407831817,28.010726855319703,26.92718094877363,25.980769419210922,29.49271356168193,25.015687992778986,30.363356665397994,25.324614862834682,27.67620206974104,32.09615374061435,15.008045886823695	0.9981130054612848	36.924427735607836	1	true	2
28	20	13	100	0	0	0	0	0	31.193764519314108	39.71611598422343	43.918133127897306	43.732677090892125	35.54870758560607,27.45596767539688,35.21137118615187,23.988588670783486,35.68075255223357,33.32675500266274,22.5887830642367,28.1173340501234,25.66519301810405,30.69392429896914,32.88971945240304,13.7041219961544,31.704116871537934,23.610229925871693,29.227969098490735,19.94883946948197,28.2213791164653,35.1467457690744,28.26629390633396,38.240550768668776,30.501744912007005,24.2939005210289,32.892417961245776,32.75504452747511,36.388152082886975,19.821445223457662,27.04844116996952,33.39215231518983,26.727015101202255,24.788629322196993,34.94133079279153,34.78656309517028,34.1834370289952,33.45547086759451,36.678935248291964,26.015904319125852,35.610340960569864,33.76560580021433,29.557168993190118,29.03515641537521,31.49221941704853,31.98262612498251,33.36836716166421,31.96476819120892,36.69182390324333,27.75552541065689,31.138019052134617,33.95923634961829,29.60688483832528,26.872341625432885,32.31722889245242,39.71611598422343,33.19149292937906,31.49295140216733,33.77995332653032,23.340852805808794,30.416522915512473,32.55938779263588,32.59363368580471,33.71911743860034,33.71416975026577,30.994261962505764,22.85157294487348,32.47878474833709,31.984710619955244,36.121069439323456,27.86095085641999,26.288168786640636,36.351230026041804,25.466938274280118,25.363365942639216,28.44589956152668,32.12630783351432,33.43969728444334,35.30541803935445,29.214201094892886,27.53698737627548,30.915499855347136,20.405141937064002,30.80460213391183,32.13277186101944,26.270695719390613,32.86417397284369,31.2078339404071,34.969621665566535,37.5411451399214,25.132918433952735,32.85261590692478,28.80656068620016,34.68630415122525,37.57227417433807,33.87959750048317,35.97159875033369,22.22372554730711,24.334531538411618,30.93076242639826,26.49726867482652,24.8633169433046,20.578420078930655,31.193764519314108	0.9980585022773629	39.71611598422343	1	true	2
29	22	15	100	0	0	0	0	0	27.500366058676978	41.485780411226834	48.098534805768814	47.416550460626844	38.325312200191284,37.86277130235177,35.13027801990606,38.77442454804067,32.09201377893578,38.31419844705953,35.7671332893366,16.740276646646443,28.568629917155523,32.64248415165758,32.36105168555426,34.27978298568485,38.91181026809324,32.065423184923986,30.076267774511713,31.01962433529282,38.01311016259451,28.666409966555403,33.53113451477043,26.151975307055444,29.96357345727755,34.95997208157054,38.37827733570985,28.609180211295623,37.72308959439256,33.35725348245221,39.116156082143725,34.520985789284836,36.81007312288563,27.548393443424747,35.54502960225089,36.53428069397598,41.485780411226834,30.364105963252932,36.49052569651499,38.70819182044199,37.73443219303246,29.509178948880308,32.09815917135333,25.039475256433086,30.829121319573176,38.268654937916054,33.72400355082942,33.61859998189217,28.981553713169482,32.93412520823553,31.703867093599616,33.52001059414831,33.03807209544685,31.362423287185266,35.44604126073037,36.18939279996712,27.899034149282468,18.204594624676197,32.92267527617584,37.001294737850245,31.705532380929895,31.991826147096106,31.10187152019216,31.561241088326195,38.637321841481764,35.42940309796016,35.70216360567787,29.563529634112683,29.843128882884358,37.36352474364073,35.0208127610598,37.9561092512785,34.28609514300144,27.099520410716497,36.340431100128924,35.036910605388776,28.391727940101568,39.77856465101328,34.72807192182872,28.542557770207253,38.109271154995156,33.01940177332405,29.679803883735516,35.108553444196595,36.833117339945844,34.39717192932446,24.972556913388257,34.49666193549552,37.295992421429006,33.567663681606064,29.449598048073288,31.572389487799043,26.009467328604945,35.001014886415,22.32128604448058,31.06059197348121,35.97388929779291,38.07880061932462,35.087445881668806,31.712380499842737,37.064141804205555,37.87958261690618,34.14864595146293,27.500366058676978	0.9977194200948962	41.485780411226834	0	true	2
30	24	16	100	0	0	0	0	0	37.01838272918836	43.342000482308826	47.381506400006415	47.57204444136042	33.7192474163578,37.01258419748308,36.615321561317906,29.42739659952049,30.349794327505037,38.67447671863514,36.34436039111371,35.73310377411593,33.072204476951654,32.55343432081041,35.71278444789951,38.06597936262866,39.463612049627734,36.670733309828776,34.94926502118632,34.511876794777194,37.065885106818705,34.90352087274558,31.91561801978679,34.94452283125474,38.834905284859566,31.820561308105617,38.50028670887496,33.859577217152825,35.40674367084695,40.963289555225664,35.34086259659006,33.33664487232103,36.91738671721284,38.279939554922116,20.44768239046632,37.09199825116961,31.69504204514257,34.24035481492963,32.555300580184976,32.13790395425336,30.184397064977794,30.960976635188587,34.4636515243966,35.39092254361113,36.294110571530766,32.744034509517775,24.92853317043437,37.85436639561579,39.52272632576032,34.30123098411337,38.608782576762934,37.31063464455987,34.96864164191132,43.342000482308826,31.77664378926052,39.204979089096646,34.28323045058393,38.043112756355974,31.84819385217375,39.15512196626381,39.80444282278668,18.492057450638654,28.479872569506416,33.806292313953826,34.570750046674306,32.50659230311642,37.13275745189972,38.91572307435274,30.000609200417873,32.972591148183845,34.6064594616754,38.968758927367915,35.78958993454727,39.50498393610006,35.75170211049085,27.52099978848976,26.960761575068528,34.27264998268468,38.7126863678528,38.07496719349782,26.631035383515595,23.785967580582266,36.591248130207475,29.071507936020506,35.29472932612522,28.54135937254425,26.701313769166433,41.200999672121476,39.02591269198613,26.5425232340602,39.485727584764426,35.91333271811332,34.268780068182174,26.098161559192796,33.94686103457079,35.44344763925366,34.578053811238824,36.94899668495396,34.9240749539501,33.725156621658925,25.92956338488497,37.05163481792118,33.49339853168466,37.01838272918836	0.9975470277304597	43.342000482308826	1	true	2
31	24	16	100	0	0	0	0	0	36.995734835818396	42.60224346615042	49.27150160160804	49.02904974883593	32.68614894950022,27.03065387782242,37.42719535850849,26.289141695654237,39.5495883081272,33.42951196467584,36.78732411644994,36.859055106999016,34.92076364945638,38.27358330839452,39.29814702464467,38.73710426818977,18.90916449037848,31.62634457887875,34.24385077394597,40.47112516712894,32.6868857249878,40.286988600181616,30.99330154150683,37.26711727412384,26.816345649929314,23.71355855697545,33.897918304876264,32.473470119704395,37.8039953855312,32.245967106706445,32.4635462906969,29.59461809049479,31.109300723240384,31.42598622045991,35.06432955849774,30.157774091795854,37.08476119889364,35.519314322207194,29.986953787106568,19.29390919018814,40.25887520073661,28.398443255842782,30.860332308809994,28.898421479251777,36.56116675703813,39.3314567099169,27.97817869040532,39.806439136783816,30.523870278729145,28.81333870176516,19.287062705021242,35.526615162587305,42.60224346615042,30.378323675347907,35.44055125710558,29.881208000288787,38.00885868031136,37.00738690761171,35.527563221372944,17.364413357983004,24.962778012923767,37.52320721310541,34.59274027119074,31.554498268722718,33.91854557079138,31.936677071010863,38.97274216860098,23.646246948755863,33.58757847074034,24.622090432298087,35.90961653420001,31.85885126322497,34.65661079239945,38.09309933316217,32.77272897364713,33.989651445581,21.801986129099518,36.92708844296354,35.39008456698019,41.655028008573346,29.64792342807539,40.08179353502486,29.902874016132245,32.54256032279046,27.06202029278955,28.202683139527256,39.24369099559843,34.38979195260859,33.18581651562914,33.18884470917258,36.087497594693374,38.91595987462874,36.846856711227616,41.21189154070448,30.797843146315646,35.52306419223792,37.34616971346834,27.911282548997367,38.42240806705402,31.256238512753576,16.521518177641127,38.02259123404365,35.646214106711945,36.995734835818396	0.997370906777988	42.60224346615042	1	true	2
32	24	18	100	0	0	0	0	0	22.638437383065714	40.58014838741086	51.673406033597246	51.51197881495325	29.290286381290727,23.29474471347016,34.00975248095358,34.83631721813813,29.691118231039567,21.044608997331395,23.83226781164883,27.875726704391443,38.79873843465368,31.765930406419216,33.42559934990117,38.562283003142085,19.224630118291817,40.26664976657673,27.680150044465105,18.408940533489123,31.769675617026685,29.791629262466724,26.722619994005914,35.24465913698769,30.903190462182707,31.7492091956996,25.496496517191108,25.58303827332444,24.643813109725553,31.585146253418916,34.31897780326331,30.481815627014015,40.05877215347721,24.60622195783468,32.13627962285504,17.132514014804613,31.011267823554714,26.630794697624285,25.333992257538956,34.59364428598529,32.888166717435745,31.622525212566906,32.23092060174851,31.15310786289364,32.29379466502367,9.760122915261283,29.385824225167642,35.501398582927344,21.53403675369623,18.399029490525567,35.95601602782275,19.036491713409433,34.020200195049796,35.49184421140898,27.365080983669774,32.43162817612881,30.76812407172153,35.04927931369001,32.53634730546503,39.00931361491529,39.05998058750894,39.778728588953044,19.805190919146284,29.224350953714794,28.568204361912475,34.73384397504894,29.43573551135091,31.93296841686773,35.37436813254251,33.188204106040565,33.83403362717749,35.49731564788031,25.131678090609523,32.670831020541115,36.34478832043184,27.54843756271885,30.20034088925239,30.576729558921954,40.58014838741086,26.50176093518651,35.73504111801165,34.04122239362709,35.2155137981949,21.942577632826616,38.69987018643776,13.363530137447858,14.98945642734992,21.897174777073737,39.15325978324295,33.86327068152137,33.45673930626593,29.80339423687057,27.103251926095016,24.20606666968618,20.48255825049464,26.82560525791924,32.01340976440549,40.15002551467205,27.644272256348064,36.99523291712742,35.951016407867634,28.803248734698858,33.89408084057282,22.638437383065714	0.9969592267931948	40.58014838741086	1	true	3
