# solver: BinaryMaxSum
# max_time: 1000
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 76384e8b-e68d-4115-92ba-b7017bea382b
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: Ambulancias_Collapse_ConySinNormas.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	12	12	65	73840	364288	2914304	0	0	8.43282989436252	9.36273031124712	NaN	NaN	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,9.36273031124712,9.362719369717539,9.362719369717539,9.362705608702015,9.36264160421058,9.362635927250622,9.362632901956061,9.362576289249148,8.433281462200874,8.433281462200874,8.433281462200874,8.433281462200874,8.43311708621399,8.433106055743387,8.433106055743387,8.433106171634229,8.433106171634229,8.433106171634229,8.433106171634229,8.433106171634229,8.433106171634229,8.433106171634229,8.433106171634229,8.433086883727917,8.432944238462959,8.432944238462959,8.432847975250858,8.432847975250858,8.432847975250858,8.432847975250858,8.432847975250858,8.432847975250858,8.432847975250858,8.432843898572521,8.432843898572521,8.432843898572521,8.432843898572521,8.432843898572521,8.432843898572521,8.432843898572521,8.432843898572521,8.432843898572521,8.43282989436252,8.43282989436252	0.9977623354120823	9.36273031124712	10	true	1004
25	14	14	100	113600	580140	4641120	0	0	-267.3365652113294	25.272335764748107	36.9856114605592	34.76809725328884	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,20.8001491671194,20.80014771494247,20.80012371050978,20.80012371050978,20.80012371050978,20.80012371050978,20.799989940896154,20.799989940896154,20.799989940896154,20.799989940896154,20.799989940896154,20.799989940896154,22.831569089656597,22.83156666271769,22.83151950392029,22.83151950392029,22.831514378627432,22.831514378627432,22.83144843175758,22.828976921353714,22.828976921353714,22.828976921353714,22.828976921353714,22.828976921353714,23.39563284239781,22.79244216809882,22.79244216809882,22.79244216809882,22.79244216809882,22.79244216809882,22.79244216809882,22.79217658386182,22.79217658386182,22.79217658386182,22.79217658386182,22.79217658386182,22.79217658386182,22.79217658386182,22.79217658386182,20.93807245381133,20.93805665247146,20.93805665247146,20.93805665247146,20.93805665247146,20.93805665247146,20.93805665247146,20.93805665247146,20.93805665247146,20.93805665247146,20.93805665247146,20.938045731359352,20.938045731359352,20.938045731359352,20.938045731359352,20.938045731359352,20.938045731359352,20.938045731359352,20.93786115192313,20.93786115192313,20.93786115192313,22.854132076770142,22.854132076770142,22.854132076770142,22.854132076770142,22.854132076770142,24.686302318503223,24.686302318503223,24.686302318503223,24.686302318503223,24.686160809811554,24.686172577828586,24.686172577828586,24.686172577828586,24.686172577828586,25.27232899831398,25.272335764748107,25.272335764748107,25.272335764748107,25.272335764748107,-70.66478275012274,-70.66478275012274,-70.66478275012274,-70.66478275012274,-70.66478275012274,-70.66478275012274,-70.66478275012274,-70.66478275012274,-70.66478275012274,-167.36143438787892,-167.36143438787892,-267.3365652113294,-267.3365652113294	0.9968314678208231	25.272335764748107	7	true	1013
26	14	14	100	113600	593604	4748832	0	0	-173.49681455057924	26.871550213257137	41.62119541041952	40.66002626827693	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,12.66934510295348,12.66934510295348,12.669344419513324,12.669344419513324,12.669344419513324,17.776750295404263,22.394098612604957,22.394098612604957,22.394095794643597,22.393984743982536,24.42603388923341,24.42603388923341,24.42603388923341,24.42602881800363,24.42602881800363,24.42602881800363,24.426025117323164,24.426024569188087,24.426024569188087,24.42592395839,24.425908946876277,24.422949446634732,24.422949446634732,24.993798177089907,24.394983232916946,24.394732403807236,24.394732403807236,24.394670724361536,24.394662601993762,24.394662601993762,24.394662601993762,24.394662601993762,24.394662601993762,22.54533981342096,22.54533981342096,22.54533981342096,22.54533981342096,22.54533981342096,22.54533981342096,22.545275041633587,22.545275041633587,22.545267623402083,22.544951503161393,22.544951503161393,22.544942762607647,22.544942762607647,22.544942762607647,22.544942762607647,22.54493003968752,22.544804235385797,22.544804235385797,22.544804235385797,22.544804235385797,22.544804235385797,22.544804235385797,22.544804235385797,22.544804235385797,22.544782443288675,22.544782443288675,22.544782443288675,22.544782443288675,22.544782443288675,22.544782443288675,22.544782443288675,22.5448116536173,22.5448116536173,24.377469885188077,24.377469885188077,24.377469885188077,24.377469885188077,24.377469885188077,24.377469885188077,24.377475164774737,24.377475164774737,24.377475164774737,24.377475164774737,26.28586378926218,26.871550213257137,-69.06792607476419,-69.06792607476419,-69.06792607476419,-69.06792607476419,-70.40726135003574,-73.51465975927283,-73.51465975927283,-73.51465975927283,-73.51465975927283,-73.51465975927283,-73.51465975927283,-73.51465975927283,-173.49679110417298,-173.49679110417298,-173.49679110417298,-173.49681455057924,-173.49681455057924	0.9962825977292168	26.871550213257137	7	true	691
27	14	14	100	114400	587268	4698144	0	0	-274.0234113675184	28.357615676916147	43.6583412961499	42.89662758754733	18.738324877248196,18.738324877248196,18.738324403257053,18.73820384870629,18.73819325402023,18.738192743311558,23.845831339192372,25.878766405445376,25.878766405445376,25.87875904752957,25.87875770422687,25.87870772950447,25.87870772950447,25.87870772950447,25.87866083955052,25.8786433587791,25.878636477473123,25.878564460229754,25.878564460229754,25.878560862647305,25.87852499909951,25.876723776625184,25.876723776625184,25.876723776625184,25.85791228095969,25.857905672993663,25.857676307675508,25.857676307675508,25.8576234206318,25.85755870865326,24.014792645610832,24.014792645610832,24.014792645610832,24.014792645610832,24.014792645610832,24.014792645610832,24.014792645610832,24.014787932997358,24.014787932997358,24.014787932997358,24.014787932997358,24.01455275334152,24.01455275334152,24.01455275334152,24.01455275334152,24.01455275334152,24.01455275334152,24.01455275334152,24.01455275334152,24.01455275334152,24.01455275334152,24.01455275334152,24.01455275334152,24.01455275334152,24.01455275334152,24.01455275334152,24.01455275334152,24.01455275334152,24.01455275334152,24.01455275334152,24.01455275334152,24.01455275334152,24.01455275334152,24.01455262510867,24.01455262510867,24.01455262510867,24.01455262510867,25.84604252531392,25.84604252531392,25.84604361692307,27.77300109821212,27.77300109821212,27.77300109821212,27.77300109821212,27.772909885565184,27.772909885565184,27.772909885565184,27.772909885565184,28.357615676916147,28.35759206723298,28.35759206723298,28.35759206723298,27.772510351700884,25.942275937480595,25.942275937480595,-72.04094190807939,-72.04094190807939,-72.04094190807939,-72.04094190807939,-72.04094190807939,-72.04094190807939,-72.04094190807939,-72.04094190807939,-172.0317791852512,-172.0317791852512,-274.0234113675184,-274.0234113675184,-274.0234113675184,-274.0234113675184,-274.0234113675184	0.9962825977292168	28.357615676916147	7	true	738
28	14	14	100	114400	587268	4698144	0	0	-261.08164612804296	28.98804418047666	44.42369425301327	44.4101611816804	14.369570161196869,14.369570161196869,14.369553888333847,14.36927013569327,19.90478228369831,19.90478127145868,25.012231701975537,25.012231701975537,23.937278518639122,23.93727831222257,27.04475882689591,28.384084037277976,28.384077880299532,28.383494507633866,27.04307625216185,27.043051348424772,27.043042971952435,27.04303555981482,27.04302526712527,27.04302526712527,27.042966844689094,27.042803711611963,27.04280781416676,27.04280781416676,27.04280781416676,27.04280781416676,27.04280781416676,27.04276237262152,27.04276237262152,27.04276237262152,27.04276237262152,27.04276237262152,27.04276237262152,27.04276237262152,27.04276237262152,27.042690518778368,27.042690518778368,27.042690518778368,27.042690518778368,27.042690518778368,27.042690518778368,27.042690518778368,27.042690518778368,27.042690518778368,27.042690518778368,27.042690518778368,27.042690518778368,27.042690518778368,27.042690518778368,27.042690518778368,27.042690518778368,27.042690518778368,27.042690518778368,27.042690518778368,27.042690518778368,27.042652314841614,27.042652314841614,27.042652314841614,27.042652314841614,27.042652314841614,27.042652314841614,27.042652314841614,27.042652314841614,27.042652314841614,27.042652314841614,27.042652314841614,27.042652314841614,27.042652314841614,28.98804418047666,28.98804418047666,28.98804418047666,28.98804418047666,28.98804418047666,28.98804418047666,28.98804418047666,28.98804418047666,28.98804418047666,28.98804418047666,28.98804418047666,28.98804418047666,28.98804418047666,28.98804418047666,28.98804418047666,-67.7339690640241,-67.7339690640241,-67.7339690640241,-67.7339690640241,-67.7339690640241,-67.7339690640241,-67.7339690640241,-67.7339690640241,-67.7339690640241,-67.7339690640241,-67.7339690640241,-67.7339690640241,-67.7339690640241,-67.7339690640241,-67.7339690640241,-67.7339690640241,-261.08164612804296	0.9962825977292168	28.98804418047666	7	true	715
29	14	13	100	114400	587268	4698144	0	0	-775.7955996592976	14.952194970702607	43.25182300328018	42.855432611076395	14.952194970702607,14.952194970702607,14.95215420854614,14.952051251436203,14.952047470478654,14.952041977520018,14.95204166520535,14.95204166520535,14.952038494063167,14.95199401479345,14.951978295237467,14.951978295237467,14.951973102871833,14.95196597760085,13.0658098505941,10.075507616922337,10.075507616922337,10.075440727682782,10.075344995735541,10.075344995735541,10.075344995735541,10.075344995735541,10.075309188742487,10.075309188742487,10.075309188742487,10.075309188742487,10.075309188742487,10.075309188742487,10.075309188742487,10.075309188742487,10.075309188742487,10.075309188742487,10.075309188742487,10.075309188742487,10.07524123865953,10.07524123865953,10.07524123865953,10.07524123865953,10.07524123865953,10.075238163498987,10.075238163498987,10.075238163498987,10.075238163498987,10.075238163498987,10.075238163498987,10.075238163498987,10.075238163498987,10.075238163498987,10.075238163498987,10.075238163498987,10.075238163498987,10.075238163498987,10.075238163498987,10.075273970492034,10.075273970492034,10.075273970492034,10.075273970492034,10.075273970492034,10.075273970492034,10.075273970492034,10.075273970492034,10.075273970492034,10.075273970492034,10.075273970492034,10.075273970492034,10.075273970492034,10.075268358492039,12.033759950109804,12.033759950109804,12.033759950109804,12.033759950109804,12.033759950109804,12.033759950109804,12.033759950109804,12.033759950109804,12.033759950109804,-469.828705480803,-672.2434870940641,-672.2434870940641,-672.2434870940641,-672.2434870940641,-672.2434870940641,-775.7956670932622,-775.7956670932622,-775.7956670932622,-775.7956670932622,-775.7956670932622,-775.7956670932622,-775.7956670932622,-775.7955996592976,-775.7955996592976,-775.7955996592976,-775.7955996592976,-775.7955996592976,-775.7955996592976,-775.7955996592976,-775.7955996592976,-775.7955996592976,-775.7955996592976,-775.7955996592976	0.9962914805418883	14.952194970702607	10	true	520
30	14	13	100	114400	580140	4641120	0	0	-775.4351089985878	16.205707089876633	41.515245495716925	40.90269895420591	15.288193470120902,15.288193470120902,15.288158645343032,15.288051003369795,15.288050118368638,15.288048454554335,15.288042241027341,15.288042241027341,16.205707089876633,15.287413197181131,15.287413197181131,15.28738827637735,10.411045732426011,10.411044109494092,10.411044109494092,10.411044109494092,10.411037740711315,10.410991853532991,10.410991853532991,10.410977820522625,10.410977820522625,10.410967611246512,10.410932291650845,10.410932291650845,10.410932291650845,10.410932291650845,10.410932291650845,10.410819212833687,10.410819212833687,10.410820175017896,10.410820175017896,10.41066315480095,10.41066315480095,10.41066315480095,10.41066315480095,10.41066315480095,10.41066315480095,10.41066315480095,10.41066315480095,10.41066315480095,10.41066315480095,10.41066315480095,10.41066315480095,10.41066315480095,10.41066315480095,10.41066315480095,10.41066315480095,10.41066315480095,10.41066315480095,10.41066315480095,10.410698474396618,10.410698474396618,10.410698474396618,10.410698474396618,10.410698474396618,10.410698474396618,10.410698474396618,10.410698474396618,10.410698474396618,12.386855833576938,12.386855833576938,12.386778598916486,12.386778598916486,12.386778598916486,12.386778598916486,12.386778598916486,12.386778598916486,12.386778598916486,12.386778598916486,12.386778598916486,12.386778598916486,12.386778598916486,12.386778598916486,12.386778598916486,12.386778598916486,12.386778598916486,12.386778598916486,12.386778598916486,-671.8913552044484,-671.8913552044484,-671.8913552044484,-775.4351802111114,-775.4351802111114,-775.4351802111114,-775.4351802111114,-775.4351802111114,-775.4351802111114,-775.4351802111114,-775.4351802111114,-775.4351802111114,-775.4351089985878,-775.4351089985878,-775.4351089985878,-775.4351089985878,-775.4351089985878,-775.4351089985878,-775.4351089985878,-775.4351089985878,-775.4351089985878,-775.4351089985878	0.9961225974367784	16.205707089876633	10	true	536
31	14	13	100	114400	580140	4641120	0	0	-881.179654707024	16.361786450542944	40.05016611042286	39.33457331241679	16.361786450542944,16.361786450542944,16.3617593010448,16.361659380632922,16.361641553157938,16.361633793868798,16.361632399933548,16.361632399933548,15.44362460311882,15.443621108174284,13.557627280562336,13.557627280562336,13.557608214747752,10.567140836656364,10.567146905532894,10.567146905532894,10.567162798098352,10.567141371718883,10.567128105886766,10.567128105886766,10.567128105886766,10.567128105886766,10.567094163745239,10.567094163745239,10.567094163745239,10.567094163745239,10.567094163745239,10.56698570107178,10.56698570107178,10.56698570107178,10.56698570107178,10.56698570107178,12.562097132559742,12.562097132559742,12.562097132559742,12.562097132559742,12.562097132559742,12.562097132559742,12.562097132559742,12.562097132559742,12.562097132559742,12.562097132559742,12.562097132559742,12.562097132559742,12.562097132559742,12.562097132559742,12.562097132559742,12.562097132559742,12.562097132559742,12.562097132559742,12.562097132559742,12.562097132559742,12.562097132559742,12.562097132559742,12.562097132559742,12.562097132559742,12.562097132559742,12.562097132559742,12.562097132559742,12.562097132559742,12.562097132559742,12.562131747777364,12.562131747777364,12.562131747777364,12.562131747777364,12.562131747777364,12.562131747777364,12.562240210450824,12.562240210450824,12.562240210450824,12.562240210450824,12.562240210450824,12.562240210450824,12.562240210450824,12.562240210450824,12.562240210450824,12.562240210450824,12.562240210450824,12.562240210450824,12.562240210450824,-369.88476017470884,-775.2515905660766,-775.2515905660766,-775.2515905660766,-775.2515905660766,-775.2515905660766,-775.2515905660766,-775.2515905660766,-881.1797508152964,-881.1797508152964,-881.1797508152964,-881.1797508152964,-881.179654707024,-881.179654707024,-881.179654707024,-881.179654707024,-881.179654707024,-881.179654707024,-881.179654707024,-881.179654707024	0.9959126998632849	16.361786450542944	10	true	709
32	14	13	100	111800	576180	4609440	0	0	-278.99065963006325	10.791081124368455	37.95412362434743	37.135573065691624	-5.7511443983605375,-5.7511443983605375,-5.751318004321185,-5.751425434891544,-5.751426326353773,-5.751426326353773,-5.751426326353773,-5.751426326353773,-5.751428790076943,-5.751428790076943,-5.751428790076943,-5.751441152579531,-5.751457261189465,-5.751457261189465,-5.751461086562628,-5.751461086562628,-5.751454489497597,-5.751454489497597,-5.751454489497597,-5.751454489497597,-5.751454489497597,-5.751454489497597,-5.751454489497597,-5.751454489497597,-5.751454489497597,-5.751486303255447,-5.751486303255447,-5.751486303255447,5.405641748081649,8.241573956109047,10.791081124368455,10.791081124368455,10.674499461663608,7.835780305693731,7.835780305693731,1.1038450160397133,1.1038450160397133,1.1038450160397133,1.1038450160397133,1.1038450160397133,1.1038182102509921,1.1038182102509921,1.1038182102509921,1.1038182102509921,1.1038182102509921,1.1038182102509921,1.1038182102509921,1.1038182102509921,1.1038182102509921,1.1038182102509921,-4.572213808008065,-96.92072426242609,-96.92072426242609,-299.00643432417195,-299.00643432417195,-395.0998622951025,-492.27421395477,-789.3088460963376,-789.3088460963376,-789.3088460963376,-789.3088460963376,-991.8575632448949,-991.8575348089223,-1199.1080887876583,-1199.1080887876583,-1305.8477506655402,-1305.8477506655402,-1305.8477506655402,-1305.8477506655402,-1305.8477506655402,-1305.8477506655402,-1305.8477506655402,-1305.8477506655402,-1305.8477431146875,-1305.8477355684497,-1305.8477355684497,-1305.8477355684497,-1199.1401741177756,-1199.1401751586345,-1199.1401751586345,-1092.7255144418898,-988.61150486813,-988.6114722142722,-988.6114722142722,-886.1119788979186,-784.7230511395608,-784.7230511395608,-784.723050430757,-784.723050430757,-784.723050430757,-784.723050430757,-679.1363276614327,-679.1363170258122,-679.136305671901,-474.54316001473074,-474.54316001473074,-376.173188714465,-278.99065963006325,-278.99065963006325,-278.99065963006325	0.9959413222596706	10.791081124368455	10	true	398
33	15	14	100	111200	570240	4561920	0	0	17.96027155059415	18.879084086460324	41.200199850558384	41.200199850558384	17.96221942768159,17.96221942768159,17.962118132126918,17.96186408020577,17.96186408020577,17.961862405384466,17.961862405384466,17.961858513528448,17.961845143351965,17.96176684620137,17.96176684620137,17.961761233252737,17.961761233252737,18.879084086460324,18.878510499019505,17.959993162051262,17.959993162051262,17.959993162051262,17.959993162051262,17.959993162051262,17.959807060643044,17.959807060643044,17.959807060643044,17.959807060643044,17.959807060643044,17.959807060643044,17.959807060643044,17.959807060643044,17.959807060643044,17.959807060643044,17.959807060643044,17.959807060643044,17.959807060643044,17.959807060643044,17.959807060643044,17.959807060643044,17.959807060643044,17.959807060643044,17.959807060643044,17.959807060643044,17.959807060643044,17.959807060643044,17.95990650529241,17.95990650529241,17.95990650529241,17.95990650529241,17.95990650529241,17.95990650529241,17.95990650529241,17.95990650529241,17.95990650529241,17.96003610271405,17.96003610271405,17.96003610271405,17.96003610271405,17.96003610271405,17.96003610271405,17.96003610271405,17.96003610271405,17.960047206294547,17.960047206294547,17.960047206294547,17.960047206294547,17.960047206294547,17.960047206294547,17.960047206294547,17.960047206294547,17.960047206294547,17.960047206294547,17.960047206294547,17.960053028555116,17.960053028555116,17.960053028555116,17.960053028555116,17.960053028555116,17.960053028555116,17.960053028555116,17.960053028555116,17.960053028555116,17.960130812721637,17.960130812721637,17.96022995972499,17.96026718326503,17.96026718326503,17.96025869302376,17.96025869302376,17.96025869302376,17.96025869302376,17.96025869302376,17.96025869302376,17.96025869302376,17.96025869302376,17.96025869302376,17.96025869302376,17.96025869302376,17.96025869302376,17.96025869302376,17.96025869302376,17.96029270039608,17.96027155059415	0.995680357652013	18.879084086460324	9	true	769
