# solver: Random
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 76fdf48e-7055-4528-b992-17149d9be1b1
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-nopolice-refugeOnFire.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
23	4	4	100	0	0	0	0	0	5.7958115406908775	29.89385244500485	30.242786845444556	31.127620867559017	23.511324952433156,15.405390885816859,22.61500249643714,16.156639138473864,11.846176391938577,22.47402969645792,-2.2245789703371983,-12.061059640704158,21.23826140796497,21.98533234943821,23.4642381451729,11.673151524946428,16.458455895381338,26.107630573427123,15.45707564553526,22.62317173379256,11.227476680354807,22.852389975185453,13.437571265570725,24.12429960149228,23.52925482578592,26.971975483430935,14.469781098932003,14.879027612229981,14.326198047600208,20.241663964782035,15.845589563979793,21.14824568625009,-1.3363323607055335,14.529117591922398,24.944652841046775,15.169480235870381,22.323182446883862,7.8661065825707706,19.87244682488587,14.758381505795368,26.47588139369958,-0.944762613373225,22.352803468078495,24.701945387588463,14.980285003311124,24.288318112805733,22.580558903350102,12.068460400094901,14.400904699278632,25.766737654573525,-4.12164610338057,19.29800830719556,20.769214244041347,27.68498779310472,27.178250762877973,12.666301409372387,29.89385244500485,23.1648703414418,21.274175068248265,22.188024712027115,20.382479560785875,20.82093664127016,17.79730400773152,19.301014662415398,15.465381473517471,26.115506643380638,18.970556706013205,6.943592116495054,1.2156124190921407,25.833749155096875,21.43715921148961,26.59859280541937,14.954391266217684,24.702620508312492,24.427754764818637,16.80388565127039,17.205883040434223,21.496642307465848,19.06734978455418,20.83749886744518,14.79885034631545,16.59319988948738,9.194203600910559,16.12173271971429,7.912186855062862,18.37367703561911,27.76012500785146,21.727563463901326,14.83488696756202,16.013899708951804,11.798875561451231,13.862135900114412,27.367886761318623,19.78082857693791,26.87583930078093,24.070187615988864,22.648656131006398,19.95189033240133,10.09217356762447,11.513157942892846,24.030688708385394,20.604535656516134,26.679445339666163,5.7958115406908775	0.9983840226347228	29.89385244500485	7	false	10
24	4	4	100	0	0	0	0	0	11.241324192451009	28.700941841440347	30.621039185938727	30.51439126878984	8.502324163770773,24.989691910133327,5.545144170190419,17.438370112288013,13.650192256541363,11.137280310176342,25.346014721284114,20.808941034367493,13.9669121436593,5.99723303482093,16.729015852558906,23.117108311505756,7.697002083932837,22.172774047915038,19.510706601774245,12.45441136457643,26.753133406364327,23.772292618090624,23.59643178697284,11.32752882421763,17.247730011010024,25.95825200983189,14.011111851118272,16.268875189343888,24.210742020649057,12.041778400256618,21.19997432220324,19.83038285966572,25.178260127913134,-8.188440949178194,17.180325867157165,19.31284208573638,17.200730035721143,9.221019664129543,23.582887963737356,12.858642754886278,16.63268111068195,19.269875972841856,18.116767030222924,9.03839415092746,16.883758561620358,22.09149106695672,27.09622734961298,13.504687811077417,17.278351982676416,-3.214677077964197,21.229546100464333,8.907466061055917,25.95020892634966,10.946843593678446,19.776302739261382,24.72288450329524,10.257168755124773,22.247615446016148,19.384756367781204,21.186537848356473,25.46521157697231,20.47244284665281,6.425025641184806,17.71000867567615,25.920029047921695,22.942174590046882,28.700941841440347,19.8978007948471,25.46244621486812,27.390308000289764,28.13821452587917,14.795886335783605,17.836784446772896,20.037070142772606,19.68093881648747,12.244552660219094,16.370304414144854,11.911675378888821,16.391531879690014,-1.3132532982392462,27.332722513323766,23.996928196243605,25.426467207574014,18.51458287588226,19.910862005382533,17.13797102893117,12.006385657387575,21.93255115107638,23.44410557036664,4.497775784470324,16.064249284954215,22.931823056918937,22.89230287779361,0.8609661898501244,24.211698049983177,25.15298622390079,24.539111783084728,16.416895704524052,26.770706289637467,24.764660558773663,13.563403858750942,17.540025219612467,17.116820055707123,11.241324192451009	0.9983840226347228	28.700941841440347	7	false	2
25	4	4	100	0	0	0	0	0	11.733654319866009	30.109698562224736	30.28300590861875	30.158493655656475	4.189662417449208,28.77905894851239,25.20680579535705,7.268104504035531,24.39791808076278,29.032261174865898,13.523996832372275,25.529314360758555,25.490743362262577,27.328717346843295,13.557416106546636,10.677840889686784,12.793066243305136,21.1566776982933,28.04822223875964,7.148697249582112,0.8228585833255764,7.614006950040999,23.817320963136936,18.567373303059536,17.125745083582952,3.399755962421132,21.87986037565337,17.97751748515116,21.802136874570607,24.382009872636726,26.21591380706402,27.69742027526583,27.72161275111742,22.612645163219653,15.796456208082134,22.75526594589278,14.332844799287226,14.262208227206315,14.180241723356673,18.461201360267058,8.080050126399149,27.04494808270814,23.63284441129756,30.109698562224736,19.73093410519941,19.760948218914848,18.25203348397893,25.779998786913374,13.124843268770286,22.26354541436575,19.097151396628817,4.755027321429186,19.44871668583712,24.11264388269694,-6.241228871644912,24.477170214802364,20.166978232163856,22.216749280291126,10.33791123276044,25.29109328865378,29.337886170252908,24.897738268810976,26.64924813226337,14.00819056689717,19.856953147999572,10.547349062187243,26.721457713079374,20.8323261779351,16.77118595826282,21.959500958653734,28.51626967479581,0.8898662194921343,26.88996169209972,26.92274734758903,23.58001856190804,28.144657944034666,24.8723226186262,16.379163558533705,25.0399856489429,19.236680945208192,25.058909636331528,24.443454527848935,21.6216842713853,20.112648189898138,20.264622214865227,15.950953195610518,24.52498934916948,26.328290270911253,21.35098059579032,-1.438971000778615,6.917715026415101,26.690582840414358,24.76593617271419,20.59348085745429,19.542617404410635,14.869067729461646,29.48064643100289,12.360607410514186,23.65398583882817,20.512595963687225,9.167082627842646,25.52705961531847,20.113611171218327,11.733654319866009	0.9983840226347228	30.109698562224736	7	false	3
26	4	4	100	0	0	0	0	0	28.807630495078154	31.314551752615802	32.17051982898222	31.96211851542114	5.616971140395494,-2.2476888883372936,28.934097599692983,23.699446046787664,17.447811050459517,22.18281808711596,10.420390797585455,5.144514050996117,17.725576126321663,10.487689791655171,16.77059002535643,31.314551752615802,27.62025986275245,19.300283135373768,13.807948832646055,11.562668945777503,24.411777843893944,28.93827207617361,29.60612411519556,20.153990520213128,26.251238931275605,23.31933952348547,12.401992695307177,11.55482534318213,12.233946383527027,19.61290390654963,27.320380045784955,26.106776485428462,18.7535789620233,23.09102857220639,22.34378914864816,28.394938652715084,27.38312047711486,25.748469792361945,19.92441955732881,21.150137992591624,18.788148819955087,21.233894358652503,14.91748280490316,19.168105297231783,19.719802743912815,26.949998092340174,27.57904985255364,21.512025574806202,20.26320604557391,6.2639504834495146,8.845534516020322,16.899867496430737,9.828969630625636,29.70275693511128,23.32057765220877,29.47043416441365,27.403141416666013,27.945670635045705,20.270009994058427,25.44061878737413,27.1436830639702,24.135343489378833,28.808618872848076,19.20511722226972,19.845264698294997,20.878097083477478,19.06792795779681,18.009485400975223,23.710134005686125,25.888521001762545,15.727267555195132,15.04810953440363,29.962719281459577,17.86067189304729,24.495796821062918,28.661638261091664,-3.5040429578504018,22.274883129946076,26.71683520579786,28.81402966945002,21.258568028558066,13.502978961966384,20.271688201131354,15.498132911494682,22.17594433882665,13.075080937040898,14.280091800572809,28.655653462280558,20.77929488170382,25.441914420419117,17.38156662362827,20.658694944353364,14.981062634268937,23.313958278953834,26.19076874108344,24.159949465068568,27.881510291795166,4.793401251532536,26.06703675323373,15.019614660904274,26.348169940414373,23.26238769122278,15.013687908255477,28.807630495078154	0.9983840226347228	31.314551752615802	7	false	2
27	4	4	100	0	0	0	0	0	23.442313745141526	29.88521610990899	33.01351178093968	32.441669397402976	26.667517425989434,13.072007866005467,-2.7691325164671383,27.468482641216454,11.080250230649746,18.05809218434803,27.015652677434883,13.035522142474406,6.516350805498039,25.563074700313607,20.898215501646277,24.387437637391116,14.724173581913135,14.320934854690263,0.46106493024598905,20.570406837481706,29.687055130639997,26.10670190650222,23.672543971283844,20.85984134816298,12.594803770543464,12.44403399824396,23.489341365102284,29.373144173292246,14.810189032475954,23.83386301090473,23.251877127448637,24.10880078732835,19.023617952886347,17.31036838602504,8.162211712324613,20.879855073922844,16.986628080209876,24.484330961657598,11.49951369108831,27.80060664353075,27.792452220118186,26.029476355650882,26.273254196100353,26.667768402888825,24.631416761287017,23.171053285376395,6.974603627665902,20.130451895406836,18.654138228686662,29.88521610990899,21.77205800309261,26.66557825179978,11.605956144274243,29.37583811752562,21.31661441312145,23.08956841049738,5.311910346533921,15.183833901645656,22.881642212704257,16.762051196813843,20.913413418802364,26.340825416366833,18.333721663222168,29.433127164615676,27.337486784978047,10.28753139997103,21.95752495908905,27.855099944842102,1.6890571758534847,28.966465238018728,17.80852610850657,21.47358556423538,24.10535587919854,27.873988687482555,14.64647221119494,16.921074714555708,21.63225512659766,27.711684710462823,3.411013373865295,27.061309476869333,16.382218309414718,24.1048110940922,25.44922885202896,25.508319301672365,10.750766930920951,20.693060452639028,24.27570389634157,23.286325810372006,13.521821837387932,27.702131066940755,29.44305809322195,17.6117270306885,27.9226414919661,29.328047121161532,18.925113947364352,29.717546076921586,27.943424173406992,21.814658926567052,25.9659275865519,26.95089487894141,10.650964749433856,24.332137090519034,5.346018772194723,23.442313745141526	0.9983840226347228	29.88521610990899	7	false	1
28	5	5	100	0	0	0	0	0	39.211580224723164	46.33377368286577	45.52281857957184	46.410831098594116	38.08534233555281,29.892914233877306,42.12077461791331,31.649161343976353,33.679866279505895,31.84849109512953,28.092496195992616,35.81060636948549,31.371560561852597,29.795007679070395,22.31974630250801,33.958987443233,36.516290887036845,26.743294593081284,36.064754713927535,29.16707463986358,24.15235339880894,31.612590832723413,41.73533808921397,44.374762077844096,36.54993516157482,24.740133739485657,36.53943334387312,43.375861678394436,30.3490589951603,21.581432957584216,29.201856587072122,30.268017875555728,34.96887237473287,40.97140745066541,23.604687898872033,6.619197989200963,9.751579995319432,38.511402438927504,27.067893625286946,38.630543933838396,29.22634935426204,40.8995533089238,38.68645780837207,42.14606265353791,39.73833754473989,39.02984342911417,37.989816312911834,35.26559894962093,35.09019345657646,39.4842254467267,28.609411625911086,28.86353915200248,36.19959286669177,33.501685637788114,29.423144714729332,-7.856557372540678,40.149149742170835,31.488845501223025,38.88761692399164,29.252897089561458,28.61387069979025,31.089954754719514,41.21479084679638,32.40807724735814,35.60161889022875,36.08937934230547,34.55188910782206,25.660824894841404,31.458684676717514,33.43920806134153,36.62517839724664,37.987502332442304,46.33377368286577,36.670338021033494,24.201009870165684,37.910578461731816,26.050991620248425,39.72190385503988,24.717536461582192,31.111959702146528,29.63595623492633,29.188738773978603,29.50652583631186,41.01118679116023,42.64687494598432,33.9389163096291,34.44302492704051,27.014842134601874,32.383557518908134,31.914624290778676,42.11386376348747,38.03589363926792,31.4991919874367,40.162637772537565,40.48721672923769,29.759013375078545,40.18631892290247,35.19114467669348,39.425119861461695,22.454249304289945,30.503117925298376,30.744055785324782,36.760756613030544,39.211580224723164	0.997861216104576	46.33377368286577	3	false	1
29	5	5	100	0	0	0	0	0	29.547754762089887	44.857845365982385	47.12405326329245	46.26096040158831	1.539270407046338,43.40261766230989,35.444164129519535,37.46343921430208,35.79014597267758,41.48812969969838,37.22472203957755,23.459561534065536,44.26514497545085,28.526469996518163,36.349205718290676,33.21946415856186,32.21705659401156,16.361282975446578,36.22051235121199,36.84149647810378,23.958060977039494,34.0434299226895,22.791555618259075,33.39209018997721,35.66431612918788,30.89385182593172,23.07871284594261,33.69048573045291,41.33686967327142,31.641360635969047,28.53981016867748,23.425142192688753,37.30623048129291,30.508859905782096,36.175025282929866,39.60586132231657,37.83144415313575,21.367929791213378,30.806846027978906,36.743441277891264,10.567535159181404,33.68017646384227,38.21541181938922,31.71395397019306,38.16630713534873,13.751943893487052,33.34892504310676,34.28970207738555,44.857845365982385,29.900204725589003,29.627089237817685,33.67813380193975,38.39252012862802,34.46878622672499,35.266091369143425,36.7181536742395,28.170946401046052,43.37782582156383,25.326936873115105,39.00396785753131,25.267573145807887,29.278398336996492,-2.5738807036233666,38.33997674827532,40.24536061417339,32.255411190643514,39.20744834609578,37.484488955203034,34.51793214784404,24.681049513004865,35.92753847666696,26.243258451498264,34.06778589412606,27.88845242586447,26.69870024935043,33.81927994792917,27.39546187845255,32.966172849987515,35.09677239157568,34.98155009741053,37.75239734983782,37.948204446335254,31.53582740354609,34.46165983809452,20.579547821401484,23.49807402190551,34.40599356250419,36.86463631677914,28.624552778580696,41.7930355254407,20.96279706825409,37.12273839642067,32.21884189328007,30.577817816933887,35.86951066381889,29.86631265793372,36.77351725047388,41.05451536980104,35.39607787987853,27.47882034020452,37.057460807858746,40.44763364106456,17.469953260552685,29.547754762089887	0.997861216104576	44.857845365982385	3	false	1
30	5	5	100	0	0	0	0	0	41.80265422630471	46.51981055360558	46.48181718698095	46.7088199103585	38.59476914092417,29.83675134357114,46.51981055360558,32.87933729871081,29.924588808135365,34.353091554047325,20.415649471076506,39.44089406687051,37.692606748961495,30.085975480841377,43.25957643128177,29.058948575876407,34.816144140952204,23.14112509688537,24.461063982160454,30.41429338509418,28.91769695978968,40.37066061978285,32.53408828117681,34.78123887155233,16.600865567825252,33.845297168296895,30.69886065550316,44.31775794120455,41.9115632190814,30.128165187871424,24.42426981462237,44.43978350272002,42.09337334882828,31.13005500868038,45.39987246984725,38.37783545196392,37.90014815091038,31.12457351922832,30.7151773976095,37.27544007384985,29.28428818532474,30.908863073521694,26.548894005277774,24.569612995670838,29.621869592912375,39.686543903668166,22.219188121087264,28.10352225947086,41.38148794292139,20.567462135668798,23.604969849068276,33.26457442330321,39.21969617086427,41.729304423402084,40.7307393206836,38.838642961002684,43.91710325130388,21.03508159781437,32.685940096484764,24.32867382913423,34.540332169559235,17.490214509695278,39.46749841611298,39.14557253288035,24.170091251091975,40.35908736402742,32.78054690357996,25.569716590593472,36.93406016270646,30.63139497134379,23.58138304891272,31.339971628712924,40.65634271429894,42.99499762711916,33.18072139740631,33.4853601859757,28.276028751800542,33.76872992167393,39.01442746033494,9.02487902351394,34.029172656917275,44.12341885293864,44.69395555635165,27.524275333866598,21.381267474971352,34.60108577582364,32.83044471817301,30.02054853233019,36.625903245744865,28.07959804890875,33.83183109694084,27.509168884224835,38.423937172113014,30.209506143839803,38.899175659860404,34.904908814045136,31.957334785606996,23.570405507180467,37.77597754338578,32.506741975753094,19.2829006449692,29.575028864534648,33.804487425816,41.80265422630471	0.997861216104576	46.51981055360558	3	false	1
31	5	5	100	0	0	0	0	0	35.37721562872549	45.897809318939444	47.09994811477227	47.5133839035848	29.19292439550059,23.66311096227745,27.032090726215813,35.97050878444399,21.662058348935055,34.700970706044764,43.013299517399744,26.239119416461456,20.339483594374727,23.634651014270496,33.61377999148577,43.83636553662158,34.78255947489117,43.629739955209956,33.12524139402396,43.44387003070467,28.440261559670212,30.199540207925025,23.50836808226648,34.8716953827253,34.037774793851746,41.85057690507813,34.38965488746945,30.174024047051134,45.897809318939444,27.810025294022367,34.93677819067544,40.05673959095689,33.19230221828845,34.5392453982774,30.062002767881054,39.432854947654945,24.985710651568724,42.43292736802064,34.331425910263164,23.516710286457183,32.86015177939544,42.24324788498311,45.16423355935305,38.49243084774588,40.06597070878217,30.38575052839147,23.816598452605604,30.234440209273664,30.78442103666416,36.43580994635587,34.35685195805934,19.22851334192218,36.84154749409004,35.9333939401291,30.391366219060217,40.93650918390253,34.357575525317394,34.11442827425069,32.80363103707441,41.10007053067954,44.707468454996075,40.03656742146394,42.005597058754525,34.789064513002,38.45128522157509,38.68266717753644,34.15582065683177,43.58526894213641,32.052685298122775,28.21977338673493,34.76065660385033,33.124522437990336,37.78072640354111,33.50130489827829,30.307007078953582,21.11252251336152,18.456997049454422,25.812047467470798,28.711963221801774,34.69467080687256,24.674318565966843,31.14305344143208,17.024018893645334,34.53521117170016,30.361820010527154,23.262647639364683,27.952401409235698,25.093297579623652,37.056283692050144,29.147517411323726,43.7686692868936,42.338460920369194,18.51899096993089,21.885054442951564,33.09045840785949,34.53439660865746,28.545639307608415,43.10713323183772,42.46993836911933,35.41079211703435,43.85580437544445,45.5353261143231,8.225403152757059,35.37721562872549	0.997861216104576	45.897809318939444	3	false	0
32	5	5	100	0	0	0	0	0	18.910689664143547	38.1712247386993	38.20448769763639	38.744867975080844	13.03525929802101,34.59744736465767,34.251235891132964,13.324597405187031,31.93514031881668,33.11254952566311,26.973841158410597,11.811800914705442,23.332176407899908,32.43363235289951,22.94261857909722,25.52610181584034,27.60285990078444,33.77161820356521,30.82213342765956,26.01444393425794,27.568154350087624,14.229134265584534,22.067903371188926,24.290153005618304,18.913318883680276,27.44769881176858,21.751365561811113,20.90034047209373,31.1601208970994,22.741022795739,29.125008300827716,10.820116298452865,31.777249970995378,28.64038162772284,22.875984940586555,22.281521609375147,21.39925091901874,29.403308411997706,34.63882093550836,20.499046148532116,23.65774618933413,17.698091066317737,14.77720436966615,29.078065287173576,27.80083575416321,23.38980775517082,24.1103617168495,27.261167288540626,36.652314048094595,33.204776002202166,28.51107708519148,28.61265322954631,28.367955647453503,15.529296790613792,27.349049638460183,23.697543058751485,7.214901231841335,30.895384181097448,25.533007997343624,32.147413824228366,23.142415594332554,15.001586887029912,26.4049902863952,23.011456359397734,38.1712247386993,21.53513656912284,23.7687257364271,24.296023116220212,31.62674069341772,18.844213317808645,28.34822032605712,14.739158444470533,15.022209364268512,32.23762640517708,24.727609329188684,27.599669441231544,18.339228865913547,24.976042869039354,23.62915345486397,30.337045241279085,26.65781812138396,17.242319282399137,7.480445832910718,35.20023187612652,27.771666947434728,32.883391811616846,11.656516671395568,21.5369541270135,16.621913069271095,36.92639518635448,33.28809677787207,32.44749540297843,34.30809218746633,28.658526890843756,24.375939505322567,21.170253106815764,4.501236295156966,19.953738382871705,28.085983500968517,24.077276555849643,16.65169240425191,33.940731388717644,14.467236842678464,18.910689664143547	0.9973147586287571	38.1712247386993	4	false	1
